gene_symbol,logfc_dz:627,logfc_dz:657,mean_logfc,median_logfc,common_experiment,organism
KRT16,0.2271849811077118,0.10606824606657028,0.16662661358714104,0.16662661358714104,0.10606824606657028,human
S100A9,0.22026798129081726,0.17541952431201935,0.1978437528014183,0.1978437528014183,0.17541952431201935,human
KRT6B,0.21050024032592773,0.17651528120040894,0.19350776076316833,0.19350776076316833,0.17651528120040894,human
KRT17,0.20855624973773956,-0.026743169873952866,0.09090653993189335,0.09090653993189335,-0.026743169873952866,human
SPRR1A,0.1887444704771042,0.08861348032951355,0.13867897540330887,0.13867897540330887,0.08861348032951355,human
KRT6A,0.18432049453258514,0.169423446059227,0.17687197029590607,0.17687197029590607,0.169423446059227,human
IGHV4-31,0.17008133232593536,0.0426628515124321,0.10637209191918373,0.10637209191918373,0.0426628515124321,human
CYAT1,0.16768530011177063,0.11900237947702408,0.14334383979439735,0.14334383979439735,0.11900237947702408,human
PI3,0.15602979063987732,0.14965860545635223,0.15284419804811478,0.15284419804811478,0.14965860545635223,human
S100A2,0.1496562510728836,0.17591547966003418,0.1627858653664589,0.1627858653664589,0.17591547966003418,human
IGHA2,0.13735510408878326,0.022391529753804207,0.07987331692129374,0.07987331692129374,0.022391529753804207,human
SPRR1B,0.13381096720695496,0.09802539646625519,0.11591818183660507,0.11591818183660507,0.09802539646625519,human
S100A7,0.13037918508052826,0.18367373943328857,0.15702646225690842,0.15702646225690842,0.18367373943328857,human
SERPINB4,0.12550462782382965,0.16046376526355743,0.14298419654369354,0.14298419654369354,0.16046376526355743,human
FABP5,0.11911045014858246,0.13315314054489136,0.1261317953467369,0.1261317953467369,0.13315314054489136,human
SPRR2B,0.11055906862020493,0.10739394277334213,0.10897650569677353,0.10897650569677353,0.10739394277334213,human
IVL,0.10007807612419128,0.019762523472309113,0.0599202997982502,0.0599202997982502,0.019762523472309113,human
SLPI,0.09267574548721313,0.08831750601530075,0.09049662575125694,0.09049662575125694,0.08831750601530075,human
KRT5,0.07698720693588257,0.031194821000099182,0.054091013967990875,0.054091013967990875,0.031194821000099182,human
TMSB10,0.07510245591402054,,0.07510245591402054,0.07510245591402054,,human
SFN,0.07410149276256561,0.07115792483091354,0.07262970879673958,0.07262970879673958,0.07115792483091354,human
HBA2,0.07308655977249146,,0.07308655977249146,0.07308655977249146,,human
ANXA1,0.07257094234228134,0.10571550577878952,0.08914322406053543,0.08914322406053543,0.10571550577878952,human
ACTG1,0.06926744431257248,-0.04672126844525337,0.011273087933659554,0.011273087933659554,-0.04672126844525337,human
TUBA1C,0.06908329576253891,0.06463457643985748,0.0668589361011982,0.0668589361011982,0.06463457643985748,human
ACTB,0.06763360649347305,,0.06763360649347305,0.06763360649347305,,human
KRT6C,0.06395844370126724,0.08732233941555023,0.07564039155840874,0.07564039155840874,0.08732233941555023,human
HSPB1,0.06388699263334274,0.03602883964776993,0.049957916140556335,0.049957916140556335,0.03602883964776993,human
DEFB4A,0.06342480331659317,0.2018461525440216,0.1326354779303074,0.1326354779303074,0.2018461525440216,human
CSTB,0.06163662299513817,0.10152290016412735,0.08157976157963276,0.08157976157963276,0.10152290016412735,human
NDRG1,0.05958275869488716,0.044254153966903687,0.051918456330895424,0.051918456330895424,0.044254153966903687,human
SERPINB3,0.05560613423585892,0.12140889465808868,0.0885075144469738,0.0885075144469738,0.12140889465808868,human
CSTA,0.05429296940565109,0.09801856428384781,0.07615576684474945,0.07615576684474945,0.09801856428384781,human
KRT14,0.05410698056221008,0.033803630620241165,0.043955305591225624,0.043955305591225624,0.033803630620241165,human
DSG3,0.05321362614631653,0.05333288386464119,0.05327325500547886,0.05327325500547886,0.05333288386464119,human
HBB,0.04899335280060768,-0.017603645101189613,0.015694853849709034,0.015694853849709034,-0.017603645101189613,human
SPRR3,0.048373378813266754,,0.048373378813266754,0.048373378813266754,,human
JUP,0.047766949981451035,0.02519802190363407,0.03648248594254255,0.03648248594254255,0.02519802190363407,human
IGLC7,0.046382661908864975,0.03912635147571564,0.042754506692290306,0.042754506692290306,0.03912635147571564,human
FTH1P5,0.04508461058139801,-0.03928464278578758,0.002899983897805214,0.002899983897805214,-0.03928464278578758,human
KLK6,0.04491007328033447,0.013273767195641994,0.029091920237988234,0.029091920237988234,0.013273767195641994,human
LCN2,0.044566139578819275,,0.044566139578819275,0.044566139578819275,,human
MMP1,0.04103114455938339,0.03970940038561821,0.0403702724725008,0.0403702724725008,0.03970940038561821,human
CD24,0.039155103266239166,,0.039155103266239166,0.039155103266239166,,human
HLA-A,0.035645756870508194,-0.02370787039399147,0.005968943238258362,0.005968943238258362,-0.02370787039399147,human
CDH3,0.03536457568407059,0.018922464922070503,0.027143520303070545,0.027143520303070545,0.018922464922070503,human
PKM,0.03486134111881256,0.027190865948796272,0.031026103533804417,0.031026103533804417,0.027190865948796272,human
TUBA4A,0.03378741815686226,0.01524887140840292,0.02451814478263259,0.02451814478263259,0.01524887140840292,human
S100P,0.03364276513457298,0.023662814870476723,0.028652790002524853,0.028652790002524853,0.023662814870476723,human
GSTP1,0.03349963575601578,0.021850645542144775,0.027675140649080276,0.027675140649080276,0.021850645542144775,human
HIF1A,0.0331103689968586,0.04660210385918617,0.039856236428022385,0.039856236428022385,0.04660210385918617,human
TUBB2A,0.03287519887089729,,0.03287519887089729,0.03287519887089729,,human
ATP1B3,0.03281508758664131,0.05110075697302818,0.04195792227983475,0.04195792227983475,0.05110075697302818,human
CFL1,0.03178323060274124,,0.03178323060274124,0.03178323060274124,,human
