gene_symbol,logfc_dz:979,mean_logfc,median_logfc,common_experiment,organism
TMSB10,0.11023756116628647,0.11023756116628647,0.11023756116628647,0.11023756116628647,human
GAPDH,0.09205279499292374,0.09205279499292374,0.09205279499292374,0.09205279499292374,human
PTMA,0.09134949743747711,0.09134949743747711,0.09134949743747711,0.09134949743747711,human
FDCSP,0.08281220495700836,0.08281220495700836,0.08281220495700836,0.08281220495700836,human
IGHV4-31,0.07973553240299225,0.07973553240299225,0.07973553240299225,0.07973553240299225,human
CD24,0.07637536525726318,0.07637536525726318,0.07637536525726318,0.07637536525726318,human
PABPC3,0.07542041689157486,0.07542041689157486,0.07542041689157486,0.07542041689157486,human
COX1,0.07401780039072037,0.07401780039072037,0.07401780039072037,0.07401780039072037,human
YBX1,0.07350771129131317,0.07350771129131317,0.07350771129131317,0.07350771129131317,human
RLIM,0.07031433284282684,0.07031433284282684,0.07031433284282684,0.07031433284282684,human
EPCAM,0.06910371035337448,0.06910371035337448,0.06910371035337448,0.06910371035337448,human
H2AFZ,0.06729323416948318,0.06729323416948318,0.06729323416948318,0.06729323416948318,human
SNHG6,0.06680784374475479,0.06680784374475479,0.06680784374475479,0.06680784374475479,human
CTHRC1,0.06290056556463242,0.06290056556463242,0.06290056556463242,0.06290056556463242,human
RPS7,0.06280986219644547,0.06280986219644547,0.06280986219644547,0.06280986219644547,human
HSP90AA1,0.06137730926275253,0.06137730926275253,0.06137730926275253,0.06137730926275253,human
RPL30,0.06028302013874054,0.06028302013874054,0.06028302013874054,0.06028302013874054,human
H3F3AP4,0.05859723314642906,0.05859723314642906,0.05859723314642906,0.05859723314642906,human
SNRPG,0.05835546925663948,0.05835546925663948,0.05835546925663948,0.05835546925663948,human
UBD,0.054930537939071655,0.054930537939071655,0.054930537939071655,0.054930537939071655,human
CDK2AP1,0.05485028028488159,0.05485028028488159,0.05485028028488159,0.05485028028488159,human
NDUFB9,0.05419152230024338,0.05419152230024338,0.05419152230024338,0.05419152230024338,human
SRP9,0.05321569740772247,0.05321569740772247,0.05321569740772247,0.05321569740772247,human
MAL2,0.05279777571558952,0.05279777571558952,0.05279777571558952,0.05279777571558952,human
MIF,0.052560824900865555,0.052560824900865555,0.052560824900865555,0.052560824900865555,human
GABRP,0.05143467336893082,0.05143467336893082,0.05143467336893082,0.05143467336893082,human
SCRG1,0.04979785159230232,0.04979785159230232,0.04979785159230232,0.04979785159230232,human
LDHA,0.0496411994099617,0.0496411994099617,0.0496411994099617,0.0496411994099617,human
NDRG1,0.04907241463661194,0.04907241463661194,0.04907241463661194,0.04907241463661194,human
TUBA1C,0.04904935881495476,0.04904935881495476,0.04904935881495476,0.04904935881495476,human
LDHB,0.04829290509223938,0.04829290509223938,0.04829290509223938,0.04829290509223938,human
YWHAQ,0.04808574542403221,0.04808574542403221,0.04808574542403221,0.04808574542403221,human
HLA-B,0.04792749136686325,0.04792749136686325,0.04792749136686325,0.04792749136686325,human
HLA-A,0.047477953135967255,0.047477953135967255,0.047477953135967255,0.047477953135967255,human
SAT1,0.04679669812321663,0.04679669812321663,0.04679669812321663,0.04679669812321663,human
GDI2,0.04677477851510048,0.04677477851510048,0.04677477851510048,0.04677477851510048,human
FTL,0.04676343873143196,0.04676343873143196,0.04676343873143196,0.04676343873143196,human
SLPI,0.04674696549773216,0.04674696549773216,0.04674696549773216,0.04674696549773216,human
ISG15,0.046516284346580505,0.046516284346580505,0.046516284346580505,0.046516284346580505,human
RAN,0.04542463272809982,0.04542463272809982,0.04542463272809982,0.04542463272809982,human
KRT23,0.04432091489434242,0.04432091489434242,0.04432091489434242,0.04432091489434242,human
LOC728026,0.04368148744106293,0.04368148744106293,0.04368148744106293,0.04368148744106293,human
UQCRH,0.04338577762246132,0.04338577762246132,0.04338577762246132,0.04338577762246132,human
NDUFA4,0.04222497344017029,0.04222497344017029,0.04222497344017029,0.04222497344017029,human
RPS20,0.04179020971059799,0.04179020971059799,0.04179020971059799,0.04179020971059799,human
CEBPB,0.0412026084959507,0.0412026084959507,0.0412026084959507,0.0412026084959507,human
COX6C,0.03974124789237976,0.03974124789237976,0.03974124789237976,0.03974124789237976,human
RARRES1,0.03958331048488617,0.03958331048488617,0.03958331048488617,0.03958331048488617,human
MIR1244-2,0.039312150329351425,0.039312150329351425,0.039312150329351425,0.039312150329351425,human
RAD21,0.03898641839623451,0.03898641839623451,0.03898641839623451,0.03898641839623451,human
HLA-DRA,0.03877279534935951,0.03877279534935951,0.03877279534935951,0.03877279534935951,human
CCT3,0.03874807432293892,0.03874807432293892,0.03874807432293892,0.03874807432293892,human
PAPSS1,0.03870321065187454,0.03870321065187454,0.03870321065187454,0.03870321065187454,human
VTCN1,0.03847943991422653,0.03847943991422653,0.03847943991422653,0.03847943991422653,human
TUBB,0.03833238407969475,0.03833238407969475,0.03833238407969475,0.03833238407969475,human
LAPTM4B,0.038089852780103683,0.038089852780103683,0.038089852780103683,0.038089852780103683,human
HSPE1,0.036718837916851044,0.036718837916851044,0.036718837916851044,0.036718837916851044,human
ILF2,0.03611798956990242,0.03611798956990242,0.03611798956990242,0.03611798956990242,human
PSMB4,0.0354483537375927,0.0354483537375927,0.0354483537375927,0.0354483537375927,human
COX2,0.03524569049477577,0.03524569049477577,0.03524569049477577,0.03524569049477577,human
S100P,0.03495651111006737,0.03495651111006737,0.03495651111006737,0.03495651111006737,human
PRDX4,0.03495371714234352,0.03495371714234352,0.03495371714234352,0.03495371714234352,human
MMP7,0.03390311077237129,0.03390311077237129,0.03390311077237129,0.03390311077237129,human
OVOS2,0.03360889106988907,0.03360889106988907,0.03360889106988907,0.03360889106988907,human
RPS10,0.0334906131029129,0.0334906131029129,0.0334906131029129,0.0334906131029129,human
KRT81,0.033447783440351486,0.033447783440351486,0.033447783440351486,0.033447783440351486,human
LYZ,0.03258004039525986,0.03258004039525986,0.03258004039525986,0.03258004039525986,human
TMSB4XP8,0.03184322640299797,0.03184322640299797,0.03184322640299797,0.03184322640299797,human
GLO1,0.030655067414045334,0.030655067414045334,0.030655067414045334,0.030655067414045334,human
CXCL10,0.030372537672519684,0.030372537672519684,0.030372537672519684,0.030372537672519684,human
YWHAZ,0.030297530815005302,0.030297530815005302,0.030297530815005302,0.030297530815005302,human
HEBP2,0.029568945989012718,0.029568945989012718,0.029568945989012718,0.029568945989012718,human
MRPL3,0.029500259086489677,0.029500259086489677,0.029500259086489677,0.029500259086489677,human
COX7A2,0.029176874086260796,0.029176874086260796,0.029176874086260796,0.029176874086260796,human
DEK,0.029044702649116516,0.029044702649116516,0.029044702649116516,0.029044702649116516,human
SLC25A5,0.02895495481789112,0.02895495481789112,0.02895495481789112,0.02895495481789112,human
MRPL51,0.028150208294391632,0.028150208294391632,0.028150208294391632,0.028150208294391632,human
USMG5,0.02780522219836712,0.02780522219836712,0.02780522219836712,0.02780522219836712,human
CDK4,0.027579238638281822,0.027579238638281822,0.027579238638281822,0.027579238638281822,human
S100A1,0.02739301137626171,0.02739301137626171,0.02739301137626171,0.02739301137626171,human
LOC728825,0.02631942182779312,0.02631942182779312,0.02631942182779312,0.02631942182779312,human
HSPA8,0.026317613199353218,0.026317613199353218,0.026317613199353218,0.026317613199353218,human
CCND1,0.026262110099196434,0.026262110099196434,0.026262110099196434,0.026262110099196434,human
C20orf24,0.026157468557357788,0.026157468557357788,0.026157468557357788,0.026157468557357788,human
DYNLL1,0.026055198162794113,0.026055198162794113,0.026055198162794113,0.026055198162794113,human
CKS2,0.02572750486433506,0.02572750486433506,0.02572750486433506,0.02572750486433506,human
HSPA1A,0.025615431368350983,0.025615431368350983,0.025615431368350983,0.025615431368350983,human
PSMB5,0.02548736147582531,0.02548736147582531,0.02548736147582531,0.02548736147582531,human
DDIT4,0.02545037865638733,0.02545037865638733,0.02545037865638733,0.02545037865638733,human
TMEM14B,0.025352032855153084,0.025352032855153084,0.025352032855153084,0.025352032855153084,human
KPNA2,0.02524874545633793,0.02524874545633793,0.02524874545633793,0.02524874545633793,human
MRPL15,0.025044435635209084,0.025044435635209084,0.025044435635209084,0.025044435635209084,human
IFI30,0.0249919556081295,0.0249919556081295,0.0249919556081295,0.0249919556081295,human
WDR11,0.024583496153354645,0.024583496153354645,0.024583496153354645,0.024583496153354645,human
JTB,0.024447094649076462,0.024447094649076462,0.024447094649076462,0.024447094649076462,human
HLA-DRB5,0.02421221137046814,0.02421221137046814,0.02421221137046814,0.02421221137046814,human
ANP32B,0.02419458143413067,0.02419458143413067,0.02419458143413067,0.02419458143413067,human
S100A2,0.024077527225017548,0.024077527225017548,0.024077527225017548,0.024077527225017548,human
CHI3L2,0.023973412811756134,0.023973412811756134,0.023973412811756134,0.023973412811756134,human
FABP5,0.02377176471054554,0.02377176471054554,0.02377176471054554,0.02377176471054554,human
S100A11,0.023145083338022232,0.023145083338022232,0.023145083338022232,0.023145083338022232,human
ANXA8L1,0.022837981581687927,0.022837981581687927,0.022837981581687927,0.022837981581687927,human
PDIA6,0.02283427305519581,0.02283427305519581,0.02283427305519581,0.02283427305519581,human
RPS21,0.022560756653547287,0.022560756653547287,0.022560756653547287,0.022560756653547287,human
PCNA,0.022554462775588036,0.022554462775588036,0.022554462775588036,0.022554462775588036,human
MIA,0.02250915765762329,0.02250915765762329,0.02250915765762329,0.02250915765762329,human
IFI27,0.022487182170152664,0.022487182170152664,0.022487182170152664,0.022487182170152664,human
S100A9,0.022361181676387787,0.022361181676387787,0.022361181676387787,0.022361181676387787,human
ARL6IP1,0.02228296920657158,0.02228296920657158,0.02228296920657158,0.02228296920657158,human
PSMD14,0.021990090608596802,0.021990090608596802,0.021990090608596802,0.021990090608596802,human
S100A7,0.021970517933368683,0.021970517933368683,0.021970517933368683,0.021970517933368683,human
EIF3H,0.02147161401808262,0.02147161401808262,0.02147161401808262,0.02147161401808262,human
ABRACL,0.021305229514837265,0.021305229514837265,0.021305229514837265,0.021305229514837265,human
OPHN1,0.02127273753285408,0.02127273753285408,0.02127273753285408,0.02127273753285408,human
NDUFA1,0.02116665244102478,0.02116665244102478,0.02116665244102478,0.02116665244102478,human
NAT10,0.021116051822900772,0.021116051822900772,0.021116051822900772,0.021116051822900772,human
NME1,0.020936770364642143,0.020936770364642143,0.020936770364642143,0.020936770364642143,human
DAP3,0.020876789465546608,0.020876789465546608,0.020876789465546608,0.020876789465546608,human
CXCR4,0.02086685039103031,0.02086685039103031,0.02086685039103031,0.02086685039103031,human
SLC26A2,0.020857112482190132,0.020857112482190132,0.020857112482190132,0.020857112482190132,human
TMEM123,0.020811107009649277,0.020811107009649277,0.020811107009649277,0.020811107009649277,human
UAP1,0.0204615518450737,0.0204615518450737,0.0204615518450737,0.0204615518450737,human
ODC1,0.019772790372371674,0.019772790372371674,0.019772790372371674,0.019772790372371674,human
FOXC1,0.019692419096827507,0.019692419096827507,0.019692419096827507,0.019692419096827507,human
GARS,0.01968938112258911,0.01968938112258911,0.01968938112258911,0.01968938112258911,human
SUMO2,0.019621573388576508,0.019621573388576508,0.019621573388576508,0.019621573388576508,human
SNHG5,0.019619189202785492,0.019619189202785492,0.019619189202785492,0.019619189202785492,human
HLA-DRB4,0.01956382766366005,0.01956382766366005,0.01956382766366005,0.01956382766366005,human
EIF3E,0.019460100680589676,0.019460100680589676,0.019460100680589676,0.019460100680589676,human
LYPLA1,0.019447151571512222,0.019447151571512222,0.019447151571512222,0.019447151571512222,human
XPOT,0.019400423392653465,0.019400423392653465,0.019400423392653465,0.019400423392653465,human
USP1,0.01925520785152912,0.01925520785152912,0.01925520785152912,0.01925520785152912,human
SNRPD2,0.01923808641731739,0.01923808641731739,0.01923808641731739,0.01923808641731739,human
PROM1,0.019107244908809662,0.019107244908809662,0.019107244908809662,0.019107244908809662,human
TBCB,0.018959667533636093,0.018959667533636093,0.018959667533636093,0.018959667533636093,human
PTDSS1,0.01892286352813244,0.01892286352813244,0.01892286352813244,0.01892286352813244,human
NOP58,0.018803613260388374,0.018803613260388374,0.018803613260388374,0.018803613260388374,human
ATP5C1,0.018745852634310722,0.018745852634310722,0.018745852634310722,0.018745852634310722,human
UBE2C,0.01865604892373085,0.01865604892373085,0.01865604892373085,0.01865604892373085,human
CSTA,0.018622150644659996,0.018622150644659996,0.018622150644659996,0.018622150644659996,human
GTF3C6,0.01860796846449375,0.01860796846449375,0.01860796846449375,0.01860796846449375,human
ARPC1B,0.0185313168913126,0.0185313168913126,0.0185313168913126,0.0185313168913126,human
SDC1,0.018436618149280548,0.018436618149280548,0.018436618149280548,0.018436618149280548,human
CHCHD2,0.018202543258666992,0.018202543258666992,0.018202543258666992,0.018202543258666992,human
