gene_symbol,logfc_dz:9,mean_logfc,median_logfc,common_experiment,organism
SH3KBP1,0.32255005836486816,0.32255005836486816,0.32255005836486816,0.32255005836486816,human
TMSB10,0.1858675330877304,0.1858675330877304,0.1858675330877304,0.1858675330877304,human
RPS18,0.16011294722557068,0.16011294722557068,0.16011294722557068,0.16011294722557068,human
TMSB4XP8,0.13887958228588104,0.13887958228588104,0.13887958228588104,0.13887958228588104,human
RPL36,0.13645176589488983,0.13645176589488983,0.13645176589488983,0.13645176589488983,human
RPS26,0.12158525735139847,0.12158525735139847,0.12158525735139847,0.12158525735139847,human
NR4A2,0.11500680446624756,0.11500680446624756,0.11500680446624756,0.11500680446624756,human
CD69,0.11187013238668442,0.11187013238668442,0.11187013238668442,0.11187013238668442,human
HCLS1,0.09956327825784683,0.09956327825784683,0.09956327825784683,0.09956327825784683,human
SNHG5,0.09577631205320358,0.09577631205320358,0.09577631205320358,0.09577631205320358,human
LDHB,0.09166615456342697,0.09166615456342697,0.09166615456342697,0.09166615456342697,human
LOC100505937,0.09138894081115723,0.09138894081115723,0.09138894081115723,0.09138894081115723,human
RPS5,0.08561655133962631,0.08561655133962631,0.08561655133962631,0.08561655133962631,human
RPL36AL,0.08524180203676224,0.08524180203676224,0.08524180203676224,0.08524180203676224,human
RPS29,0.07794278860092163,0.07794278860092163,0.07794278860092163,0.07794278860092163,human
TUBA1A,0.07109580188989639,0.07109580188989639,0.07109580188989639,0.07109580188989639,human
PELI1,0.07075276970863342,0.07075276970863342,0.07075276970863342,0.07075276970863342,human
RPL13AP5,0.07065822184085846,0.07065822184085846,0.07065822184085846,0.07065822184085846,human
DYNLT1,0.06866208463907242,0.06866208463907242,0.06866208463907242,0.06866208463907242,human
MAL,0.0679011419415474,0.0679011419415474,0.0679011419415474,0.0679011419415474,human
RPS25,0.06785627454519272,0.06785627454519272,0.06785627454519272,0.06785627454519272,human
RPS21,0.06674855947494507,0.06674855947494507,0.06674855947494507,0.06674855947494507,human
JUNB,0.06377903372049332,0.06377903372049332,0.06377903372049332,0.06377903372049332,human
SNRPD2,0.061761464923620224,0.061761464923620224,0.061761464923620224,0.061761464923620224,human
RPL35,0.06156196445226669,0.06156196445226669,0.06156196445226669,0.06156196445226669,human
DDX21,0.06030942499637604,0.06030942499637604,0.06030942499637604,0.06030942499637604,human
RGS2,0.05766334384679794,0.05766334384679794,0.05766334384679794,0.05766334384679794,human
USMG5,0.05703224614262581,0.05703224614262581,0.05703224614262581,0.05703224614262581,human
RPL32,0.056884121149778366,0.056884121149778366,0.056884121149778366,0.056884121149778366,human
TNFAIP3,0.05529245734214783,0.05529245734214783,0.05529245734214783,0.05529245734214783,human
COX7A2,0.05507798492908478,0.05507798492908478,0.05507798492908478,0.05507798492908478,human
RPS10,0.05230925977230072,0.05230925977230072,0.05230925977230072,0.05230925977230072,human
HLA-B,0.052289243787527084,0.052289243787527084,0.052289243787527084,0.052289243787527084,human
TMEM258,0.050249431282281876,0.050249431282281876,0.050249431282281876,0.050249431282281876,human
ARHGEF18,0.04841163009405136,0.04841163009405136,0.04841163009405136,0.04841163009405136,human
S100A4,0.04814255237579346,0.04814255237579346,0.04814255237579346,0.04814255237579346,human
H3F3AP4,0.047000493854284286,0.047000493854284286,0.047000493854284286,0.047000493854284286,human
SELL,0.04656601324677467,0.04656601324677467,0.04656601324677467,0.04656601324677467,human
RPL17,0.04649404436349869,0.04649404436349869,0.04649404436349869,0.04649404436349869,human
CD3D,0.04604976624250412,0.04604976624250412,0.04604976624250412,0.04604976624250412,human
BCAS2,0.045343250036239624,0.045343250036239624,0.045343250036239624,0.045343250036239624,human
CD52,0.04526793211698532,0.04526793211698532,0.04526793211698532,0.04526793211698532,human
SETD1B,0.04438287392258644,0.04438287392258644,0.04438287392258644,0.04438287392258644,human
SLC25A6,0.04398060217499733,0.04398060217499733,0.04398060217499733,0.04398060217499733,human
CFL1,0.04358506575226784,0.04358506575226784,0.04358506575226784,0.04358506575226784,human
FTH1,0.04307595267891884,0.04307595267891884,0.04307595267891884,0.04307595267891884,human
IFITM1,0.04268118739128113,0.04268118739128113,0.04268118739128113,0.04268118739128113,human
IRS2,0.04257024824619293,0.04257024824619293,0.04257024824619293,0.04257024824619293,human
YPEL5,0.04207603260874748,0.04207603260874748,0.04207603260874748,0.04207603260874748,human
SDCBP,0.0405975878238678,0.0405975878238678,0.0405975878238678,0.0405975878238678,human
RPL21,0.04034245386719704,0.04034245386719704,0.04034245386719704,0.04034245386719704,human
ADD3,0.03997793048620224,0.03997793048620224,0.03997793048620224,0.03997793048620224,human
RPL36A,0.03929013013839722,0.03929013013839722,0.03929013013839722,0.03929013013839722,human
HNRNPK,0.03852640464901924,0.03852640464901924,0.03852640464901924,0.03852640464901924,human
FAM101B,0.03841179236769676,0.03841179236769676,0.03841179236769676,0.03841179236769676,human
ZNF331,0.03833002597093582,0.03833002597093582,0.03833002597093582,0.03833002597093582,human
GMFG,0.038163818418979645,0.038163818418979645,0.038163818418979645,0.038163818418979645,human
RPL34,0.038094084709882736,0.038094084709882736,0.038094084709882736,0.038094084709882736,human
NOP58,0.03793073073029518,0.03793073073029518,0.03793073073029518,0.03793073073029518,human
PSMD6-AS2,0.037310242652893066,0.037310242652893066,0.037310242652893066,0.037310242652893066,human
SELK,0.03717702254652977,0.03717702254652977,0.03717702254652977,0.03717702254652977,human
CFAP20,0.03715590387582779,0.03715590387582779,0.03715590387582779,0.03715590387582779,human
RPS7,0.037152551114559174,0.037152551114559174,0.037152551114559174,0.037152551114559174,human
GABARAPL3,0.036978837102651596,0.036978837102651596,0.036978837102651596,0.036978837102651596,human
CORO1A,0.03662962466478348,0.03662962466478348,0.03662962466478348,0.03662962466478348,human
CLEC2B,0.03606252372264862,0.03606252372264862,0.03606252372264862,0.03606252372264862,human
SNHG1,0.03563013672828674,0.03563013672828674,0.03563013672828674,0.03563013672828674,human
WHAMM,0.035318851470947266,0.035318851470947266,0.035318851470947266,0.035318851470947266,human
RPL41,0.03478860482573509,0.03478860482573509,0.03478860482573509,0.03478860482573509,human
SATB1,0.034060023725032806,0.034060023725032806,0.034060023725032806,0.034060023725032806,human
PPIL3,0.03396705538034439,0.03396705538034439,0.03396705538034439,0.03396705538034439,human
NACA,0.03355831652879715,0.03355831652879715,0.03355831652879715,0.03355831652879715,human
NDUFB9,0.03349534422159195,0.03349534422159195,0.03349534422159195,0.03349534422159195,human
HIF1A,0.03347707539796829,0.03347707539796829,0.03347707539796829,0.03347707539796829,human
MRPS24,0.033345405012369156,0.033345405012369156,0.033345405012369156,0.033345405012369156,human
LAPTM4A,0.033253710716962814,0.033253710716962814,0.033253710716962814,0.033253710716962814,human
SBDSP1,0.032954100519418716,0.032954100519418716,0.032954100519418716,0.032954100519418716,human
RPS13,0.03281299024820328,0.03281299024820328,0.03281299024820328,0.03281299024820328,human
RPS2,0.03253426030278206,0.03253426030278206,0.03253426030278206,0.03253426030278206,human
LOC100510649,0.03210965171456337,0.03210965171456337,0.03210965171456337,0.03210965171456337,human
FTL,0.031945470720529556,0.031945470720529556,0.031945470720529556,0.031945470720529556,human
BTN3A2,0.03192897140979767,0.03192897140979767,0.03192897140979767,0.03192897140979767,human
RPL10,0.03152810409665108,0.03152810409665108,0.03152810409665108,0.03152810409665108,human
TRBC1,0.03149298205971718,0.03149298205971718,0.03149298205971718,0.03149298205971718,human
PPP1R15B,0.03141625598073006,0.03141625598073006,0.03141625598073006,0.03141625598073006,human
PI4KAP1,0.030943606048822403,0.030943606048822403,0.030943606048822403,0.030943606048822403,human
SERINC5,0.03052946738898754,0.03052946738898754,0.03052946738898754,0.03052946738898754,human
FBL,0.02989673614501953,0.02989673614501953,0.02989673614501953,0.02989673614501953,human
FNIP1,0.02969808131456375,0.02969808131456375,0.02969808131456375,0.02969808131456375,human
GLYR1,0.029653213918209076,0.029653213918209076,0.029653213918209076,0.029653213918209076,human
BTBD1,0.02954081818461418,0.02954081818461418,0.02954081818461418,0.02954081818461418,human
GIMAP7,0.02937140502035618,0.02937140502035618,0.02937140502035618,0.02937140502035618,human
TMEM123,0.029208792373538017,0.029208792373538017,0.029208792373538017,0.029208792373538017,human
PAN3,0.028322720900177956,0.028322720900177956,0.028322720900177956,0.028322720900177956,human
ZNF394,0.028097551316022873,0.028097551316022873,0.028097551316022873,0.028097551316022873,human
RPS20,0.02782193012535572,0.02782193012535572,0.02782193012535572,0.02782193012535572,human
RPLP0P6,0.0275693628937006,0.0275693628937006,0.0275693628937006,0.0275693628937006,human
SRSF5,0.027455313131213188,0.027455313131213188,0.027455313131213188,0.027455313131213188,human
SSR4,0.02719268761575222,0.02719268761575222,0.02719268761575222,0.02719268761575222,human
SRP14,0.027156874537467957,0.027156874537467957,0.027156874537467957,0.027156874537467957,human
ATP5J,0.026787633076310158,0.026787633076310158,0.026787633076310158,0.026787633076310158,human
FAM8A1,0.02677101083099842,0.02677101083099842,0.02677101083099842,0.02677101083099842,human
CYTIP,0.026711290702223778,0.026711290702223778,0.026711290702223778,0.026711290702223778,human
UBA52,0.026249263435602188,0.026249263435602188,0.026249263435602188,0.026249263435602188,human
PTMA,0.02569279633462429,0.02569279633462429,0.02569279633462429,0.02569279633462429,human
L3MBTL3,0.025643441826105118,0.025643441826105118,0.025643441826105118,0.025643441826105118,human
NPIPB5,0.02530542016029358,0.02530542016029358,0.02530542016029358,0.02530542016029358,human
ARHGEF3,0.025255199521780014,0.025255199521780014,0.025255199521780014,0.025255199521780014,human
ARPC3,0.02515515312552452,0.02515515312552452,0.02515515312552452,0.02515515312552452,human
RPL38,0.025063730776309967,0.025063730776309967,0.025063730776309967,0.025063730776309967,human
RPS27,0.025005342438817024,0.025005342438817024,0.025005342438817024,0.025005342438817024,human
RPL24,0.024907566606998444,0.024907566606998444,0.024907566606998444,0.024907566606998444,human
RPL28,0.024752922356128693,0.024752922356128693,0.024752922356128693,0.024752922356128693,human
ATP5I,0.02471587434411049,0.02471587434411049,0.02471587434411049,0.02471587434411049,human
ITGAE,0.024663802236318588,0.024663802236318588,0.024663802236318588,0.024663802236318588,human
RPL31,0.024634884670376778,0.024634884670376778,0.024634884670376778,0.024634884670376778,human
RGS1,0.0244534183293581,0.0244534183293581,0.0244534183293581,0.0244534183293581,human
GTF3A,0.024364380165934563,0.024364380165934563,0.024364380165934563,0.024364380165934563,human
RPL8,0.02429087460041046,0.02429087460041046,0.02429087460041046,0.02429087460041046,human
OAZ1,0.02419137768447399,0.02419137768447399,0.02419137768447399,0.02419137768447399,human
MRPS21,0.024174297228455544,0.024174297228455544,0.024174297228455544,0.024174297228455544,human
SERTAD2,0.02412235736846924,0.02412235736846924,0.02412235736846924,0.02412235736846924,human
MRPL3,0.02396797388792038,0.02396797388792038,0.02396797388792038,0.02396797388792038,human
NDUFA3,0.023951267823576927,0.023951267823576927,0.023951267823576927,0.023951267823576927,human
MOAP1,0.023922335356473923,0.023922335356473923,0.023922335356473923,0.023922335356473923,human
TM2D3,0.023779118433594704,0.023779118433594704,0.023779118433594704,0.023779118433594704,human
CDCA7L,0.02369792014360428,0.02369792014360428,0.02369792014360428,0.02369792014360428,human
PNN,0.023614710196852684,0.023614710196852684,0.023614710196852684,0.023614710196852684,human
BZRAP1-AS1,0.02339317835867405,0.02339317835867405,0.02339317835867405,0.02339317835867405,human
KLHL2,0.023318883031606674,0.023318883031606674,0.023318883031606674,0.023318883031606674,human
IFITM2,0.02330266684293747,0.02330266684293747,0.02330266684293747,0.02330266684293747,human
RPL4,0.02312529645860195,0.02312529645860195,0.02312529645860195,0.02312529645860195,human
CD83,0.023111684247851372,0.023111684247851372,0.023111684247851372,0.023111684247851372,human
SEPW1,0.023066556081175804,0.023066556081175804,0.023066556081175804,0.023066556081175804,human
CXorf40A,0.022945120930671692,0.022945120930671692,0.022945120930671692,0.022945120930671692,human
LOC100505497,0.0228024460375309,0.0228024460375309,0.0228024460375309,0.0228024460375309,human
C12orf57,0.022670025005936623,0.022670025005936623,0.022670025005936623,0.022670025005936623,human
CHRM3-AS2,0.022474026307463646,0.022474026307463646,0.022474026307463646,0.022474026307463646,human
LOC728026,0.022166427224874496,0.022166427224874496,0.022166427224874496,0.022166427224874496,human
ISG20,0.022093860432505608,0.022093860432505608,0.022093860432505608,0.022093860432505608,human
RPL12,0.021844156086444855,0.021844156086444855,0.021844156086444855,0.021844156086444855,human
RGPD2,0.02182743325829506,0.02182743325829506,0.02182743325829506,0.02182743325829506,human
EAPP,0.021666208282113075,0.021666208282113075,0.021666208282113075,0.021666208282113075,human
RPL23A,0.021492252126336098,0.021492252126336098,0.021492252126336098,0.021492252126336098,human
LAIR2,0.02145991660654545,0.02145991660654545,0.02145991660654545,0.02145991660654545,human
CDIPT,0.021387798711657524,0.021387798711657524,0.021387798711657524,0.021387798711657524,human
NLRC5,0.021255793049931526,0.021255793049931526,0.021255793049931526,0.021255793049931526,human
PSME2,0.021181980147957802,0.021181980147957802,0.021181980147957802,0.021181980147957802,human
SRP19,0.021002408117055893,0.021002408117055893,0.021002408117055893,0.021002408117055893,human
ARMCX6,0.02085990272462368,0.02085990272462368,0.02085990272462368,0.02085990272462368,human
ELF1,0.020668625831604004,0.020668625831604004,0.020668625831604004,0.020668625831604004,human
LOC100129361,0.020521491765975952,0.020521491765975952,0.020521491765975952,0.020521491765975952,human
RPL27,0.020401502028107643,0.020401502028107643,0.020401502028107643,0.020401502028107643,human
CRLF3,0.0203261636197567,0.0203261636197567,0.0203261636197567,0.0203261636197567,human
ITM2A,0.020279763266444206,0.020279763266444206,0.020279763266444206,0.020279763266444206,human
TOMM6,0.02009814791381359,0.02009814791381359,0.02009814791381359,0.02009814791381359,human
SRSF9,0.019962958991527557,0.019962958991527557,0.019962958991527557,0.019962958991527557,human
CCDC59,0.019931640475988388,0.019931640475988388,0.019931640475988388,0.019931640475988388,human
GZMA,0.019922295585274696,0.019922295585274696,0.019922295585274696,0.019922295585274696,human
ITK,0.01981475204229355,0.01981475204229355,0.01981475204229355,0.01981475204229355,human
CDC42SE2,0.019672304391860962,0.019672304391860962,0.019672304391860962,0.019672304391860962,human
ITGB2-AS1,0.019603466615080833,0.019603466615080833,0.019603466615080833,0.019603466615080833,human
CXorf40B,0.01959982141852379,0.01959982141852379,0.01959982141852379,0.01959982141852379,human
RNF138,0.019562870264053345,0.019562870264053345,0.019562870264053345,0.019562870264053345,human
TMEM243,0.019530557096004486,0.019530557096004486,0.019530557096004486,0.019530557096004486,human
RPL37A,0.019483814015984535,0.019483814015984535,0.019483814015984535,0.019483814015984535,human
RPS16,0.01941325142979622,0.01941325142979622,0.01941325142979622,0.01941325142979622,human
BOLA3,0.01934800297021866,0.01934800297021866,0.01934800297021866,0.01934800297021866,human
NCK2,0.019295845180749893,0.019295845180749893,0.019295845180749893,0.019295845180749893,human
CDR2,0.019248932600021362,0.019248932600021362,0.019248932600021362,0.019248932600021362,human
GNG10,0.019229449331760406,0.019229449331760406,0.019229449331760406,0.019229449331760406,human
OST4,0.019145457074046135,0.019145457074046135,0.019145457074046135,0.019145457074046135,human
RASGRP1,0.019131995737552643,0.019131995737552643,0.019131995737552643,0.019131995737552643,human
P2RX5,0.01909896358847618,0.01909896358847618,0.01909896358847618,0.01909896358847618,human
TUBB2A,0.019010255113244057,0.019010255113244057,0.019010255113244057,0.019010255113244057,human
LINC01002,0.019003620371222496,0.019003620371222496,0.019003620371222496,0.019003620371222496,human
ZNF266,0.01899051107466221,0.01899051107466221,0.01899051107466221,0.01899051107466221,human
HMHA1,0.01885583996772766,0.01885583996772766,0.01885583996772766,0.01885583996772766,human
RPL5,0.018829189240932465,0.018829189240932465,0.018829189240932465,0.018829189240932465,human
LOC100287628,0.018764423206448555,0.018764423206448555,0.018764423206448555,0.018764423206448555,human
PPIB,0.01865696907043457,0.01865696907043457,0.01865696907043457,0.01865696907043457,human
RPS17,0.01858002133667469,0.01858002133667469,0.01858002133667469,0.01858002133667469,human
DDX39B,0.018396984785795212,0.018396984785795212,0.018396984785795212,0.018396984785795212,human
GNG5,0.01822507195174694,0.01822507195174694,0.01822507195174694,0.01822507195174694,human
