gene_symbol,logfc_dz:175,mean_logfc,median_logfc,common_experiment,organism,signature_type
SERPINA3,0.1368557959794998,0.1368557959794998,0.1368557959794998,0.1368557959794998,human,UP
TIMP1,0.1201159730553627,0.1201159730553627,0.1201159730553627,0.1201159730553627,human,UP
CD74,0.1154079660773277,0.1154079660773277,0.1154079660773277,0.1154079660773277,human,UP
HLA-DRB1,0.1128648519515991,0.1128648519515991,0.1128648519515991,0.1128648519515991,human,UP
HLA-DRA,0.0957117974758148,0.0957117974758148,0.0957117974758148,0.0957117974758148,human,UP
MT2A,0.0845652148127555,0.0845652148127555,0.0845652148127555,0.0845652148127555,human,UP
HLA-B,0.0720609202980995,0.0720609202980995,0.0720609202980995,0.0720609202980995,human,UP
IFITM3,0.0664802342653274,0.0664802342653274,0.0664802342653274,0.0664802342653274,human,UP
IFI30,0.0643106624484062,0.0643106624484062,0.0643106624484062,0.0643106624484062,human,UP
FTL,0.0606224425137043,0.0606224425137043,0.0606224425137043,0.0606224425137043,human,UP
IFITM2,0.0592015124857425,0.0592015124857425,0.0592015124857425,0.0592015124857425,human,UP
HLA-A,0.0560727044939994,0.0560727044939994,0.0560727044939994,0.0560727044939994,human,UP
MT1H,0.0531770028173923,0.0531770028173923,0.0531770028173923,0.0531770028173923,human,UP
HLA-C,0.0524090826511383,0.0524090826511383,0.0524090826511383,0.0524090826511383,human,UP
IFITM1,0.0516361556947231,0.0516361556947231,0.0516361556947231,0.0516361556947231,human,UP
MT1X,0.04811417683959,0.04811417683959,0.04811417683959,0.04811417683959,human,UP
SRGN,0.0450884141027927,0.0450884141027927,0.0450884141027927,0.0450884141027927,human,UP
CXCL12,0.044341817498207,0.044341817498207,0.044341817498207,0.044341817498207,human,UP
RPS4Y1,0.0437527522444725,0.0437527522444725,0.0437527522444725,0.0437527522444725,human,UP
CHI3L2,0.0424000583589077,0.0424000583589077,0.0424000583589077,0.0424000583589077,human,UP
C1S,0.0413726642727851,0.0413726642727851,0.0413726642727851,0.0413726642727851,human,UP
HLA-G,0.0404255352914333,0.0404255352914333,0.0404255352914333,0.0404255352914333,human,UP
CXCL14,0.0400867760181427,0.0400867760181427,0.0400867760181427,0.0400867760181427,human,UP
THBS4,0.039787158370018,0.039787158370018,0.039787158370018,0.039787158370018,human,UP
B2M,0.0397677421569824,0.0397677421569824,0.0397677421569824,0.0397677421569824,human,UP
IGFBP4,0.0395056046545505,0.0395056046545505,0.0395056046545505,0.0395056046545505,human,UP
LAPTM5,0.0375800505280494,0.0375800505280494,0.0375800505280494,0.0375800505280494,human,UP
HLA-DPA1,0.0364517867565155,0.0364517867565155,0.0364517867565155,0.0364517867565155,human,UP
C1R,0.0362474210560321,0.0362474210560321,0.0362474210560321,0.0362474210560321,human,UP
HBA2,0.0359815210103988,0.0359815210103988,0.0359815210103988,0.0359815210103988,human,UP
C1QA,0.0359594598412513,0.0359594598412513,0.0359594598412513,0.0359594598412513,human,UP
HLA-DQA2,0.0354556888341903,0.0354556888341903,0.0354556888341903,0.0354556888341903,human,UP
HLA-DPB1,0.0353334322571754,0.0353334322571754,0.0353334322571754,0.0353334322571754,human,UP
SERPINF1,0.0343817844986915,0.0343817844986915,0.0343817844986915,0.0343817844986915,human,UP
GPX3,0.0330275930464267,0.0330275930464267,0.0330275930464267,0.0330275930464267,human,UP
CEBPB,0.0327577367424964,0.0327577367424964,0.0327577367424964,0.0327577367424964,human,UP
TYROBP,0.031844925135374,0.031844925135374,0.031844925135374,0.031844925135374,human,UP
SAT1,0.0313766002655029,0.0313766002655029,0.0313766002655029,0.0313766002655029,human,UP
RPLP0,0.0313256084918975,0.0313256084918975,0.0313256084918975,0.0313256084918975,human,UP
TMSB10,0.0304474961012601,0.0304474961012601,0.0304474961012601,0.0304474961012601,human,UP
CFL1,0.0302888974547386,0.0302888974547386,0.0302888974547386,0.0302888974547386,human,UP
ATP1B3,0.029974652454257,0.029974652454257,0.029974652454257,0.029974652454257,human,UP
SERPING1,0.0296484921127557,0.0296484921127557,0.0296484921127557,0.0296484921127557,human,UP
MT1F,0.0296354237943887,0.0296354237943887,0.0296354237943887,0.0296354237943887,human,UP
C1QB,0.0295462124049663,0.0295462124049663,0.0295462124049663,0.0295462124049663,human,UP
CTSB,0.0281439814716577,0.0281439814716577,0.0281439814716577,0.0281439814716577,human,UP
HBB,0.0275912284851074,0.0275912284851074,0.0275912284851074,0.0275912284851074,human,UP
CYBA,0.0274500008672475,0.0274500008672475,0.0274500008672475,0.0274500008672475,human,UP
CD14,0.0259558837860822,0.0259558837860822,0.0259558837860822,0.0259558837860822,human,UP
MT1E,0.0259144734591245,0.0259144734591245,0.0259144734591245,0.0259144734591245,human,UP
SSR4,0.0254477281123399,0.0254477281123399,0.0254477281123399,0.0254477281123399,human,UP
LDHA,0.0251948256045579,0.0251948256045579,0.0251948256045579,0.0251948256045579,human,UP
XBP1,0.0248267874121665,0.0248267874121665,0.0248267874121665,0.0248267874121665,human,UP
CXCL8,0.0248263534158468,0.0248263534158468,0.0248263534158468,0.0248263534158468,human,UP
MAST1,0.024751404300332,0.024751404300332,0.024751404300332,0.024751404300332,human,UP
CXCL13,0.024677250534296,0.024677250534296,0.024677250534296,0.024677250534296,human,UP
CST3,0.0242552384734153,0.0242552384734153,0.0242552384734153,0.0242552384734153,human,UP
NPC2,0.0241545401513576,0.0241545401513576,0.0241545401513576,0.0241545401513576,human,UP
FCER1G,0.0235126800835132,0.0235126800835132,0.0235126800835132,0.0235126800835132,human,UP
HLA-E,0.0233385171741247,0.0233385171741247,0.0233385171741247,0.0233385171741247,human,UP
ITGB2,0.0232940539717674,0.0232940539717674,0.0232940539717674,0.0232940539717674,human,UP
IER3,0.0232084393501281,0.0232084393501281,0.0232084393501281,0.0232084393501281,human,UP
RGS2,0.023154841735959,0.023154841735959,0.023154841735959,0.023154841735959,human,UP
OLFML3,0.0231306999921798,0.0231306999921798,0.0231306999921798,0.0231306999921798,human,UP
MMP9,0.0228112004697322,0.0228112004697322,0.0228112004697322,0.0228112004697322,human,UP
PSAP,0.0227513555437326,0.0227513555437326,0.0227513555437326,0.0227513555437326,human,UP
F13A1,0.0223624613136053,0.0223624613136053,0.0223624613136053,0.0223624613136053,human,UP
G0S2,0.0220703426748514,0.0220703426748514,0.0220703426748514,0.0220703426748514,human,UP
IBSP,0.0215987246483564,0.0215987246483564,0.0215987246483564,0.0215987246483564,human,UP
IFI27,0.0215634759515523,0.0215634759515523,0.0215634759515523,0.0215634759515523,human,UP
ID1,0.0215418860316276,0.0215418860316276,0.0215418860316276,0.0215418860316276,human,UP
C3,0.0214127767831087,0.0214127767831087,0.0214127767831087,0.0214127767831087,human,UP
PSMA6,0.0208119451999664,0.0208119451999664,0.0208119451999664,0.0208119451999664,human,UP
ISG15,0.0206537675112485,0.0206537675112485,0.0206537675112485,0.0206537675112485,human,UP
DSPP,-0.1191939562559127,-0.1191939562559127,-0.1191939562559127,-0.1191939562559127,human,DOWN
COL1A2,-0.0663128644227981,-0.0663128644227981,-0.0663128644227981,-0.0663128644227981,human,DOWN
NES,-0.0562703721225261,-0.0562703721225261,-0.0562703721225261,-0.0562703721225261,human,DOWN
CRABP1,-0.0548445023596286,-0.0548445023596286,-0.0548445023596286,-0.0548445023596286,human,DOWN
XIST,-0.0514824092388153,-0.0514824092388153,-0.0514824092388153,-0.0514824092388153,human,DOWN
SLIT2,-0.0492944158613681,-0.0492944158613681,-0.0492944158613681,-0.0492944158613681,human,DOWN
RPS4X,-0.046962559223175,-0.046962559223175,-0.046962559223175,-0.046962559223175,human,DOWN
PDGFD,-0.0400454550981521,-0.0400454550981521,-0.0400454550981521,-0.0400454550981521,human,DOWN
CLU,-0.0397518053650856,-0.0397518053650856,-0.0397518053650856,-0.0397518053650856,human,DOWN
FXYD6,-0.0355468578636646,-0.0355468578636646,-0.0355468578636646,-0.0355468578636646,human,DOWN
BAMBI,-0.0340344533324241,-0.0340344533324241,-0.0340344533324241,-0.0340344533324241,human,DOWN
AKAP12,-0.0334837101399898,-0.0334837101399898,-0.0334837101399898,-0.0334837101399898,human,DOWN
VIM,-0.033014178276062,-0.033014178276062,-0.033014178276062,-0.033014178276062,human,DOWN
KIT,-0.0320767685770988,-0.0320767685770988,-0.0320767685770988,-0.0320767685770988,human,DOWN
MSX1,-0.0294825974851846,-0.0294825974851846,-0.0294825974851846,-0.0294825974851846,human,DOWN
CCK,-0.0289098769426345,-0.0289098769426345,-0.0289098769426345,-0.0289098769426345,human,DOWN
COL21A1,-0.0280657690018415,-0.0280657690018415,-0.0280657690018415,-0.0280657690018415,human,DOWN
HMGN3,-0.0272555295377969,-0.0272555295377969,-0.0272555295377969,-0.0272555295377969,human,DOWN
PTPRK,-0.0266553778201341,-0.0266553778201341,-0.0266553778201341,-0.0266553778201341,human,DOWN
MDK,-0.0258078631013631,-0.0258078631013631,-0.0258078631013631,-0.0258078631013631,human,DOWN
ITM2C,-0.0256128776818513,-0.0256128776818513,-0.0256128776818513,-0.0256128776818513,human,DOWN
A2M,-0.0252105928957462,-0.0252105928957462,-0.0252105928957462,-0.0252105928957462,human,DOWN
RPL30,-0.0250454191118478,-0.0250454191118478,-0.0250454191118478,-0.0250454191118478,human,DOWN
COCH,-0.0243259761482477,-0.0243259761482477,-0.0243259761482477,-0.0243259761482477,human,DOWN
ADIRF,-0.0238907560706138,-0.0238907560706138,-0.0238907560706138,-0.0238907560706138,human,DOWN
S100A13,-0.0234609823673963,-0.0234609823673963,-0.0234609823673963,-0.0234609823673963,human,DOWN
MXRA5,-0.0233443137258291,-0.0233443137258291,-0.0233443137258291,-0.0233443137258291,human,DOWN
SCARA3,-0.0226988289505243,-0.0226988289505243,-0.0226988289505243,-0.0226988289505243,human,DOWN
UNC5B,-0.0225710868835449,-0.0225710868835449,-0.0225710868835449,-0.0225710868835449,human,DOWN
WIF1,-0.0219943393021821,-0.0219943393021821,-0.0219943393021821,-0.0219943393021821,human,DOWN
DBI,-0.0212637297809124,-0.0212637297809124,-0.0212637297809124,-0.0212637297809124,human,DOWN
C4orf46,-0.0211695004254579,-0.0211695004254579,-0.0211695004254579,-0.0211695004254579,human,DOWN
