gene_symbol,logfc_dz:494,logfc_dz:1060,logfc_dz:1063,logfc_dz:277,logfc_dz:1061,logfc_dz:310,logfc_dz:1062,mean_logfc,median_logfc,common_experiment,organism,signature_type
PTGDS,,,,0.1697995513677597,,,,0.1697995513677597,0.1697995513677597,,human,UP
FAM107A,,,,0.1618460267782211,,,,0.1618460267782211,0.1618460267782211,,human,UP
CST1,,,,,0.1555652767419815,,,0.1555652767419815,0.1555652767419815,,human,UP
HBD,,,,,,,0.1459378451108932,0.1459378451108932,0.1459378451108932,,human,UP
BGN,,0.1178209632635116,,,,,,0.1178209632635116,0.1178209632635116,0.1178209632635116,human,UP
OXTR,,0.1055632457137107,,,,,,0.1055632457137107,0.1055632457137107,0.1055632457137107,human,UP
ANGPTL7,,,,,,0.10541433095932,,0.10541433095932,0.10541433095932,,human,UP
MMP7,,,,,,0.1041915640234947,,0.1041915640234947,0.1041915640234947,,human,UP
COLEC12,,0.1022859588265419,,,,,,0.1022859588265419,0.1022859588265419,0.1022859588265419,human,UP
ZFAND5,,0.1004561185836792,,,,,,0.1004561185836792,0.1004561185836792,0.1004561185836792,human,UP
TCL1A,,,0.0995514020323753,,,,,0.0995514020323753,0.0995514020323753,,human,UP
S100A4,,0.2459586262702942,0.1011727824807167,,0.0165099799633026,,0.0275806300342082,0.0978055046871304,0.0643767062574625,0.2459586262702942,human,UP
IGFBP3,,0.0969429761171341,,,,,,0.0969429761171341,0.0969429761171341,0.0969429761171341,human,UP
CITED2,,0.1381502002477646,,,0.0489052534103393,,,0.0935277268290519,0.0935277268290519,0.1381502002477646,human,UP
VPREB1,,,0.090916208922863,,,,,0.090916208922863,0.090916208922863,,human,UP
HKDC1,,,,,,0.0901650339365005,,0.0901650339365005,0.0901650339365005,,human,UP
PAM,,0.0898544713854789,,,,,,0.0898544713854789,0.0898544713854789,0.0898544713854789,human,UP
QDPR,,,,0.0885113701224327,,,,0.0885113701224327,0.0885113701224327,,human,UP
APOD,,0.0498094707727432,,0.1211736053228378,,,,0.0854915380477905,0.0854915380477905,0.0498094707727432,human,UP
PCDHGA1,,,,0.0852490812540054,,,,0.0852490812540054,0.0852490812540054,,human,UP
KCNJ15,,,,,,0.0833772048354148,,0.0833772048354148,0.0833772048354148,,human,UP
GYPA,,,,,,,0.0816753804683685,0.0816753804683685,0.0816753804683685,,human,UP
S100A6,-0.0184210371226072,0.0781671330332756,,0.0160006787627935,0.2480555325746536,,,0.0809505768120288,0.0470839058980345,0.0781671330332756,human,UP
FHL1,,0.0743763372302055,,,,,,0.0743763372302055,0.0743763372302055,0.0743763372302055,human,UP
PSMA5,,0.0743293091654777,,,,,,0.0743293091654777,0.0743293091654777,0.0743293091654777,human,UP
SLC1A3,,,,0.0736046358942985,,,,0.0736046358942985,0.0736046358942985,,human,UP
CCL2,,0.0703767761588096,,,,,,0.0703767761588096,0.0703767761588096,0.0703767761588096,human,UP
MXRA5,,0.0701058581471443,,,,,,0.0701058581471443,0.0701058581471443,0.0701058581471443,human,UP
MT1E,,,,0.1667461991310119,,-0.0288778617978096,,0.0689341686666011,0.0689341686666011,,human,UP
VIM,,,,0.1110168546438217,0.0267521478235721,,,0.0688845012336969,0.0688845012336969,,human,UP
ANXA1,,0.0851120054721832,,,,,0.0490503534674644,0.0670811794698238,0.0670811794698238,0.0851120054721832,human,UP
EFHD1,,0.1194277331233024,,0.0144676081836223,,,,0.0669476706534624,0.0669476706534624,0.1194277331233024,human,UP
LUM,,0.0662358999252319,,,,,,0.0662358999252319,0.0662358999252319,0.0662358999252319,human,UP
SOD1,,0.0794627219438552,0.0593077689409256,0.0978035777807235,0.0149542251601815,,0.0794821381568908,0.0662020863965153,0.0794627219438552,0.0794627219438552,human,UP
COL1A2,,0.0653058663010597,,,,,,0.0653058663010597,0.0653058663010597,0.0653058663010597,human,UP
CEMIP,,0.0635158941149711,,,,,,0.0635158941149711,0.0635158941149711,0.0635158941149711,human,UP
CKAP4,,0.0632573589682579,,,,,,0.0632573589682579,0.0632573589682579,0.0632573589682579,human,UP
COBLL1,,0.0629390627145767,,,,,,0.0629390627145767,0.0629390627145767,0.0629390627145767,human,UP
CSTB,,0.0689215809106826,,0.0709658116102218,0.0525932312011718,,0.0587045475840568,0.0627962928265333,0.0638130642473697,0.0689215809106826,human,UP
COL6A1,,0.0627385526895523,,,,,,0.0627385526895523,0.0627385526895523,0.0627385526895523,human,UP
CST3,,0.0793272703886032,,0.0735488757491111,0.0317493751645088,,,0.0615418404340744,0.0735488757491111,0.0793272703886032,human,UP
CDH2,,0.1679373085498809,,,0.0309498440474271,-0.01448530331254,,0.0614672830949227,0.0309498440474271,0.1679373085498809,human,UP
GAL,,,,,0.060845598578453,,,0.060845598578453,0.060845598578453,,human,UP
CCND1,,0.1346042305231094,,,,-0.0136570045724511,,0.0604736129753291,0.0604736129753291,0.1346042305231094,human,UP
MT1H,,,,0.1375637650489807,,-0.0168859008699655,,0.0603389320895075,0.0603389320895075,,human,UP
LY6E,,0.059796817600727,,,,,,0.059796817600727,0.059796817600727,0.059796817600727,human,UP
