gene_symbol,logfc_dz:856,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS4Y1,0.2641603946685791,0.2641603946685791,0.2641603946685791,0.2641603946685791,human,UP
HBD,0.1524186730384826,0.1524186730384826,0.1524186730384826,0.1524186730384826,human,UP
ZFP36,0.1332688480615615,0.1332688480615615,0.1332688480615615,0.1332688480615615,human,UP
NFKBIA,0.1273790001869201,0.1273790001869201,0.1273790001869201,0.1273790001869201,human,UP
RPS25,0.120412603020668,0.120412603020668,0.120412603020668,0.120412603020668,human,UP
CXCR4,0.1181387603282928,0.1181387603282928,0.1181387603282928,0.1181387603282928,human,UP
RPL21,0.1112324967980384,0.1112324967980384,0.1112324967980384,0.1112324967980384,human,UP
NCOA4,0.110943004488945,0.110943004488945,0.110943004488945,0.110943004488945,human,UP
DCAF6,0.1084209010004997,0.1084209010004997,0.1084209010004997,0.1084209010004997,human,UP
RPL9,0.099610149860382,0.099610149860382,0.099610149860382,0.099610149860382,human,UP
IER3,0.0936823263764381,0.0936823263764381,0.0936823263764381,0.0936823263764381,human,UP
GLRX5,0.0919552370905876,0.0919552370905876,0.0919552370905876,0.0919552370905876,human,UP
RPL30,0.0899541229009628,0.0899541229009628,0.0899541229009628,0.0899541229009628,human,UP
RPL27,0.0888404622673988,0.0888404622673988,0.0888404622673988,0.0888404622673988,human,UP
IER2,0.0874104797840118,0.0874104797840118,0.0874104797840118,0.0874104797840118,human,UP
F13A1,0.0821090117096901,0.0821090117096901,0.0821090117096901,0.0821090117096901,human,UP
MXI1,0.0779144242405891,0.0779144242405891,0.0779144242405891,0.0779144242405891,human,UP
HSPA1A,0.0761341303586959,0.0761341303586959,0.0761341303586959,0.0761341303586959,human,UP
CD69,0.0722610652446746,0.0722610652446746,0.0722610652446746,0.0722610652446746,human,UP
BNIP3L,0.0713387429714202,0.0713387429714202,0.0713387429714202,0.0713387429714202,human,UP
FOS,0.0704214572906494,0.0704214572906494,0.0704214572906494,0.0704214572906494,human,UP
RPL36A,0.0698905363678932,0.0698905363678932,0.0698905363678932,0.0698905363678932,human,UP
