gene_symbol,logfc_dz:325,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS18,0.1989352703094482,0.1989352703094482,0.1989352703094482,0.1989352703094482,human,UP
RPL30,0.1794794350862503,0.1794794350862503,0.1794794350862503,0.1794794350862503,human,UP
DCAF6,0.1768564134836197,0.1768564134836197,0.1768564134836197,0.1768564134836197,human,UP
RPL9,0.1584870517253875,0.1584870517253875,0.1584870517253875,0.1584870517253875,human,UP
DLK1,0.1394924074411392,0.1394924074411392,0.1394924074411392,0.1394924074411392,human,UP
RPS7,0.1353315711021423,0.1353315711021423,0.1353315711021423,0.1353315711021423,human,UP
RPL12,0.1341458112001419,0.1341458112001419,0.1341458112001419,0.1341458112001419,human,UP
RPL13A,0.1315054446458816,0.1315054446458816,0.1315054446458816,0.1315054446458816,human,UP
RPL32,0.1300850957632064,0.1300850957632064,0.1300850957632064,0.1300850957632064,human,UP
RPS20,0.1244776248931884,0.1244776248931884,0.1244776248931884,0.1244776248931884,human,UP
TPT1,0.1183114200830459,0.1183114200830459,0.1183114200830459,0.1183114200830459,human,UP
RPL3,0.1149660572409629,0.1149660572409629,0.1149660572409629,0.1149660572409629,human,UP
RPL36A,0.1111555472016334,0.1111555472016334,0.1111555472016334,0.1111555472016334,human,UP
RPS10,0.1110640093684196,0.1110640093684196,0.1110640093684196,0.1110640093684196,human,UP
RPL4,0.1062671691179275,0.1062671691179275,0.1062671691179275,0.1062671691179275,human,UP
RPLP0,0.1053732931613922,0.1053732931613922,0.1053732931613922,0.1053732931613922,human,UP
YBX1,0.1040989905595779,0.1040989905595779,0.1040989905595779,0.1040989905595779,human,UP
TUBA1A,0.1039724573493003,0.1039724573493003,0.1039724573493003,0.1039724573493003,human,UP
RPS3,0.1027685552835464,0.1027685552835464,0.1027685552835464,0.1027685552835464,human,UP
RPL8,0.1016373932361602,0.1016373932361602,0.1016373932361602,0.1016373932361602,human,UP
RPS13,0.1003024280071258,0.1003024280071258,0.1003024280071258,0.1003024280071258,human,UP
GAPDH,0.0977670028805732,0.0977670028805732,0.0977670028805732,0.0977670028805732,human,UP
SNRPD2,0.0972546562552452,0.0972546562552452,0.0972546562552452,0.0972546562552452,human,UP
RPL41,0.095674380660057,0.095674380660057,0.095674380660057,0.095674380660057,human,UP
RPL27,0.0885472223162651,0.0885472223162651,0.0885472223162651,0.0885472223162651,human,UP
HSPA8,0.088283859193325,0.088283859193325,0.088283859193325,0.088283859193325,human,UP
RPL35,0.0877993702888488,0.0877993702888488,0.0877993702888488,0.0877993702888488,human,UP
RPL24,0.0863601490855217,0.0863601490855217,0.0863601490855217,0.0863601490855217,human,UP
TMSB10,0.0829164758324623,0.0829164758324623,0.0829164758324623,0.0829164758324623,human,UP
RPS5,0.0824693962931633,0.0824693962931633,0.0824693962931633,0.0824693962931633,human,UP
SLC25A6,0.0816996470093727,0.0816996470093727,0.0816996470093727,0.0816996470093727,human,UP
PABPC3,0.0807080417871475,0.0807080417871475,0.0807080417871475,0.0807080417871475,human,UP
RPL19,0.0791873335838317,0.0791873335838317,0.0791873335838317,0.0791873335838317,human,UP
EEF2,0.0791002735495567,0.0791002735495567,0.0791002735495567,0.0791002735495567,human,UP
RPL39,0.0773970186710357,0.0773970186710357,0.0773970186710357,0.0773970186710357,human,UP
UQCRH,0.0771112293004989,0.0771112293004989,0.0771112293004989,0.0771112293004989,human,UP
RPS3A,0.0768654569983482,0.0768654569983482,0.0768654569983482,0.0768654569983482,human,UP
UBA52,0.07612344622612,0.07612344622612,0.07612344622612,0.07612344622612,human,UP
RPL11,0.0756082683801651,0.0756082683801651,0.0756082683801651,0.0756082683801651,human,UP
CHGA,0.0747214332222938,0.0747214332222938,0.0747214332222938,0.0747214332222938,human,UP
RPL23A,0.0732433497905731,0.0732433497905731,0.0732433497905731,0.0732433497905731,human,UP
