gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
DLK1,,,,,,0.1468314677476883,0.2421857714653015,,,,,,,,,,0.1945086196064949,0.1945086196064949,,human,UP
PEG10,,,,,,0.3120699822902679,0.3285654783248901,0.0148939378559589,,,,,0.023593908175826,,,,0.1697808266617357,0.167831945233047,,human,UP
FBLN5,,,,,,0.0726799294352531,0.1980224549770355,,,,,,,,,,0.1353511922061443,0.1353511922061443,,human,UP
BCKDHB,,,,,,0.1114585995674133,0.1589780151844024,,,,,,,,,,0.1352183073759079,0.1352183073759079,,human,UP
GPR19,,0.0980655029416084,,,,,,,0.090408369898796,,,,,,,,0.0942369364202022,0.0942369364202022,,human,UP
SELL,,,,,,,,,,,,,,,0.0920187830924987,,0.0920187830924987,0.0920187830924987,,human,UP
XIST,0.0651693046092987,,,,,,,,0.1188464537262916,,,,,,,,0.0920078791677951,0.0920078791677951,0.0651693046092987,human,UP
VCAN,,,0.0837704986333847,,,,0.0909952372312545,,,,,,,,,,0.0873828679323196,0.0873828679323196,,human,UP
MT1E,,,,0.0465428978204727,0.0348421707749366,,,,,,,0.1515066027641296,0.0897741839289665,,,,0.0806664638221263,0.0681585408747196,,human,UP
TIMP2,,,,,,,0.0798065736889839,,,,,,,,,,0.0798065736889839,0.0798065736889839,,human,UP
CP,,,,,,0.0745392218232154,,,,,,,,,,,0.0745392218232154,0.0745392218232154,,human,UP
DAPP1,,,,,,,,,,,,,,0.0744258016347885,,,0.0744258016347885,0.0744258016347885,,human,UP
COL1A2,,,,,,0.0677842646837234,0.0744879320263862,,,,,,,,,,0.0711360983550548,0.0711360983550548,,human,UP
HBA2,,,0.100831925868988,-0.1769235432147979,0.0657862797379493,,,0.2281142771244049,,,,0.1102646365761756,,,0.1825425177812576,-0.0256368834525346,0.0692827443459204,0.100831925868988,,human,UP
