gene_symbol,logfc_dz:92,logfc_dz:197,mean_logfc,median_logfc,common_experiment,organism,signature_type
TMSB4X,,0.3458395302295685,0.3458395302295685,0.3458395302295685,0.3458395302295685,human,UP
FOS,,0.2225877046585083,0.2225877046585083,0.2225877046585083,0.2225877046585083,human,UP
PPBP,,0.1932676136493683,0.1932676136493683,0.1932676136493683,0.1932676136493683,human,UP
HSPA8,0.1691321283578872,,0.1691321283578872,0.1691321283578872,,human,UP
DUSP1,,0.1489937901496887,0.1489937901496887,0.1489937901496887,0.1489937901496887,human,UP
RPL41,,0.1202067136764526,0.1202067136764526,0.1202067136764526,0.1202067136764526,human,UP
OAZ1,0.0496594384312629,0.1817888170480728,0.1157241277396678,0.1157241277396678,0.1817888170480728,human,UP
CD1D,0.114243596792221,,0.114243596792221,0.114243596792221,,human,UP
PRDX1,0.0952571183443069,,0.0952571183443069,0.0952571183443069,,human,UP
TXNIP,,0.0923835635185241,0.0923835635185241,0.0923835635185241,0.0923835635185241,human,UP
NME1,0.0911479219794273,,0.0911479219794273,0.0911479219794273,,human,UP
HSP90AA1,0.1637966185808181,0.0184368975460529,0.0911167580634355,0.0911167580634355,0.0184368975460529,human,UP
RAN,0.0881513431668281,,0.0881513431668281,0.0881513431668281,,human,UP
GNG11,,0.0809808894991874,0.0809808894991874,0.0809808894991874,0.0809808894991874,human,UP
HSPH1,0.0809707269072532,,0.0809707269072532,0.0809707269072532,,human,UP
HSPE1,0.1325708627700805,0.0285921655595302,0.0805815141648054,0.0805815141648054,0.0285921655595302,human,UP
AHSA1,0.0776719078421592,,0.0776719078421592,0.0776719078421592,,human,UP
ERH,0.0768195912241935,,0.0768195912241935,0.0768195912241935,,human,UP
PTGES3,0.0755125358700752,,0.0755125358700752,0.0755125358700752,,human,UP
TMSB15A,0.0752924084663391,,0.0752924084663391,0.0752924084663391,,human,UP
PF4,,0.0744403302669525,0.0744403302669525,0.0744403302669525,0.0744403302669525,human,UP
DNAJA1,0.1324137151241302,0.0110256718471646,0.0717196934856474,0.0717196934856474,0.0110256718471646,human,UP
JTB,0.0713550969958305,,0.0713550969958305,0.0713550969958305,,human,UP
RPL10,0.0712760090827941,,0.0712760090827941,0.0712760090827941,,human,UP
CCT6A,0.0708454847335815,,0.0708454847335815,0.0708454847335815,,human,UP
CD9,,0.0686049312353134,0.0686049312353134,0.0686049312353134,0.0686049312353134,human,UP
KLF6,,0.0666878148913383,0.0666878148913383,0.0666878148913383,0.0666878148913383,human,UP
TMA7,0.0653764903545379,,0.0653764903545379,0.0653764903545379,,human,UP
HSP90AB1,0.0937507897615432,0.0358937345445156,0.0648222621530294,0.0648222621530294,0.0358937345445156,human,UP
ITM2A,0.0644450411200523,,0.0644450411200523,0.0644450411200523,,human,UP
ODC1,0.142600268125534,-0.0157465897500515,0.0634268391877412,0.0634268391877412,-0.0157465897500515,human,UP
SLIRP,0.0632748827338218,,0.0632748827338218,0.0632748827338218,,human,UP
FABP5,0.0629046186804771,,0.0629046186804771,0.0629046186804771,,human,UP
DDX17,,0.0627702251076698,0.0627702251076698,0.0627702251076698,0.0627702251076698,human,UP
SRSF6,0.0620847530663013,,0.0620847530663013,0.0620847530663013,,human,UP
ISG15,0.0782498568296432,0.0430375523865222,0.0606437046080827,0.0606437046080827,0.0430375523865222,human,UP
DYNLL1,0.0902614295482635,0.0307704973965883,0.0605159634724259,0.0605159634724259,0.0307704973965883,human,UP
SRSF2,0.0600452497601509,,0.0600452497601509,0.0600452497601509,,human,UP
IFITM2,,0.059407003223896,0.059407003223896,0.059407003223896,0.059407003223896,human,UP
NEK7,0.0592805035412311,,0.0592805035412311,0.0592805035412311,,human,UP
BZW1,0.0561956316232681,,0.0561956316232681,0.0561956316232681,,human,UP
MARCKSL1,0.0560387857258319,,0.0560387857258319,0.0560387857258319,,human,UP
HNRNPA2B1,,0.0551514327526092,0.0551514327526092,0.0551514327526092,0.0551514327526092,human,UP
ZFP36,,0.0541409142315387,0.0541409142315387,0.0541409142315387,0.0541409142315387,human,UP
UBC,0.0529517196118831,,0.0529517196118831,0.0529517196118831,,human,UP
PSMA6,0.0526439845561981,,0.0526439845561981,0.0526439845561981,,human,UP
CCT3,0.0953406691551208,0.0088004041463136,0.0520705366507172,0.0520705366507172,0.0088004041463136,human,UP
ZNF91,,0.0518400408327579,0.0518400408327579,0.0518400408327579,0.0518400408327579,human,UP
IL23A,,0.0517028197646141,0.0517028197646141,0.0517028197646141,0.0517028197646141,human,UP
C1QBP,0.0508939251303672,,0.0508939251303672,0.0508939251303672,,human,UP
TSC22D3,,0.0508110374212265,0.0508110374212265,0.0508110374212265,0.0508110374212265,human,UP
NMI,0.0504875443875789,,0.0504875443875789,0.0504875443875789,,human,UP
TSPAN7,0.0501037128269672,,0.0501037128269672,0.0501037128269672,,human,UP
PSAT1,0.0500163361430168,,0.0500163361430168,0.0500163361430168,,human,UP
IFI44,,0.0496278032660484,0.0496278032660484,0.0496278032660484,0.0496278032660484,human,UP
PCBP1,,0.049495842307806,0.049495842307806,0.049495842307806,0.049495842307806,human,UP
TNXB,,0.0490966811776161,0.0490966811776161,0.0490966811776161,0.0490966811776161,human,UP
CDK2AP1,0.0484120361506938,,0.0484120361506938,0.0484120361506938,,human,UP
PSMB9,0.0319088883697986,0.0646076053380966,0.0482582468539476,0.0482582468539476,0.0646076053380966,human,UP
CCT2,0.1050910055637359,-0.0085998885333538,0.048245558515191,0.048245558515191,-0.0085998885333538,human,UP
DHX15,0.0479575283825397,,0.0479575283825397,0.0479575283825397,,human,UP
RPS11,,0.0478643178939819,0.0478643178939819,0.0478643178939819,0.0478643178939819,human,UP
B2M,,0.0475379414856433,0.0475379414856433,0.0475379414856433,0.0475379414856433,human,UP
UBB,0.04679486900568,,0.04679486900568,0.04679486900568,,human,UP
SOD1,0.046368408948183,,0.046368408948183,0.046368408948183,,human,UP
NDUFAB1,0.0463149845600128,,0.0463149845600128,0.0463149845600128,,human,UP
SLC7A5,0.0457952208817005,,0.0457952208817005,0.0457952208817005,,human,UP
