gene_symbol,logfc_dz:953,mean_logfc,median_logfc,common_experiment,organism,signature_type
MAL,0.0900524109601974,0.0900524109601974,0.0900524109601974,0.0900524109601974,human,UP
OPHN1,0.088412806391716,0.088412806391716,0.088412806391716,0.088412806391716,human,UP
HYMAI,0.0840047001838684,0.0840047001838684,0.0840047001838684,0.0840047001838684,human,UP
SPCS1,0.0607609264552593,0.0607609264552593,0.0607609264552593,0.0607609264552593,human,UP
ADAM21,0.0592247508466243,0.0592247508466243,0.0592247508466243,0.0592247508466243,human,UP
ISL1,0.0557280555367469,0.0557280555367469,0.0557280555367469,0.0557280555367469,human,UP
ZNF695,0.0547047927975654,0.0547047927975654,0.0547047927975654,0.0547047927975654,human,UP
TSPYL4,0.0457574650645256,0.0457574650645256,0.0457574650645256,0.0457574650645256,human,UP
PRC1,0.0431079044938087,0.0431079044938087,0.0431079044938087,0.0431079044938087,human,UP
INPP1,0.0428780764341354,0.0428780764341354,0.0428780764341354,0.0428780764341354,human,UP
HS3ST3A1,0.0428184010088443,0.0428184010088443,0.0428184010088443,0.0428184010088443,human,UP
GPR18,0.0414536856114864,0.0414536856114864,0.0414536856114864,0.0414536856114864,human,UP
SRSF2,0.0388710238039493,0.0388710238039493,0.0388710238039493,0.0388710238039493,human,UP
SLC30A3,0.0387830100953578,0.0387830100953578,0.0387830100953578,0.0387830100953578,human,UP
EIF4G1,0.027801226824522,0.027801226824522,0.027801226824522,0.027801226824522,human,UP
SEC61B,0.0255927201360464,0.0255927201360464,0.0255927201360464,0.0255927201360464,human,UP
ZNF280B,0.0226156990975141,0.0226156990975141,0.0226156990975141,0.0226156990975141,human,UP
WIF1,0.0224647652357816,0.0224647652357816,0.0224647652357816,0.0224647652357816,human,UP
MAT2A,0.0223722290247678,0.0223722290247678,0.0223722290247678,0.0223722290247678,human,UP
IER3,0.0219619199633598,0.0219619199633598,0.0219619199633598,0.0219619199633598,human,UP
DAD1,0.0214170105755329,0.0214170105755329,0.0214170105755329,0.0214170105755329,human,UP
GP1BB,0.0209069345146417,0.0209069345146417,0.0209069345146417,0.0209069345146417,human,UP
RPS6KC1,0.0200320482254028,0.0200320482254028,0.0200320482254028,0.0200320482254028,human,UP
BAG5,0.0200167447328567,0.0200167447328567,0.0200167447328567,0.0200167447328567,human,UP
SEMG1,-0.2348192483186721,-0.2348192483186721,-0.2348192483186721,-0.2348192483186721,human,DOWN
TNP1,-0.1799610406160354,-0.1799610406160354,-0.1799610406160354,-0.1799610406160354,human,DOWN
RPS20,-0.1261111348867416,-0.1261111348867416,-0.1261111348867416,-0.1261111348867416,human,DOWN
SPANXC,-0.1157278940081596,-0.1157278940081596,-0.1157278940081596,-0.1157278940081596,human,DOWN
RPS10,-0.1025850102305412,-0.1025850102305412,-0.1025850102305412,-0.1025850102305412,human,DOWN
RPS25,-0.1010662615299224,-0.1010662615299224,-0.1010662615299224,-0.1010662615299224,human,DOWN
RPL9,-0.0991124734282493,-0.0991124734282493,-0.0991124734282493,-0.0991124734282493,human,DOWN
