gene_symbol,logfc_dz:1059,mean_logfc,median_logfc,common_experiment,organism,signature_type
RAB13,0.2247852683067321,0.2247852683067321,0.2247852683067321,0.2247852683067321,human,UP
ANP32B,0.1658192276954651,0.1658192276954651,0.1658192276954651,0.1658192276954651,human,UP
RPL9,0.1303680986166,0.1303680986166,0.1303680986166,0.1303680986166,human,UP
FAU,0.1184066236019134,0.1184066236019134,0.1184066236019134,0.1184066236019134,human,UP
RPL8,0.1182566359639167,0.1182566359639167,0.1182566359639167,0.1182566359639167,human,UP
KRT24,0.1017953753471374,0.1017953753471374,0.1017953753471374,0.1017953753471374,human,UP
RPL35,0.0997892841696739,0.0997892841696739,0.0997892841696739,0.0997892841696739,human,UP
EEF1G,0.0902734771370887,0.0902734771370887,0.0902734771370887,0.0902734771370887,human,UP
GABARAPL3,0.0892936140298843,0.0892936140298843,0.0892936140298843,0.0892936140298843,human,UP
RPL12,0.0871674865484237,0.0871674865484237,0.0871674865484237,0.0871674865484237,human,UP
RPS8,0.0857149735093116,0.0857149735093116,0.0857149735093116,0.0857149735093116,human,UP
HMGN1,0.0833327248692512,0.0833327248692512,0.0833327248692512,0.0833327248692512,human,UP
BZW2,0.0783988982439041,0.0783988982439041,0.0783988982439041,0.0783988982439041,human,UP
RPL36,0.0761318355798721,0.0761318355798721,0.0761318355798721,0.0761318355798721,human,UP
NEK7,0.0718564167618751,0.0718564167618751,0.0718564167618751,0.0718564167618751,human,UP
PPL,0.0690292418003082,0.0690292418003082,0.0690292418003082,0.0690292418003082,human,UP
KRT18,0.0686149671673774,0.0686149671673774,0.0686149671673774,0.0686149671673774,human,UP
RPL19,0.0634593665599823,0.0634593665599823,0.0634593665599823,0.0634593665599823,human,UP
RPL22,0.062492124736309,0.062492124736309,0.062492124736309,0.062492124736309,human,UP
RPS18,0.0620701536536216,0.0620701536536216,0.0620701536536216,0.0620701536536216,human,UP
KRT4,0.0620637498795986,0.0620637498795986,0.0620637498795986,0.0620637498795986,human,UP
NSA2,0.0612269230186939,0.0612269230186939,0.0612269230186939,0.0612269230186939,human,UP
RPL4,0.0595176145434379,0.0595176145434379,0.0595176145434379,0.0595176145434379,human,UP
PFN1,0.0585247278213501,0.0585247278213501,0.0585247278213501,0.0585247278213501,human,UP
RASSF3,0.0580081082880497,0.0580081082880497,0.0580081082880497,0.0580081082880497,human,UP
SUMO2,0.0575129687786102,0.0575129687786102,0.0575129687786102,0.0575129687786102,human,UP
ANXA2,0.0553921982645988,0.0553921982645988,0.0553921982645988,0.0553921982645988,human,UP
KRT13,0.0550657659769058,0.0550657659769058,0.0550657659769058,0.0550657659769058,human,UP
TCEAL4,0.0549783967435359,0.0549783967435359,0.0549783967435359,0.0549783967435359,human,UP
HNRNPA3,0.0541580952703952,0.0541580952703952,0.0541580952703952,0.0541580952703952,human,UP
NET1,0.0504910796880722,0.0504910796880722,0.0504910796880722,0.0504910796880722,human,UP
GAPDH,0.0497199743986129,0.0497199743986129,0.0497199743986129,0.0497199743986129,human,UP
EIF3E,0.0480081364512443,0.0480081364512443,0.0480081364512443,0.0480081364512443,human,UP
MMADHC,0.0474449507892131,0.0474449507892131,0.0474449507892131,0.0474449507892131,human,UP
UQCRH,0.0474088080227375,0.0474088080227375,0.0474088080227375,0.0474088080227375,human,UP
RPL6,0.0457621589303016,0.0457621589303016,0.0457621589303016,0.0457621589303016,human,UP
NAP1L1,0.0433215014636516,0.0433215014636516,0.0433215014636516,0.0433215014636516,human,UP
RPS12,0.0428337901830673,0.0428337901830673,0.0428337901830673,0.0428337901830673,human,UP
CRNN,0.0425270348787307,0.0425270348787307,0.0425270348787307,0.0425270348787307,human,UP
S100A8,0.0421570800244808,0.0421570800244808,0.0421570800244808,0.0421570800244808,human,UP
OPHN1,0.0412973761558532,0.0412973761558532,0.0412973761558532,0.0412973761558532,human,UP
EIF4B,0.0399001762270927,0.0399001762270927,0.0399001762270927,0.0399001762270927,human,UP
OXA1L,0.0397301018238067,0.0397301018238067,0.0397301018238067,0.0397301018238067,human,UP
LAPTM4A,0.0397043973207473,0.0397043973207473,0.0397043973207473,0.0397043973207473,human,UP
DCAF6,0.0386133715510368,0.0386133715510368,0.0386133715510368,0.0386133715510368,human,UP
RPS3,0.0364005379378795,0.0364005379378795,0.0364005379378795,0.0364005379378795,human,UP
RPS21,0.0362061150372028,0.0362061150372028,0.0362061150372028,0.0362061150372028,human,UP
SNAI2,0.0359601601958274,0.0359601601958274,0.0359601601958274,0.0359601601958274,human,UP
WSB2,0.0352970920503139,0.0352970920503139,0.0352970920503139,0.0352970920503139,human,UP
RPL3,0.0351526103913784,0.0351526103913784,0.0351526103913784,0.0351526103913784,human,UP
RPL32,0.0350486077368259,0.0350486077368259,0.0350486077368259,0.0350486077368259,human,UP
APEX1,0.0349063947796821,0.0349063947796821,0.0349063947796821,0.0349063947796821,human,UP
SDCBP,0.0348892211914062,0.0348892211914062,0.0348892211914062,0.0348892211914062,human,UP
RPL41,0.0339206531643867,0.0339206531643867,0.0339206531643867,0.0339206531643867,human,UP
