gene_symbol,logfc_dz:451,mean_logfc,median_logfc,common_experiment,organism,signature_type
BTAF1,0.0693072006106376,0.0693072006106376,0.0693072006106376,0.0693072006106376,human,UP
P2RY14,0.0679092332720756,0.0679092332720756,0.0679092332720756,0.0679092332720756,human,UP
ITIH4,0.0642176494002342,0.0642176494002342,0.0642176494002342,0.0642176494002342,human,UP
DROSHA,0.059555348008871,0.059555348008871,0.059555348008871,0.059555348008871,human,UP
APOD,0.051530584692955,0.051530584692955,0.051530584692955,0.051530584692955,human,UP
BTN3A2,0.0507961027324199,0.0507961027324199,0.0507961027324199,0.0507961027324199,human,UP
LMO2,0.0507651939988136,0.0507651939988136,0.0507651939988136,0.0507651939988136,human,UP
ZDHHC11,0.0489355400204658,0.0489355400204658,0.0489355400204658,0.0489355400204658,human,UP
GPR19,0.0484475083649158,0.0484475083649158,0.0484475083649158,0.0484475083649158,human,UP
LEP,0.0471680983901023,0.0471680983901023,0.0471680983901023,0.0471680983901023,human,UP
ARMCX6,0.0447687990963459,0.0447687990963459,0.0447687990963459,0.0447687990963459,human,UP
MAL,0.0434117801487445,0.0434117801487445,0.0434117801487445,0.0434117801487445,human,UP
PTTG1IP,0.0431718789041042,0.0431718789041042,0.0431718789041042,0.0431718789041042,human,UP
INHBE,0.0423562340438365,0.0423562340438365,0.0423562340438365,0.0423562340438365,human,UP
AGO3,0.041998017579317,0.041998017579317,0.041998017579317,0.041998017579317,human,UP
TGFB1I1,0.0415954068303108,0.0415954068303108,0.0415954068303108,0.0415954068303108,human,UP
YBX1,0.0414167866110801,0.0414167866110801,0.0414167866110801,0.0414167866110801,human,UP
ABCG2,0.0397452898323535,0.0397452898323535,0.0397452898323535,0.0397452898323535,human,UP
CSRP2,0.0384982712566852,0.0384982712566852,0.0384982712566852,0.0384982712566852,human,UP
CHSY1,0.0354642681777477,0.0354642681777477,0.0354642681777477,0.0354642681777477,human,UP
TMEM184C,0.0353352129459381,0.0353352129459381,0.0353352129459381,0.0353352129459381,human,UP
ZMPSTE24,0.034479908645153,0.034479908645153,0.034479908645153,0.034479908645153,human,UP
SLC6A13,0.0335496626794338,0.0335496626794338,0.0335496626794338,0.0335496626794338,human,UP
CLDN5,0.03338623046875,0.03338623046875,0.03338623046875,0.03338623046875,human,UP
CCNB1IP1,0.0322606638073921,0.0322606638073921,0.0322606638073921,0.0322606638073921,human,UP
TUBB2B,0.0319467857480049,0.0319467857480049,0.0319467857480049,0.0319467857480049,human,UP
CRNKL1,0.0317751355469226,0.0317751355469226,0.0317751355469226,0.0317751355469226,human,UP
GPC5,0.0316896997392177,0.0316896997392177,0.0316896997392177,0.0316896997392177,human,UP
PTPRZ1,0.0304427035152912,0.0304427035152912,0.0304427035152912,0.0304427035152912,human,UP
PIR,0.0301390588283538,0.0301390588283538,0.0301390588283538,0.0301390588283538,human,UP
CDK2AP1,0.0299915634095668,0.0299915634095668,0.0299915634095668,0.0299915634095668,human,UP
KRBOX4,0.0294009782373905,0.0294009782373905,0.0294009782373905,0.0294009782373905,human,UP
CETN3,0.0283598378300666,0.0283598378300666,0.0283598378300666,0.0283598378300666,human,UP
IFI6,0.0283345207571983,0.0283345207571983,0.0283345207571983,0.0283345207571983,human,UP
SCO2,0.0283094029873609,0.0283094029873609,0.0283094029873609,0.0283094029873609,human,UP
