gene_symbol,logfc_dz:925,logfc_dz:927,logfc_dz:926,logfc_dz:928,mean_logfc,median_logfc,common_experiment,organism,signature_type
CCL19,0.0411630570888519,0.1861685365438461,,0.2261663526296615,0.1511659820874532,0.1861685365438461,,human,UP
S100A7,0.1875903606414795,0.1254681646823883,-0.0137046361342072,0.1237946897745132,0.1057871447410434,0.1246314272284507,-0.0137046361342072,human,UP
LGALS7B,0.116342656314373,0.0152067430317401,0.2342242300510406,0.0522400140762329,0.1045034108683466,0.0842913351953029,0.2342242300510406,human,UP
RPS11,0.1452095210552215,0.047040868550539,0.1351626515388488,0.0762732475996017,0.1009215721860528,0.1057179495692253,0.1351626515388488,human,UP
RPL23A,0.1823741495609283,0.0276570003479719,0.1407839059829712,0.0512086376547813,0.1005059233866632,0.0959962718188762,0.1407839059829712,human,UP
RPL38,0.1645256429910659,0.0141441235318779,0.135350689291954,0.0633712336421012,0.0943479223642498,0.0993609614670276,0.135350689291954,human,UP
TIMP1,,0.069003939628601,,0.0968892127275466,0.0829465761780738,0.0829465761780738,,human,UP
MT2A,0.0428880155086517,0.1209428161382675,0.0434452407062053,0.1230108812451362,0.0825717383995652,0.0821940284222364,0.0434452407062053,human,UP
S100A9,0.0840641185641288,0.1224411875009536,,0.0395265333354473,0.0820106131335099,0.0840641185641288,,human,UP
TMSB10,,0.1186986118555069,-0.0207312144339084,0.1399003714323043,0.0792892562846342,0.1186986118555069,-0.0207312144339084,human,UP
MT1X,0.0845343619585037,0.0703721344470977,0.0667689070105552,0.0851398855447769,0.0767038222402334,0.0774532482028007,0.0667689070105552,human,UP
ACTB,-0.0110968081280589,0.1123480945825576,0.032925684005022,0.1346327066421508,0.0672024192754179,0.0726368892937898,0.032925684005022,human,UP
C3,0.0536339357495307,0.1114109084010124,0.0270724855363369,0.0763135403394699,0.0671077175065875,0.0649737380445003,0.0270724855363369,human,UP
KRT14,-0.0561064779758453,,0.1347334384918213,0.1142454743385315,0.0642908116181691,0.1142454743385315,0.1347334384918213,human,UP
PLA2G2A,0.0303508341312408,0.0638164952397346,,0.0983660519123077,0.0641777937610944,0.0638164952397346,,human,UP
