gene_symbol,logfc_dz:857,logfc_dz:981,logfc_dz:509,mean_logfc,median_logfc,common_experiment,organism,signature_type
LGALS7,,0.166563406586647,,0.166563406586647,0.166563406586647,0.166563406586647,human,UP
S100A7,0.0426618829369545,0.0847685560584068,0.2211465835571289,0.11619234085083,0.0847685560584068,0.0847685560584068,human,UP
S100A2,0.1873378902673721,0.0733764916658401,0.0837977528572082,0.1148373782634735,0.0837977528572082,0.0733764916658401,human,UP
TPPP3,,0.0957217887043953,,0.0957217887043953,0.0957217887043953,0.0957217887043953,human,UP
KRT16,0.1024395823478698,0.127753734588623,0.0479567721486091,0.0927166963617007,0.1024395823478698,0.127753734588623,human,UP
KRT5,0.0389797762036323,0.1353697329759597,,0.087174754589796,0.087174754589796,0.1353697329759597,human,UP
UBA52,,0.0839983224868774,,0.0839983224868774,0.0839983224868774,0.0839983224868774,human,UP
S100A4,0.0551638640463352,,0.102457545697689,0.0788107048720121,0.0788107048720121,,human,UP
CRIP1,,0.1050882339477539,0.0515938736498355,0.0783410537987947,0.0783410537987947,0.1050882339477539,human,UP
KRT17,0.0283222384750843,0.1639413833618164,0.0285865124315023,0.073616711422801,0.0285865124315023,0.1639413833618164,human,UP
CFD,,,0.072005420923233,0.072005420923233,0.072005420923233,,human,UP
TYRP1,0.0484049879014492,0.1082721054553985,0.0519399605691432,0.0695390179753303,0.0519399605691432,0.1082721054553985,human,UP
S100A8,,0.1234815195202827,0.0142849357798695,0.0688832276500761,0.0688832276500761,0.1234815195202827,human,UP
CALML5,,0.0914037823677063,0.0367079339921474,0.0640558581799268,0.0640558581799268,0.0914037823677063,human,UP
SFN,0.0715128406882286,0.0664808675646781,0.0540490746498107,0.0640142609675725,0.0664808675646781,0.0664808675646781,human,UP
RPL8,0.0160891693085432,,0.1093565821647644,0.0627228757366538,0.0627228757366538,,human,UP
FABP5,,0.0529655888676643,0.0712219029664993,0.0620937459170818,0.0620937459170818,0.0529655888676643,human,UP
AREG,,0.0615238510072231,,0.0615238510072231,0.0615238510072231,0.0615238510072231,human,UP
RPS27,,0.0558968037366867,,0.0558968037366867,0.0558968037366867,0.0558968037366867,human,UP
ENO1,,0.0556360073387622,,0.0556360073387622,0.0556360073387622,0.0556360073387622,human,UP
MT2A,0.0621544048190116,0.0485375896096229,,0.0553459972143173,0.0553459972143173,0.0485375896096229,human,UP
KRT14,0.0605167895555496,0.0500192157924175,,0.0552680026739835,0.0552680026739835,0.0500192157924175,human,UP
SPRR1B,-0.0501797050237655,0.168231651186943,0.0477072708308696,0.055253072331349,0.0477072708308696,0.168231651186943,human,UP
IFI27,0.0494001358747482,0.0281277876347303,0.0811318606138229,0.0528865947077671,0.0494001358747482,0.0281277876347303,human,UP
CD9,,0.0513976477086544,,0.0513976477086544,0.0513976477086544,0.0513976477086544,human,UP
RPL36,0.0370087064802646,,0.0655326768755912,0.0512706916779279,0.0512706916779279,,human,UP
ALDOA,0.0387873463332653,,0.0634089633822441,0.0510981548577547,0.0510981548577547,,human,UP
LY6D,0.0455876626074314,0.0312741212546825,0.0650777369737625,0.0473131736119588,0.0455876626074314,0.0312741212546825,human,UP
CSTB,,0.0465831011533737,,0.0465831011533737,0.0465831011533737,0.0465831011533737,human,UP
UBB,,0.0462438054382801,,0.0462438054382801,0.0462438054382801,0.0462438054382801,human,UP
LGALS7B,,,0.0458563305437564,0.0458563305437564,0.0458563305437564,,human,UP
MSN,0.0436217300593853,,0.0469478964805603,0.0452848132699728,0.0452848132699728,,human,UP
KRT6B,0.0461663044989109,0.039632398635149,,0.0428993515670299,0.0428993515670299,0.039632398635149,human,UP
SPRR2B,,,0.0412881486117839,0.0412881486117839,0.0412881486117839,,human,UP
S100A9,,0.0175661761313676,0.0623143911361694,0.0399402836337685,0.0399402836337685,0.0175661761313676,human,UP
PPIB,0.0312174763530492,,0.046873141080141,0.0390453087165951,0.0390453087165951,,human,UP
LEP,,,0.0386660397052764,0.0386660397052764,0.0386660397052764,,human,UP
S100A6,,0.0374224372208118,,0.0374224372208118,0.0374224372208118,0.0374224372208118,human,UP
MYL12A,,0.0361035391688346,,0.0361035391688346,0.0361035391688346,0.0361035391688346,human,UP
PFKFB3,0.0182128455489873,,0.0534533001482486,0.035833072848618,0.035833072848618,,human,UP
PGAM1,0.0315294414758682,,0.0398551933467388,0.0356923174113035,0.0356923174113035,,human,UP
PYCARD,0.0256812870502471,,0.0423625186085701,0.0340219028294086,0.0340219028294086,,human,UP
G0S2,,,0.0334632135927677,0.0334632135927677,0.0334632135927677,,human,UP
PSME2,0.0260604377835989,,0.0405907072126865,0.0333255724981427,0.0333255724981427,,human,UP
CEBPD,,0.0329159907996654,,0.0329159907996654,0.0329159907996654,0.0329159907996654,human,UP
CA2,0.0138504710048437,0.0519502162933349,,0.0329003436490893,0.0329003436490893,0.0519502162933349,human,UP
LGALS1,0.0228876937180757,,0.0425552241504192,0.0327214589342474,0.0327214589342474,,human,UP
RPL37,,0.0323662906885147,,0.0323662906885147,0.0323662906885147,0.0323662906885147,human,UP
PSMC1,,0.0315173789858818,,0.0315173789858818,0.0315173789858818,0.0315173789858818,human,UP
SERPINB5,,0.0310952328145504,,0.0310952328145504,0.0310952328145504,0.0310952328145504,human,UP
GAPDH,0.0385727509856224,0.0142068909481167,0.0402991771697998,0.0310262730345129,0.0385727509856224,0.0142068909481167,human,UP
ODC1,0.0172423217445611,0.044617161154747,,0.0309297414496541,0.0309297414496541,0.044617161154747,human,UP
JUND,,0.0302540715783834,,0.0302540715783834,0.0302540715783834,0.0302540715783834,human,UP
PMEL,,0.044960867613554,0.0146659174934029,0.0298133925534784,0.0298133925534784,0.044960867613554,human,UP
TGM3,,0.0296167638152837,,0.0296167638152837,0.0296167638152837,0.0296167638152837,human,UP
COX7C,,0.0294569004327058,,0.0294569004327058,0.0294569004327058,0.0294569004327058,human,UP
GPX4,0.0108632305637001,,0.0467458851635456,0.0288045578636229,0.0288045578636229,,human,UP
