gene_symbol,logfc_dz:371,mean_logfc,median_logfc,common_experiment,organism,signature_type
LY6E,0.1446563154458999,0.1446563154458999,0.1446563154458999,0.1446563154458999,human,UP
CCL23,0.1186407729983329,0.1186407729983329,0.1186407729983329,0.1186407729983329,human,UP
ORM2,0.0907192081212997,0.0907192081212997,0.0907192081212997,0.0907192081212997,human,UP
HBA2,0.090481162071228,0.090481162071228,0.090481162071228,0.090481162071228,human,UP
HBB,0.0853135734796524,0.0853135734796524,0.0853135734796524,0.0853135734796524,human,UP
FOLR3,0.0779011473059654,0.0779011473059654,0.0779011473059654,0.0779011473059654,human,UP
CCL2,0.0737042501568794,0.0737042501568794,0.0737042501568794,0.0737042501568794,human,UP
OAS1,0.0695747584104538,0.0695747584104538,0.0695747584104538,0.0695747584104538,human,UP
IFI44L,0.0613546893000602,0.0613546893000602,0.0613546893000602,0.0613546893000602,human,UP
OAS2,0.061183426529169,0.061183426529169,0.061183426529169,0.061183426529169,human,UP
UPP1,0.0608718432486057,0.0608718432486057,0.0608718432486057,0.0608718432486057,human,UP
PSPH,0.0599699988961219,0.0599699988961219,0.0599699988961219,0.0599699988961219,human,UP
AKR1C2,0.0595559366047382,0.0595559366047382,0.0595559366047382,0.0595559366047382,human,UP
LCN2,0.059181872755289,0.059181872755289,0.059181872755289,0.059181872755289,human,UP
HP,0.0590394549071788,0.0590394549071788,0.0590394549071788,0.0590394549071788,human,UP
MT1F,0.0574083812534809,0.0574083812534809,0.0574083812534809,0.0574083812534809,human,UP
ISG15,0.0569135099649429,0.0569135099649429,0.0569135099649429,0.0569135099649429,human,UP
LEPROT,0.0509851016104221,0.0509851016104221,0.0509851016104221,0.0509851016104221,human,UP
EGR1,0.0501145608723163,0.0501145608723163,0.0501145608723163,0.0501145608723163,human,UP
CAPG,0.0491932556033134,0.0491932556033134,0.0491932556033134,0.0491932556033134,human,UP
BPI,0.0480479560792446,0.0480479560792446,0.0480479560792446,0.0480479560792446,human,UP
IFI44,0.0476609468460083,0.0476609468460083,0.0476609468460083,0.0476609468460083,human,UP
S100A12,0.0466879159212112,0.0466879159212112,0.0466879159212112,0.0466879159212112,human,UP
CASP5,0.0450743958353996,0.0450743958353996,0.0450743958353996,0.0450743958353996,human,UP
CRIP1,0.0438446179032325,0.0438446179032325,0.0438446179032325,0.0438446179032325,human,UP
IL18R1,0.0437325835227966,0.0437325835227966,0.0437325835227966,0.0437325835227966,human,UP
S100P,0.0405282415449619,0.0405282415449619,0.0405282415449619,0.0405282415449619,human,UP
DOCK4,0.0405090376734733,0.0405090376734733,0.0405090376734733,0.0405090376734733,human,UP
DEFA4,0.0401981249451637,0.0401981249451637,0.0401981249451637,0.0401981249451637,human,UP
GYG1,0.037718616425991,0.037718616425991,0.037718616425991,0.037718616425991,human,UP
ID1,0.0370870716869831,0.0370870716869831,0.0370870716869831,0.0370870716869831,human,UP
IFITM3,0.0363990291953086,0.0363990291953086,0.0363990291953086,0.0363990291953086,human,UP
ACP5,0.0361301265656948,0.0361301265656948,0.0361301265656948,0.0361301265656948,human,UP
AGRN,0.0349633321166038,0.0349633321166038,0.0349633321166038,0.0349633321166038,human,UP
SERPING1,0.0347888804972171,0.0347888804972171,0.0347888804972171,0.0347888804972171,human,UP
RNF10,0.0343212597072124,0.0343212597072124,0.0343212597072124,0.0343212597072124,human,UP
SCO2,0.0342266820371151,0.0342266820371151,0.0342266820371151,0.0342266820371151,human,UP
TSPO,0.0340676680207252,0.0340676680207252,0.0340676680207252,0.0340676680207252,human,UP
EGR3,0.0333843901753425,0.0333843901753425,0.0333843901753425,0.0333843901753425,human,UP
IFI30,0.0333746895194053,0.0333746895194053,0.0333746895194053,0.0333746895194053,human,UP
C3AR1,0.0333193726837635,0.0333193726837635,0.0333193726837635,0.0333193726837635,human,UP
PARP3,0.0329084992408752,0.0329084992408752,0.0329084992408752,0.0329084992408752,human,UP
LARP1,0.0327842384576797,0.0327842384576797,0.0327842384576797,0.0327842384576797,human,UP
CEACAM8,0.0327823720872402,0.0327823720872402,0.0327823720872402,0.0327823720872402,human,UP
LGALS1,0.0324763655662536,0.0324763655662536,0.0324763655662536,0.0324763655662536,human,UP
CD79A,0.0323285497725009,0.0323285497725009,0.0323285497725009,0.0323285497725009,human,UP
MT1E,0.031850129365921,0.031850129365921,0.031850129365921,0.031850129365921,human,UP
RPH3A,0.0317491702735424,0.0317491702735424,0.0317491702735424,0.0317491702735424,human,UP
CX3CR1,0.0311968866735696,0.0311968866735696,0.0311968866735696,0.0311968866735696,human,UP
BCAT1,0.0308415666222572,0.0308415666222572,0.0308415666222572,0.0308415666222572,human,UP
RNASE2,0.0306069925427436,0.0306069925427436,0.0306069925427436,0.0306069925427436,human,UP
