gene_symbol,logfc_dz:786,logfc_dz:194,mean_logfc,median_logfc,common_experiment,organism,signature_type
NFKBIA,,0.1780956089496612,0.1780956089496612,0.1780956089496612,,human,UP
EEF1G,,0.0998259857296943,0.0998259857296943,0.0998259857296943,,human,UP
HLA-DRB1,0.0358858108520507,0.1501531302928924,0.0930194705724716,0.0930194705724716,0.0358858108520507,human,UP
VOPP1,0.0971392840147018,0.0716898441314697,0.0844145640730857,0.0844145640730857,0.0971392840147018,human,UP
STARD7,0.080548420548439,,0.080548420548439,0.080548420548439,0.080548420548439,human,UP
EEF1A1,0.1582364737987518,-0.0133968675509095,0.0724198031239211,0.0724198031239211,0.1582364737987518,human,UP
RPL30,0.1166122704744339,0.0280722603201866,0.0723422653973102,0.0723422653973102,0.1166122704744339,human,UP
TNFAIP3,,0.0691980123519897,0.0691980123519897,0.0691980123519897,,human,UP
RPS9,,0.0653489232063293,0.0653489232063293,0.0653489232063293,,human,UP
ISCU,0.0648081377148628,,0.0648081377148628,0.0648081377148628,0.0648081377148628,human,UP
HLA-DRA,0.0243096202611923,0.0983687788248062,0.0613391995429992,0.0613391995429992,0.0243096202611923,human,UP
PNRC2,0.0602087043225765,,0.0602087043225765,0.0602087043225765,0.0602087043225765,human,UP
RPS4X,0.0576304495334625,0.0581036955118179,0.0578670725226402,0.0578670725226402,0.0576304495334625,human,UP
RPL6,0.0612973868846893,0.0508463457226753,0.0560718663036823,0.0560718663036823,0.0612973868846893,human,UP
FTL,0.0557859800755977,,0.0557859800755977,0.0557859800755977,0.0557859800755977,human,UP
MORF4L1,0.055771667510271,,0.055771667510271,0.055771667510271,0.055771667510271,human,UP
LITAF,0.0524516552686691,,0.0524516552686691,0.0524516552686691,0.0524516552686691,human,UP
RPS27,0.0836279690265655,0.0176530331373214,0.0506405010819435,0.0506405010819435,0.0836279690265655,human,UP
TMSB10,0.0499053969979286,,0.0499053969979286,0.0499053969979286,0.0499053969979286,human,UP
ERP29,,0.0484472624957561,0.0484472624957561,0.0484472624957561,,human,UP
INPP5F,0.0484190247952938,,0.0484190247952938,0.0484190247952938,0.0484190247952938,human,UP
TUBA1B,0.0479829050600528,,0.0479829050600528,0.0479829050600528,0.0479829050600528,human,UP
SH3BP5,0.0516735427081584,0.0425055138766765,0.0470895282924175,0.0470895282924175,0.0516735427081584,human,UP
HLA-DMA,0.0363603383302688,0.0574241317808628,0.0468922350555658,0.0468922350555658,0.0363603383302688,human,UP
CREB3L2,0.0466690063476562,,0.0466690063476562,0.0466690063476562,0.0466690063476562,human,UP
FAM3C,0.0459457784891128,,0.0459457784891128,0.0459457784891128,0.0459457784891128,human,UP
ARPC1B,,0.0454161204397678,0.0454161204397678,0.0454161204397678,,human,UP
RPL37,0.0453456938266754,,0.0453456938266754,0.0453456938266754,0.0453456938266754,human,UP
RPL38,,0.0451137572526931,0.0451137572526931,0.0451137572526931,,human,UP
RPL9,0.0630879327654838,0.026518277823925,0.0448031052947044,0.0448031052947044,0.0630879327654838,human,UP
WDR82,0.0434478372335433,,0.0434478372335433,0.0434478372335433,0.0434478372335433,human,UP
HMGN2,0.0571863651275634,0.0259592700749635,0.0415728176012635,0.0415728176012635,0.0571863651275634,human,UP
HLA-DMB,,0.0410480611026287,0.0410480611026287,0.0410480611026287,,human,UP
PFN1,,0.0407858081161975,0.0407858081161975,0.0407858081161975,,human,UP
RPS3A,,0.0405510477721691,0.0405510477721691,0.0405510477721691,,human,UP
ZNF266,0.0403723828494548,,0.0403723828494548,0.0403723828494548,0.0403723828494548,human,UP
TUBA1A,0.0400911308825016,,0.0400911308825016,0.0400911308825016,0.0400911308825016,human,UP
NOSIP,0.0611476749181747,0.0185691360384225,0.0398584054782986,0.0398584054782986,0.0611476749181747,human,UP
TCF4,0.0507389642298221,0.0277037546038627,0.0392213594168424,0.0392213594168424,0.0507389642298221,human,UP
RPS15,0.0144515288993716,0.0624846071004867,0.0384680679999291,0.0384680679999291,0.0144515288993716,human,UP
FLNA,,0.0384549498558044,0.0384549498558044,0.0384549498558044,,human,UP
TGFBI,0.037661537528038,,0.037661537528038,0.037661537528038,0.037661537528038,human,UP
RPL27A,,0.0375987365841865,0.0375987365841865,0.0375987365841865,,human,UP
CDC42SE1,0.0171542800962924,0.0577119253575801,0.0374331027269363,0.0374331027269363,0.0171542800962924,human,UP
FMOD,0.0576331093907356,0.0169500578194856,0.0372915836051106,0.0372915836051106,0.0576331093907356,human,UP
RPS7,0.0235008560121059,0.0493753142654895,0.0364380851387977,0.0364380851387977,0.0235008560121059,human,UP
RPS19,,0.0361691191792488,0.0361691191792488,0.0361691191792488,,human,UP
RPS11,0.018551917746663,0.0533440187573432,0.0359479682520031,0.0359479682520031,0.018551917746663,human,UP
IER5,,0.0357749909162521,0.0357749909162521,0.0357749909162521,,human,UP
CKAP4,0.0516296289861202,0.019757317379117,0.0356934731826186,0.0356934731826186,0.0516296289861202,human,UP
RHOA,0.0354757644236087,,0.0354757644236087,0.0354757644236087,0.0354757644236087,human,UP
RPS2,0.0106144091114401,0.0585662648081779,0.034590336959809,0.034590336959809,0.0106144091114401,human,UP
RPL13A,0.0447363406419754,0.0236087664961814,0.0341725535690784,0.0341725535690784,0.0447363406419754,human,UP
ZFP36,,0.034047357738018,0.034047357738018,0.034047357738018,,human,UP
PHB2,,0.0326350070536136,0.0326350070536136,0.0326350070536136,,human,UP
RPL36,,0.032496765255928,0.032496765255928,0.032496765255928,,human,UP
GZMH,,0.0319999866187572,0.0319999866187572,0.0319999866187572,,human,UP
GLO1,0.0431313179433345,0.0207374431192874,0.031934380531311,0.031934380531311,0.0431313179433345,human,UP
CHST15,0.031490683555603,,0.031490683555603,0.031490683555603,0.031490683555603,human,UP
NR4A2,,0.031230229884386,0.031230229884386,0.031230229884386,,human,UP
DBI,0.0418603420257568,0.0200403723865747,0.0309503572061657,0.0309503572061657,0.0418603420257568,human,UP
CHST2,0.0307115074247121,,0.0307115074247121,0.0307115074247121,0.0307115074247121,human,UP
GSAP,0.0305946338921785,,0.0305946338921785,0.0305946338921785,0.0305946338921785,human,UP
S100A6,,0.0305162947624921,0.0305162947624921,0.0305162947624921,,human,UP
ARMCX6,0.0303712114691734,,0.0303712114691734,0.0303712114691734,0.0303712114691734,human,UP
IL10RA,0.0303263422101736,,0.0303263422101736,0.0303263422101736,0.0303263422101736,human,UP
ODC1,0.0290231015533208,0.0313734374940395,0.0301982695236802,0.0301982695236802,0.0290231015533208,human,UP
FGR,0.0299950242042541,,0.0299950242042541,0.0299950242042541,0.0299950242042541,human,UP
CD3D,,0.0295910220593214,0.0295910220593214,0.0295910220593214,,human,UP
EEF2,-0.0267012882977724,0.0856659933924675,0.0294823525473475,0.0294823525473475,-0.0267012882977724,human,UP
COL9A3,0.0292728580534458,,0.0292728580534458,0.0292728580534458,0.0292728580534458,human,UP
EIF4A2,0.0286852307617664,,0.0286852307617664,0.0286852307617664,0.0286852307617664,human,UP
TFRC,0.0286223515868186,,0.0286223515868186,0.0286223515868186,0.0286223515868186,human,UP
ADAR,0.0285411570221185,,0.0285411570221185,0.0285411570221185,0.0285411570221185,human,UP
CD74,-0.0479015074670314,0.104770116508007,0.0284343045204877,0.0284343045204877,-0.0479015074670314,human,UP
RPL15,,0.0282463058829307,0.0282463058829307,0.0282463058829307,,human,UP
PRKCB,0.0308773573487997,0.0253806542605161,0.0281290058046579,0.0281290058046579,0.0308773573487997,human,UP
RPS21,0.0080168470740318,0.0481980554759502,0.028107451274991,0.028107451274991,0.0080168470740318,human,UP
TAGLN2,,0.0277486145496368,0.0277486145496368,0.0277486145496368,,human,UP
IGFLR1,0.0273810103535652,,0.0273810103535652,0.0273810103535652,0.0273810103535652,human,UP
PPP1CC,0.0347999297082424,0.0199219062924385,0.0273609180003404,0.0273609180003404,0.0347999297082424,human,UP
NSF,0.0273281652480363,,0.0273281652480363,0.0273281652480363,0.0273281652480363,human,UP
MEX3C,0.0270131062716245,,0.0270131062716245,0.0270131062716245,0.0270131062716245,human,UP
AIM2,0.0269552171230316,,0.0269552171230316,0.0269552171230316,0.0269552171230316,human,UP
FIG4,0.0257500242441892,,0.0257500242441892,0.0257500242441892,0.0257500242441892,human,UP
PNRC1,,0.0255634430795907,0.0255634430795907,0.0255634430795907,,human,UP
CSK,0.0249988380819559,,0.0249988380819559,0.0249988380819559,0.0249988380819559,human,UP
FOS,,0.0248838569968938,0.0248838569968938,0.0248838569968938,,human,UP
BMI1,0.0247372854501009,,0.0247372854501009,0.0247372854501009,0.0247372854501009,human,UP
SOBP,0.0244599543511867,,0.0244599543511867,0.0244599543511867,0.0244599543511867,human,UP
DNMBP,0.0244491845369339,,0.0244491845369339,0.0244491845369339,0.0244491845369339,human,UP
UCKL1,0.0242361705750226,,0.0242361705750226,0.0242361705750226,0.0242361705750226,human,UP
HBA2,-0.0436270162463188,0.0919633582234382,0.0241681709885597,0.0241681709885597,-0.0436270162463188,human,UP
KCNN4,0.0309327393770217,0.017244853079319,0.0240887962281703,0.0240887962281703,0.0309327393770217,human,UP
LRRC8D,0.0238057095557451,,0.0238057095557451,0.0238057095557451,0.0238057095557451,human,UP
ABHD17A,0.0237377844750881,,0.0237377844750881,0.0237377844750881,0.0237377844750881,human,UP
RPA1,0.023715978488326,,0.023715978488326,0.023715978488326,0.023715978488326,human,UP
PEBP1,0.0290565378963947,0.0181672070175409,0.0236118724569678,0.0236118724569678,0.0290565378963947,human,UP
LYN,0.023580402135849,,0.023580402135849,0.023580402135849,0.023580402135849,human,UP
YWHAQ,0.0233294833451509,,0.0233294833451509,0.0233294833451509,0.0233294833451509,human,UP
PARK7,0.032839797437191,0.0134341260418295,0.0231369617395102,0.0231369617395102,0.032839797437191,human,UP
CNBP,0.0230501405894756,,0.0230501405894756,0.0230501405894756,0.0230501405894756,human,UP
RPS27L,0.0227488540112972,,0.0227488540112972,0.0227488540112972,0.0227488540112972,human,UP
CUTA,0.0227437000721693,,0.0227437000721693,0.0227437000721693,0.0227437000721693,human,UP
LTA4H,,0.0227054245769977,0.0227054245769977,0.0227054245769977,,human,UP
UBC,0.0223489142954349,,0.0223489142954349,0.0223489142954349,0.0223489142954349,human,UP
YPEL5,0.0221427176147699,,0.0221427176147699,0.0221427176147699,0.0221427176147699,human,UP
SEC31B,,0.0220989193767309,0.0220989193767309,0.0220989193767309,,human,UP
RAC1,0.0220303628593683,,0.0220303628593683,0.0220303628593683,0.0220303628593683,human,UP
