gene_symbol,logfc_dz:761,mean_logfc,median_logfc,common_experiment,organism,signature_type
REG1A,0.1877223551273346,0.1877223551273346,0.1877223551273346,0.1877223551273346,human,UP
PLA2G2A,0.1693029850721359,0.1693029850721359,0.1693029850721359,0.1693029850721359,human,UP
HLA-A,0.1274002343416214,0.1274002343416214,0.1274002343416214,0.1274002343416214,human,UP
OLFM4,0.1237155199050903,0.1237155199050903,0.1237155199050903,0.1237155199050903,human,UP
LCN2,0.121184341609478,0.121184341609478,0.121184341609478,0.121184341609478,human,UP
SPINK4,0.1040132716298103,0.1040132716298103,0.1040132716298103,0.1040132716298103,human,UP
TMSB10,0.0869128033518791,0.0869128033518791,0.0869128033518791,0.0869128033518791,human,UP
REG1B,0.0824784040451049,0.0824784040451049,0.0824784040451049,0.0824784040451049,human,UP
AGR2,0.082148790359497,0.082148790359497,0.082148790359497,0.082148790359497,human,UP
IFI30,0.0781302601099014,0.0781302601099014,0.0781302601099014,0.0781302601099014,human,UP
DMBT1,0.0711279138922691,0.0711279138922691,0.0711279138922691,0.0711279138922691,human,UP
RPS2,0.0677171275019645,0.0677171275019645,0.0677171275019645,0.0677171275019645,human,UP
RPS27,0.0649074614048004,0.0649074614048004,0.0649074614048004,0.0649074614048004,human,UP
CD81,0.0636554509401321,0.0636554509401321,0.0636554509401321,0.0636554509401321,human,UP
ASS1,0.0634343102574348,0.0634343102574348,0.0634343102574348,0.0634343102574348,human,UP
SPINK1,0.0596661418676376,0.0596661418676376,0.0596661418676376,0.0596661418676376,human,UP
PI3,0.0535165295004844,0.0535165295004844,0.0535165295004844,0.0535165295004844,human,UP
RPS11,0.0533202067017555,0.0533202067017555,0.0533202067017555,0.0533202067017555,human,UP
PPIA,0.0526137351989746,0.0526137351989746,0.0526137351989746,0.0526137351989746,human,UP
TCAP,0.0520987696945667,0.0520987696945667,0.0520987696945667,0.0520987696945667,human,UP
IFITM2,0.0470000766217708,0.0470000766217708,0.0470000766217708,0.0470000766217708,human,UP
LEFTY1,0.0446762330830097,0.0446762330830097,0.0446762330830097,0.0446762330830097,human,UP
RPL28,0.0439005233347415,0.0439005233347415,0.0439005233347415,0.0439005233347415,human,UP
RPL19,0.0387703590095043,0.0387703590095043,0.0387703590095043,0.0387703590095043,human,UP
HSPA5,0.0385641157627105,0.0385641157627105,0.0385641157627105,0.0385641157627105,human,UP
IDH2,0.0380467697978019,0.0380467697978019,0.0380467697978019,0.0380467697978019,human,UP
HMGN2,0.0377709902822971,0.0377709902822971,0.0377709902822971,0.0377709902822971,human,UP
RPL17,0.0376441106200218,0.0376441106200218,0.0376441106200218,0.0376441106200218,human,UP
FTL,0.0371527299284935,0.0371527299284935,0.0371527299284935,0.0371527299284935,human,UP
PGAM1,0.0371134765446186,0.0371134765446186,0.0371134765446186,0.0371134765446186,human,UP
HLA-C,0.0367514006793499,0.0367514006793499,0.0367514006793499,0.0367514006793499,human,UP
HSP90B1,0.0365763753652572,0.0365763753652572,0.0365763753652572,0.0365763753652572,human,UP
SPINK5,0.0365210026502609,0.0365210026502609,0.0365210026502609,0.0365210026502609,human,UP
ALDOA,0.0361496470868587,0.0361496470868587,0.0361496470868587,0.0361496470868587,human,UP
IFITM3,0.035759687423706,0.035759687423706,0.035759687423706,0.035759687423706,human,UP
EEF2,0.0356984809041023,0.0356984809041023,0.0356984809041023,0.0356984809041023,human,UP
SOD1,0.0354613810777664,0.0354613810777664,0.0354613810777664,0.0354613810777664,human,UP
HNRNPA2B1,0.034889493137598,0.034889493137598,0.034889493137598,0.034889493137598,human,UP
S100A11,0.0346416234970092,0.0346416234970092,0.0346416234970092,0.0346416234970092,human,UP
PDIA3,0.0339222699403762,0.0339222699403762,0.0339222699403762,0.0339222699403762,human,UP
MIF,0.0329540520906448,0.0329540520906448,0.0329540520906448,0.0329540520906448,human,UP
RPL23A,0.0327259376645088,0.0327259376645088,0.0327259376645088,0.0327259376645088,human,UP
FDPS,0.0323962494730949,0.0323962494730949,0.0323962494730949,0.0323962494730949,human,UP
LDHB,0.0316600613296031,0.0316600613296031,0.0316600613296031,0.0316600613296031,human,UP
