gene_symbol,logfc_dz:550,mean_logfc,median_logfc,common_experiment,organism,signature_type
OLFM4,0.2511968910694122,0.2511968910694122,0.2511968910694122,0.2511968910694122,human,UP
LCN2,0.2092763632535934,0.2092763632535934,0.2092763632535934,0.2092763632535934,human,UP
S100P,0.1879724264144897,0.1879724264144897,0.1879724264144897,0.1879724264144897,human,UP
SPINK4,0.1258946061134338,0.1258946061134338,0.1258946061134338,0.1258946061134338,human,UP
SPINK1,0.1081021502614021,0.1081021502614021,0.1081021502614021,0.1081021502614021,human,UP
DEFA6,0.1034120023250579,0.1034120023250579,0.1034120023250579,0.1034120023250579,human,UP
DEFA5,0.0976696386933326,0.0976696386933326,0.0976696386933326,0.0976696386933326,human,UP
IGFBP2,0.0919615924358367,0.0919615924358367,0.0919615924358367,0.0919615924358367,human,UP
DUOX2,0.0839981436729431,0.0839981436729431,0.0839981436729431,0.0839981436729431,human,UP
TFF1,0.0838114321231842,0.0838114321231842,0.0838114321231842,0.0838114321231842,human,UP
ID1,0.0825386345386505,0.0825386345386505,0.0825386345386505,0.0825386345386505,human,UP
PPA1,0.0760793536901474,0.0760793536901474,0.0760793536901474,0.0760793536901474,human,UP
CTSE,0.0758119970560073,0.0758119970560073,0.0758119970560073,0.0758119970560073,human,UP
IFITM3,0.0754842981696128,0.0754842981696128,0.0754842981696128,0.0754842981696128,human,UP
S100A11,0.070403479039669,0.070403479039669,0.070403479039669,0.070403479039669,human,UP
MIF,0.0674520432949066,0.0674520432949066,0.0674520432949066,0.0674520432949066,human,UP
SLC12A2,0.0661152526736259,0.0661152526736259,0.0661152526736259,0.0661152526736259,human,UP
TIMP1,0.0640822798013687,0.0640822798013687,0.0640822798013687,0.0640822798013687,human,UP
PLA2G2A,0.0637832134962081,0.0637832134962081,0.0637832134962081,0.0637832134962081,human,UP
IFITM2,0.0630577355623245,0.0630577355623245,0.0630577355623245,0.0630577355623245,human,UP
ITGA6,0.061316218227148,0.061316218227148,0.061316218227148,0.061316218227148,human,UP
SOX9,0.0592835508286953,0.0592835508286953,0.0592835508286953,0.0592835508286953,human,UP
IFITM1,0.0557407811284065,0.0557407811284065,0.0557407811284065,0.0557407811284065,human,UP
PDZK1IP1,0.0549378432333469,0.0549378432333469,0.0549378432333469,0.0549378432333469,human,UP
MARCKSL1,0.0527575239539146,0.0527575239539146,0.0527575239539146,0.0527575239539146,human,UP
LGALS3BP,0.0512577295303344,0.0512577295303344,0.0512577295303344,0.0512577295303344,human,UP
CCL20,0.050609041005373,0.050609041005373,0.050609041005373,0.050609041005373,human,UP
DMBT1,0.0505627021193504,0.0505627021193504,0.0505627021193504,0.0505627021193504,human,UP
RPL12,0.0503070354461669,0.0503070354461669,0.0503070354461669,0.0503070354461669,human,UP
ODC1,0.0486844852566719,0.0486844852566719,0.0486844852566719,0.0486844852566719,human,UP
GSTP1,0.0465909428894519,0.0465909428894519,0.0465909428894519,0.0465909428894519,human,UP
SYNGR2,0.0452293567359447,0.0452293567359447,0.0452293567359447,0.0452293567359447,human,UP
CEACAM6,0.0443876944482326,0.0443876944482326,0.0443876944482326,0.0443876944482326,human,UP
HSP90AB1,0.0432979054749012,0.0432979054749012,0.0432979054749012,0.0432979054749012,human,UP
HEXB,0.0423702709376812,0.0423702709376812,0.0423702709376812,0.0423702709376812,human,UP
GPRC5A,0.0409206077456474,0.0409206077456474,0.0409206077456474,0.0409206077456474,human,UP
NPM1,0.0408463440835475,0.0408463440835475,0.0408463440835475,0.0408463440835475,human,UP
ANXA3,0.0401509590446949,0.0401509590446949,0.0401509590446949,0.0401509590446949,human,UP
RCN1,0.0393141433596611,0.0393141433596611,0.0393141433596611,0.0393141433596611,human,UP
GPX1,0.0384353846311569,0.0384353846311569,0.0384353846311569,0.0384353846311569,human,UP
GMDS,0.0377332344651222,0.0377332344651222,0.0377332344651222,0.0377332344651222,human,UP
CTSH,0.0370472446084022,0.0370472446084022,0.0370472446084022,0.0370472446084022,human,UP
LEFTY1,0.0365281403064727,0.0365281403064727,0.0365281403064727,0.0365281403064727,human,UP
PKM,0.0357299298048019,0.0357299298048019,0.0357299298048019,0.0357299298048019,human,UP
ASS1,0.0356056988239288,0.0356056988239288,0.0356056988239288,0.0356056988239288,human,UP
CD55,0.0349056087434291,0.0349056087434291,0.0349056087434291,0.0349056087434291,human,UP
TGFBI,0.034552089869976,0.034552089869976,0.034552089869976,0.034552089869976,human,UP
P4HB,0.0335987284779548,0.0335987284779548,0.0335987284779548,0.0335987284779548,human,UP
TUBB,0.0335018448531627,0.0335018448531627,0.0335018448531627,0.0335018448531627,human,UP
RAN,0.0333082266151905,0.0333082266151905,0.0333082266151905,0.0333082266151905,human,UP
EIF3E,0.033114243298769,0.033114243298769,0.033114243298769,0.033114243298769,human,UP
NQO1,0.0329817235469818,0.0329817235469818,0.0329817235469818,0.0329817235469818,human,UP
RPL36A,0.0320900045335292,0.0320900045335292,0.0320900045335292,0.0320900045335292,human,UP
FHL2,0.0319429077208042,0.0319429077208042,0.0319429077208042,0.0319429077208042,human,UP
TSPO,0.0318125262856483,0.0318125262856483,0.0318125262856483,0.0318125262856483,human,UP
RAB25,0.0314949005842208,0.0314949005842208,0.0314949005842208,0.0314949005842208,human,UP
MMP3,0.0309678185731172,0.0309678185731172,0.0309678185731172,0.0309678185731172,human,UP
TBCA,0.0308591891080141,0.0308591891080141,0.0308591891080141,0.0308591891080141,human,UP
TFF3,0.0307764466851949,0.0307764466851949,0.0307764466851949,0.0307764466851949,human,UP
ENC1,0.030734334141016,0.030734334141016,0.030734334141016,0.030734334141016,human,UP
REG1A,0.0307019595056772,0.0307019595056772,0.0307019595056772,0.0307019595056772,human,UP
PRDX1,0.0306440517306327,0.0306440517306327,0.0306440517306327,0.0306440517306327,human,UP
TMEM123,0.0305783730000257,0.0305783730000257,0.0305783730000257,0.0305783730000257,human,UP
CAPNS1,0.0304040592163801,0.0304040592163801,0.0304040592163801,0.0304040592163801,human,UP
MLEC,0.0301339030265808,0.0301339030265808,0.0301339030265808,0.0301339030265808,human,UP
GGH,0.0298767480999231,0.0298767480999231,0.0298767480999231,0.0298767480999231,human,UP
EIF3D,0.0289070326834917,0.0289070326834917,0.0289070326834917,0.0289070326834917,human,UP
HSPA8,0.0288176853209733,0.0288176853209733,0.0288176853209733,0.0288176853209733,human,UP
MLPH,0.0287478994578123,0.0287478994578123,0.0287478994578123,0.0287478994578123,human,UP
TUBB2A,0.0283660888671875,0.0283660888671875,0.0283660888671875,0.0283660888671875,human,UP
RPL24,0.0281382948160171,0.0281382948160171,0.0281382948160171,0.0281382948160171,human,UP
DPEP1,0.0278101097792387,0.0278101097792387,0.0278101097792387,0.0278101097792387,human,UP
