gene_symbol,logfc_dz:595,mean_logfc,median_logfc,common_experiment,organism,signature_type
REG1A,0.1435375660657882,0.1435375660657882,0.1435375660657882,0.1435375660657882,human,UP
IFITM3,0.1219916045665741,0.1219916045665741,0.1219916045665741,0.1219916045665741,human,UP
COL1A2,0.1013486981391906,0.1013486981391906,0.1013486981391906,0.1013486981391906,human,UP
SPINK4,0.1001984253525734,0.1001984253525734,0.1001984253525734,0.1001984253525734,human,UP
TUBA1B,0.0970816537737846,0.0970816537737846,0.0970816537737846,0.0970816537737846,human,UP
IFITM1,0.0913104116916656,0.0913104116916656,0.0913104116916656,0.0913104116916656,human,UP
LDHA,0.0889875143766403,0.0889875143766403,0.0889875143766403,0.0889875143766403,human,UP
TMSB10,0.0885554030537605,0.0885554030537605,0.0885554030537605,0.0885554030537605,human,UP
ASS1,0.088523156940937,0.088523156940937,0.088523156940937,0.088523156940937,human,UP
MIF,0.0866217315196991,0.0866217315196991,0.0866217315196991,0.0866217315196991,human,UP
ANXA2,0.0864875465631485,0.0864875465631485,0.0864875465631485,0.0864875465631485,human,UP
TIMP1,0.0821699872612953,0.0821699872612953,0.0821699872612953,0.0821699872612953,human,UP
RPL39,0.0787171348929405,0.0787171348929405,0.0787171348929405,0.0787171348929405,human,UP
TUBA1C,0.0741367116570472,0.0741367116570472,0.0741367116570472,0.0741367116570472,human,UP
OLFM4,0.0723185092210769,0.0723185092210769,0.0723185092210769,0.0723185092210769,human,UP
KRT18,0.0721249878406524,0.0721249878406524,0.0721249878406524,0.0721249878406524,human,UP
DMBT1,0.068358764052391,0.068358764052391,0.068358764052391,0.068358764052391,human,UP
MMP3,0.0658799260854721,0.0658799260854721,0.0658799260854721,0.0658799260854721,human,UP
PABPC1,0.0613847523927688,0.0613847523927688,0.0613847523927688,0.0613847523927688,human,UP
MMP12,0.0586127750575542,0.0586127750575542,0.0586127750575542,0.0586127750575542,human,UP
MMP1,0.055719755589962,0.055719755589962,0.055719755589962,0.055719755589962,human,UP
RPLP0,0.0551474690437316,0.0551474690437316,0.0551474690437316,0.0551474690437316,human,UP
RPS15,0.0546131804585456,0.0546131804585456,0.0546131804585456,0.0546131804585456,human,UP
TGFBI,0.0534612126648426,0.0534612126648426,0.0534612126648426,0.0534612126648426,human,UP
PPA1,0.0531074963510036,0.0531074963510036,0.0531074963510036,0.0531074963510036,human,UP
REG1B,0.0503951534628868,0.0503951534628868,0.0503951534628868,0.0503951534628868,human,UP
IFITM2,0.0494822785258293,0.0494822785258293,0.0494822785258293,0.0494822785258293,human,UP
RPL41,0.04920195043087,0.04920195043087,0.04920195043087,0.04920195043087,human,UP
HSPD1,0.0475469082593917,0.0475469082593917,0.0475469082593917,0.0475469082593917,human,UP
SPINK1,0.0474666655063629,0.0474666655063629,0.0474666655063629,0.0474666655063629,human,UP
GAPDH,0.0468372516334056,0.0468372516334056,0.0468372516334056,0.0468372516334056,human,UP
RPL36A,0.0458491556346416,0.0458491556346416,0.0458491556346416,0.0458491556346416,human,UP
RPL27,0.0427639931440353,0.0427639931440353,0.0427639931440353,0.0427639931440353,human,UP
UBD,0.0419177412986755,0.0419177412986755,0.0419177412986755,0.0419177412986755,human,UP
FTL,0.0410296060144901,0.0410296060144901,0.0410296060144901,0.0410296060144901,human,UP
LCN2,0.0408594459295272,0.0408594459295272,0.0408594459295272,0.0408594459295272,human,UP
HSP90AA1,0.0402116253972053,0.0402116253972053,0.0402116253972053,0.0402116253972053,human,UP
RPN2,0.0394577719271183,0.0394577719271183,0.0394577719271183,0.0394577719271183,human,UP
SLC12A2,0.0392813943326473,0.0392813943326473,0.0392813943326473,0.0392813943326473,human,UP
RPL23A,0.0377989783883094,0.0377989783883094,0.0377989783883094,0.0377989783883094,human,UP
RPL12,0.0369900502264499,0.0369900502264499,0.0369900502264499,0.0369900502264499,human,UP
NPM1,0.0354477167129516,0.0354477167129516,0.0354477167129516,0.0354477167129516,human,UP
RPS2,0.0354138799011707,0.0354138799011707,0.0354138799011707,0.0354138799011707,human,UP
SPP1,0.0353223755955696,0.0353223755955696,0.0353223755955696,0.0353223755955696,human,UP
CXCL1,0.034322053194046,0.034322053194046,0.034322053194046,0.034322053194046,human,UP
MARCKSL1,0.0335663333535194,0.0335663333535194,0.0335663333535194,0.0335663333535194,human,UP
CTNNB1,0.0330698750913143,0.0330698750913143,0.0330698750913143,0.0330698750913143,human,UP
EEF1B2,0.0329706594347953,0.0329706594347953,0.0329706594347953,0.0329706594347953,human,UP
RPL32,0.0327478908002376,0.0327478908002376,0.0327478908002376,0.0327478908002376,human,UP
RPS5,0.0327202677726745,0.0327202677726745,0.0327202677726745,0.0327202677726745,human,UP
GPX2,0.0325760878622531,0.0325760878622531,0.0325760878622531,0.0325760878622531,human,UP
MUC2,0.0322680622339248,0.0322680622339248,0.0322680622339248,0.0322680622339248,human,UP
COL6A3,0.0321664549410343,0.0321664549410343,0.0321664549410343,0.0321664549410343,human,UP
ENO1,0.0317180007696151,0.0317180007696151,0.0317180007696151,0.0317180007696151,human,UP
RAC1,0.0308889653533697,0.0308889653533697,0.0308889653533697,0.0308889653533697,human,UP
RPS24,0.030762305483222,0.030762305483222,0.030762305483222,0.030762305483222,human,UP
RPL30,0.0304340682923793,0.0304340682923793,0.0304340682923793,0.0304340682923793,human,UP
PSME2,0.0296789295971393,0.0296789295971393,0.0296789295971393,0.0296789295971393,human,UP
CCL20,0.0294055547565221,0.0294055547565221,0.0294055547565221,0.0294055547565221,human,UP
MORF4L2,0.0283553563058376,0.0283553563058376,0.0283553563058376,0.0283553563058376,human,UP
OPHN1,0.0283077657222747,0.0283077657222747,0.0283077657222747,0.0283077657222747,human,UP
LDHB,0.0277117770165205,0.0277117770165205,0.0277117770165205,0.0277117770165205,human,UP
PTGES3,0.027552280575037,0.027552280575037,0.027552280575037,0.027552280575037,human,UP
HLA-DRB1,0.0270004440099,0.0270004440099,0.0270004440099,0.0270004440099,human,UP
DDAH1,0.0267033781856298,0.0267033781856298,0.0267033781856298,0.0267033781856298,human,UP
IFI27,0.0264880340546369,0.0264880340546369,0.0264880340546369,0.0264880340546369,human,UP
PRDX4,0.0258347801864147,0.0258347801864147,0.0258347801864147,0.0258347801864147,human,UP
ACTG1,0.0255596414208412,0.0255596414208412,0.0255596414208412,0.0255596414208412,human,UP
PSMA6,0.0248044356703758,0.0248044356703758,0.0248044356703758,0.0248044356703758,human,UP
PTTG1,0.0246973223984241,0.0246973223984241,0.0246973223984241,0.0246973223984241,human,UP
NME1,0.0244770534336566,0.0244770534336566,0.0244770534336566,0.0244770534336566,human,UP
CLIC1,0.0242702681571245,0.0242702681571245,0.0242702681571245,0.0242702681571245,human,UP
CXCL8,0.0242275726050138,0.0242275726050138,0.0242275726050138,0.0242275726050138,human,UP
SNRPD2,0.0240585356950759,0.0240585356950759,0.0240585356950759,0.0240585356950759,human,UP
AGR2,0.0236373823136091,0.0236373823136091,0.0236373823136091,0.0236373823136091,human,UP
SRP9,0.0235853232443332,0.0235853232443332,0.0235853232443332,0.0235853232443332,human,UP
ALDOA,0.0231328178197145,0.0231328178197145,0.0231328178197145,0.0231328178197145,human,UP
SYNGR2,0.0230512730777263,0.0230512730777263,0.0230512730777263,0.0230512730777263,human,UP
PABPC3,0.0228451751172542,0.0228451751172542,0.0228451751172542,0.0228451751172542,human,UP
GTF3A,0.0225758217275142,0.0225758217275142,0.0225758217275142,0.0225758217275142,human,UP
HMGB1,0.0222676433622837,0.0222676433622837,0.0222676433622837,0.0222676433622837,human,UP
LRRC59,0.0222129467874765,0.0222129467874765,0.0222129467874765,0.0222129467874765,human,UP
CTSB,0.0221160091459751,0.0221160091459751,0.0221160091459751,0.0221160091459751,human,UP
ATP1B1,0.0219641923904418,0.0219641923904418,0.0219641923904418,0.0219641923904418,human,UP
FBL,0.0219176840037107,0.0219176840037107,0.0219176840037107,0.0219176840037107,human,UP
MLEC,0.0219023246318101,0.0219023246318101,0.0219023246318101,0.0219023246318101,human,UP
TSPAN13,0.0218922607600688,0.0218922607600688,0.0218922607600688,0.0218922607600688,human,UP
ISG15,0.0218599550426006,0.0218599550426006,0.0218599550426006,0.0218599550426006,human,UP
CDC25B,0.0215827729552984,0.0215827729552984,0.0215827729552984,0.0215827729552984,human,UP
RRM2,0.0214791186153888,0.0214791186153888,0.0214791186153888,0.0214791186153888,human,UP
BZW2,0.0211152732372283,0.0211152732372283,0.0211152732372283,0.0211152732372283,human,UP
THBS2,0.0209754575043916,0.0209754575043916,0.0209754575043916,0.0209754575043916,human,UP
OLA1,0.0209235809743404,0.0209235809743404,0.0209235809743404,0.0209235809743404,human,UP
CHCHD2,0.0208921264857053,0.0208921264857053,0.0208921264857053,0.0208921264857053,human,UP
RPS13,0.0208845939487218,0.0208845939487218,0.0208845939487218,0.0208845939487218,human,UP
GPI,0.0205617155879735,0.0205617155879735,0.0205617155879735,0.0205617155879735,human,UP
HSPA1B,0.0204682741314172,0.0204682741314172,0.0204682741314172,0.0204682741314172,human,UP
PSMB3,0.0204275194555521,0.0204275194555521,0.0204275194555521,0.0204275194555521,human,UP
CKS2,0.0203466471284627,0.0203466471284627,0.0203466471284627,0.0203466471284627,human,UP
HIF1A,0.0202985629439353,0.0202985629439353,0.0202985629439353,0.0202985629439353,human,UP
PPIB,0.0202531237155199,0.0202531237155199,0.0202531237155199,0.0202531237155199,human,UP
ACTG2,-0.1927383542060852,-0.1927383542060852,-0.1927383542060852,-0.1927383542060852,human,DOWN
TAGLN,-0.1860208064317703,-0.1860208064317703,-0.1860208064317703,-0.1860208064317703,human,DOWN
LGALS4,-0.1689284443855285,-0.1689284443855285,-0.1689284443855285,-0.1689284443855285,human,DOWN
FABP1,-0.1594822853803634,-0.1594822853803634,-0.1594822853803634,-0.1594822853803634,human,DOWN
GUCA2A,-0.1404812037944793,-0.1404812037944793,-0.1404812037944793,-0.1404812037944793,human,DOWN
MYLK,-0.1356704086065292,-0.1356704086065292,-0.1356704086065292,-0.1356704086065292,human,DOWN
MYL9,-0.1292380690574646,-0.1292380690574646,-0.1292380690574646,-0.1292380690574646,human,DOWN
CNN1,-0.1292214840650558,-0.1292214840650558,-0.1292214840650558,-0.1292214840650558,human,DOWN
FABP6,-0.1090952679514885,-0.1090952679514885,-0.1090952679514885,-0.1090952679514885,human,DOWN
DEFA5,-0.107810229063034,-0.107810229063034,-0.107810229063034,-0.107810229063034,human,DOWN
CSRP1,-0.1074441149830818,-0.1074441149830818,-0.1074441149830818,-0.1074441149830818,human,DOWN
CA2,-0.0971813946962356,-0.0971813946962356,-0.0971813946962356,-0.0971813946962356,human,DOWN
MYH11,-0.0929453894495964,-0.0929453894495964,-0.0929453894495964,-0.0929453894495964,human,DOWN
DEFA6,-0.0927832424640655,-0.0927832424640655,-0.0927832424640655,-0.0927832424640655,human,DOWN
HMGCS2,-0.0859533175826072,-0.0859533175826072,-0.0859533175826072,-0.0859533175826072,human,DOWN
HLA-B,-0.0817378237843513,-0.0817378237843513,-0.0817378237843513,-0.0817378237843513,human,DOWN
SELENBP1,-0.0815054029226303,-0.0815054029226303,-0.0815054029226303,-0.0815054029226303,human,DOWN
ACTB,-0.0699216052889823,-0.0699216052889823,-0.0699216052889823,-0.0699216052889823,human,DOWN
EEF1A1,-0.069603145122528,-0.069603145122528,-0.069603145122528,-0.069603145122528,human,DOWN
FCGBP,-0.0694759339094162,-0.0694759339094162,-0.0694759339094162,-0.0694759339094162,human,DOWN
CST3,-0.0689461976289749,-0.0689461976289749,-0.0689461976289749,-0.0689461976289749,human,DOWN
FLNA,-0.0668794736266136,-0.0668794736266136,-0.0668794736266136,-0.0668794736266136,human,DOWN
HBB,-0.0645025297999382,-0.0645025297999382,-0.0645025297999382,-0.0645025297999382,human,DOWN
AQP8,-0.0633757263422012,-0.0633757263422012,-0.0633757263422012,-0.0633757263422012,human,DOWN
TFF1,-0.0624111108481884,-0.0624111108481884,-0.0624111108481884,-0.0624111108481884,human,DOWN
LGALS3,-0.0603676661849021,-0.0603676661849021,-0.0603676661849021,-0.0603676661849021,human,DOWN
B2M,-0.0601355209946632,-0.0601355209946632,-0.0601355209946632,-0.0601355209946632,human,DOWN
SPRR3,-0.0594491735100746,-0.0594491735100746,-0.0594491735100746,-0.0594491735100746,human,DOWN
CLCA1,-0.0587403401732444,-0.0587403401732444,-0.0587403401732444,-0.0587403401732444,human,DOWN
SUPT20H,-0.0583566017448902,-0.0583566017448902,-0.0583566017448902,-0.0583566017448902,human,DOWN
DSTN,-0.0577827617526054,-0.0577827617526054,-0.0577827617526054,-0.0577827617526054,human,DOWN
CKB,-0.0543597936630249,-0.0543597936630249,-0.0543597936630249,-0.0543597936630249,human,DOWN
SLPI,-0.0521243549883365,-0.0521243549883365,-0.0521243549883365,-0.0521243549883365,human,DOWN
PMP22,-0.0514257736504077,-0.0514257736504077,-0.0514257736504077,-0.0514257736504077,human,DOWN
HSPB1,-0.0511778034269809,-0.0511778034269809,-0.0511778034269809,-0.0511778034269809,human,DOWN
UBC,-0.0498558320105075,-0.0498558320105075,-0.0498558320105075,-0.0498558320105075,human,DOWN
RPLP1,-0.0497128292918205,-0.0497128292918205,-0.0497128292918205,-0.0497128292918205,human,DOWN
KRT20,-0.0496087521314621,-0.0496087521314621,-0.0496087521314621,-0.0496087521314621,human,DOWN
PRSS2,-0.0488376654684543,-0.0488376654684543,-0.0488376654684543,-0.0488376654684543,human,DOWN
ATP1A1,-0.0487223081290721,-0.0487223081290721,-0.0487223081290721,-0.0487223081290721,human,DOWN
SLC25A5,-0.0477209836244583,-0.0477209836244583,-0.0477209836244583,-0.0477209836244583,human,DOWN
HLA-C,-0.0468507409095764,-0.0468507409095764,-0.0468507409095764,-0.0468507409095764,human,DOWN
TXNIP,-0.0467219837009906,-0.0467219837009906,-0.0467219837009906,-0.0467219837009906,human,DOWN
RNASET2,-0.0466563887894153,-0.0466563887894153,-0.0466563887894153,-0.0466563887894153,human,DOWN
FUCA1,-0.0466209016740322,-0.0466209016740322,-0.0466209016740322,-0.0466209016740322,human,DOWN
CEACAM7,-0.0463653467595577,-0.0463653467595577,-0.0463653467595577,-0.0463653467595577,human,DOWN
HLA-A,-0.0458838008344173,-0.0458838008344173,-0.0458838008344173,-0.0458838008344173,human,DOWN
PCK1,-0.0447271689772605,-0.0447271689772605,-0.0447271689772605,-0.0447271689772605,human,DOWN
CES2,-0.0439477562904357,-0.0439477562904357,-0.0439477562904357,-0.0439477562904357,human,DOWN
AOC1,-0.0429470352828502,-0.0429470352828502,-0.0429470352828502,-0.0429470352828502,human,DOWN
APOB,-0.0425576977431774,-0.0425576977431774,-0.0425576977431774,-0.0425576977431774,human,DOWN
AKR1B10,-0.0424805022776126,-0.0424805022776126,-0.0424805022776126,-0.0424805022776126,human,DOWN
UGP2,-0.0423723049461841,-0.0423723049461841,-0.0423723049461841,-0.0423723049461841,human,DOWN
SMTN,-0.0420950837433338,-0.0420950837433338,-0.0420950837433338,-0.0420950837433338,human,DOWN
QSOX1,-0.0420067608356475,-0.0420067608356475,-0.0420067608356475,-0.0420067608356475,human,DOWN
APOA1,-0.041971381753683,-0.041971381753683,-0.041971381753683,-0.041971381753683,human,DOWN
