gene_symbol,logfc_dz:862,logfc_dz:863,mean_logfc,median_logfc,common_experiment,organism,signature_type
SPARCL1,0.1853380054235458,,0.1853380054235458,0.1853380054235458,0.1853380054235458,human,UP
SGK1,0.1162107810378074,,0.1162107810378074,0.1162107810378074,0.1162107810378074,human,UP
SERPINA3,0.1438591480255127,0.0550822131335735,0.0994706805795431,0.0994706805795431,0.1438591480255127,human,UP
C3,0.1041731759905815,0.065009206533432,0.0845911912620067,0.0845911912620067,0.1041731759905815,human,UP
GJA1,0.1097496747970581,0.0538819916546344,0.0818158332258462,0.0818158332258462,0.1097496747970581,human,UP
ACTG1,0.1140529513359069,0.049499474465847,0.081776212900877,0.081776212900877,0.1140529513359069,human,UP
HIF1A,,0.0757239535450935,0.0757239535450935,0.0757239535450935,,human,UP
LDHB,0.1000211238861084,0.0478504449129104,0.0739357843995094,0.0739357843995094,0.1000211238861084,human,UP
TMSB10,0.062946431338787,0.0725056305527687,0.0677260309457779,0.0677260309457779,0.062946431338787,human,UP
RPL41,,0.0608735345304012,0.0608735345304012,0.0608735345304012,,human,UP
PFN2,0.0583346150815486,,0.0583346150815486,0.0583346150815486,0.0583346150815486,human,UP
RPL9,0.071189098060131,0.0452270805835723,0.0582080893218517,0.0582080893218517,0.071189098060131,human,UP
SCRG1,0.0579746551811695,,0.0579746551811695,0.0579746551811695,0.0579746551811695,human,UP
IL13RA2,,0.0542285367846488,0.0542285367846488,0.0542285367846488,,human,UP
LAPTM4A,,0.0520304068922996,0.0520304068922996,0.0520304068922996,,human,UP
AQP4,0.0513405203819274,,0.0513405203819274,0.0513405203819274,0.0513405203819274,human,UP
HEY1,0.0603926815092563,0.0419868603348732,0.0511897709220647,0.0511897709220647,0.0603926815092563,human,UP
HLA-A,0.0429806523025035,0.0585381090641021,0.0507593806833028,0.0507593806833028,0.0429806523025035,human,UP
RPLP0,0.0190929751843214,0.0822212845087051,0.0506571298465132,0.0506571298465132,0.0190929751843214,human,UP
CSRP2,0.0504955798387527,,0.0504955798387527,0.0504955798387527,0.0504955798387527,human,UP
TXNIP,0.0489403903484344,,0.0489403903484344,0.0489403903484344,0.0489403903484344,human,UP
DBI,0.0687707066535949,0.0273757651448249,0.0480732358992099,0.0480732358992099,0.0687707066535949,human,UP
KCTD12,0.0566242560744285,0.0374376662075519,0.0470309611409902,0.0470309611409902,0.0566242560744285,human,UP
GPX1,0.0503441430628299,0.0434536598622798,0.0468989014625549,0.0468989014625549,0.0503441430628299,human,UP
HMGN2,0.0534261018037796,0.0393654145300388,0.0463957581669092,0.0463957581669092,0.0534261018037796,human,UP
PRDX6,0.0460669733583927,,0.0460669733583927,0.0460669733583927,0.0460669733583927,human,UP
CYFIP1,0.0608549900352954,0.0303191635757684,0.0455870768055319,0.0455870768055319,0.0608549900352954,human,UP
GADD45A,,0.0439055413007736,0.0439055413007736,0.0439055413007736,,human,UP
SLC25A3,0.0431517548859119,,0.0431517548859119,0.0431517548859119,0.0431517548859119,human,UP
IMPA1,0.0429673418402671,,0.0429673418402671,0.0429673418402671,0.0429673418402671,human,UP
EGR1,0.0426939129829406,,0.0426939129829406,0.0426939129829406,0.0426939129829406,human,UP
GPX3,,0.0425501763820648,0.0425501763820648,0.0425501763820648,,human,UP
RAB13,0.0151079259812831,0.0697271078824997,0.0424175169318914,0.0424175169318914,0.0151079259812831,human,UP
RPL6,0.0390637144446373,0.0448035337030887,0.041933624073863,0.041933624073863,0.0390637144446373,human,UP
NCOA4,0.0558134205639362,0.0272452570497989,0.0415293388068676,0.0415293388068676,0.0558134205639362,human,UP
BASP1,0.0412501655519008,,0.0412501655519008,0.0412501655519008,0.0412501655519008,human,UP
ITGAV,,0.0395012274384498,0.0395012274384498,0.0395012274384498,,human,UP
HADHB,0.0394937135279178,,0.0394937135279178,0.0394937135279178,0.0394937135279178,human,UP
GNG5,,0.0390660129487514,0.0390660129487514,0.0390660129487514,,human,UP
AGT,0.0651682466268539,0.0127689149230718,0.0389685807749629,0.0389685807749629,0.0651682466268539,human,UP
CDIPT,0.0386505313217639,,0.0386505313217639,0.0386505313217639,0.0386505313217639,human,UP
