gene_symbol,logfc_dz:493,logfc_dz:663,logfc_dz:407,logfc_dz:735,logfc_dz:656,logfc_dz:554,logfc_dz:660,mean_logfc,median_logfc,common_experiment,organism,signature_type
CCNA1,,,,,,0.2382201105356216,,0.2382201105356216,0.2382201105356216,,human,UP
PPBP,,,,0.1997440308332443,,0.1429100930690765,,0.1713270619511604,0.1713270619511604,,human,UP
DCAF6,,,,0.2602394521236419,,0.0803553313016891,,0.1702973917126655,0.1702973917126655,,human,UP
PTPRCAP,,,,,,0.1598511040210724,,0.1598511040210724,0.1598511040210724,,human,UP
ASNS,0.1196175962686538,,,,,,,0.1196175962686538,0.1196175962686538,0.1196175962686538,human,UP
IFI27,,0.058169562369585,0.238241970539093,,0.0591927729547023,,0.0423148050904274,0.0994797777384519,0.0586811676621437,,human,UP
PF4,,,,0.0991288796067237,,,,0.0991288796067237,0.0991288796067237,,human,UP
WBP2,,,,,,0.1667825877666473,0.0176645256578922,0.0922235567122697,0.0922235567122697,,human,UP
AKR1C3,,0.0781883895397186,0.11995629966259,,0.0378335043787956,,0.129358097910881,0.0913340728729963,0.0990723446011543,,human,UP
MAP3K7CL,,,,0.0566647425293922,,0.1242929026484489,,0.0904788225889206,0.0904788225889206,,human,UP
RPL23A,0.087674893438816,,,,,,,0.087674893438816,0.087674893438816,0.087674893438816,human,UP
CCL5,,,,0.0840033218264579,,,,0.0840033218264579,0.0840033218264579,,human,UP
CD69,,,,0.0812928825616836,,,,0.0812928825616836,0.0812928825616836,,human,UP
AKR1B10,,0.0408610962331295,0.120286576449871,,0.066125176846981,,0.0976922661066055,0.0812412789091467,0.0819087214767932,,human,UP
SLC9A3R2,,,,,,0.0807620361447334,,0.0807620361447334,0.0807620361447334,,human,UP
TNFAIP3,,,,0.118979774415493,,0.0411294698715209,,0.080054622143507,0.080054622143507,,human,UP
NTS,0.0781747549772262,,,,,,,0.0781747549772262,0.0781747549772262,0.0781747549772262,human,UP
IL2RG,,,,,,0.0756532847881317,,0.0756532847881317,0.0756532847881317,,human,UP
SQSTM1,,0.0493997372686862,,,,,0.1016140282154083,0.0755068827420473,0.0755068827420473,,human,UP
POP5,,,,,,0.0753674283623695,,0.0753674283623695,0.0753674283623695,,human,UP
UBD,,0.0197768658399581,0.1012096554040908,,0.1002393662929534,,0.0800730288028717,0.0753247290849685,0.0901561975479126,,human,UP
SERPINC1,,0.1105005592107772,-0.0119134709239006,,0.0389627590775489,,0.1614384800195694,0.0747470818459987,0.0747316591441631,,human,UP
HMGCS1,0.1047072634100914,0.0416101105511188,,,,,0.0777047500014305,0.0746740413208802,0.0777047500014305,0.1047072634100914,human,UP
FASN,,0.063353307545185,,,,,0.0786865726113319,0.0710199400782585,0.0710199400782585,,human,UP
NKG7,,,,0.070326067507267,,,,0.070326067507267,0.070326067507267,,human,UP
SPINK1,-0.2333432883024215,0.148587629199028,0.0896070599555969,,0.1698751896619796,,0.1720405220985412,0.0693534225225448,0.148587629199028,-0.2333432883024215,human,UP
HSPB1,,0.0844279825687408,0.0430959276854991,,0.071344569325447,,0.0781885907053947,0.0692642675712704,0.0747665800154209,,human,UP
CXCR4,,,,0.1207990422844886,,0.0155869228765368,,0.0681929825805127,0.0681929825805127,,human,UP
ATP6V1E1,0.0681460052728653,,,,,,,0.0681460052728653,0.0681460052728653,0.0681460052728653,human,UP
ANXA2,0.0934267789125442,,,,0.040513027459383,,,0.0669699031859636,0.0669699031859636,0.0934267789125442,human,UP
GNPAT,0.0663414895534515,,,,,,,0.0663414895534515,0.0663414895534515,0.0663414895534515,human,UP
RPL13,0.0647232830524444,,,,,,,0.0647232830524444,0.0647232830524444,0.0647232830524444,human,UP
RPL15,0.0639417991042137,,,,,,,0.0639417991042137,0.0639417991042137,0.0639417991042137,human,UP
HLA-B,,,0.1180715709924697,0.077161967754364,0.0401623211801052,,0.0197802055627107,0.0637940163724124,0.0586621444672346,,human,UP
FDFT1,0.0626850873231887,,,,,,,0.0626850873231887,0.0626850873231887,0.0626850873231887,human,UP
COX6C,0.1082421094179153,0.0412990525364875,0.0544292032718658,,0.0774711742997169,,0.0299680419266223,0.0622819162905216,0.0544292032718658,0.1082421094179153,human,UP
IL1B,,,,0.0621918961405754,,,,0.0621918961405754,0.0621918961405754,,human,UP
GPC3,,0.0536378137767314,,,0.1050609499216079,,0.0273157395422458,0.0620048344135284,0.0536378137767314,,human,UP
IFNA1,,,,,,0.0599553696811199,,0.0599553696811199,0.0599553696811199,,human,UP
LALBA,,,,,,0.0596850477159023,,0.0596850477159023,0.0596850477159023,,human,UP
FDPS,0.0587866306304931,,,,,,,0.0587866306304931,0.0587866306304931,0.0587866306304931,human,UP
ISG15,,,0.0966094806790351,0.0199546851217746,,,,0.0582820829004049,0.0582820829004049,,human,UP
LCN2,,0.0695344433188438,0.0465038828551769,,,,,0.0580191630870103,0.0580191630870103,,human,UP
NACA,0.0574745088815689,,,,,,,0.0574745088815689,0.0574745088815689,0.0574745088815689,human,UP
ACTA2,,0.0574812889099121,,,,,0.0567673668265342,0.0571243278682231,0.0571243278682231,,human,UP
ALDH1A1,0.0398576036095619,0.0552858226001262,0.1174947991967201,,,,0.0155416512861847,0.0570449691731482,0.047571713104844,0.0398576036095619,human,UP
TRIM22,,,,,,0.0554732605814933,,0.0554732605814933,0.0554732605814933,,human,UP
CES1,,,0.0540150962769985,,,,,0.0540150962769985,0.0540150962769985,,human,UP
ATP6V1B2,,,,,,0.0537623614072799,,0.0537623614072799,0.0537623614072799,,human,UP
EPHX1,,0.0761906132102012,0.1015956699848175,,-0.0174727905541658,,,0.0534378308802843,0.0761906132102012,,human,UP
ITIH3,,,0.0478022582828998,,0.0584255382418632,,,0.0531138982623815,0.0531138982623815,,human,UP
