gene_symbol,logfc_dz:435,mean_logfc,median_logfc,common_experiment,organism,signature_type
MT1H,0.0711574479937553,0.0711574479937553,0.0711574479937553,0.0711574479937553,human,UP
EMX1,0.0629646778106689,0.0629646778106689,0.0629646778106689,0.0629646778106689,human,UP
APLP2,0.0570345669984817,0.0570345669984817,0.0570345669984817,0.0570345669984817,human,UP
ACTG2,0.0549385622143745,0.0549385622143745,0.0549385622143745,0.0549385622143745,human,UP
MRPL23,0.0521040260791778,0.0521040260791778,0.0521040260791778,0.0521040260791778,human,UP
BTK,0.051387321203947,0.051387321203947,0.051387321203947,0.051387321203947,human,UP
KRT18,0.0512540005147457,0.0512540005147457,0.0512540005147457,0.0512540005147457,human,UP
MTCH2,0.0511657185852527,0.0511657185852527,0.0511657185852527,0.0511657185852527,human,UP
SMPD1,0.0501674562692642,0.0501674562692642,0.0501674562692642,0.0501674562692642,human,UP
PRKCA,0.0474797375500202,0.0474797375500202,0.0474797375500202,0.0474797375500202,human,UP
CCDC85B,0.0473709180951118,0.0473709180951118,0.0473709180951118,0.0473709180951118,human,UP
SERPINE1,0.0470285937190055,0.0470285937190055,0.0470285937190055,0.0470285937190055,human,UP
FOXO1,0.0468721203505992,0.0468721203505992,0.0468721203505992,0.0468721203505992,human,UP
CALM2,0.0463112704455852,0.0463112704455852,0.0463112704455852,0.0463112704455852,human,UP
APBA1,0.0461054630577564,0.0461054630577564,0.0461054630577564,0.0461054630577564,human,UP
KRT7,0.045513242483139,0.045513242483139,0.045513242483139,0.045513242483139,human,UP
FBLN2,0.0443782471120357,0.0443782471120357,0.0443782471120357,0.0443782471120357,human,UP
EMP3,0.0443312749266624,0.0443312749266624,0.0443312749266624,0.0443312749266624,human,UP
DTNA,0.0409192591905593,0.0409192591905593,0.0409192591905593,0.0409192591905593,human,UP
XRCC4,0.040351677685976,0.040351677685976,0.040351677685976,0.040351677685976,human,UP
SNTB1,0.0400940105319023,0.0400940105319023,0.0400940105319023,0.0400940105319023,human,UP
GFER,0.0400559902191162,0.0400559902191162,0.0400559902191162,0.0400559902191162,human,UP
GNB2,0.0399206131696701,0.0399206131696701,0.0399206131696701,0.0399206131696701,human,UP
AMT,0.0398481413722038,0.0398481413722038,0.0398481413722038,0.0398481413722038,human,UP
RBM12,0.0389742255210876,0.0389742255210876,0.0389742255210876,0.0389742255210876,human,UP
SOCS1,0.0374560318887233,0.0374560318887233,0.0374560318887233,0.0374560318887233,human,UP
ACYP2,0.0373568460345268,0.0373568460345268,0.0373568460345268,0.0373568460345268,human,UP
PDHA1,0.0366748198866844,0.0366748198866844,0.0366748198866844,0.0366748198866844,human,UP
HTATSF1,0.0365033857524395,0.0365033857524395,0.0365033857524395,0.0365033857524395,human,UP
ZNF211,0.0363436974585056,0.0363436974585056,0.0363436974585056,0.0363436974585056,human,UP
CLDN3,0.0358910486102104,0.0358910486102104,0.0358910486102104,0.0358910486102104,human,UP
TPBG,0.0355522185564041,0.0355522185564041,0.0355522185564041,0.0355522185564041,human,UP
CCT5,0.0353855118155479,0.0353855118155479,0.0353855118155479,0.0353855118155479,human,UP
CDKN2D,0.035353884100914,0.035353884100914,0.035353884100914,0.035353884100914,human,UP
PPP1R1A,0.0352085977792739,0.0352085977792739,0.0352085977792739,0.0352085977792739,human,UP
GRIN2C,0.0351464077830314,0.0351464077830314,0.0351464077830314,0.0351464077830314,human,UP
SNRPB,0.0351246334612369,0.0351246334612369,0.0351246334612369,0.0351246334612369,human,UP
ODC1,0.03502744063735,0.03502744063735,0.03502744063735,0.03502744063735,human,UP
PAPOLA,0.0347920022904872,0.0347920022904872,0.0347920022904872,0.0347920022904872,human,UP
RPL10A,0.0345613732933998,0.0345613732933998,0.0345613732933998,0.0345613732933998,human,UP
ACVR2A,0.0345305874943733,0.0345305874943733,0.0345305874943733,0.0345305874943733,human,UP
ALOX12,0.034521859139204,0.034521859139204,0.034521859139204,0.034521859139204,human,UP
DPM1,0.0344868674874305,0.0344868674874305,0.0344868674874305,0.0344868674874305,human,UP
SERPINB3,0.0342865698039531,0.0342865698039531,0.0342865698039531,0.0342865698039531,human,UP
MT1X,0.0342352278530597,0.0342352278530597,0.0342352278530597,0.0342352278530597,human,UP
PPP2R3A,0.034073170274496,0.034073170274496,0.034073170274496,0.034073170274496,human,UP
TPM1,0.0339743047952652,0.0339743047952652,0.0339743047952652,0.0339743047952652,human,UP
COL1A2,0.0338159166276454,0.0338159166276454,0.0338159166276454,0.0338159166276454,human,UP
MAP2K3,0.0335912220180034,0.0335912220180034,0.0335912220180034,0.0335912220180034,human,UP
CPB2,0.0334959998726844,0.0334959998726844,0.0334959998726844,0.0334959998726844,human,UP
PCBD1,0.0332870446145534,0.0332870446145534,0.0332870446145534,0.0332870446145534,human,UP
CCT2,0.0330567061901092,0.0330567061901092,0.0330567061901092,0.0330567061901092,human,UP
CRADD,0.0328459665179252,0.0328459665179252,0.0328459665179252,0.0328459665179252,human,UP
MERTK,0.0327905304729938,0.0327905304729938,0.0327905304729938,0.0327905304729938,human,UP
ATRX,0.0327636338770389,0.0327636338770389,0.0327636338770389,0.0327636338770389,human,UP
LRP1,0.0325912348926067,0.0325912348926067,0.0325912348926067,0.0325912348926067,human,UP
FKBP8,0.0325462259352207,0.0325462259352207,0.0325462259352207,0.0325462259352207,human,UP
MYL9,0.0324701145291328,0.0324701145291328,0.0324701145291328,0.0324701145291328,human,UP
CUL1,0.0323184877634048,0.0323184877634048,0.0323184877634048,0.0323184877634048,human,UP
UBTF,0.0322679318487644,0.0322679318487644,0.0322679318487644,0.0322679318487644,human,UP
TRDN,0.0318075567483902,0.0318075567483902,0.0318075567483902,0.0318075567483902,human,UP
KCNS1,0.0317061208188533,0.0317061208188533,0.0317061208188533,0.0317061208188533,human,UP
GCSH,0.0316918045282363,0.0316918045282363,0.0316918045282363,0.0316918045282363,human,UP
HTR2B,0.0316380746662616,0.0316380746662616,0.0316380746662616,0.0316380746662616,human,UP
CCL16,0.031377725303173,0.031377725303173,0.031377725303173,0.031377725303173,human,UP
TBXA2R,0.0313670188188552,0.0313670188188552,0.0313670188188552,0.0313670188188552,human,UP
UROD,0.0313645154237747,0.0313645154237747,0.0313645154237747,0.0313645154237747,human,UP
SIVA1,0.0312907882034778,0.0312907882034778,0.0312907882034778,0.0312907882034778,human,UP
IL11RA,0.0311796274036169,0.0311796274036169,0.0311796274036169,0.0311796274036169,human,UP
P4HB,0.0311717018485069,0.0311717018485069,0.0311717018485069,0.0311717018485069,human,UP
