gene_symbol,logfc_dz:1012,mean_logfc,median_logfc,common_experiment,organism,signature_type
ACTA1,0.1384505629539489,0.1384505629539489,0.1384505629539489,0.1384505629539489,human,UP
GATM,0.1166448220610618,0.1166448220610618,0.1166448220610618,0.1166448220610618,human,UP
ALDOB,0.1095768064260482,0.1095768064260482,0.1095768064260482,0.1095768064260482,human,UP
HLA-B,0.1068341210484504,0.1068341210484504,0.1068341210484504,0.1068341210484504,human,UP
SLC13A1,0.0992997661232948,0.0992997661232948,0.0992997661232948,0.0992997661232948,human,UP
SPP1,0.091651014983654,0.091651014983654,0.091651014983654,0.091651014983654,human,UP
MMP7,0.0900159925222396,0.0900159925222396,0.0900159925222396,0.0900159925222396,human,UP
HLA-C,0.0839403197169303,0.0839403197169303,0.0839403197169303,0.0839403197169303,human,UP
C7,0.0822764188051223,0.0822764188051223,0.0822764188051223,0.0822764188051223,human,UP
APP,0.0770410746335983,0.0770410746335983,0.0770410746335983,0.0770410746335983,human,UP
PIGR,0.0760550796985626,0.0760550796985626,0.0760550796985626,0.0760550796985626,human,UP
TOB2,0.0741203129291534,0.0741203129291534,0.0741203129291534,0.0741203129291534,human,UP
HLA-G,0.0713240802288055,0.0713240802288055,0.0713240802288055,0.0713240802288055,human,UP
MYL2,0.070825807750225,0.070825807750225,0.070825807750225,0.070825807750225,human,UP
IGFBP5,0.0702930986881256,0.0702930986881256,0.0702930986881256,0.0702930986881256,human,UP
CTSD,0.0701015442609787,0.0701015442609787,0.0701015442609787,0.0701015442609787,human,UP
A2M,0.0695055872201919,0.0695055872201919,0.0695055872201919,0.0695055872201919,human,UP
ACADM,0.0672885924577713,0.0672885924577713,0.0672885924577713,0.0672885924577713,human,UP
LUM,0.0671007707715034,0.0671007707715034,0.0671007707715034,0.0671007707715034,human,UP
SLC5A12,0.0668180733919143,0.0668180733919143,0.0668180733919143,0.0668180733919143,human,UP
STK19,0.0653168261051178,0.0653168261051178,0.0653168261051178,0.0653168261051178,human,UP
HLA-A,0.0642907246947288,0.0642907246947288,0.0642907246947288,0.0642907246947288,human,UP
HSPA8,0.0631661266088485,0.0631661266088485,0.0631661266088485,0.0631661266088485,human,UP
TNFSF10,0.0627785697579383,0.0627785697579383,0.0627785697579383,0.0627785697579383,human,UP
LRP2,0.0612776987254619,0.0612776987254619,0.0612776987254619,0.0612776987254619,human,UP
ACTN4,0.0611902773380279,0.0611902773380279,0.0611902773380279,0.0611902773380279,human,UP
CYP4A11,0.0606533139944076,0.0606533139944076,0.0606533139944076,0.0606533139944076,human,UP
TXNIP,0.0590770095586776,0.0590770095586776,0.0590770095586776,0.0590770095586776,human,UP
ACTB,0.0585229024291038,0.0585229024291038,0.0585229024291038,0.0585229024291038,human,UP
HLA-DPA1,0.0580427125096321,0.0580427125096321,0.0580427125096321,0.0580427125096321,human,UP
ANXA1,0.0571207217872142,0.0571207217872142,0.0571207217872142,0.0571207217872142,human,UP
CDH6,0.0564783103764057,0.0564783103764057,0.0564783103764057,0.0564783103764057,human,UP
CANX,0.0550550334155559,0.0550550334155559,0.0550550334155559,0.0550550334155559,human,UP
KCNJ15,0.053985022008419,0.053985022008419,0.053985022008419,0.053985022008419,human,UP
RNASE1,0.0537529960274696,0.0537529960274696,0.0537529960274696,0.0537529960274696,human,UP
FHL1,0.0516697913408279,0.0516697913408279,0.0516697913408279,0.0516697913408279,human,UP
THBS1,0.0501435697078704,0.0501435697078704,0.0501435697078704,0.0501435697078704,human,UP
PYGM,0.0495844073593616,0.0495844073593616,0.0495844073593616,0.0495844073593616,human,UP
F13A1,0.0492398142814636,0.0492398142814636,0.0492398142814636,0.0492398142814636,human,UP
LAPTM4A,0.0474941655993461,0.0474941655993461,0.0474941655993461,0.0474941655993461,human,UP
HLA-E,0.0471721477806568,0.0471721477806568,0.0471721477806568,0.0471721477806568,human,UP
CLU,0.046775933355093,0.046775933355093,0.046775933355093,0.046775933355093,human,UP
EEF2,0.0463125854730606,0.0463125854730606,0.0463125854730606,0.0463125854730606,human,UP
ACTG1,0.0462716817855834,0.0462716817855834,0.0462716817855834,0.0462716817855834,human,UP
ANPEP,0.0457674488425254,0.0457674488425254,0.0457674488425254,0.0457674488425254,human,UP
CD74,0.043761245906353,0.043761245906353,0.043761245906353,0.043761245906353,human,UP
PEPD,0.0433290340006351,0.0433290340006351,0.0433290340006351,0.0433290340006351,human,UP
HBA2,0.0431686863303184,0.0431686863303184,0.0431686863303184,0.0431686863303184,human,UP
SLN,0.0427726246416568,0.0427726246416568,0.0427726246416568,0.0427726246416568,human,UP
HAVCR1,0.0426889173686504,0.0426889173686504,0.0426889173686504,0.0426889173686504,human,UP
SLC25A6,0.0417994782328605,0.0417994782328605,0.0417994782328605,0.0417994782328605,human,UP
GPX3,0.0403602942824363,0.0403602942824363,0.0403602942824363,0.0403602942824363,human,UP
HLA-DPB1,0.0402282252907753,0.0402282252907753,0.0402282252907753,0.0402282252907753,human,UP
SLC17A1,0.0398087166249752,0.0398087166249752,0.0398087166249752,0.0398087166249752,human,UP
CD164,0.0396635308861732,0.0396635308861732,0.0396635308861732,0.0396635308861732,human,UP
HSP90B1,0.0394657738506794,0.0394657738506794,0.0394657738506794,0.0394657738506794,human,UP
VIM,0.0391813069581985,0.0391813069581985,0.0391813069581985,0.0391813069581985,human,UP
ATP6V1B2,0.0383012518286705,0.0383012518286705,0.0383012518286705,0.0383012518286705,human,UP
MYL1,0.0381319150328636,0.0381319150328636,0.0381319150328636,0.0381319150328636,human,UP
VCAM1,0.0378331877291202,0.0378331877291202,0.0378331877291202,0.0378331877291202,human,UP
GK,0.0375948287546634,0.0375948287546634,0.0375948287546634,0.0375948287546634,human,UP
HLA-DRA,0.0371755808591842,0.0371755808591842,0.0371755808591842,0.0371755808591842,human,UP
MYBPC1,0.0371105708181858,0.0371105708181858,0.0371105708181858,0.0371105708181858,human,UP
MYH7,0.037049300968647,0.037049300968647,0.037049300968647,0.037049300968647,human,UP
ARL6IP5,0.0368312299251556,0.0368312299251556,0.0368312299251556,0.0368312299251556,human,UP
REN,0.0367693938314914,0.0367693938314914,0.0367693938314914,0.0367693938314914,human,UP
PTEN,0.0364735685288906,0.0364735685288906,0.0364735685288906,0.0364735685288906,human,UP
MAT2A,0.0362064316868782,0.0362064316868782,0.0362064316868782,0.0362064316868782,human,UP
TM9SF2,0.0358720608055591,0.0358720608055591,0.0358720608055591,0.0358720608055591,human,UP
UBC,0.0357801131904125,0.0357801131904125,0.0357801131904125,0.0357801131904125,human,UP
CXCL14,0.0352967642247676,0.0352967642247676,0.0352967642247676,0.0352967642247676,human,UP
RPL7,0.0351560115814209,0.0351560115814209,0.0351560115814209,0.0351560115814209,human,UP
MSN,0.0346694104373455,0.0346694104373455,0.0346694104373455,0.0346694104373455,human,UP
SLC7A8,0.0345737598836422,0.0345737598836422,0.0345737598836422,0.0345737598836422,human,UP
TTN,0.0344904586672782,0.0344904586672782,0.0344904586672782,0.0344904586672782,human,UP
TMBIM6,0.0342701226472854,0.0342701226472854,0.0342701226472854,0.0342701226472854,human,UP
DAB2,0.0339778549969196,0.0339778549969196,0.0339778549969196,0.0339778549969196,human,UP
SLC4A4,0.0338330268859863,0.0338330268859863,0.0338330268859863,0.0338330268859863,human,UP
PCK1,0.033729288727045,0.033729288727045,0.033729288727045,0.033729288727045,human,UP
UBB,0.0336748175323009,0.0336748175323009,0.0336748175323009,0.0336748175323009,human,UP
RAB7A,0.0333174504339695,0.0333174504339695,0.0333174504339695,0.0333174504339695,human,UP
HIF1A,0.0332025960087776,0.0332025960087776,0.0332025960087776,0.0332025960087776,human,UP
IL17RB,0.0329752340912818,0.0329752340912818,0.0329752340912818,0.0329752340912818,human,UP
CKM,0.0325560979545116,0.0325560979545116,0.0325560979545116,0.0325560979545116,human,UP
BBOX1,0.0322667397558689,0.0322667397558689,0.0322667397558689,0.0322667397558689,human,UP
YBX3,0.0322589948773384,0.0322589948773384,0.0322589948773384,0.0322589948773384,human,UP
SNX2,0.0322301313281059,0.0322301313281059,0.0322301313281059,0.0322301313281059,human,UP
GC,0.0317995063960552,0.0317995063960552,0.0317995063960552,0.0317995063960552,human,UP
SLC17A3,0.0316448248922824,0.0316448248922824,0.0316448248922824,0.0316448248922824,human,UP
CALB1,0.0315948314964771,0.0315948314964771,0.0315948314964771,0.0315948314964771,human,UP
NEB,0.0311344973742961,0.0311344973742961,0.0311344973742961,0.0311344973742961,human,UP
CUBN,0.03110196813941,0.03110196813941,0.03110196813941,0.03110196813941,human,UP
SPARC,0.0310419630259275,0.0310419630259275,0.0310419630259275,0.0310419630259275,human,UP
PLTP,0.0309926476329565,0.0309926476329565,0.0309926476329565,0.0309926476329565,human,UP
