gene_symbol,logfc_dz:46,mean_logfc,median_logfc,common_experiment,organism,signature_type
MMP1,0.1983177214860916,0.1983177214860916,0.1983177214860916,0.1983177214860916,human,UP
AKR1C2,0.1322364807128906,0.1322364807128906,0.1322364807128906,0.1322364807128906,human,UP
CYP1B1,0.1222520619630813,0.1222520619630813,0.1222520619630813,0.1222520619630813,human,UP
CTSL,0.1065614521503448,0.1065614521503448,0.1065614521503448,0.1065614521503448,human,UP
TXN,0.0999767482280731,0.0999767482280731,0.0999767482280731,0.0999767482280731,human,UP
SERPINB2,0.096404917538166,0.096404917538166,0.096404917538166,0.096404917538166,human,UP
ODC1,0.0754166170954704,0.0754166170954704,0.0754166170954704,0.0754166170954704,human,UP
TXNRD1,0.0741029009222984,0.0741029009222984,0.0741029009222984,0.0741029009222984,human,UP
MAFF,0.0665917992591857,0.0665917992591857,0.0665917992591857,0.0665917992591857,human,UP
RND3,0.0641447976231575,0.0641447976231575,0.0641447976231575,0.0641447976231575,human,UP
HSP90AA1,0.0621463879942894,0.0621463879942894,0.0621463879942894,0.0621463879942894,human,UP
RPL37,0.0621190033853054,0.0621190033853054,0.0621190033853054,0.0621190033853054,human,UP
AKR1B1,0.0611518993973732,0.0611518993973732,0.0611518993973732,0.0611518993973732,human,UP
HMGN1,0.0599866025149822,0.0599866025149822,0.0599866025149822,0.0599866025149822,human,UP
STEAP1,0.0597562417387962,0.0597562417387962,0.0597562417387962,0.0597562417387962,human,UP
CEBPB,0.0571334473788738,0.0571334473788738,0.0571334473788738,0.0571334473788738,human,UP
ATP1B3,0.0567630976438522,0.0567630976438522,0.0567630976438522,0.0567630976438522,human,UP
HSPA1A,0.0520195066928863,0.0520195066928863,0.0520195066928863,0.0520195066928863,human,UP
BNIP3L,0.0515456274151802,0.0515456274151802,0.0515456274151802,0.0515456274151802,human,UP
TMEM158,0.0514101572334766,0.0514101572334766,0.0514101572334766,0.0514101572334766,human,UP
BCAP31,0.0513476356863975,0.0513476356863975,0.0513476356863975,0.0513476356863975,human,UP
CEMIP,0.0513359755277633,0.0513359755277633,0.0513359755277633,0.0513359755277633,human,UP
GSTO1,0.0512984320521354,0.0512984320521354,0.0512984320521354,0.0512984320521354,human,UP
STC2,0.0509785450994968,0.0509785450994968,0.0509785450994968,0.0509785450994968,human,UP
XPO1,0.0507757365703582,0.0507757365703582,0.0507757365703582,0.0507757365703582,human,UP
LPXN,0.049790121614933,0.049790121614933,0.049790121614933,0.049790121614933,human,UP
ADM,0.0488291271030902,0.0488291271030902,0.0488291271030902,0.0488291271030902,human,UP
NBL1,0.0483199395239353,0.0483199395239353,0.0483199395239353,0.0483199395239353,human,UP
NPC2,0.0482199527323246,0.0482199527323246,0.0482199527323246,0.0482199527323246,human,UP
RPL37A,0.0481218248605728,0.0481218248605728,0.0481218248605728,0.0481218248605728,human,UP
PRDX1,0.0475292578339576,0.0475292578339576,0.0475292578339576,0.0475292578339576,human,UP
EEF1B2,0.0466313771903514,0.0466313771903514,0.0466313771903514,0.0466313771903514,human,UP
PPP1R15A,0.0450156182050704,0.0450156182050704,0.0450156182050704,0.0450156182050704,human,UP
CDKN1A,0.0434208996593952,0.0434208996593952,0.0434208996593952,0.0434208996593952,human,UP
GLUL,0.0433812513947486,0.0433812513947486,0.0433812513947486,0.0433812513947486,human,UP
TNFRSF11B,0.043255977332592,0.043255977332592,0.043255977332592,0.043255977332592,human,UP
PLIN2,0.042734820395708,0.042734820395708,0.042734820395708,0.042734820395708,human,UP
RPL18,0.0426970459520816,0.0426970459520816,0.0426970459520816,0.0426970459520816,human,UP
SNRPB,0.0426186621189117,0.0426186621189117,0.0426186621189117,0.0426186621189117,human,UP
HSPA1B,0.0419029965996742,0.0419029965996742,0.0419029965996742,0.0419029965996742,human,UP
PRRX1,0.0412357933819294,0.0412357933819294,0.0412357933819294,0.0412357933819294,human,UP
TPT1,0.0410058796405792,0.0410058796405792,0.0410058796405792,0.0410058796405792,human,UP
