gene_symbol,logfc_dz:980,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100A7,0.1755095571279525,0.1755095571279525,0.1755095571279525,0.1755095571279525,human,UP
S100A9,0.1188423112034797,0.1188423112034797,0.1188423112034797,0.1188423112034797,human,UP
FABP5,0.1186719760298729,0.1186719760298729,0.1186719760298729,0.1186719760298729,human,UP
CXCL9,0.1034942716360092,0.1034942716360092,0.1034942716360092,0.1034942716360092,human,UP
FTL,0.0855180472135543,0.0855180472135543,0.0855180472135543,0.0855180472135543,human,UP
HLA-DRA,0.0800064578652381,0.0800064578652381,0.0800064578652381,0.0800064578652381,human,UP
TMSB10,0.0737984627485275,0.0737984627485275,0.0737984627485275,0.0737984627485275,human,UP
SDCBP,0.0735646411776542,0.0735646411776542,0.0735646411776542,0.0735646411776542,human,UP
IFI27,0.0735488533973693,0.0735488533973693,0.0735488533973693,0.0735488533973693,human,UP
TYRP1,0.0670440271496772,0.0670440271496772,0.0670440271496772,0.0670440271496772,human,UP
CD63,0.0669663622975349,0.0669663622975349,0.0669663622975349,0.0669663622975349,human,UP
PMEL,0.0624535232782363,0.0624535232782363,0.0624535232782363,0.0624535232782363,human,UP
S100A2,0.0619086436927318,0.0619086436927318,0.0619086436927318,0.0619086436927318,human,UP
SPRR1B,0.0556877180933952,0.0556877180933952,0.0556877180933952,0.0556877180933952,human,UP
HLA-C,0.0488031059503555,0.0488031059503555,0.0488031059503555,0.0488031059503555,human,UP
ACTB,0.0485855266451835,0.0485855266451835,0.0485855266451835,0.0485855266451835,human,UP
HSPA8,0.0484755374491214,0.0484755374491214,0.0484755374491214,0.0484755374491214,human,UP
HLA-A,0.0473737902939319,0.0473737902939319,0.0473737902939319,0.0473737902939319,human,UP
CCL19,0.042762167751789,0.042762167751789,0.042762167751789,0.042762167751789,human,UP
HLA-B,0.0419509001076221,0.0419509001076221,0.0419509001076221,0.0419509001076221,human,UP
SPRR1A,0.0417160652577877,0.0417160652577877,0.0417160652577877,0.0417160652577877,human,UP
SERPINB3,0.0411205291748046,0.0411205291748046,0.0411205291748046,0.0411205291748046,human,UP
SERPINB4,0.0405323021113872,0.0405323021113872,0.0405323021113872,0.0405323021113872,human,UP
LUM,0.0394323579967021,0.0394323579967021,0.0394323579967021,0.0394323579967021,human,UP
CFL1,0.0379784181714057,0.0379784181714057,0.0379784181714057,0.0379784181714057,human,UP
MMP9,0.0377140045166015,0.0377140045166015,0.0377140045166015,0.0377140045166015,human,UP
C3,0.0373655892908573,0.0373655892908573,0.0373655892908573,0.0373655892908573,human,UP
CXCL10,0.0372752323746681,0.0372752323746681,0.0372752323746681,0.0372752323746681,human,UP
PSAP,0.0370958000421524,0.0370958000421524,0.0370958000421524,0.0370958000421524,human,UP
GGCT,0.0362654402852058,0.0362654402852058,0.0362654402852058,0.0362654402852058,human,UP
HLA-G,0.0358701795339584,0.0358701795339584,0.0358701795339584,0.0358701795339584,human,UP
SPARCL1,0.0330563932657241,0.0330563932657241,0.0330563932657241,0.0330563932657241,human,UP
SGK1,0.0329677984118461,0.0329677984118461,0.0329677984118461,0.0329677984118461,human,UP
QPCT,0.0318705067038536,0.0318705067038536,0.0318705067038536,0.0318705067038536,human,UP
B2M,0.0318547673523426,0.0318547673523426,0.0318547673523426,0.0318547673523426,human,UP
APOD,0.0317067354917526,0.0317067354917526,0.0317067354917526,0.0317067354917526,human,UP
S100A4,0.0313480794429779,0.0313480794429779,0.0313480794429779,0.0313480794429779,human,UP
LDHB,0.0313044115900993,0.0313044115900993,0.0313044115900993,0.0313044115900993,human,UP
CTSB,0.0309991315007209,0.0309991315007209,0.0309991315007209,0.0309991315007209,human,UP
C1S,0.0294225700199604,0.0294225700199604,0.0294225700199604,0.0294225700199604,human,UP
LAP3,0.0285877306014299,0.0285877306014299,0.0285877306014299,0.0285877306014299,human,UP
CDK2AP1,0.027718860656023,0.027718860656023,0.027718860656023,0.027718860656023,human,UP
GSTO1,0.027019677683711,0.027019677683711,0.027019677683711,0.027019677683711,human,UP
LGALS1,0.0266339089721441,0.0266339089721441,0.0266339089721441,0.0266339089721441,human,UP
EMP3,0.0264373552054166,0.0264373552054166,0.0264373552054166,0.0264373552054166,human,UP
PTGDS,0.0254230853170156,0.0254230853170156,0.0254230853170156,0.0254230853170156,human,UP
HLA-DPA1,0.0251100081950426,0.0251100081950426,0.0251100081950426,0.0251100081950426,human,UP
HLA-DPB1,0.0250172466039657,0.0250172466039657,0.0250172466039657,0.0250172466039657,human,UP
KRT6B,0.0247291531413793,0.0247291531413793,0.0247291531413793,0.0247291531413793,human,UP
IFITM3,0.0244792979210615,0.0244792979210615,0.0244792979210615,0.0244792979210615,human,UP
IFITM1,0.0240466650575399,0.0240466650575399,0.0240466650575399,0.0240466650575399,human,UP
CALML5,0.0232516098767519,0.0232516098767519,0.0232516098767519,0.0232516098767519,human,UP
TRIM22,0.0230579376220703,0.0230579376220703,0.0230579376220703,0.0230579376220703,human,UP
IFITM2,0.0228353887796401,0.0228353887796401,0.0228353887796401,0.0228353887796401,human,UP
CRABP2,0.0228115674108266,0.0228115674108266,0.0228115674108266,0.0228115674108266,human,UP
EDNRB,0.0221142973750829,0.0221142973750829,0.0221142973750829,0.0221142973750829,human,UP
MARCKSL1,0.0219396147876977,0.0219396147876977,0.0219396147876977,0.0219396147876977,human,UP
RPL10,0.0218071024864912,0.0218071024864912,0.0218071024864912,0.0218071024864912,human,UP
PLA2G2A,0.0217506438493728,0.0217506438493728,0.0217506438493728,0.0217506438493728,human,UP
SNRPG,0.0214116778224706,0.0214116778224706,0.0214116778224706,0.0214116778224706,human,UP
FTH1,0.0213545337319374,0.0213545337319374,0.0213545337319374,0.0213545337319374,human,UP
UBD,0.0212969053536653,0.0212969053536653,0.0212969053536653,0.0212969053536653,human,UP
LAPTM5,0.0211870707571506,0.0211870707571506,0.0211870707571506,0.0211870707571506,human,UP
ARPC1B,0.0210885815322399,0.0210885815322399,0.0210885815322399,0.0210885815322399,human,UP
MIR21,0.0205851290374994,0.0205851290374994,0.0205851290374994,0.0205851290374994,human,UP
KRT2,-0.4504649341106415,-0.4504649341106415,-0.4504649341106415,-0.4504649341106415,human,DOWN
PIP,-0.1627605855464935,-0.1627605855464935,-0.1627605855464935,-0.1627605855464935,human,DOWN
KRT14,-0.1234327480196952,-0.1234327480196952,-0.1234327480196952,-0.1234327480196952,human,DOWN
FOS,-0.1093506067991256,-0.1093506067991256,-0.1093506067991256,-0.1093506067991256,human,DOWN
DSP,-0.109002947807312,-0.109002947807312,-0.109002947807312,-0.109002947807312,human,DOWN
SCGB2A2,-0.1007370054721832,-0.1007370054721832,-0.1007370054721832,-0.1007370054721832,human,DOWN
RPS2,-0.0997626781463623,-0.0997626781463623,-0.0997626781463623,-0.0997626781463623,human,DOWN
DSC1,-0.0945583060383796,-0.0945583060383796,-0.0945583060383796,-0.0945583060383796,human,DOWN
RPL3,-0.0866661071777343,-0.0866661071777343,-0.0866661071777343,-0.0866661071777343,human,DOWN
SLC38A2,-0.0780900493264198,-0.0780900493264198,-0.0780900493264198,-0.0780900493264198,human,DOWN
KRT5,-0.0776779502630233,-0.0776779502630233,-0.0776779502630233,-0.0776779502630233,human,DOWN
LGALS7B,-0.0759120434522628,-0.0759120434522628,-0.0759120434522628,-0.0759120434522628,human,DOWN
DEGS1,-0.0733627527952194,-0.0733627527952194,-0.0733627527952194,-0.0733627527952194,human,DOWN
