gene_symbol,logfc_dz:561,logfc_dz:787,logfc_dz:707,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS15,,0.2063555419445037,,0.2063555419445037,0.2063555419445037,,human,UP
KCTD12,,,0.1757361590862274,0.1757361590862274,0.1757361590862274,0.1757361590862274,human,UP
GREM1,,,0.1441168040037155,0.1441168040037155,0.1441168040037155,0.1441168040037155,human,UP
MEST,,,0.1151153594255447,0.1151153594255447,0.1151153594255447,0.1151153594255447,human,UP
RPL41,,0.1706483513116836,0.0532054603099823,0.1119269058108329,0.1119269058108329,0.0532054603099823,human,UP
FTL,0.0425708554685115,0.0984593331813812,0.1945109665393829,0.1118470517297585,0.0984593331813812,0.1945109665393829,human,UP
PPIB,,0.108389712870121,,0.108389712870121,0.108389712870121,,human,UP
SPCS1,,0.1048594936728477,,0.1048594936728477,0.1048594936728477,,human,UP
RPS28,0.0998932793736457,,,0.0998932793736457,0.0998932793736457,,human,UP
NFKBIA,0.0900289416313171,,,0.0900289416313171,0.0900289416313171,,human,UP
IFITM3,,,0.0877835005521774,0.0877835005521774,0.0877835005521774,0.0877835005521774,human,UP
RPS23,,0.0874014273285865,,0.0874014273285865,0.0874014273285865,,human,UP
RPL3,,0.1120791137218475,0.0575968064367771,0.0848379600793123,0.0848379600793123,0.0575968064367771,human,UP
SNAI2,,,0.0825963541865348,0.0825963541865348,0.0825963541865348,0.0825963541865348,human,UP
FTH1,,0.0116671361029148,0.1473160684108734,0.0794916022568941,0.0794916022568941,0.1473160684108734,human,UP
B2M,0.0652419105172157,0.0902967080473899,,0.0777693092823028,0.0777693092823028,,human,UP
LAMC1,,,0.077551282942295,0.077551282942295,0.077551282942295,0.077551282942295,human,UP
S100A8,0.0773937851190567,,,0.0773937851190567,0.0773937851190567,,human,UP
ADD3,,,0.0770535618066787,0.0770535618066787,0.0770535618066787,0.0770535618066787,human,UP
NQO1,,,0.0769733339548111,0.0769733339548111,0.0769733339548111,0.0769733339548111,human,UP
EEF1A1,0.0331430546939373,0.171953871846199,0.0253927148878574,0.0768298804759979,0.0331430546939373,0.0253927148878574,human,UP
CYP1B1,,,0.0750841200351715,0.0750841200351715,0.0750841200351715,0.0750841200351715,human,UP
RPL30,0.0402901507914066,0.1295479983091354,0.0485038049519062,0.072780651350816,0.0485038049519062,0.0485038049519062,human,UP
RPS17,0.0718663781881332,,,0.0718663781881332,0.0718663781881332,,human,UP
MCL1,0.071604311466217,,,0.071604311466217,0.071604311466217,,human,UP
RPL4,,0.1029113158583641,0.0391674488782882,0.0710393823683261,0.0710393823683261,0.0391674488782882,human,UP
RPL18,0.0697502568364143,,,0.0697502568364143,0.0697502568364143,,human,UP
IFIT1,,,0.068692423403263,0.068692423403263,0.068692423403263,0.068692423403263,human,UP
CD53,,0.0683146342635154,,0.0683146342635154,0.0683146342635154,,human,UP
EDNRB,0.066582016646862,,,0.066582016646862,0.066582016646862,,human,UP
PFN2,,,0.0664048343896865,0.0664048343896865,0.0664048343896865,0.0664048343896865,human,UP
RNASET2,,0.0661070197820663,,0.0661070197820663,0.0661070197820663,,human,UP
GADD45A,0.0895763263106346,0.0396961458027362,,0.0646362360566854,0.0646362360566854,,human,UP
FAU,,0.0645630583167076,,0.0645630583167076,0.0645630583167076,,human,UP
RPS18,0.0186032578349113,0.1088339760899543,0.0657200813293457,0.0643857717514038,0.0657200813293457,0.0657200813293457,human,UP
RPL9,0.0842954143881797,0.0831790417432785,0.0232803001999855,0.0635849187771479,0.0831790417432785,0.0232803001999855,human,UP
HLA-A,0.0761229246854782,0.0867248401045799,0.0251943580806255,0.0626807076235612,0.0761229246854782,0.0251943580806255,human,UP
FOSB,,0.0620833374559879,,0.0620833374559879,0.0620833374559879,,human,UP
THBS2,,,0.0611464902758598,0.0611464902758598,0.0611464902758598,0.0611464902758598,human,UP
EIF4A2,,0.0604196302592754,,0.0604196302592754,0.0604196302592754,,human,UP
RGS4,,,0.060361161828041,0.060361161828041,0.060361161828041,0.060361161828041,human,UP
