gene_symbol,logfc_dz:418,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPL32,0.0949815437197685,0.0949815437197685,0.0949815437197685,0.0949815437197685,human,UP
RPL7A,0.094249315559864,0.094249315559864,0.094249315559864,0.094249315559864,human,UP
RPL39,0.0927107706665992,0.0927107706665992,0.0927107706665992,0.0927107706665992,human,UP
RPL37,0.0919407606124877,0.0919407606124877,0.0919407606124877,0.0919407606124877,human,UP
CALM2,0.0872242003679275,0.0872242003679275,0.0872242003679275,0.0872242003679275,human,UP
TUBA1A,0.0829492732882499,0.0829492732882499,0.0829492732882499,0.0829492732882499,human,UP
HMGA2,0.0770804211497306,0.0770804211497306,0.0770804211497306,0.0770804211497306,human,UP
TMSB15A,0.0746417716145515,0.0746417716145515,0.0746417716145515,0.0746417716145515,human,UP
RPS7,0.0742608681321144,0.0742608681321144,0.0742608681321144,0.0742608681321144,human,UP
TUBA1B,0.0740173161029815,0.0740173161029815,0.0740173161029815,0.0740173161029815,human,UP
RPS10,0.0740127339959144,0.0740127339959144,0.0740127339959144,0.0740127339959144,human,UP
GAPDH,0.067703329026699,0.067703329026699,0.067703329026699,0.067703329026699,human,UP
CRABP2,0.0648052841424942,0.0648052841424942,0.0648052841424942,0.0648052841424942,human,UP
RPS23,0.0637175664305687,0.0637175664305687,0.0637175664305687,0.0637175664305687,human,UP
XIST,0.0627409592270851,0.0627409592270851,0.0627409592270851,0.0627409592270851,human,UP
RPL30,0.0622142478823661,0.0622142478823661,0.0622142478823661,0.0622142478823661,human,UP
RPS27,0.0620462633669376,0.0620462633669376,0.0620462633669376,0.0620462633669376,human,UP
RPL36A,0.0588743798434734,0.0588743798434734,0.0588743798434734,0.0588743798434734,human,UP
RPS27L,0.0574047081172466,0.0574047081172466,0.0574047081172466,0.0574047081172466,human,UP
TMA7,0.0568771548569202,0.0568771548569202,0.0568771548569202,0.0568771548569202,human,UP
COL2A1,0.0564852282404899,0.0564852282404899,0.0564852282404899,0.0564852282404899,human,UP
RPS4X,0.0530160441994667,0.0530160441994667,0.0530160441994667,0.0530160441994667,human,UP
PRAME,0.0527412518858909,0.0527412518858909,0.0527412518858909,0.0527412518858909,human,UP
BST2,0.0521877221763134,0.0521877221763134,0.0521877221763134,0.0521877221763134,human,UP
LAPTM4B,0.0510496646165847,0.0510496646165847,0.0510496646165847,0.0510496646165847,human,UP
EEF2,0.0506056770682334,0.0506056770682334,0.0506056770682334,0.0506056770682334,human,UP
TMEM100,0.0499483123421669,0.0499483123421669,0.0499483123421669,0.0499483123421669,human,UP
RPS15A,0.049009907990694,0.049009907990694,0.049009907990694,0.049009907990694,human,UP
TUBA1C,0.0482198484241962,0.0482198484241962,0.0482198484241962,0.0482198484241962,human,UP
HLA-A,0.0470938645303249,0.0470938645303249,0.0470938645303249,0.0470938645303249,human,UP
WASF3,0.0468197129666805,0.0468197129666805,0.0468197129666805,0.0468197129666805,human,UP
EYA1,0.0466917119920253,0.0466917119920253,0.0466917119920253,0.0466917119920253,human,UP
ENC1,0.04533102363348,0.04533102363348,0.04533102363348,0.04533102363348,human,UP
RPS18,0.0447934679687023,0.0447934679687023,0.0447934679687023,0.0447934679687023,human,UP
MORF4L1,0.0446905903518199,0.0446905903518199,0.0446905903518199,0.0446905903518199,human,UP
SOX11,0.0434048920869827,0.0434048920869827,0.0434048920869827,0.0434048920869827,human,UP
UCHL1,0.0425970703363418,0.0425970703363418,0.0425970703363418,0.0425970703363418,human,UP
TMSB10,0.0420821644365787,0.0420821644365787,0.0420821644365787,0.0420821644365787,human,UP
RPS15,0.0419562086462974,0.0419562086462974,0.0419562086462974,0.0419562086462974,human,UP
RPL4,0.0400983542203903,0.0400983542203903,0.0400983542203903,0.0400983542203903,human,UP
