gene_symbol,logfc_dz:803,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS6,0.3798212707042694,0.3798212707042694,0.3798212707042694,0.3798212707042694,human,UP
PTGES3,0.1189729422330856,0.1189729422330856,0.1189729422330856,0.1189729422330856,human,UP
HLA-DRA,0.1099604964256286,0.1099604964256286,0.1099604964256286,0.1099604964256286,human,UP
ATF4,0.0977693498134613,0.0977693498134613,0.0977693498134613,0.0977693498134613,human,UP
RRM2,0.0906879752874374,0.0906879752874374,0.0906879752874374,0.0906879752874374,human,UP
SLC7A5,0.090179868042469,0.090179868042469,0.090179868042469,0.090179868042469,human,UP
IER2,0.0895167589187622,0.0895167589187622,0.0895167589187622,0.0895167589187622,human,UP
HLA-DRB1,0.0834496095776557,0.0834496095776557,0.0834496095776557,0.0834496095776557,human,UP
VPREB3,0.0756089314818382,0.0756089314818382,0.0756089314818382,0.0756089314818382,human,UP
DDIT4,0.0755816102027893,0.0755816102027893,0.0755816102027893,0.0755816102027893,human,UP
HLA-A,0.0721538364887237,0.0721538364887237,0.0721538364887237,0.0721538364887237,human,UP
HERPUD1,0.0710532218217849,0.0710532218217849,0.0710532218217849,0.0710532218217849,human,UP
LAPTM5,0.0694524496793747,0.0694524496793747,0.0694524496793747,0.0694524496793747,human,UP
HLA-B,0.0676181390881538,0.0676181390881538,0.0676181390881538,0.0676181390881538,human,UP
CD79A,0.0638085305690765,0.0638085305690765,0.0638085305690765,0.0638085305690765,human,UP
ACTG1,0.0632070302963256,0.0632070302963256,0.0632070302963256,0.0632070302963256,human,UP
RGS19,0.0618972331285476,0.0618972331285476,0.0618972331285476,0.0618972331285476,human,UP
PHGDH,0.0599891357123851,0.0599891357123851,0.0599891357123851,0.0599891357123851,human,UP
ASS1,0.0578857213258743,0.0578857213258743,0.0578857213258743,0.0578857213258743,human,UP
TRIB3,0.0574701949954032,0.0574701949954032,0.0574701949954032,0.0574701949954032,human,UP
MFAP4,0.0567501410841941,0.0567501410841941,0.0567501410841941,0.0567501410841941,human,UP
CEBPB,0.0547852255403995,0.0547852255403995,0.0547852255403995,0.0547852255403995,human,UP
CORO1A,0.0540054850280284,0.0540054850280284,0.0540054850280284,0.0540054850280284,human,UP
PSAT1,0.0511490032076835,0.0511490032076835,0.0511490032076835,0.0511490032076835,human,UP
RSL24D1,0.0510412268340587,0.0510412268340587,0.0510412268340587,0.0510412268340587,human,UP
CD19,0.0499063059687614,0.0499063059687614,0.0499063059687614,0.0499063059687614,human,UP
DCAF6,0.0496095344424247,0.0496095344424247,0.0496095344424247,0.0496095344424247,human,UP
HMGN3,0.0489517040550708,0.0489517040550708,0.0489517040550708,0.0489517040550708,human,UP
HLA-DPA1,0.0473508574068546,0.0473508574068546,0.0473508574068546,0.0473508574068546,human,UP
HLA-C,0.0468292348086833,0.0468292348086833,0.0468292348086833,0.0468292348086833,human,UP
ANP32B,0.0448682717978954,0.0448682717978954,0.0448682717978954,0.0448682717978954,human,UP
PTPRCAP,0.0439710468053817,0.0439710468053817,0.0439710468053817,0.0439710468053817,human,UP
COX8A,0.0430907495319843,0.0430907495319843,0.0430907495319843,0.0430907495319843,human,UP
OAZ1,0.0428619161248207,0.0428619161248207,0.0428619161248207,0.0428619161248207,human,UP
CBX4,0.0421930626034736,0.0421930626034736,0.0421930626034736,0.0421930626034736,human,UP
TBCA,0.0416057966649532,0.0416057966649532,0.0416057966649532,0.0416057966649532,human,UP
SLC25A3,0.041435781866312,0.041435781866312,0.041435781866312,0.041435781866312,human,UP
MKNK2,0.039386261254549,0.039386261254549,0.039386261254549,0.039386261254549,human,UP
USP1,0.0386159978806972,0.0386159978806972,0.0386159978806972,0.0386159978806972,human,UP
SLC3A2,0.038484614342451,0.038484614342451,0.038484614342451,0.038484614342451,human,UP
CHCHD2,0.0377328470349311,0.0377328470349311,0.0377328470349311,0.0377328470349311,human,UP
PMAIP1,0.0375984087586402,0.0375984087586402,0.0375984087586402,0.0375984087586402,human,UP
WBP1L,0.0367548167705535,0.0367548167705535,0.0367548167705535,0.0367548167705535,human,UP
HLA-DPB1,0.0367038659751415,0.0367038659751415,0.0367038659751415,0.0367038659751415,human,UP
UBE2C,0.0362530015408992,0.0362530015408992,0.0362530015408992,0.0362530015408992,human,UP
NFKBIA,0.0362206399440765,0.0362206399440765,0.0362206399440765,0.0362206399440765,human,UP
HMGB1,0.0360185205936431,0.0360185205936431,0.0360185205936431,0.0360185205936431,human,UP
SLBP,0.0351766198873519,0.0351766198873519,0.0351766198873519,0.0351766198873519,human,UP
LDHB,0.0347269214689731,0.0347269214689731,0.0347269214689731,0.0347269214689731,human,UP
CFAP20,0.034238014370203,0.034238014370203,0.034238014370203,0.034238014370203,human,UP
GNA15,0.0335771553218364,0.0335771553218364,0.0335771553218364,0.0335771553218364,human,UP
DGKD,0.0334923043847084,0.0334923043847084,0.0334923043847084,0.0334923043847084,human,UP
PPP1CA,0.0334533900022506,0.0334533900022506,0.0334533900022506,0.0334533900022506,human,UP
ITM2C,0.0330682136118412,0.0330682136118412,0.0330682136118412,0.0330682136118412,human,UP
IER5,0.0328451246023178,0.0328451246023178,0.0328451246023178,0.0328451246023178,human,UP
FTH1,0.032837189733982,0.032837189733982,0.032837189733982,0.032837189733982,human,UP
TNFAIP3,0.0326176770031452,0.0326176770031452,0.0326176770031452,0.0326176770031452,human,UP
KPNA2,0.0325814373791217,0.0325814373791217,0.0325814373791217,0.0325814373791217,human,UP
ACTB,0.032312624156475,0.032312624156475,0.032312624156475,0.032312624156475,human,UP
MAP1LC3B,0.0322159826755523,0.0322159826755523,0.0322159826755523,0.0322159826755523,human,UP
LST1,0.0320493765175342,0.0320493765175342,0.0320493765175342,0.0320493765175342,human,UP
HMGN2,0.0312790721654892,0.0312790721654892,0.0312790721654892,0.0312790721654892,human,UP
SRP9,0.0308892410248518,0.0308892410248518,0.0308892410248518,0.0308892410248518,human,UP
PIK3C2B,0.0307150054723024,0.0307150054723024,0.0307150054723024,0.0307150054723024,human,UP
TALDO1,0.0307068526744842,0.0307068526744842,0.0307068526744842,0.0307068526744842,human,UP
CLIC1,0.0305366031825542,0.0305366031825542,0.0305366031825542,0.0305366031825542,human,UP
RPS3,0.0295975320041179,0.0295975320041179,0.0295975320041179,0.0295975320041179,human,UP
PTMA,0.0295856799930334,0.0295856799930334,0.0295856799930334,0.0295856799930334,human,UP
SLC25A5,0.0295657999813556,0.0295657999813556,0.0295657999813556,0.0295657999813556,human,UP
LASP1,0.0294900871813297,0.0294900871813297,0.0294900871813297,0.0294900871813297,human,UP
XPOT,0.0294836275279521,0.0294836275279521,0.0294836275279521,0.0294836275279521,human,UP
