gene_symbol,logfc_dz:135,logfc_dz:485,logfc_dz:835,logfc_dz:834,logfc_dz:639,logfc_dz:638,logfc_dz:990,logfc_dz:866,logfc_dz:603,logfc_dz:991,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBD,,,,,,,,0.1638976782560348,,,0.1638976782560348,0.1638976782560348,,human,UP
ORM1,,,0.2645652890205383,0.0574094243347644,,,0.0171768479049205,,,,0.1130505204200744,0.0574094243347644,,human,UP
AIDA,,0.1104517132043838,,,,,,,,,0.1104517132043838,0.1104517132043838,,human,UP
PPBP,,,,,,,,0.1082958951592445,,,0.1082958951592445,0.1082958951592445,,human,UP
TRIM58,,,,,,,,0.1074430495500564,,,0.1074430495500564,0.1074430495500564,,human,UP
VIM,0.1013387143611908,,,,0.0943648368120193,0.2137794494628906,,,0.0173925701528787,,0.1067188926972448,0.097851775586605,0.2137794494628906,human,UP
C1QTNF3,,,0.0932760238647461,0.1104297041893005,,,0.1125006601214408,,,0.016802305355668,0.0832521733827889,0.1018528640270233,,human,UP
RPLP1,0.0891676321625709,,,,0.0824869722127914,0.0626972839236259,,,,,0.0781172960996627,0.0824869722127914,0.0626972839236259,human,UP
EPCAM,,,0.0300408508628606,0.0612028129398822,,,0.1023332849144935,,,0.0936513468623161,0.0718070738948881,0.0774270799010992,,human,UP
TMEM38B,,0.0666628181934356,,,,,,,,,0.0666628181934356,0.0666628181934356,,human,UP
OPHN1,,0.0137987537309527,0.144098162651062,0.0873683840036392,,,,,0.0162846110761165,,0.0653874778654426,0.0518264975398778,,human,UP
TMSB10,0.0567082837224006,,-0.0259595587849617,0.0251107029616832,0.051185805350542,0.1073172315955162,0.0619719587266445,0.0790512710809707,0.0946801453828811,0.1340007036924362,0.064896282636457,0.0619719587266445,0.1073172315955162,human,UP
RPS15,0.0747373178601265,,,,0.0770356357097625,0.0419693030416965,,,,,0.0645807522038618,0.0747373178601265,0.0419693030416965,human,UP
UGT2B17,,0.0642610564827919,,,,,,,,,0.0642610564827919,0.0642610564827919,,human,UP
CCL11,0.0578956305980682,,,,0.0665423199534416,,,,,,0.0622189752757549,0.0622189752757549,,human,UP
ADIPOR1,,,,,,,,0.0618834123015403,,,0.0618834123015403,0.0618834123015403,,human,UP
MYBPC1,,,0.0978698059916496,0.0167211461812257,,,0.0689584240317344,,,,0.0611831254015366,0.0689584240317344,,human,UP
HBA2,,,,,,,0.0218776725232601,0.1258146166801452,,0.0276203732937574,0.0584375541657209,0.0276203732937574,,human,UP
AHSP,,,,,,,,0.0574288144707679,,,0.0574288144707679,0.0574288144707679,,human,UP
IFI30,,,,,,,,0.1013152077794075,,0.013487784191966,0.0574014959856867,0.0574014959856867,,human,UP
SPON2,0.0844447985291481,,0.1340050250291824,0.0427343361079692,0.0737730711698532,,0.0183289963752031,,0.0195140745490789,0.0192223526537418,0.0560032363448824,0.0427343361079692,,human,UP
FTL,0.0975271463394165,0.0173905864357948,0.028366420418024,,0.091206707060337,0.0948090553283691,0.0312595665454864,0.0279861167073249,,,0.0555065141192504,0.0312595665454864,0.0948090553283691,human,UP
AKR1B1,0.0480640865862369,,,,0.0608111582696437,,,,,,0.0544376224279403,0.0544376224279403,,human,UP
PLAC8,,,,,,,,0.054203987121582,,,0.054203987121582,0.054203987121582,,human,UP
PF4,,,,,,,,0.0540224537253379,,,0.0540224537253379,0.0540224537253379,,human,UP
CRISP3,,,,0.0558656454086303,,,0.0506506636738777,,,,0.053258154541254,0.053258154541254,,human,UP
CTSC,0.0509890466928482,,,,0.0544163584709167,,,,,,0.0527027025818824,0.0527027025818824,,human,UP
RPL23A,0.0934061408042907,,,,0.0854387134313583,0.0841878205537796,-0.0158122889697551,0.0101571725681424,0.0493584349751472,,0.0511226655604938,0.0667731277644634,0.0841878205537796,human,UP
RPL39,,0.0668257102370262,0.0397038571536541,0.0628133788704872,-0.0153267625719308,0.0185383446514606,0.0354305990040302,0.0853204652667045,0.0937693566083908,0.0722322240471839,0.0510341303630007,0.0628133788704872,0.0185383446514606,human,UP
