gene_symbol,logfc_dz:754,logfc_dz:837,logfc_dz:836,logfc_dz:982,logfc_dz:813,logfc_dz:690,logfc_dz:697,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBQ1,,,,,,,0.2228987365961074,0.2228987365961074,0.2228987365961074,,human,UP
DEFB4A,,,,,,0.197801411151886,,0.197801411151886,0.197801411151886,,human,UP
SERPINB4,,,,,,0.158307135105133,,0.158307135105133,0.158307135105133,,human,UP
LGALS7,,,,0.213791474699974,0.0596279725432395,,,0.1367097236216068,0.1367097236216068,0.0596279725432395,human,UP
KRT2,-0.0316518507897853,,0.3680301308631897,0.093840979039669,0.0875534564256668,,,0.129443178884685,0.0906972177326679,0.0875534564256668,human,UP
SERPINB3,,,,,,0.1244739443063736,,0.1244739443063736,0.1244739443063736,,human,UP
S100A7,0.1685439497232437,0.0351947732269763,0.0443589761853218,0.0309384055435657,0.026043951511383,0.4392923414707184,,0.1240620662768681,0.0397768747061491,0.026043951511383,human,UP
RPL37,,,,0.1191947534680366,,,,0.1191947534680366,0.1191947534680366,,human,UP
SPRR2B,,0.0255096107721328,0.033209279179573,,,0.2925453186035156,,0.1170880695184071,0.033209279179573,,human,UP
TYRP1,0.1100235432386398,,,0.0668488964438438,0.1312679201364517,0.0870139673352241,,0.0987885817885398,0.0985187552869319,0.1312679201364517,human,UP
CALML5,0.0299984104931354,,0.2021619230508804,0.0536166355013847,0.1271604746580124,0.0703726410865783,,0.0966620169579982,0.0703726410865783,0.1271604746580124,human,UP
FABP5,-0.0088436072692275,,0.1586396694183349,0.0224714465439319,,0.2082128375768661,,0.0951200865674763,0.0905555579811334,,human,UP
GPR65,,,,,,,0.0904639884829521,0.0904639884829521,0.0904639884829521,,human,UP
LEP,,0.0839955136179924,,,,,,0.0839955136179924,0.0839955136179924,,human,UP
RPL21,0.058681420981884,,,0.1008379384875297,,,,0.0797596797347068,0.0797596797347068,,human,UP
SPRR1A,,,0.0648765414953231,,0.0609325543045997,0.1128670051693916,,0.0795587003231048,0.0648765414953231,0.0609325543045997,human,UP
LGALS7B,0.2152169644832611,,0.029976824298501,,0.0470290556550025,0.0177550539374351,,0.0774944745935499,0.0385029399767518,0.0470290556550025,human,UP
RPL37A,-0.0147575745359063,,,0.162756010890007,,,,0.0739992181770503,0.0739992181770503,,human,UP
PHGDH,,,,,0.0719947889447212,,,0.0719947889447212,0.0719947889447212,0.0719947889447212,human,UP
CLC,,,,,,,0.0706470757722854,0.0706470757722854,0.0706470757722854,,human,UP
ACTA1,,0.0701745301485061,,,,,,0.0701745301485061,0.0701745301485061,,human,UP
KRT5,0.1375394910573959,,0.0584922581911087,0.133242666721344,0.0206091627478599,-0.0110062770545482,,0.067775460332632,0.0584922581911087,0.0206091627478599,human,UP
RPL41,0.0717229694128036,,,0.1011569127440452,,0.0242704898118972,,0.0657167906562487,0.0717229694128036,,human,UP
KLRB1,,,,,,,0.0642678216099739,0.0642678216099739,0.0642678216099739,,human,UP
P2RY14,,,,,,,0.0630579441785812,0.0630579441785812,0.0630579441785812,,human,UP
TUBA1C,0.1036405637860298,,,,0.0224426500499248,,,0.0630416069179773,0.0630416069179773,0.0224426500499248,human,UP
RPS23,0.0157497879117727,,0.021007128059864,0.1512290835380554,,,,0.062661999836564,0.021007128059864,,human,UP
RPS18,0.1474137753248214,,,0.0716113224625587,-0.031697604805231,,,0.0624424976607163,0.0716113224625587,-0.031697604805231,human,UP
RPL32,0.0514430664479732,,,0.0707275122404098,,,,0.0610852893441915,0.0610852893441915,,human,UP
RPL27A,,,,0.0893661379814148,0.0309282410889863,,,0.0601471895352005,0.0601471895352005,0.0309282410889863,human,UP
KRT85,,,0.0599092468619346,,,,,0.0599092468619346,0.0599092468619346,,human,UP
GLTP,0.0110568674281239,,0.0162085443735122,,0.1376106590032577,0.0735593512654304,,0.0596088555175811,0.0448839478194713,0.1376106590032577,human,UP
RPS12,,,,0.0369916148483753,0.0819199010729789,,,0.0594557579606771,0.0594557579606771,0.0819199010729789,human,UP
ENO1,,,,0.0353223420679569,0.081689603626728,,,0.0585059728473424,0.0585059728473424,0.081689603626728,human,UP
PMEL,,,,0.0382674969732761,0.1210259720683097,0.0158191490918397,,0.0583708727111419,0.0382674969732761,0.1210259720683097,human,UP
RPS29,0.0432794205844402,,0.0192793756723403,0.1120017692446708,,,,0.0581868551671505,0.0432794205844402,,human,UP
HBD,,0.0908070132136344,,,,,0.0237070545554161,0.0572570338845253,0.0572570338845253,,human,UP
KRT31,,,0.0560809522867202,,,,,0.0560809522867202,0.0560809522867202,,human,UP
SLC7A11,,,,0.0550199337303638,,,,0.0550199337303638,0.0550199337303638,,human,UP
RPS7,0.1489650905132293,,0.0162566602230072,0.0842722952365875,,-0.0326987691223621,,0.0541988192126154,0.0502644777297973,,human,UP
SIK1,,,0.0540936179459095,,,,,0.0540936179459095,0.0540936179459095,,human,UP
FSCN1,,,,,0.053832147270441,,,0.053832147270441,0.053832147270441,0.053832147270441,human,UP
RERGL,,0.0536028295755386,,,,,,0.0536028295755386,0.0536028295755386,,human,UP
DBI,0.1085458397865295,,0.0308163128793239,0.0274142269045114,0.0474429838359355,,,0.0535548408515751,0.0391296483576297,0.0474429838359355,human,UP
PRR4,,0.0534589365124702,,,,,,0.0534589365124702,0.0534589365124702,,human,UP
DSC1,0.1189035773277282,,0.0846712738275528,,0.0264681968837976,0.0423484854400157,-0.0075993919745087,0.0529584283009171,0.0423484854400157,0.0264681968837976,human,UP
KRT16,,,0.0165878534317016,0.0222813468426466,,0.1182722225785255,,0.0523804742842912,0.0222813468426466,,human,UP
SLC25A3,0.0520453862845897,,,,,,,0.0520453862845897,0.0520453862845897,,human,UP
XPNPEP3,,,,0.0509946905076503,,,,0.0509946905076503,0.0509946905076503,,human,UP
