gene_symbol,logfc_dz:305,logfc_dz:904,logfc_dz:110,logfc_dz:779,mean_logfc,median_logfc,common_experiment,organism,signature_type
INTS9,0.257306307554245,,,,0.257306307554245,0.257306307554245,0.257306307554245,human,UP
NCALD,0.233766883611679,,,,0.233766883611679,0.233766883611679,0.233766883611679,human,UP
S100A8,,0.4211237728595733,0.0397805944085121,0.1210532411932945,0.1939858694871266,0.1210532411932945,,human,UP
FTL,,,,0.158369243144989,0.158369243144989,0.158369243144989,,human,UP
B2M,0.3767771422863006,,-0.0121591296046972,0.0964715033769607,0.1536965053528547,0.0964715033769607,0.3767771422863006,human,UP
FN1,,,,0.1523269116878509,0.1523269116878509,0.1523269116878509,,human,UP
SPP1,,,0.0817281082272529,0.2209566384553909,0.1513423733413219,0.1513423733413219,,human,UP
HBG1,,0.141601026058197,,,0.141601026058197,0.141601026058197,,human,UP
MMP3,,,0.1391361653804779,,0.1391361653804779,0.1391361653804779,,human,UP
COL3A1,0.1845667958259582,,0.0645036399364471,,0.1245352178812027,0.1245352178812027,0.1845667958259582,human,UP
MYL6,,0.1035700365900993,,,0.1035700365900993,0.1035700365900993,,human,UP
S100A10,,,,0.0956861600279808,0.0956861600279808,0.0956861600279808,,human,UP
RPL39,,0.0932135432958602,,,0.0932135432958602,0.0932135432958602,,human,UP
CSTB,,,,0.0863891839981079,0.0863891839981079,0.0863891839981079,,human,UP
MMP1,,,0.0859459936618805,,0.0859459936618805,0.0859459936618805,,human,UP
S100A9,,0.1667128801345825,0.0519457384943962,0.0378954410552978,0.0855180198947588,0.0519457384943962,,human,UP
SLC25A37,,0.0822250694036483,,,0.0822250694036483,0.0822250694036483,,human,UP
TPT1,,0.1412466168403625,,0.0218026060611009,0.0815246114507317,0.0815246114507317,,human,UP
SPARC,,,0.0793955400586128,,0.0793955400586128,0.0793955400586128,,human,UP
CTSL,,,0.0492201969027519,0.1091614514589309,0.0791908241808414,0.0791908241808414,,human,UP
R3HDM4,,0.0759223848581314,,,0.0759223848581314,0.0759223848581314,,human,UP
ALPL,,0.0746487751603126,,,0.0746487751603126,0.0746487751603126,,human,UP
MXRA5,,,0.0730944946408271,,0.0730944946408271,0.0730944946408271,,human,UP
HLA-DQA1,,,0.125728040933609,0.0203459206968545,0.0730369808152318,0.0730369808152318,,human,UP
FTH1,,,,0.0727954059839248,0.0727954059839248,0.0727954059839248,,human,UP
FPR1,,0.0718580707907676,,,0.0718580707907676,0.0718580707907676,,human,UP
CAMP,,0.070744439959526,,,0.070744439959526,0.070744439959526,,human,UP
MZT2B,0.0705609172582626,,,,0.0705609172582626,0.0705609172582626,0.0705609172582626,human,UP
VIM,,0.0094327991828322,,0.124958612024784,0.0671957056038081,0.0671957056038081,,human,UP
HLA-C,,,0.0214649681001901,0.1125304698944091,0.0669977189972996,0.0669977189972996,,human,UP
MIF,,,,0.0667524114251136,0.0667524114251136,0.0667524114251136,,human,UP
TXN,,0.0241539366543293,,0.1087340489029884,0.0664439927786588,0.0664439927786588,,human,UP
EEF1A1,,0.0301818698644638,,0.1026394888758659,0.0664106793701648,0.0664106793701648,,human,UP
TIMP1,,0.0371705815196037,0.1132281422615051,0.0481908433139324,0.0661965223650137,0.0481908433139324,,human,UP
CXCL8,,,,0.0661151409149169,0.0661151409149169,0.0661151409149169,,human,UP
CD83,,,,0.0655479207634925,0.0655479207634925,0.0655479207634925,,human,UP
TXNRD1,,,,0.0653739869594574,0.0653739869594574,0.0653739869594574,,human,UP
FBP1,,,0.0224218647927045,0.1042343378067016,0.0633281012997031,0.0633281012997031,,human,UP
MYOF,,,,0.0624234639108181,0.0624234639108181,0.0624234639108181,,human,UP
RPL11,,0.0952010154724121,,0.0229321848601102,0.0590666001662611,0.0590666001662611,,human,UP
HLA-DPB1,,,0.0579151883721351,0.0598643310368061,0.0588897597044706,0.0588897597044706,,human,UP
IFI30,,0.0133217042312026,0.0404709130525589,0.1210138797760009,0.0582688323532541,0.0404709130525589,,human,UP
RPS29,,0.116036057472229,-0.0315634757280349,0.0855257734656333,0.0566661184032758,0.0855257734656333,,human,UP
IFITM3,,0.0951647534966468,,0.0167687349021434,0.0559667441993951,0.0559667441993951,,human,UP
RPL23A,,,,0.0554213225841522,0.0554213225841522,0.0554213225841522,,human,UP
RPL35A,,0.0542076528072357,,,0.0542076528072357,0.0542076528072357,,human,UP
PGLYRP1,,0.0541040264070034,,,0.0541040264070034,0.0541040264070034,,human,UP
FCGR3A,,,0.0663651525974273,0.039931945502758,0.0531485490500927,0.0531485490500927,,human,UP
C1QB,,,0.0527171976864337,,0.0527171976864337,0.0527171976864337,,human,UP
PADI4,,0.0525978803634643,,,0.0525978803634643,0.0525978803634643,,human,UP
PGAM1,,,0.0233270935714244,0.081667348742485,0.0524972211569547,0.0524972211569547,,human,UP
PPIA,,,,0.0519776828587055,0.0519776828587055,0.0519776828587055,,human,UP
RPS2,,,0.0328202061355114,0.070905327796936,0.0518627669662237,0.0518627669662237,,human,UP
DYSF,,0.0517543032765388,,,0.0517543032765388,0.0517543032765388,,human,UP
ISLR,,,0.0511705577373504,,0.0511705577373504,0.0511705577373504,,human,UP
IFT74,0.0494798794388771,,,,0.0494798794388771,0.0494798794388771,0.0494798794388771,human,UP
SPINK1,,,,0.0492544919252395,0.0492544919252395,0.0492544919252395,,human,UP
BACH1,,,,0.048877939581871,0.048877939581871,0.048877939581871,,human,UP
BCL2A1,,,,0.0484947487711906,0.0484947487711906,0.0484947487711906,,human,UP
ENO1,,,,0.0480892695486545,0.0480892695486545,0.0480892695486545,,human,UP
SELL,,0.0478372015058994,,,0.0478372015058994,0.0478372015058994,,human,UP
PLBD1,,0.0472453124821186,,,0.0472453124821186,0.0472453124821186,,human,UP
C2,,,0.0467916578054428,,0.0467916578054428,0.0467916578054428,,human,UP
LHFPL2,,,0.0164189953356981,0.0759152024984359,0.046167098917067,0.046167098917067,,human,UP
HLA-B,,0.04580008238554,,,0.04580008238554,0.04580008238554,,human,UP
TNFAIP3,,,,0.045182529836893,0.045182529836893,0.045182529836893,,human,UP
CD53,,,0.0405166186392307,0.0496016554534435,0.0450591370463371,0.0450591370463371,,human,UP
CCL18,,,0.0712096467614173,0.0187751427292823,0.0449923947453498,0.0449923947453498,,human,UP
BGN,,,0.0448490120470523,,0.0448490120470523,0.0448490120470523,,human,UP
SLC39A8,,,,0.044539637863636,0.044539637863636,0.044539637863636,,human,UP
CCRL2,,,,0.0431348904967308,0.0431348904967308,0.0431348904967308,,human,UP
MARCO,,,0.0379773043096065,0.0471453107893466,0.0425613075494766,0.0425613075494766,,human,UP
RPL37,,,,0.0423484854400157,0.0423484854400157,0.0423484854400157,,human,UP
RSAD2,,,,0.0418973751366138,0.0418973751366138,0.0418973751366138,,human,UP
TMSB4X,,,0.0143173383548855,0.069398745894432,0.0418580421246588,0.0418580421246588,,human,UP
RHOA,,0.0126130348071455,,0.0707727298140525,0.041692882310599,0.041692882310599,,human,UP
LCN2,,0.041573442518711,,,0.041573442518711,0.041573442518711,,human,UP
MRC2,,,0.0414989739656448,,0.0414989739656448,0.0414989739656448,,human,UP
CD63,,,0.0174528658390045,0.0641323626041412,0.0407926142215728,0.0407926142215728,,human,UP
CA4,,0.0394552871584892,,,0.0394552871584892,0.0394552871584892,,human,UP
NUDT4,0.0393497608602047,,,,0.0393497608602047,0.0393497608602047,0.0393497608602047,human,UP
RPL41,,,-0.0187562499195337,0.0963836461305618,0.038813698105514,0.038813698105514,,human,UP
CKLF,,0.038758061826229,,,0.038758061826229,0.038758061826229,,human,UP
PTGDS,,,0.0387020297348499,,0.0387020297348499,0.0387020297348499,,human,UP
MSRB1,,0.0378119461238384,,,0.0378119461238384,0.0378119461238384,,human,UP
ITGA2B,,0.0377346016466617,,,0.0377346016466617,0.0377346016466617,,human,UP
IFITM1,,0.0567921102046966,0.017336431890726,,0.0370642710477113,0.0370642710477113,,human,UP
RPLP1,,,,0.0369766019284725,0.0369766019284725,0.0369766019284725,,human,UP
CRIP1,,-0.0168195869773626,,0.0905881822109222,0.0368842976167798,0.0368842976167798,,human,UP
IFI27,,,0.0537833422422409,0.019664030522108,0.0367236863821744,0.0367236863821744,,human,UP
LILRB4,,,0.0353972725570201,0.0375886745750904,0.0364929735660553,0.0364929735660553,,human,UP
HBD,,0.0364400632679462,,,0.0364400632679462,0.0364400632679462,,human,UP
GLRX5,,0.0361954420804977,,,0.0361954420804977,0.0361954420804977,,human,UP
RPL31,,0.0830021724104881,-0.0320462025701999,0.057382758706808,0.0361129095156987,0.057382758706808,,human,UP
AQP9,,0.0376596599817276,,0.0340997837483882,0.0358797218650579,0.0358797218650579,,human,UP
LGALS3,,,,0.0358597487211227,0.0358597487211227,0.0358597487211227,,human,UP
RPS18,,0.0357747338712215,,,0.0357747338712215,0.0357747338712215,,human,UP
LDHA,-0.0057385736145079,,,0.0765585824847221,0.0354100044351071,0.0354100044351071,-0.0057385736145079,human,UP
