gene_symbol,logfc_dz:924,logfc_dz:594,logfc_dz:590,logfc_dz:593,logfc_dz:586,logfc_dz:762,logfc_dz:454,logfc_dz:710,logfc_dz:249,logfc_dz:760,logfc_dz:810,logfc_dz:188,logfc_dz:923,logfc_dz:759,logfc_dz:589,logfc_dz:587,logfc_dz:585,logfc_dz:591,logfc_dz:588,logfc_dz:993,logfc_dz:264,mean_logfc,median_logfc,common_experiment,organism,signature_type
GIT2,,,,,,,,,,,,,,,,,,,,0.1982517689466476,0.1982517689466476,0.1982517689466476,0.1982517689466476,,human,UP
LCN2,0.057842668145895,-0.0120239583775401,-0.0185847226530313,,0.129217118024826,,0.215586319565773,0.0882438570261001,0.079902097582817,0.1490972489118576,,,0.1986179947853088,,0.0811864584684372,0.0491294115781784,0.0196754485368728,0.0833967849612236,,,,0.0862528251197475,0.0811864584684372,,human,UP
ALOX5AP,,,,,,0.0795066282153129,,,,,,0.0795066282153129,,,,,,,,,,0.0795066282153129,0.0795066282153129,,human,UP
BASP1,,,,,,0.1473020017147064,0.0120454998686909,,,,,0.1473020017147064,0.0084224380552768,,,,,,,,,0.0787679853383451,0.0796737507916987,,human,UP
CD53,,,,,,0.0739077627658844,,,,,,0.0739077627658844,,,,,,,,,,0.0739077627658844,0.0739077627658844,,human,UP
FCGR3B,,,,,,0.0712779611349105,,,,,,0.0712779611349105,,,,,,,,,,0.0712779611349105,0.0712779611349105,,human,UP
HBD,,,,,,0.0709110721945762,,,,,,0.0709110721945762,,,,,,,,,,0.0709110721945762,0.0709110721945762,,human,UP
RPS11,,,,,,0.0707277581095695,,,,,,0.0707277581095695,,,,,,,,,,0.0707277581095695,0.0707277581095695,,human,UP
SPINK4,0.0757071673870086,-0.1359103471040725,,0.0353988073766231,0.1047480329871177,,0.0904673933982849,0.1126483976840972,0.0555235669016838,0.1143439188599586,0.1770590841770172,,0.1119163781404495,,,0.0588576160371303,0.0749104842543602,,0.0333090536296367,,,0.0699215041330227,0.0757071673870086,0.0353988073766231,human,UP
OLFM4,0.1132125109434127,-0.3334445655345917,-0.0749901309609413,,0.1616477519273758,,0.1340114176273346,0.2520096600055694,0.1067721247673034,0.1015879139304161,0.0558013059198856,,0.1609348058700561,0.0622888803482055,0.1806836426258087,0.0531474538147449,,-0.0209530778229236,0.0435037203133106,,,0.0664142275849978,0.1015879139304161,,human,UP
FXYD5,,,,,,0.0624526664614677,,,,,,0.0624526664614677,,,,,,,,,,0.0624526664614677,0.0624526664614677,,human,UP
SERPINB2,,,,,,0.0620882622897625,,,,,,0.0620882622897625,,,,,,,,,,0.0620882622897625,0.0620882622897625,,human,UP
MAFB,,,,,,0.0616889968514442,,,,,,0.0616889968514442,,,,,,,,,,0.0616889968514442,0.0616889968514442,,human,UP
ITK,,,,,,0.0610668808221817,,,,,,0.0610668808221817,,,,,,,,,,0.0610668808221817,0.0610668808221817,,human,UP
EIF3L,,0.0789248868823051,,,,0.0478514842689037,,,,,,0.0478514842689037,,,,,,,,,,0.0582092851400375,0.0478514842689037,,human,UP
REG1A,0.0628614649176597,,-0.032322634011507,-0.0400729775428772,0.0429784655570983,,0.1701646000146865,0.1450701206922531,0.1154251769185066,0.082247108221054,0.0163887795060873,,0.1638328284025192,0.0289066843688488,0.0346408262848854,,-0.0378032438457012,,,,,0.0578705538064241,0.0429784655570983,-0.0400729775428772,human,UP
C5AR1,,,,,,0.0577329061925411,,,,,,0.0577329061925411,,,,,,,,,,0.0577329061925411,0.0577329061925411,,human,UP
SELL,,,,,,0.0575752891600132,,,,,,0.0575752891600132,,,,,,,,,,0.0575752891600132,0.0575752891600132,,human,UP
S100A12,,,,,,0.05721265822649,,,,,,0.05721265822649,,,,,,,,,,0.05721265822649,0.05721265822649,,human,UP
RPS9,,0.0111847408115863,,,,0.0820603221654892,,,,,,0.0820603221654892,,0.0530001297593116,,,,,,,,0.0570763787254691,0.0675302259624004,,human,UP
ASS1,0.0768647044897079,-0.0645873621106147,,,,,0.1214969754219055,0.043951615691185,0.0506137199699878,0.0750239118933677,0.0532342195510864,,0.0988753139972686,,,,,,,,,0.0569341373629868,0.0641290657222271,,human,UP
FCER1G,,,,,,0.0743538811802864,,,0.0133974077180027,,,0.0743538811802864,,,,,,,,,,0.0540350566928585,0.0743538811802864,,human,UP
BCL2A1,,,,,,0.0528243444859981,,,,,,0.0528243444859981,,,,,,,,,,0.0528243444859981,0.0528243444859981,,human,UP
JAK1,,,,,,0.0519372597336769,,,,,,0.0519372597336769,,,,,,,,,,0.0519372597336769,0.0519372597336769,,human,UP
NTRK2,,,,,,,,,,,,,,,,,0.0508909374475479,,,,,0.0508909374475479,0.0508909374475479,,human,UP
ACTA2,,,,,,,,,0.0636738091707229,0.0561781711876392,,,,0.0314814113080501,,,,,,,,0.0504444638888041,0.0561781711876392,,human,UP
SRGN,,,,,,0.062121707946062,,,,0.0251582264900207,,0.062121707946062,,,,,,,,,,0.0498005474607149,0.062121707946062,,human,UP
CLCA1,0.2524371445178985,0.0464762300252914,-0.0285245403647422,,0.0235371850430965,,0.0403640307486057,,0.0338638424873352,-0.0672193691134452,0.1943762898445129,,0.0249274708330631,-0.0187236070632934,0.0311870910227298,0.0481036268174648,0.0663017928600311,,,,,0.0497774759737344,0.0338638424873352,,human,UP
TLN1,,,,,,,,,0.0578207895159721,0.0407796762883663,,,,0.0485503934323787,,,,,,,,0.049050286412239,0.0485503934323787,,human,UP
NRGN,,,,,,0.0472612604498863,,,,,,0.0472612604498863,,,,,,,,,,0.0472612604498863,0.0472612604498863,,human,UP
RPS28,,,,,,,,,0.041234266012907,,,,,0.0765714421868324,0.0235262438654899,,,,,,,0.0471106506884098,0.041234266012907,,human,UP
TFF3,0.1137844696640968,0.0537335127592086,0.0187993124127388,,0.0481493137776851,,0.0287982039153575,0.0166249144822359,,,0.0466176159679889,,0.0256643556058406,,0.0267774630337953,0.0920109078288078,,,,,,0.0470960069447755,0.0377079099416732,,human,UP
DUOX2,0.0151576157659292,-0.0141082182526588,,0.0282270070165395,0.0450638383626937,,0.1190582960844039,0.0475410148501396,,,,,0.0928843393921852,,0.0406581833958625,,,,,,,0.0468102595768868,0.0428610108792781,0.0282270070165395,human,UP
TREM1,,,,,,0.0467478595674037,,,,,,0.0467478595674037,,,,,,,,,,0.0467478595674037,0.0467478595674037,,human,UP
TMA7,,,,,,,,0.0104697467759251,,,0.0830088555812835,,,,,,,,,,,0.0467393011786043,0.0467393011786043,,human,UP
IFITM3,0.0523411035537719,,,,,0.0287982989102602,0.0847464129328727,0.0492818690836429,0.0463454201817512,0.0691909864544868,0.0120135713368654,0.0287982989102602,0.0660967230796814,0.0270731057971715,,,,,,,,0.0464685790240764,0.0478136446326971,,human,UP
CNBP,,,,,,0.0456543527543544,,,,,,0.0456543527543544,,,,,,,,,,0.0456543527543544,0.0456543527543544,,human,UP
IFITM2,0.0231971591711044,,,,,0.0962383225560188,0.0357060618698596,0.0180024188011884,0.02126320078969,0.0713867247104644,,0.0962383225560188,0.0290634371340274,,0.0173669774085283,,,,,,,0.0453847361107667,0.0290634371340274,,human,UP
CXCL8,,,,,0.0312562696635723,0.1170868948101997,,,,0.0238618552684783,-0.0428659096360206,0.1170868948101997,,,,,,0.0193448755890131,,,,0.0442951467509071,0.0275590624660253,,human,UP
PCBP1,,,,,,0.0868798047304153,,-0.0112042194232344,,,0.0137805696576833,0.0868798047304153,,,,,,,,,,0.0440839899238199,0.0503301871940493,,human,UP
PLCB4,,,0.0440473370254039,,0.049433909356594,,,,,,,,,,0.0208681747317314,,0.0418837144970893,0.0582158416509628,,,,0.0428897954523563,0.0440473370254039,,human,UP
NCK2,,,,,,0.0428655743598938,,,,,,0.0428655743598938,,,,,,,,,,0.0428655743598938,0.0428655743598938,,human,UP
RPL27A,,,,,,0.04358871281147,,,0.0490594804286956,0.0186552461236715,,0.04358871281147,,0.0594116635620594,,,,,,,,0.0428607631474733,0.04358871281147,,human,UP
DMBT1,0.0208049956709146,-0.0136537589132785,,,,,0.0727203339338302,0.0560755506157875,0.0367850959300994,0.0490760467946529,,,0.0748155862092971,,,,,,,,,0.0423748357487576,0.0490760467946529,,human,UP
IFITM1,0.024252276867628,,,0.0171447694301605,0.0188924614340066,0.0986032783985138,0.0403967164456844,0.0227970741689205,0.0570795536041259,0.0503539517521858,0.0162944123148918,0.0986032783985138,0.03538578748703,0.0477916114032268,0.0307835675776004,0.0307791288942098,,,,,,0.0420827048697641,0.0330846775323152,0.0171447694301605,human,UP
PI3,0.0206395834684371,-0.0181956756860017,,,0.0238684676587581,,0.0837781503796577,0.0351863428950309,,0.1417794376611709,,,0.1055868938565254,-0.0408842042088508,0.0239624585956335,,,,,,,0.0417468282911512,0.0239624585956335,,human,UP
ENO1,,,,,,,,,0.0365975424647331,0.0413499698042869,,,,0.0447185039520263,,,,,,,,0.0408886720736821,0.0413499698042869,,human,UP
VNN2,,,,,,0.0406530648469924,,,,,,0.0406530648469924,,,,,,,,,,0.0406530648469924,0.0406530648469924,,human,UP
ASPN,,,,0.0265625622123479,,,,,,,,,,,0.0607713237404823,0.03748744353652,,,0.0366418585181236,,,0.0403657970018684,0.0370646510273218,0.0265625622123479,human,UP
CLEC7A,,,,,,0.0403402671217918,,,,,,0.0403402671217918,,,,,,,,,,0.0403402671217918,0.0403402671217918,,human,UP
ALDH2,,,,,,,,,0.031650137156248,,,,,0.04896866902709,,,,,,,,0.040309403091669,0.040309403091669,,human,UP
MMP7,,,,0.0411388576030731,0.0492297634482383,,,,,,,,,,0.0504009164869785,,0.0195627268403768,,,,,0.0400830660946667,0.0451843105256557,0.0411388576030731,human,UP
RPL13,,,,,,,,,0.0445569567382335,0.0172303132712841,,,,0.0574899613857269,,,,,,,,0.0397590771317482,0.0445569567382335,,human,UP
PLA2G7,,,,,0.0183140523731708,,,,,,,,,,,0.035125695168972,0.0651343539357185,,,,,0.0395247004926204,0.035125695168972,,human,UP
CXCL1,0.0108895171433687,,,0.0609784871339798,0.0831392109394073,,0.0449226759374141,0.034802570939064,,0.0276936534792184,,,0.0341957248747348,,0.049252551048994,0.0174874234944582,0.035089049488306,0.0334195308387279,,,,0.0392609450288794,0.034802570939064,0.0609784871339798,human,UP
TIMP1,0.0332595705986022,-0.0297645945101976,,,0.0171079356223344,0.0870759189128875,0.0594592355191707,0.0429014451801776,0.0317151769995689,0.0613351911306381,0.0121236238628625,0.0870759189128875,0.0456288047134876,,0.0183722153306007,,,,,,,0.038857536856085,0.0380805078893899,,human,UP
BDKRB2,,,,,0.0387564860284328,,,,,,,,,,,,,,,,,0.0387564860284328,0.0387564860284328,,human,UP
EMP3,,,,,,0.0387078523635864,,,,,,0.0387078523635864,,,,,,,,,,0.0387078523635864,0.0387078523635864,,human,UP
TBCA,,,,,,,,,,,0.0385095626115798,,,,,,,,,,,0.0385095626115798,0.0385095626115798,,human,UP
SGK2,,,0.0515563897788524,,,,,,,,,,,,,,0.0431828759610652,,0.0201308950781822,,,0.0382900536060333,0.0431828759610652,,human,UP
NDUFAB1,0.0510844588279724,,,,,,,,,,0.0254818778485059,,,,,,,,,,,0.0382831683382391,0.0382831683382391,,human,UP
PRDX1,0.0489358492195606,-0.0498690381646156,,,,,0.049093447625637,0.0518707148730754,0.0704661831259727,0.0540859997272491,,,0.0354870818555355,0.0446205697953701,,,,,,,,0.0380863510072231,0.0490146484225988,,human,UP
RGS3,,,,,,,,,0.0258900038897991,0.0495245680212974,,,,,,,,,,,,0.0377072859555482,0.0377072859555482,,human,UP
PF4,,,,,,0.0463967472314834,,,,,,0.0463967472314834,,,,,,,0.0188106074929237,,,0.0372013673186302,0.0463967472314834,,human,UP
SAT1,0.0275523606687784,,,,0.021949965506792,0.062705248594284,0.0425004586577415,,,,,0.062705248594284,0.0344178043305873,,0.020550338551402,,0.0238813124597072,,,,,0.0370328421704471,0.0309850824996829,,human,UP
ALAS2,,,,,,0.0369168035686016,,,,,,0.0369168035686016,,,,,,,,,,0.0369168035686016,0.0369168035686016,,human,UP
AQP9,,,,,0.0199696701020002,0.052506111562252,,,,,,0.052506111562252,,,,,,0.0219719354063272,,,,0.0367384571582078,0.0372390234842896,,human,UP
ADRA2A,,,,,,,,,,,,,,,,0.0366757176816463,,,,,,0.0366757176816463,0.0366757176816463,,human,UP
