gene_symbol,logfc_dz:399,logfc_dz:225,logfc_dz:16,mean_logfc,median_logfc,common_experiment,organism,signature_type
FTL,0.0855021476745605,0.3059482872486114,0.02900967374444,0.1401533695558706,0.0855021476745605,0.0855021476745605,human,UP
COL1A2,,0.1202723607420921,0.1148387044668197,0.1175555326044559,0.1175555326044559,,human,UP
ACTC1,,0.1080418229103088,0.1265170276165008,0.1172794252634048,0.1172794252634048,,human,UP
MYLK,-0.041351281106472,0.1342059075832367,0.2553430795669555,0.1160659020145734,0.1342059075832367,-0.041351281106472,human,UP
RPS10,0.0684699341654777,0.0694668963551521,0.2050247639417648,0.1143205314874649,0.0694668963551521,0.0684699341654777,human,UP
COL6A3,0.0694460719823837,0.0448260232806205,0.1542892158031463,0.0895204370220502,0.0694460719823837,0.0694460719823837,human,UP
PCP4,-0.0426307916641235,0.0268745049834251,0.2667079269886017,0.0836505467693011,0.0268745049834251,-0.0426307916641235,human,UP
PRDX6,0.0233465079218149,0.1397928744554519,0.0751473754644393,0.0794289192805687,0.0751473754644393,0.0233465079218149,human,UP
MORF4L2,,0.0584489256143569,0.0913842841982841,0.0749166049063205,0.0749166049063205,,human,UP
MMP2,0.0865736529231071,0.0565893352031707,,0.0715814940631389,0.0715814940631389,0.0865736529231071,human,UP
HLA-B,0.0713112354278564,,,0.0713112354278564,0.0713112354278564,0.0713112354278564,human,UP
THBS2,0.0394685268402099,0.0909198224544525,,0.0651941746473312,0.0651941746473312,0.0394685268402099,human,UP
CHRDL1,0.0327418856322765,0.098202921450138,0.0637604594230651,0.0649017555018266,0.0637604594230651,0.0327418856322765,human,UP
ALDOA,0.0229612179100513,0.1068294793367385,,0.0648953486233949,0.0648953486233949,0.0229612179100513,human,UP
RPL35,0.0634378492832183,,,0.0634378492832183,0.0634378492832183,0.0634378492832183,human,UP
PRDX1,-0.0154860792681574,0.1356462985277176,,0.06008010962978,0.06008010962978,-0.0154860792681574,human,UP
ASPN,0.0534857399761676,0.0702755749225616,0.0564298070967197,0.0600637073318163,0.0564298070967197,0.0534857399761676,human,UP
AKR1B10,-0.0173514876514673,0.1368691772222519,,0.0597588447853922,0.0597588447853922,-0.0173514876514673,human,UP
RPL10A,0.0416349060833454,,0.0772176086902618,0.0594262573868036,0.0594262573868036,0.0416349060833454,human,UP
GAPDH,,0.1462431102991104,-0.0277968477457761,0.0592231312766671,0.0592231312766671,,human,UP
RPS27A,,,0.0591961443424224,0.0591961443424224,0.0591961443424224,,human,UP
COL4A2,0.0371150597929954,0.0629777684807777,0.0765300616621971,0.0588742966453234,0.0629777684807777,0.0371150597929954,human,UP
NUPR1,,0.0557709746062755,,0.0557709746062755,0.0557709746062755,,human,UP
RPS15,,0.0557356216013431,0.0539680831134319,0.0548518523573875,0.0548518523573875,,human,UP
ATP6V0D1,0.0450386889278888,0.0646422579884529,,0.0548404734581708,0.0548404734581708,0.0450386889278888,human,UP
PDGFC,0.0430916137993335,0.0409064553678035,0.0768031254410743,0.0536003982027371,0.0430916137993335,0.0430916137993335,human,UP
RPS23,,-0.0176955927163362,0.1246045529842376,0.0534544801339507,0.0534544801339507,,human,UP
PAGE4,,0.0699544548988342,0.0363997817039489,0.0531771183013916,0.0531771183013916,,human,UP
MFAP5,0.0237162895500659,,0.082522727549076,0.053119508549571,0.053119508549571,0.0237162895500659,human,UP
PKM,,0.051961813122034,,0.051961813122034,0.051961813122034,,human,UP
HLA-C,0.0682359784841537,,0.0351936854422092,0.0517148319631814,0.0517148319631814,0.0682359784841537,human,UP
ISOC1,0.0360299795866012,0.0889499485492706,0.0289083588868379,0.0512960956742366,0.0360299795866012,0.0360299795866012,human,UP
RPS8,0.0414704605937004,,0.0584988929331302,0.0499846767634153,0.0499846767634153,0.0414704605937004,human,UP
RPS17,,,0.0499753504991531,0.0499753504991531,0.0499753504991531,,human,UP
PLP1,,0.0692597702145576,0.0296934489160776,0.0494766095653176,0.0494766095653176,,human,UP
PPP1R3C,,0.0486863292753696,,0.0486863292753696,0.0486863292753696,,human,UP
RPL36A,,,0.0486719943583011,0.0486719943583011,0.0486719943583011,,human,UP
RPL39,0.0345042943954467,,0.0619011558592319,0.0482027251273393,0.0482027251273393,0.0345042943954467,human,UP
SFRP4,0.0414048321545124,0.0719663873314857,0.0298740733414888,0.0477484309424956,0.0414048321545124,0.0414048321545124,human,UP
RPLP0,-0.0149509366601705,0.066302478313446,0.0898655951023101,0.0470723789185285,0.066302478313446,-0.0149509366601705,human,UP
CFL1,,0.0470337271690368,,0.0470337271690368,0.0470337271690368,,human,UP
RPS5,0.0422593280673027,,0.0509076416492462,0.0465834848582744,0.0465834848582744,0.0422593280673027,human,UP
GRIA2,0.037561684846878,0.0313940457999706,0.068557359278202,0.0458376966416835,0.037561684846878,0.037561684846878,human,UP
COL4A5,,0.0450922548770904,0.0464868694543838,0.0457895621657371,0.0457895621657371,,human,UP
TKT,0.0234966129064559,0.0660331472754478,,0.0447648800909519,0.0447648800909519,0.0234966129064559,human,UP
EPHX1,0.0724431350827217,0.0331804528832435,0.0282722264528274,0.0446319381395975,0.0331804528832435,0.0724431350827217,human,UP
FTH1,0.0441186614334583,0.1132174208760261,-0.0243162717670202,0.044339936847488,0.0441186614334583,0.0441186614334583,human,UP
COL3A1,,0.032332707196474,0.0537597797811031,0.0430462434887886,0.0430462434887886,,human,UP
RPL12,0.0325140692293643,,0.0531044267117977,0.042809247970581,0.042809247970581,0.0325140692293643,human,UP
RPS3,0.0330732949078083,0.0197091791778802,0.0741172656416893,0.0422999132424593,0.0330732949078083,0.0330732949078083,human,UP
HSPB8,,,0.0421980693936347,0.0421980693936347,0.0421980693936347,,human,UP
SPARC,,0.0419134758412838,,0.0419134758412838,0.0419134758412838,,human,UP
CRABP2,,,0.0407379269599914,0.0407379269599914,0.0407379269599914,,human,UP
COL4A1,0.0154795600101351,0.056824967265129,0.0472824200987815,0.0398623157913486,0.0472824200987815,0.0154795600101351,human,UP
RPS2,0.026127366349101,0.1035982966423034,-0.0111794983968138,0.0395153881981968,0.026127366349101,0.026127366349101,human,UP
EIF4H,0.0394765362143516,,,0.0394765362143516,0.0394765362143516,0.0394765362143516,human,UP
ANXA6,,0.0391909405589103,,0.0391909405589103,0.0391909405589103,,human,UP
PDE8B,0.0271369758993387,0.0553515292704105,0.0346306078135967,0.039039704327782,0.0346306078135967,0.0271369758993387,human,UP
SLC24A3,0.0193095598369836,0.0259498059749603,0.0687537193298339,0.0380043617139259,0.0259498059749603,0.0193095598369836,human,UP
DYNLL1,0.0334662683308124,0.0423536002635955,,0.037909934297204,0.037909934297204,0.0334662683308124,human,UP
TRIM16,,0.0376729145646095,,0.0376729145646095,0.0376729145646095,,human,UP
RPL24,,,0.0375268571078777,0.0375268571078777,0.0375268571078777,,human,UP
RPS27,,-0.0295684486627578,0.1042361408472061,0.0373338460922241,0.0373338460922241,,human,UP
RPS24,,-0.0300316866487264,0.103750079870224,0.0368591966107487,0.0368591966107487,,human,UP
RPL8,0.0747305676341056,0.0245962087064981,0.0108262337744236,0.0367176700383424,0.0245962087064981,0.0747305676341056,human,UP
CDKN1A,,0.0359268188476562,,0.0359268188476562,0.0359268188476562,,human,UP
WFDC1,,,0.0354511141777038,0.0354511141777038,0.0354511141777038,,human,UP
HOPX,0.0216977223753929,0.0421868823468685,0.0416146665811538,0.0351664237678051,0.0416146665811538,0.0216977223753929,human,UP
ENO1,0.0221340507268905,0.0476487018167972,,0.0348913762718439,0.0348913762718439,0.0221340507268905,human,UP
ITM2C,0.0412486903369426,0.0323701165616512,0.0304455645382404,0.0346881238122781,0.0323701165616512,0.0412486903369426,human,UP
ATP1B1,0.0307546947151422,,0.0382375717163085,0.0344961332157254,0.0344961332157254,0.0307546947151422,human,UP
MSN,,0.0344649367034435,,0.0344649367034435,0.0344649367034435,,human,UP
VAPA,,0.0342384316027164,,0.0342384316027164,0.0342384316027164,,human,UP
SNAI2,0.0356475599110126,0.0288646891713142,0.0381969772279262,0.0342364087700843,0.0356475599110126,0.0356475599110126,human,UP
RPS27L,-0.0215648338198661,0.074941337108612,0.0483300313353538,0.0339021782080332,0.0483300313353538,-0.0215648338198661,human,UP
DAAM1,,,0.0333662442862987,0.0333662442862987,0.0333662442862987,,human,UP
COL5A2,0.0331982150673866,0.0453321374952793,0.0212446376681327,0.0332583300769329,0.0331982150673866,0.0331982150673866,human,UP
NCOA4,0.0331968553364276,,,0.0331968553364276,0.0331968553364276,0.0331968553364276,human,UP
SNCAIP,0.0397668853402137,0.0264449715614318,,0.0331059284508228,0.0331059284508228,0.0397668853402137,human,UP
PLN,,0.0329963527619838,,0.0329963527619838,0.0329963527619838,,human,UP
RAB31,,0.0456039570271968,0.019623277708888,0.0326136173680424,0.0326136173680424,,human,UP
LDHB,,0.0207577925175428,0.0443851053714752,0.032571448944509,0.032571448944509,,human,UP
RPLP1,,-0.0328071415424346,0.0977518707513809,0.0324723646044731,0.0324723646044731,,human,UP
ILK,,0.0283984076231718,0.0364434123039245,0.0324209099635481,0.0324209099635481,,human,UP
CES1,0.025313101708889,0.0395070128142833,,0.0324100572615861,0.0324100572615861,0.025313101708889,human,UP
TRMT112,0.03190403804183,,,0.03190403804183,0.03190403804183,0.03190403804183,human,UP
