gene_symbol,logfc_dz:190,mean_logfc,median_logfc,common_experiment,organism,signature_type
IGHV4-31,0.2165988832712173,0.2165988832712173,0.2165988832712173,0.2165988832712173,human,UP
PIGR,0.2026303708553314,0.2026303708553314,0.2026303708553314,0.2026303708553314,human,UP
OLFM4,0.1967052668333053,0.1967052668333053,0.1967052668333053,0.1967052668333053,human,UP
LCN2,0.1801225692033767,0.1801225692033767,0.1801225692033767,0.1801225692033767,human,UP
DMBT1,0.1515947580337524,0.1515947580337524,0.1515947580337524,0.1515947580337524,human,UP
SPINK4,0.144682690501213,0.144682690501213,0.144682690501213,0.144682690501213,human,UP
REG1A,0.1432475000619888,0.1432475000619888,0.1432475000619888,0.1432475000619888,human,UP
IGHA2,0.1411831527948379,0.1411831527948379,0.1411831527948379,0.1411831527948379,human,UP
PLA2G2A,0.1231145039200782,0.1231145039200782,0.1231145039200782,0.1231145039200782,human,UP
REG1B,0.1211232021450996,0.1211232021450996,0.1211232021450996,0.1211232021450996,human,UP
MUC2,0.1196430623531341,0.1196430623531341,0.1196430623531341,0.1196430623531341,human,UP
LEFTY1,0.107029765844345,0.107029765844345,0.107029765844345,0.107029765844345,human,UP
IGKV1OR2-108,0.0908718407154083,0.0908718407154083,0.0908718407154083,0.0908718407154083,human,UP
CLCA4,0.0877151116728782,0.0877151116728782,0.0877151116728782,0.0877151116728782,human,UP
ASS1,0.0856935158371925,0.0856935158371925,0.0856935158371925,0.0856935158371925,human,UP
DEFA5,0.0851213932037353,0.0851213932037353,0.0851213932037353,0.0851213932037353,human,UP
LOC652493,0.0848711803555488,0.0848711803555488,0.0848711803555488,0.0848711803555488,human,UP
SPINK1,0.0843405276536941,0.0843405276536941,0.0843405276536941,0.0843405276536941,human,UP
FCGBP,0.0800586119294166,0.0800586119294166,0.0800586119294166,0.0800586119294166,human,UP
CYAT1,0.0763805583119392,0.0763805583119392,0.0763805583119392,0.0763805583119392,human,UP
TFF3,0.0701915025711059,0.0701915025711059,0.0701915025711059,0.0701915025711059,human,UP
TFF1,0.0688094347715377,0.0688094347715377,0.0688094347715377,0.0688094347715377,human,UP
IFITM2,0.0683182030916214,0.0683182030916214,0.0683182030916214,0.0683182030916214,human,UP
IGHV3-23,0.0663301423192024,0.0663301423192024,0.0663301423192024,0.0663301423192024,human,UP
IFITM3,0.0662099048495292,0.0662099048495292,0.0662099048495292,0.0662099048495292,human,UP
CLCA1,0.0640805959701538,0.0640805959701538,0.0640805959701538,0.0640805959701538,human,UP
PI3,0.0619427450001239,0.0619427450001239,0.0619427450001239,0.0619427450001239,human,UP
COL6A3,0.0614070035517215,0.0614070035517215,0.0614070035517215,0.0614070035517215,human,UP
TIMP1,0.0580127723515033,0.0580127723515033,0.0580127723515033,0.0580127723515033,human,UP
DEFA6,0.0566318593919277,0.0566318593919277,0.0566318593919277,0.0566318593919277,human,UP
IGK,0.055572286248207,0.055572286248207,0.055572286248207,0.055572286248207,human,UP
IGLC7,0.0532355830073356,0.0532355830073356,0.0532355830073356,0.0532355830073356,human,UP
COL4A1,0.049989465624094,0.049989465624094,0.049989465624094,0.049989465624094,human,UP
AOC1,0.0476892031729221,0.0476892031729221,0.0476892031729221,0.0476892031729221,human,UP
MUC13,0.0455940775573253,0.0455940775573253,0.0455940775573253,0.0455940775573253,human,UP
GNE,0.0451240055263042,0.0451240055263042,0.0451240055263042,0.0451240055263042,human,UP
UBC,0.0443900078535079,0.0443900078535079,0.0443900078535079,0.0443900078535079,human,UP
MEP1A,0.0440009385347366,0.0440009385347366,0.0440009385347366,0.0440009385347366,human,UP
CEACAM7,0.0426494181156158,0.0426494181156158,0.0426494181156158,0.0426494181156158,human,UP
S100P,0.0424039252102375,0.0424039252102375,0.0424039252102375,0.0424039252102375,human,UP
CEACAM6,0.041047915816307,0.041047915816307,0.041047915816307,0.041047915816307,human,UP
HLA-G,0.0409718491137027,0.0409718491137027,0.0409718491137027,0.0409718491137027,human,UP
