gene_symbol,logfc_dz:758,logfc_dz:757,logfc_dz:794,logfc_dz:992,mean_logfc,median_logfc,common_experiment,organism,signature_type
EMX2OS,,,,0.9167752265930176,0.9167752265930176,0.9167752265930176,,human,UP
MAP2K5,,,,0.2478479295969009,0.2478479295969009,0.2478479295969009,,human,UP
PF4,,,0.2176589071750641,,0.2176589071750641,0.2176589071750641,,human,UP
IGHV4-31,0.213036373257637,0.1803060621023178,,,0.1966712176799774,0.1966712176799774,0.1803060621023178,human,UP
PPBP,,,0.1797983646392822,,0.1797983646392822,0.1797983646392822,,human,UP
RPS26,,,0.164026454091072,,0.164026454091072,0.164026454091072,,human,UP
AKAP8L,,,,0.145998865365982,0.145998865365982,0.145998865365982,,human,UP
TMEM50A,,,,0.1313250958919525,0.1313250958919525,0.1313250958919525,,human,UP
REG1A,0.1610584557056427,0.0950389355421066,,,0.1280486956238746,0.1280486956238746,0.0950389355421066,human,UP
HIST1H2AC,,,0.1261059790849685,,0.1261059790849685,0.1261059790849685,,human,UP
SFN,0.1313079297542572,0.1105728074908256,,,0.1209403686225414,0.1209403686225414,0.1105728074908256,human,UP
GPX1,,,0.1090715825557708,,0.1090715825557708,0.1090715825557708,,human,UP
NRGN,,,0.1047004237771034,,0.1047004237771034,0.1047004237771034,,human,UP
SPINK4,0.1468693315982818,0.0615982823073864,,,0.1042338069528341,0.1042338069528341,0.0615982823073864,human,UP
CLCA1,0.0854022279381752,0.1177932918071746,,,0.1015977598726749,0.1015977598726749,0.1177932918071746,human,UP
RLIM,,,0.1003105565905571,,0.1003105565905571,0.1003105565905571,,human,UP
BASP1,,,0.0998850762844085,,0.0998850762844085,0.0998850762844085,,human,UP
HLA-J,0.0939727053046226,0.0950407087802887,,,0.0945067070424556,0.0945067070424556,0.0950407087802887,human,UP
CHUK,,,,0.0918849855661392,0.0918849855661392,0.0918849855661392,,human,UP
HLA-DPB1,0.0593968369066715,,0.1237228363752365,,0.091559836640954,0.091559836640954,,human,UP
MMD,,,0.0899850949645042,,0.0899850949645042,0.0899850949645042,,human,UP
ZFP36,0.0665506422519683,,0.1060691550374031,,0.0863098986446857,0.0863098986446857,,human,UP
MADCAM1,,0.0860574543476104,,,0.0860574543476104,0.0860574543476104,0.0860574543476104,human,UP
METTL17,,,,0.0845744684338569,0.0845744684338569,0.0845744684338569,,human,UP
SAT1,,,0.0843285396695137,,0.0843285396695137,0.0843285396695137,,human,UP
IFITM2,0.1416704952716827,0.034475453197956,0.0734033584594726,,0.0831831023097038,0.0734033584594726,0.034475453197956,human,UP
MAFB,,,0.0822879448533058,,0.0822879448533058,0.0822879448533058,,human,UP
TUBA1C,,,0.0815934166312217,,0.0815934166312217,0.0815934166312217,,human,UP
CXCL8,0.0284401681274175,,0.133090853691101,,0.0807655109092593,0.0807655109092593,,human,UP
RPL39,,,0.0804199427366256,,0.0804199427366256,0.0804199427366256,,human,UP
DEFA5,0.0581634379923343,0.0969278439879417,,,0.077545640990138,0.077545640990138,0.0969278439879417,human,UP
IP6K2,,,-0.0177019443362951,0.1623317897319793,0.0723149226978421,0.0723149226978421,,human,UP
SGK1,,,0.0715990215539932,,0.0715990215539932,0.0715990215539932,,human,UP
F13A1,,,0.0698528066277504,,0.0698528066277504,0.0698528066277504,,human,UP
RPS27A,0.0463661029934883,,0.0922638326883316,,0.0693149678409099,0.0693149678409099,,human,UP
HLA-A,0.1503173410892486,0.0984188690781593,-0.0412848219275474,,0.0691504627466201,0.0984188690781593,0.0984188690781593,human,UP
G0S2,0.0404274351894855,,0.0976558476686477,,0.0690416414290666,0.0690416414290666,,human,UP
PLA2G2A,0.1098642274737358,0.0277043059468269,,,0.0687842667102813,0.0687842667102813,0.0277043059468269,human,UP
IER3,0.0683411210775375,,,,0.0683411210775375,0.0683411210775375,,human,UP
TUBA1A,,,0.0679877549409866,,0.0679877549409866,0.0679877549409866,,human,UP
MAP3K7CL,,,0.0676380395889282,,0.0676380395889282,0.0676380395889282,,human,UP
RPL36,,,0.0667980313301086,,0.0667980313301086,0.0667980313301086,,human,UP
RGS2,,,0.066541276872158,,0.066541276872158,0.066541276872158,,human,UP
IFITM3,0.1308441758155822,0.0494393445551395,0.0162249784916639,,0.0655028329541285,0.0494393445551395,0.0494393445551395,human,UP
IDO1,0.0647433996200561,,,,0.0647433996200561,0.0647433996200561,,human,UP
FOSB,,,0.064145341515541,,0.064145341515541,0.064145341515541,,human,UP
REG1B,0.0955990105867385,0.0319215171039104,,,0.0637602638453245,0.0637602638453245,0.0319215171039104,human,UP
LCN2,0.0992340445518493,0.0632226392626762,0.0266780704259872,,0.0630449180801709,0.0632226392626762,0.0632226392626762,human,UP
S100P,0.0799451172351837,,0.0458978563547134,,0.0629214867949485,0.0629214867949485,,human,UP
GABARAP,,,0.062717393040657,,0.062717393040657,0.062717393040657,,human,UP
OLFM4,0.0602643825113773,0.0646974965929985,,,0.0624809395521879,0.0624809395521879,0.0646974965929985,human,UP
C5AR1,,,0.0608855187892913,,0.0608855187892913,0.0608855187892913,,human,UP
HLA-C,0.1205979809165,0.0944036245346069,-0.0333679132163524,,0.0605445640782515,0.0944036245346069,0.0944036245346069,human,UP
RPL3,0.0617254748940467,0.0590652264654636,,,0.0603953506797552,0.0603953506797552,0.0590652264654636,human,UP
RAP1A,,,0.0603290274739265,,0.0603290274739265,0.0603290274739265,,human,UP
MMP1,0.0598720647394657,,,,0.0598720647394657,0.0598720647394657,,human,UP
RPL18,0.046781737357378,0.0722055658698082,,,0.0594936516135931,0.0594936516135931,0.0722055658698082,human,UP
FTH1,-0.0258382875472307,,0.1447263658046722,,0.0594440391287207,0.0594440391287207,,human,UP
UBD,0.0583972111344337,,,,0.0583972111344337,0.0583972111344337,,human,UP
WARS,0.0583210177719593,,,,0.0583210177719593,0.0583210177719593,,human,UP
LGALS3BP,0.045115515589714,0.0713738724589347,,,0.0582446940243244,0.0582446940243244,0.0713738724589347,human,UP
SERPINA1,0.0582701601088047,0.0568780936300754,,,0.05757412686944,0.05757412686944,0.0568780936300754,human,UP
NFIL3,,,0.0570172406733036,,0.0570172406733036,0.0570172406733036,,human,UP
ITM2B,,,0.0568292662501335,,0.0568292662501335,0.0568292662501335,,human,UP
SERPINB2,,,0.0568200573325157,,0.0568200573325157,0.0568200573325157,,human,UP
TFF1,0.0565926246345043,,,,0.0565926246345043,0.0565926246345043,,human,UP
SPINK1,0.0624627508223056,0.0504464469850063,,,0.056454598903656,0.056454598903656,0.0504464469850063,human,UP
FOS,0.0224274173378944,,0.0901475176215171,,0.0562874674797058,0.0562874674797058,,human,UP
HIST1H3H,,,0.056180439889431,,0.056180439889431,0.056180439889431,,human,UP
IFITM1,0.0824841633439064,0.0388213209807872,0.0453253574669361,,0.0555436139305432,0.0453253574669361,0.0388213209807872,human,UP
LYZ,0.0612198747694492,,0.0497213378548622,,0.0554706063121557,0.0554706063121557,,human,UP
IGK,0.0753211081027984,0.0340585485100746,,,0.0546898283064365,0.0546898283064365,0.0340585485100746,human,UP
FCGBP,0.0312772430479526,0.1321054697036743,,0.0002200942690251,0.054534269006884,0.0312772430479526,0.1321054697036743,human,UP
HLA-DRB4,,,0.0538824014365673,,0.0538824014365673,0.0538824014365673,,human,UP
CD83,,,0.0536636412143707,,0.0536636412143707,0.0536636412143707,,human,UP
NGFRAP1,,,0.0534318685531616,,0.0534318685531616,0.0534318685531616,,human,UP
RPS2,0.0405664704740047,0.0650330185890197,,,0.0527997445315122,0.0527997445315122,0.0650330185890197,human,UP
PSMB9,0.0523424744606018,,,,0.0523424744606018,0.0523424744606018,,human,UP
PRKAR2B,,,0.0515491627156734,,0.0515491627156734,0.0515491627156734,,human,UP
GNG11,,,0.0514542125165462,,0.0514542125165462,0.0514542125165462,,human,UP
NBPF10,,,0.0499313473701477,,0.0499313473701477,0.0499313473701477,,human,UP
OAZ1,0.033744279295206,0.0659077912569046,,,0.0498260352760553,0.0498260352760553,0.0659077912569046,human,UP
DMBT1,0.0699897482991218,0.0285800881683826,,,0.0492849182337522,0.0492849182337522,0.0285800881683826,human,UP
TIPARP,,,0.0486413836479187,,0.0486413836479187,0.0486413836479187,,human,UP
LOC100510519,0.0743804201483726,0.0228038355708122,,,0.0485921278595924,0.0485921278595924,0.0228038355708122,human,UP
CEACAM1,,0.0483519285917282,,,0.0483519285917282,0.0483519285917282,0.0483519285917282,human,UP
TREM1,,,0.0483230836689472,,0.0483230836689472,0.0483230836689472,,human,UP
IER2,0.0686515271663665,,0.0251519475132226,,0.0469017373397946,0.0469017373397946,,human,UP
NCK2,,,0.0468074604868888,,0.0468074604868888,0.0468074604868888,,human,UP
HLA-F,0.1172255501151084,0.0464888624846935,-0.0233302321285009,,0.046794726823767,0.0464888624846935,0.0464888624846935,human,UP
RPL7A,,,0.0465891063213348,,0.0465891063213348,0.0465891063213348,,human,UP
TIMP1,0.0467251613736152,,0.0456318259239196,,0.0461784936487674,0.0461784936487674,,human,UP
RPL23A,0.0652813836932182,0.0363731943070888,0.0360086783766746,,0.0458877521256605,0.0363731943070888,0.0363731943070888,human,UP
RARRES3,0.0564418397843837,0.0351306311786174,,,0.0457862354815006,0.0457862354815006,0.0351306311786174,human,UP
SRGN,0.0368247218430042,,0.0546742714941501,,0.0457494966685771,0.0457494966685771,,human,UP
SARAF,,,0.045028630644083,,0.045028630644083,0.045028630644083,,human,UP
S100A8,0.04450274258852,,,,0.04450274258852,0.04450274258852,,human,UP
GBP1,0.0439997725188732,,,,0.0439997725188732,0.0439997725188732,,human,UP
IFI30,0.0795436799526214,0.032833993434906,0.0194906704127788,,0.0439561146001021,0.032833993434906,0.032833993434906,human,UP
CD74,0.0478449501097202,,0.0385406017303466,,0.0431927759200334,0.0431927759200334,,human,UP
