gene_symbol,logfc_dz:176,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBA2,0.2933139204978943,0.2933139204978943,0.2933139204978943,0.2933139204978943,human,UP
HIST2H2BE,0.1384966224431991,0.1384966224431991,0.1384966224431991,0.1384966224431991,human,UP
PLAC8,0.132923349738121,0.132923349738121,0.132923349738121,0.132923349738121,human,UP
PIM1,0.1098970770835876,0.1098970770835876,0.1098970770835876,0.1098970770835876,human,UP
PIM3,0.1081058010458946,0.1081058010458946,0.1081058010458946,0.1081058010458946,human,UP
PPBP,0.0990606546401977,0.0990606546401977,0.0990606546401977,0.0990606546401977,human,UP
IER2,0.0927808657288551,0.0927808657288551,0.0927808657288551,0.0927808657288551,human,UP
HIST1H2AC,0.0921392291784286,0.0921392291784286,0.0921392291784286,0.0921392291784286,human,UP
IFI44L,0.0914923176169395,0.0914923176169395,0.0914923176169395,0.0914923176169395,human,UP
S100A8,0.085192322731018,0.085192322731018,0.085192322731018,0.085192322731018,human,UP
STRADB,0.0806581079959869,0.0806581079959869,0.0806581079959869,0.0806581079959869,human,UP
ADM,0.079001598060131,0.079001598060131,0.079001598060131,0.079001598060131,human,UP
HBG2,0.0783553943037986,0.0783553943037986,0.0783553943037986,0.0783553943037986,human,UP
IFITM3,0.0761199221014976,0.0761199221014976,0.0761199221014976,0.0761199221014976,human,UP
IFI44,0.0710261613130569,0.0710261613130569,0.0710261613130569,0.0710261613130569,human,UP
CMPK2,0.0698861628770828,0.0698861628770828,0.0698861628770828,0.0698861628770828,human,UP
ADAR,0.0689952969551086,0.0689952969551086,0.0689952969551086,0.0689952969551086,human,UP
S100A9,0.0687743499875068,0.0687743499875068,0.0687743499875068,0.0687743499875068,human,UP
SELL,0.068337932229042,0.068337932229042,0.068337932229042,0.068337932229042,human,UP
MXI1,0.0659580156207084,0.0659580156207084,0.0659580156207084,0.0659580156207084,human,UP
CYAT1,0.0647477135062217,0.0647477135062217,0.0647477135062217,0.0647477135062217,human,UP
RSAD2,0.0626940503716468,0.0626940503716468,0.0626940503716468,0.0626940503716468,human,UP
CD69,0.0608531683683395,0.0608531683683395,0.0608531683683395,0.0608531683683395,human,UP
GNG10,0.0592205971479415,0.0592205971479415,0.0592205971479415,0.0592205971479415,human,UP
GPR171,0.0591779202222824,0.0591779202222824,0.0591779202222824,0.0591779202222824,human,UP
NFKBIZ,0.0590332113206386,0.0590332113206386,0.0590332113206386,0.0590332113206386,human,UP
HBD,0.0585031919181346,0.0585031919181346,0.0585031919181346,0.0585031919181346,human,UP
MS4A1,0.0582132637500762,0.0582132637500762,0.0582132637500762,0.0582132637500762,human,UP
LDHA,0.057891771197319,0.057891771197319,0.057891771197319,0.057891771197319,human,UP
MX2,0.057729098945856,0.057729098945856,0.057729098945856,0.057729098945856,human,UP
GNG11,0.0566333532333374,0.0566333532333374,0.0566333532333374,0.0566333532333374,human,UP
DTX3L,0.0560244917869567,0.0560244917869567,0.0560244917869567,0.0560244917869567,human,UP
TMEM200B,0.0558247566223144,0.0558247566223144,0.0558247566223144,0.0558247566223144,human,UP
GPR18,0.0557193532586097,0.0557193532586097,0.0557193532586097,0.0557193532586097,human,UP
ABLIM1,0.0551193878054618,0.0551193878054618,0.0551193878054618,0.0551193878054618,human,UP
FOS,0.0547179281711578,0.0547179281711578,0.0547179281711578,0.0547179281711578,human,UP
HCLS1,0.0541742108762264,0.0541742108762264,0.0541742108762264,0.0541742108762264,human,UP
BCL2A1,0.0536174848675727,0.0536174848675727,0.0536174848675727,0.0536174848675727,human,UP
HP,0.0532027035951614,0.0532027035951614,0.0532027035951614,0.0532027035951614,human,UP
SLC2A14,0.0530897565186023,0.0530897565186023,0.0530897565186023,0.0530897565186023,human,UP
DDX60,0.0528711639344692,0.0528711639344692,0.0528711639344692,0.0528711639344692,human,UP
RBL2,0.0523255877196788,0.0523255877196788,0.0523255877196788,0.0523255877196788,human,UP
SLC25A37,0.0522093586623668,0.0522093586623668,0.0522093586623668,0.0522093586623668,human,UP
PARP12,0.0494816005229949,0.0494816005229949,0.0494816005229949,0.0494816005229949,human,UP
RGS2,0.0486708730459213,0.0486708730459213,0.0486708730459213,0.0486708730459213,human,UP
CEACAM8,0.0478123612701892,0.0478123612701892,0.0478123612701892,0.0478123612701892,human,UP
TRAT1,0.0476941354572773,0.0476941354572773,0.0476941354572773,0.0476941354572773,human,UP
LOC100510692,0.0464754737913608,0.0464754737913608,0.0464754737913608,0.0464754737913608,human,UP
MIR21,0.0457804873585701,0.0457804873585701,0.0457804873585701,0.0457804873585701,human,UP
SLC2A3,0.0456409193575382,0.0456409193575382,0.0456409193575382,0.0456409193575382,human,UP
IFI16,0.0448449589312076,0.0448449589312076,0.0448449589312076,0.0448449589312076,human,UP
IFITM2,0.0436611212790012,0.0436611212790012,0.0436611212790012,0.0436611212790012,human,UP
JUNB,0.0430622622370719,0.0430622622370719,0.0430622622370719,0.0430622622370719,human,UP
OLFM4,0.0430148504674434,0.0430148504674434,0.0430148504674434,0.0430148504674434,human,UP
OAZ1,0.0426461063325405,0.0426461063325405,0.0426461063325405,0.0426461063325405,human,UP
DEFA1B,0.0423025302588939,0.0423025302588939,0.0423025302588939,0.0423025302588939,human,UP
PROS1,0.042186539620161,0.042186539620161,0.042186539620161,0.042186539620161,human,UP
ADIPOR1,0.0413434989750385,0.0413434989750385,0.0413434989750385,0.0413434989750385,human,UP
FCGR1C,0.0412317886948585,0.0412317886948585,0.0412317886948585,0.0412317886948585,human,UP
GUCD1,0.0411751791834831,0.0411751791834831,0.0411751791834831,0.0411751791834831,human,UP
CHST15,0.0401706919074058,0.0401706919074058,0.0401706919074058,0.0401706919074058,human,UP
GLRX5,0.0398788154125213,0.0398788154125213,0.0398788154125213,0.0398788154125213,human,UP
HIST1H1C,0.039568405598402,0.039568405598402,0.039568405598402,0.039568405598402,human,UP
FAM46C,0.0393741726875305,0.0393741726875305,0.0393741726875305,0.0393741726875305,human,UP
RRM2,0.0393439084291458,0.0393439084291458,0.0393439084291458,0.0393439084291458,human,UP
ISG15,0.0390986204147338,0.0390986204147338,0.0390986204147338,0.0390986204147338,human,UP
F13A1,0.0388643443584442,0.0388643443584442,0.0388643443584442,0.0388643443584442,human,UP
