gene_symbol,logfc_dz:66,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-A,0.1576819717884063,0.1576819717884063,0.1576819717884063,0.1576819717884063,human,UP
RPS29,0.1333029568195343,0.1333029568195343,0.1333029568195343,0.1333029568195343,human,UP
RPL13A,0.1056670844554901,0.1056670844554901,0.1056670844554901,0.1056670844554901,human,UP
RPS3,0.0934311226010322,0.0934311226010322,0.0934311226010322,0.0934311226010322,human,UP
RGS2,0.0924517139792442,0.0924517139792442,0.0924517139792442,0.0924517139792442,human,UP
RPL32,0.0922173038125038,0.0922173038125038,0.0922173038125038,0.0922173038125038,human,UP
RPS23,0.0904499962925911,0.0904499962925911,0.0904499962925911,0.0904499962925911,human,UP
RPS15A,0.0877019762992858,0.0877019762992858,0.0877019762992858,0.0877019762992858,human,UP
RPS10,0.0745356008410453,0.0745356008410453,0.0745356008410453,0.0745356008410453,human,UP
RPL30,0.0736180320382118,0.0736180320382118,0.0736180320382118,0.0736180320382118,human,UP
RPL7A,0.0714019536972045,0.0714019536972045,0.0714019536972045,0.0714019536972045,human,UP
RPS27,0.0668181627988815,0.0668181627988815,0.0668181627988815,0.0668181627988815,human,UP
EEF1A1,0.0665395036339759,0.0665395036339759,0.0665395036339759,0.0665395036339759,human,UP
RPL12,0.0638646259903907,0.0638646259903907,0.0638646259903907,0.0638646259903907,human,UP
RPL23A,0.0638053864240646,0.0638053864240646,0.0638053864240646,0.0638053864240646,human,UP
RPSA,0.0636730417609214,0.0636730417609214,0.0636730417609214,0.0636730417609214,human,UP
RPL36A,0.0623556412756443,0.0623556412756443,0.0623556412756443,0.0623556412756443,human,UP
RPLP1,0.0600394457578659,0.0600394457578659,0.0600394457578659,0.0600394457578659,human,UP
EEF1G,0.0600002333521842,0.0600002333521842,0.0600002333521842,0.0600002333521842,human,UP
HLA-C,0.0580846145749092,0.0580846145749092,0.0580846145749092,0.0580846145749092,human,UP
TRBC1,0.0566885732114315,0.0566885732114315,0.0566885732114315,0.0566885732114315,human,UP
B2M,0.0566136986017227,0.0566136986017227,0.0566136986017227,0.0566136986017227,human,UP
