gene_symbol,logfc_dz:114,logfc_dz:408,mean_logfc,median_logfc,common_experiment,organism,signature_type
PTGDS,,0.163765087723732,0.163765087723732,0.163765087723732,0.163765087723732,human,UP
HBA2,0.1705891340970993,0.1384079903364181,0.1544985622167587,0.1544985622167587,0.1384079903364181,human,UP
HBB,0.1136884838342666,0.1743263900279998,0.1440074369311332,0.1440074369311332,0.1743263900279998,human,UP
MT1E,,0.1420181393623352,0.1420181393623352,0.1420181393623352,0.1420181393623352,human,UP
MAG,,0.1365913301706314,0.1365913301706314,0.1365913301706314,0.1365913301706314,human,UP
PDLIM3,0.1287442743778228,,0.1287442743778228,0.1287442743778228,,human,UP
PLP1,,0.1205794364213943,0.1205794364213943,0.1205794364213943,0.1205794364213943,human,UP
APOD,0.092937171459198,0.1300906240940094,0.1115138977766037,0.1115138977766037,0.1300906240940094,human,UP
GFAP,,0.1036176830530166,0.1036176830530166,0.1036176830530166,0.1036176830530166,human,UP
MT1B,,0.0995011180639267,0.0995011180639267,0.0995011180639267,0.0995011180639267,human,UP
LOC100505584,,0.0916884690523147,0.0916884690523147,0.0916884690523147,0.0916884690523147,human,UP
ACTN3,0.0803469195961952,,0.0803469195961952,0.0803469195961952,,human,UP
MT3,,0.0780023038387298,0.0780023038387298,0.0780023038387298,0.0780023038387298,human,UP
BAIAP3,,0.0759588852524757,0.0759588852524757,0.0759588852524757,0.0759588852524757,human,UP
MAL,,0.0758685544133186,0.0758685544133186,0.0758685544133186,0.0758685544133186,human,UP
MT1F,,0.0753912627696991,0.0753912627696991,0.0753912627696991,0.0753912627696991,human,UP
SNCG,,0.0747310146689415,0.0747310146689415,0.0747310146689415,0.0747310146689415,human,UP
MT1A,,0.0745007544755935,0.0745007544755935,0.0745007544755935,0.0745007544755935,human,UP
TF,,0.0740131139755249,0.0740131139755249,0.0740131139755249,0.0740131139755249,human,UP
MBP,,0.073777437210083,0.073777437210083,0.073777437210083,0.073777437210083,human,UP
MYOM2,0.0694816336035728,,0.0694816336035728,0.0694816336035728,,human,UP
HSPA1A,0.0676539540290832,,0.0676539540290832,0.0676539540290832,,human,UP
PDZK1IP1,,0.0665533766150474,0.0665533766150474,0.0665533766150474,0.0665533766150474,human,UP
CLDND1,,0.0637871623039245,0.0637871623039245,0.0637871623039245,0.0637871623039245,human,UP
QDPR,,0.0631449073553085,0.0631449073553085,0.0631449073553085,0.0631449073553085,human,UP
GPRC5B,,0.0619829483330249,0.0619829483330249,0.0619829483330249,0.0619829483330249,human,UP
CSRP1,,0.0587453618645668,0.0587453618645668,0.0587453618645668,0.0587453618645668,human,UP
RPL37,0.0582335069775581,,0.0582335069775581,0.0582335069775581,,human,UP
KCNJ4,,0.055249348282814,0.055249348282814,0.055249348282814,0.055249348282814,human,UP
MYRF,,0.055237591266632,0.055237591266632,0.055237591266632,0.055237591266632,human,UP
PYGM,0.054324172437191,,0.054324172437191,0.054324172437191,,human,UP
MAPRE3,,0.0534443035721778,0.0534443035721778,0.0534443035721778,0.0534443035721778,human,UP
BSG,,0.053071416914463,0.053071416914463,0.053071416914463,0.053071416914463,human,UP
CKB,,0.0530246719717979,0.0530246719717979,0.0530246719717979,0.0530246719717979,human,UP
RPS25,0.0527248010039329,,0.0527248010039329,0.0527248010039329,,human,UP
COPG2IT1,,0.0510274358093738,0.0510274358093738,0.0510274358093738,0.0510274358093738,human,UP
NDRG1,,0.0499326288700103,0.0499326288700103,0.0499326288700103,0.0499326288700103,human,UP
VIM,,0.0495948307216167,0.0495948307216167,0.0495948307216167,0.0495948307216167,human,UP
BCAS1,,0.0494437329471111,0.0494437329471111,0.0494437329471111,0.0494437329471111,human,UP
ZCCHC24,,0.0492620170116424,0.0492620170116424,0.0492620170116424,0.0492620170116424,human,UP
TSC22D4,,0.048627883195877,0.048627883195877,0.048627883195877,0.048627883195877,human,UP
GPM6B,,0.0484588295221328,0.0484588295221328,0.0484588295221328,0.0484588295221328,human,UP
GSN,,0.0479459203779697,0.0479459203779697,0.0479459203779697,0.0479459203779697,human,UP
HNRNPA1P10,0.0479285456240177,,0.0479285456240177,0.0479285456240177,,human,UP
ACTC1,0.0473099574446678,,0.0473099574446678,0.0473099574446678,,human,UP
EFHD1,,0.0472369417548179,0.0472369417548179,0.0472369417548179,0.0472369417548179,human,UP
MYH1,0.0466952957212924,,0.0466952957212924,0.0466952957212924,,human,UP
CDA,,0.0466786436736583,0.0466786436736583,0.0466786436736583,0.0466786436736583,human,UP
EEF1A1P9,0.0464144460856914,,0.0464144460856914,0.0464144460856914,,human,UP
ID2,,0.0454460605978965,0.0454460605978965,0.0454460605978965,0.0454460605978965,human,UP
ENPP2,,0.0444647930562496,0.0444647930562496,0.0444647930562496,0.0444647930562496,human,UP
PMP22,0.0226016249507665,0.0654549971222877,0.0440283110365271,0.0440283110365271,0.0654549971222877,human,UP
G0S2,0.0440272502601146,,0.0440272502601146,0.0440272502601146,,human,UP
DEFA1B,,0.0439590625464916,0.0439590625464916,0.0439590625464916,0.0439590625464916,human,UP
MT1H,0.0084039252251386,0.0792975947260856,0.0438507599756121,0.0438507599756121,0.0792975947260856,human,UP
GRIN1,,0.0437215603888034,0.0437215603888034,0.0437215603888034,0.0437215603888034,human,UP
MT2A,,0.0431639365851879,0.0431639365851879,0.0431639365851879,0.0431639365851879,human,UP
CRYAB,-0.012116671539843,0.0980321913957595,0.0429577599279582,0.0429577599279582,0.0980321913957595,human,UP
APOBEC2,0.0418543219566345,,0.0418543219566345,0.0418543219566345,,human,UP
MT1G,,0.0417634323239326,0.0417634323239326,0.0417634323239326,0.0417634323239326,human,UP
HTRA1,,0.0416292548179626,0.0416292548179626,0.0416292548179626,0.0416292548179626,human,UP
GDI1,,0.0414020828902721,0.0414020828902721,0.0414020828902721,0.0414020828902721,human,UP
FGF1,,0.0412161983549594,0.0412161983549594,0.0412161983549594,0.0412161983549594,human,UP
ANP32B,,0.0410674512386322,0.0410674512386322,0.0410674512386322,0.0410674512386322,human,UP
JUND,,0.0407043769955635,0.0407043769955635,0.0407043769955635,0.0407043769955635,human,UP
RPS27A,0.0477920956909656,0.033045258373022,0.0404186770319938,0.0404186770319938,0.033045258373022,human,UP
COX6A2,0.0399399027228355,,0.0399399027228355,0.0399399027228355,,human,UP
SCN1B,,0.0398865789175033,0.0398865789175033,0.0398865789175033,0.0398865789175033,human,UP
HIP1R,,0.0394911132752895,0.0394911132752895,0.0394911132752895,0.0394911132752895,human,UP
CEBPB,0.0394302681088447,,0.0394302681088447,0.0394302681088447,,human,UP
FGFR3,,0.0385726951062679,0.0385726951062679,0.0385726951062679,0.0385726951062679,human,UP
CSPG5,,0.0381425395607948,0.0381425395607948,0.0381425395607948,0.0381425395607948,human,UP
LGALS1,0.0525802411139011,0.0234916862100362,0.0380359636619687,0.0380359636619687,0.0234916862100362,human,UP
SV2A,,0.0379975661635398,0.0379975661635398,0.0379975661635398,0.0379975661635398,human,UP
S100B,,0.0379587449133396,0.0379587449133396,0.0379587449133396,0.0379587449133396,human,UP
MLC1,,0.0378902181982994,0.0378902181982994,0.0378902181982994,0.0378902181982994,human,UP
ATP1A3,,0.0378113240003585,0.0378113240003585,0.0378113240003585,0.0378113240003585,human,UP
ITM2A,,0.0376685112714767,0.0376685112714767,0.0376685112714767,0.0376685112714767,human,UP
RPLP0P6,0.0376427881419658,,0.0376427881419658,0.0376427881419658,,human,UP
RPS8,0.036759179085493,,0.036759179085493,0.036759179085493,,human,UP
DNM2,,0.0365849398076534,0.0365849398076534,0.0365849398076534,0.0365849398076534,human,UP
GAB2,,0.0362878665328025,0.0362878665328025,0.0362878665328025,0.0362878665328025,human,UP
FAM107A,,0.0359478071331977,0.0359478071331977,0.0359478071331977,0.0359478071331977,human,UP
HNRNPK,,0.0356712564826011,0.0356712564826011,0.0356712564826011,0.0356712564826011,human,UP
REM1,,0.0354043208062648,0.0354043208062648,0.0354043208062648,0.0354043208062648,human,UP
GIPC1,,0.0351438410580158,0.0351438410580158,0.0351438410580158,0.0351438410580158,human,UP
ETS1,,0.0347735285758972,0.0347735285758972,0.0347735285758972,0.0347735285758972,human,UP
DLX4,,0.0347690023481845,0.0347690023481845,0.0347690023481845,0.0347690023481845,human,UP
DGKZ,,0.0346424579620361,0.0346424579620361,0.0346424579620361,0.0346424579620361,human,UP
RPL19,,0.0346163362264633,0.0346163362264633,0.0346163362264633,0.0346163362264633,human,UP
AMPD1,0.0344843566417694,,0.0344843566417694,0.0344843566417694,,human,UP
RPL3L,0.0343181081116199,,0.0343181081116199,0.0343181081116199,,human,UP
LZTS3,,0.0342459790408611,0.0342459790408611,0.0342459790408611,0.0342459790408611,human,UP
DPYSL3,,0.0340106859803199,0.0340106859803199,0.0340106859803199,0.0340106859803199,human,UP
SEPP1,0.0332505367696285,0.0345276296138763,0.0338890831917524,0.0338890831917524,0.0345276296138763,human,UP
CTTN,,0.0337753854691982,0.0337753854691982,0.0337753854691982,0.0337753854691982,human,UP
ACTN4,,0.0336738415062427,0.0336738415062427,0.0336738415062427,0.0336738415062427,human,UP
DDR1,,0.0334498807787895,0.0334498807787895,0.0334498807787895,0.0334498807787895,human,UP
PCSK1,,0.0332902558147907,0.0332902558147907,0.0332902558147907,0.0332902558147907,human,UP
HBG2,0.0331801623106002,,0.0331801623106002,0.0331801623106002,,human,UP
RPS5,0.0331494733691215,,0.0331494733691215,0.0331494733691215,,human,UP
MARCKSL1,,0.0330691859126091,0.0330691859126091,0.0330691859126091,0.0330691859126091,human,UP
TNNT3,0.0325211584568023,,0.0325211584568023,0.0325211584568023,,human,UP
PYGB,,0.0322722233831882,0.0322722233831882,0.0322722233831882,0.0322722233831882,human,UP
ITPKB,,0.0321876555681228,0.0321876555681228,0.0321876555681228,0.0321876555681228,human,UP
APLP1,,0.0318312272429466,0.0318312272429466,0.0318312272429466,0.0318312272429466,human,UP
RPL24,0.0316698178648948,,0.0316698178648948,0.0316698178648948,,human,UP
LAMP1,,0.0315251462161541,0.0315251462161541,0.0315251462161541,0.0315251462161541,human,UP
MYF6,0.0315035544335842,,0.0315035544335842,0.0315035544335842,,human,UP
DAPK2,,0.0314762741327285,0.0314762741327285,0.0314762741327285,0.0314762741327285,human,UP
AGT,,0.0314602591097354,0.0314602591097354,0.0314602591097354,0.0314602591097354,human,UP
PKD1P1,0.0313715822994709,,0.0313715822994709,0.0313715822994709,,human,UP
HLA-A,0.0415871106088161,0.0207895748317241,0.0311883427202701,0.0311883427202701,0.0207895748317241,human,UP
FXYD1,,0.0311011429876089,0.0311011429876089,0.0311011429876089,0.0311011429876089,human,UP
VGF,,0.0310610122978687,0.0310610122978687,0.0310610122978687,0.0310610122978687,human,UP
PRKAR1B,,0.0308259055018425,0.0308259055018425,0.0308259055018425,0.0308259055018425,human,UP
PTP4A2,,0.030729291960597,0.030729291960597,0.030729291960597,0.030729291960597,human,UP
CEBPD,,0.0307243708521127,0.0307243708521127,0.0307243708521127,0.0307243708521127,human,UP
RPL34,0.0304138176143169,,0.0304138176143169,0.0304138176143169,,human,UP
TMEM123,,0.0302135217934846,0.0302135217934846,0.0302135217934846,0.0302135217934846,human,UP
ASAH1,,0.0301567651331424,0.0301567651331424,0.0301567651331424,0.0301567651331424,human,UP
MCF2L,,0.030122710391879,0.030122710391879,0.030122710391879,0.030122710391879,human,UP
MADCAM1,,0.0297884717583656,0.0297884717583656,0.0297884717583656,0.0297884717583656,human,UP
ATP1A2,,0.029764262959361,0.029764262959361,0.029764262959361,0.029764262959361,human,UP
SEPT4,,0.0294866226613521,0.0294866226613521,0.0294866226613521,0.0294866226613521,human,UP
COX8A,0.0294729173183441,,0.0294729173183441,0.0294729173183441,,human,UP
SPARCL1,,0.0292571000754833,0.0292571000754833,0.0292571000754833,0.0292571000754833,human,UP
MTSS1L,,0.0291774347424507,0.0291774347424507,0.0291774347424507,0.0291774347424507,human,UP
HMGN2,0.0334389731287956,0.0244951769709587,0.0289670750498771,0.0289670750498771,0.0244951769709587,human,UP
TXNIP,0.0147026060149073,0.0432119481265544,0.0289572770707309,0.0289572770707309,0.0432119481265544,human,UP
AHNAK,0.0094116032123565,0.0483853891491889,0.0288984961807727,0.0288984961807727,0.0483853891491889,human,UP
PTMA,,0.0288767702877521,0.0288767702877521,0.0288767702877521,0.0288767702877521,human,UP
PSAP,,0.028829900547862,0.028829900547862,0.028829900547862,0.028829900547862,human,UP
TLN1,,0.0287991892546415,0.0287991892546415,0.0287991892546415,0.0287991892546415,human,UP
MT1X,0.0357169993221759,0.0215957686305046,0.0286563839763402,0.0286563839763402,0.0215957686305046,human,UP
TMSB4XP8,0.0285357795655727,,0.0285357795655727,0.0285357795655727,,human,UP
CABP1,,0.0282287281006574,0.0282287281006574,0.0282287281006574,0.0282287281006574,human,UP
