gene_symbol,logfc_dz:888,logfc_dz:890,mean_logfc,median_logfc,common_experiment,organism,signature_type
IGHV4-31,0.4724840223789215,0.2597857415676117,0.3661348819732666,0.3661348819732666,0.2597857415676117,human,UP
LTF,0.1530876010656356,,0.1530876010656356,0.1530876010656356,,human,UP
HLA-A,0.1207518950104713,0.0987739637494087,0.10976292937994,0.10976292937994,0.0987739637494087,human,UP
STATH,0.0661044865846633,0.1462040990591049,0.1061542928218841,0.1061542928218841,0.1462040990591049,human,UP
ZG16B,0.098442830145359,0.1087314635515213,0.1035871468484401,0.1035871468484401,0.1087314635515213,human,UP
SCGB2A2,0.1001880839467048,,0.1001880839467048,0.1001880839467048,,human,UP
TCN1,0.1284151822328567,0.0575128123164176,0.0929639972746372,0.0929639972746372,0.0575128123164176,human,UP
DCAF6,0.0890197083353996,0.0946534126996994,0.0918365605175495,0.0918365605175495,0.0946534126996994,human,UP
RPS11,0.0482293553650379,0.1332272291183471,0.0907282922416925,0.0907282922416925,0.1332272291183471,human,UP
SMR3B,0.0904783308506012,,0.0904783308506012,0.0904783308506012,,human,UP
FDCSP,0.0897893235087394,,0.0897893235087394,0.0897893235087394,,human,UP
PIP,0.0718855187296867,0.1063929945230484,0.0891392566263675,0.0891392566263675,0.1063929945230484,human,UP
IGHA2,0.0788134783506393,0.0896130129694938,0.0842132456600666,0.0842132456600666,0.0896130129694938,human,UP
ITM2B,0.0825496017932891,,0.0825496017932891,0.0825496017932891,,human,UP
RPL9,0.0472235269844532,0.1072864606976509,0.077254993841052,0.077254993841052,0.1072864606976509,human,UP
ANXA3,0.0755593404173851,,0.0755593404173851,0.0755593404173851,,human,UP
MUC19,0.0424431636929512,0.0994811281561851,0.0709621459245681,0.0709621459245681,0.0994811281561851,human,UP
HLA-DRB4,0.0605881884694099,0.0784737467765808,0.0695309676229953,0.0695309676229953,0.0784737467765808,human,UP
TSPAN13,0.0673597157001495,,0.0673597157001495,0.0673597157001495,,human,UP
HLA-B,0.0859993919730186,0.0477571599185466,0.0668782759457826,0.0668782759457826,0.0477571599185466,human,UP
SRP9,0.0783569291234016,0.047818686813116,0.0630878079682588,0.0630878079682588,0.047818686813116,human,UP
RPS4X,0.0138082383200526,0.1096602231264114,0.061734230723232,0.061734230723232,0.1096602231264114,human,UP
NPTN,0.0875895172357559,0.0330075435340404,0.0602985303848981,0.0602985303848981,0.0330075435340404,human,UP
MUC7,0.0441084802150726,0.0761640444397926,0.0601362623274326,0.0601362623274326,0.0761640444397926,human,UP
EEF1A1P9,0.0596366785466671,0.0571501106023788,0.0583933945745229,0.0583933945745229,0.0571501106023788,human,UP
RPL41,0.0494595989584922,0.0622160546481609,0.0558378268033266,0.0558378268033266,0.0622160546481609,human,UP
HLA-C,0.0866436213254928,0.0250316616147756,0.0558376414701342,0.0558376414701342,0.0250316616147756,human,UP
PRDX4,0.0855166167020797,0.0254559628665447,0.0554862897843122,0.0554862897843122,0.0254559628665447,human,UP
FTH1P5,0.0551207438111305,,0.0551207438111305,0.0551207438111305,,human,UP
TMSB4XP8,0.0881369784474372,0.0213736277073621,0.0547553030773997,0.0547553030773997,0.0213736277073621,human,UP
RPL21,,0.0544351637363433,0.0544351637363433,0.0544351637363433,0.0544351637363433,human,UP
RPS29,,0.051941655576229,0.051941655576229,0.051941655576229,0.051941655576229,human,UP
COX1,0.0559325143694877,0.047080360352993,0.0515064373612403,0.0515064373612403,0.047080360352993,human,UP
SH3KBP1,0.132549837231636,-0.029552524909377,0.0514986561611294,0.0514986561611294,-0.029552524909377,human,UP
RPL23A,,0.0501752942800521,0.0501752942800521,0.0501752942800521,0.0501752942800521,human,UP
HLA-DRB5,0.0459704585373401,0.0536377541720867,0.0498041063547134,0.0498041063547134,0.0536377541720867,human,UP
EEF1B2,0.0167987868189811,0.0818578451871872,0.0493283160030841,0.0493283160030841,0.0818578451871872,human,UP
MRFAP1,0.0632767304778099,0.0351164638996124,0.0491965971887111,0.0491965971887111,0.0351164638996124,human,UP
PROL1,0.0486526414752006,,0.0486526414752006,0.0486526414752006,,human,UP
RPL39,0.0203148704022169,0.0751891359686851,0.047752003185451,0.047752003185451,0.0751891359686851,human,UP
HLA-DRB1,0.0503237098455429,0.0434267707169055,0.0468752402812242,0.0468752402812242,0.0434267707169055,human,UP
SDCBP,0.0678142383694648,0.0251053441315889,0.0464597912505269,0.0464597912505269,0.0251053441315889,human,UP
TPT1,0.0597138032317161,0.0323727950453758,0.0460432991385459,0.0460432991385459,0.0323727950453758,human,UP
HLA-DPB1,0.0226571224629879,0.0668340995907783,0.0447456110268831,0.0447456110268831,0.0668340995907783,human,UP
PPA1,0.0603322759270668,0.0289124101400375,0.0446223430335521,0.0446223430335521,0.0289124101400375,human,UP
USMG5,,0.0443724393844604,0.0443724393844604,0.0443724393844604,0.0443724393844604,human,UP
TFF1,0.0727687403559684,0.0148684624582529,0.0438186014071106,0.0438186014071106,0.0148684624582529,human,UP
PTTG1IP,0.0436713695526123,,0.0436713695526123,0.0436713695526123,,human,UP
HNRNPA1P10,0.026772579178214,0.0598087608814239,0.043290670029819,0.043290670029819,0.0598087608814239,human,UP
RPL30,0.0394484139978885,0.044077031314373,0.0417627226561307,0.0417627226561307,0.044077031314373,human,UP
TUBA1A,0.0698933079838752,0.0126633141189813,0.0412783110514283,0.0412783110514283,0.0126633141189813,human,UP
HLA-E,0.0419485457241535,0.0399570427834987,0.0409527942538261,0.0409527942538261,0.0399570427834987,human,UP
S100P,0.0563507378101348,0.0241824798285961,0.0402666088193655,0.0402666088193655,0.0241824798285961,human,UP
TMSB10,0.0398172251880168,0.0399432219564914,0.0398802235722541,0.0398802235722541,0.0399432219564914,human,UP
COX7A2,,0.0392062924802303,0.0392062924802303,0.0392062924802303,0.0392062924802303,human,UP
NCOA4,0.0220901798456907,0.0561644434928894,0.03912731166929,0.03912731166929,0.0561644434928894,human,UP
HERPUD1,0.0544267743825912,0.0222124531865119,0.0383196137845516,0.0383196137845516,0.0222124531865119,human,UP
CREG1,0.0382676683366298,,0.0382676683366298,0.0382676683366298,,human,UP
LOC100505937,0.0521235764026641,0.0234828423708677,0.0378032093867659,0.0378032093867659,0.0234828423708677,human,UP
RAP1B,0.0445280149579048,0.0309710130095481,0.0377495139837265,0.0377495139837265,0.0309710130095481,human,UP
HLA-DMB,,0.0375388152897357,0.0375388152897357,0.0375388152897357,0.0375388152897357,human,UP
HMGN3,0.0130160599946975,0.0617960691452026,0.0374060645699501,0.0374060645699501,0.0617960691452026,human,UP
CXCL9,0.0336708985269069,0.0401878952980041,0.0369293969124555,0.0369293969124555,0.0401878952980041,human,UP
RPL27,0.0197428259998559,0.0537588521838188,0.0367508390918374,0.0367508390918374,0.0537588521838188,human,UP
HIF1A,0.0308769345283508,0.0393658652901649,0.0351213999092578,0.0351213999092578,0.0393658652901649,human,UP
TMA7,-0.0524492636322975,0.121579922735691,0.0345653295516967,0.0345653295516967,0.121579922735691,human,UP
ARF4,0.0345631055533885,,0.0345631055533885,0.0345631055533885,,human,UP
OAT,0.0343029722571373,,0.0343029722571373,0.0343029722571373,,human,UP
RPS3A,0.0278629567474126,0.0407134927809238,0.0342882247641682,0.0342882247641682,0.0407134927809238,human,UP
RPS20,0.0188425704836845,0.0489327274262905,0.0338876489549875,0.0338876489549875,0.0489327274262905,human,UP
HMGN2,0.0260999891906976,0.0413509607315063,0.033725474961102,0.033725474961102,0.0413509607315063,human,UP
