gene_symbol,logfc_dz:784,logfc_dz:785,mean_logfc,median_logfc,common_experiment,organism,signature_type
DEFA1B,0.2968999445438385,0.2912394404411316,0.294069692492485,0.294069692492485,0.2912394404411316,human,UP
RPL41,0.1801483929157257,0.2557468116283417,0.2179476022720337,0.2179476022720337,0.2557468116283417,human,UP
EEF1A1,,0.1711204648017883,0.1711204648017883,0.1711204648017883,0.1711204648017883,human,UP
DUSP22,0.1454617977142334,0.1513743698596954,0.1484180837869644,0.1484180837869644,0.1513743698596954,human,UP
UBC,0.1384662091732025,,0.1384662091732025,0.1384662091732025,,human,UP
IGJ,0.0661514177918434,0.1648966372013092,0.1155240274965763,0.1155240274965763,0.1648966372013092,human,UP
GLTSCR2,0.0646777004003524,0.159413680434227,0.1120456904172897,0.1120456904172897,0.159413680434227,human,UP
ACTG1,0.1307918131351471,0.0868772193789482,0.1088345162570476,0.1088345162570476,0.0868772193789482,human,UP
RPL3,0.0577656626701355,0.1513889282941818,0.1045772954821586,0.1045772954821586,0.1513889282941818,human,UP
LYZ,0.0675843358039856,0.1398027539253235,0.1036935448646545,0.1036935448646545,0.1398027539253235,human,UP
EEF1A1P9,0.0466761291027069,0.1599822044372558,0.1033291667699813,0.1033291667699813,0.1599822044372558,human,UP
RPS4Y1,0.1413793861865997,0.053572803735733,0.0974760949611663,0.0974760949611663,0.053572803735733,human,UP
RPS2,0.112527959048748,0.0797888562083244,0.0961584076285362,0.0961584076285362,0.0797888562083244,human,UP
RPS3,0.1329938322305679,0.0526032000780105,0.0927985161542892,0.0927985161542892,0.0526032000780105,human,UP
TPT1,,0.0910898149013519,0.0910898149013519,0.0910898149013519,0.0910898149013519,human,UP
RPL9,0.062374260276556,0.1091893166303634,0.0857817884534597,0.0857817884534597,0.1091893166303634,human,UP
RPL30,0.0302029270678758,0.1351411789655685,0.0826720530167222,0.0826720530167222,0.1351411789655685,human,UP
CTSG,,0.0805798768997192,0.0805798768997192,0.0805798768997192,0.0805798768997192,human,UP
RPL8,0.0508322827517986,0.1073059439659118,0.0790691133588552,0.0790691133588552,0.1073059439659118,human,UP
CD83,0.0788518190383911,,0.0788518190383911,0.0788518190383911,,human,UP
RPS10,0.0793428942561149,0.0706316456198692,0.0749872699379921,0.0749872699379921,0.0706316456198692,human,UP
EEF1G,0.0322835780680179,0.1165127903223037,0.0743981841951608,0.0743981841951608,0.1165127903223037,human,UP
RPLP0,0.0871383845806121,0.0523679219186306,0.0697531532496213,0.0697531532496213,0.0523679219186306,human,UP
HMGN2,,0.0684848353266716,0.0684848353266716,0.0684848353266716,0.0684848353266716,human,UP
CD69,0.0681307464838028,,0.0681307464838028,0.0681307464838028,,human,UP
RPL34,0.0977687090635299,0.0356188230216503,0.0666937660425901,0.0666937660425901,0.0356188230216503,human,UP
LDHB,0.0438261292874813,0.0816740468144416,0.0627500880509615,0.0627500880509615,0.0816740468144416,human,UP
HBA2,0.0557787530124187,0.068443089723587,0.0621109213680028,0.0621109213680028,0.068443089723587,human,UP
