gene_symbol,logfc_dz:903,mean_logfc,median_logfc,common_experiment,organism,signature_type
IGFBP3,0.2145732194185257,0.2145732194185257,0.2145732194185257,0.2145732194185257,human,UP
S100A4,0.1975302249193191,0.1975302249193191,0.1975302249193191,0.1975302249193191,human,UP
TGFBI,0.1816964149475097,0.1816964149475097,0.1816964149475097,0.1816964149475097,human,UP
GAPDH,0.1752538979053497,0.1752538979053497,0.1752538979053497,0.1752538979053497,human,UP
LGALS1,0.1685692816972732,0.1685692816972732,0.1685692816972732,0.1685692816972732,human,UP
TMSB10,0.1578356325626373,0.1578356325626373,0.1578356325626373,0.1578356325626373,human,UP
IFITM2,0.1286765038967132,0.1286765038967132,0.1286765038967132,0.1286765038967132,human,UP
LOX,0.1042336598038673,0.1042336598038673,0.1042336598038673,0.1042336598038673,human,UP
RPSA,0.1031073033809661,0.1031073033809661,0.1031073033809661,0.1031073033809661,human,UP
ADM,0.0921298488974571,0.0921298488974571,0.0921298488974571,0.0921298488974571,human,UP
LOXL1,0.087424986064434,0.087424986064434,0.087424986064434,0.087424986064434,human,UP
IGFBP6,0.0840117260813713,0.0840117260813713,0.0840117260813713,0.0840117260813713,human,UP
OXTR,0.0758020281791687,0.0758020281791687,0.0758020281791687,0.0758020281791687,human,UP
GREM1,0.0743418037891388,0.0743418037891388,0.0743418037891388,0.0743418037891388,human,UP
TENM2,0.0727543458342552,0.0727543458342552,0.0727543458342552,0.0727543458342552,human,UP
PABPC3,0.0691415145993232,0.0691415145993232,0.0691415145993232,0.0691415145993232,human,UP
HLA-C,0.0691341161727905,0.0691341161727905,0.0691341161727905,0.0691341161727905,human,UP
MYL12B,0.0684434697031974,0.0684434697031974,0.0684434697031974,0.0684434697031974,human,UP
RPL21,0.0673280507326126,0.0673280507326126,0.0673280507326126,0.0673280507326126,human,UP
IFITM3,0.0672585591673851,0.0672585591673851,0.0672585591673851,0.0672585591673851,human,UP
RPS7,0.0648265406489372,0.0648265406489372,0.0648265406489372,0.0648265406489372,human,UP
CD63,0.0629862397909164,0.0629862397909164,0.0629862397909164,0.0629862397909164,human,UP
KRTAP1-5,0.0625832378864288,0.0625832378864288,0.0625832378864288,0.0625832378864288,human,UP
ACTG1,0.0625411495566368,0.0625411495566368,0.0625411495566368,0.0625411495566368,human,UP
RPS20,0.0622932538390159,0.0622932538390159,0.0622932538390159,0.0622932538390159,human,UP
CAV1,0.0622513480484485,0.0622513480484485,0.0622513480484485,0.0622513480484485,human,UP
HLA-B,0.0617393143475055,0.0617393143475055,0.0617393143475055,0.0617393143475055,human,UP
TXNIP,0.0595107525587081,0.0595107525587081,0.0595107525587081,0.0595107525587081,human,UP
RPL36A,0.0589860863983631,0.0589860863983631,0.0589860863983631,0.0589860863983631,human,UP
IFITM1,0.0588487796485424,0.0588487796485424,0.0588487796485424,0.0588487796485424,human,UP
NGFRAP1,0.0579692833125591,0.0579692833125591,0.0579692833125591,0.0579692833125591,human,UP
SH3BGRL3,0.0572732910513877,0.0572732910513877,0.0572732910513877,0.0572732910513877,human,UP
CCNG1,0.0556703060865402,0.0556703060865402,0.0556703060865402,0.0556703060865402,human,UP
USMG5,0.0554073378443717,0.0554073378443717,0.0554073378443717,0.0554073378443717,human,UP
IGFBP4,0.0553634315729141,0.0553634315729141,0.0553634315729141,0.0553634315729141,human,UP
RPS29,0.0545621626079082,0.0545621626079082,0.0545621626079082,0.0545621626079082,human,UP
CD99,0.0528455227613449,0.0528455227613449,0.0528455227613449,0.0528455227613449,human,UP
PDLIM1,0.0526934564113616,0.0526934564113616,0.0526934564113616,0.0526934564113616,human,UP
PKM,0.0525092408061027,0.0525092408061027,0.0525092408061027,0.0525092408061027,human,UP
PAMR1,0.0506249666213989,0.0506249666213989,0.0506249666213989,0.0506249666213989,human,UP
RLIM,0.0501422993838787,0.0501422993838787,0.0501422993838787,0.0501422993838787,human,UP
RPL34,0.0500238053500652,0.0500238053500652,0.0500238053500652,0.0500238053500652,human,UP
HLA-A,0.0489020943641662,0.0489020943641662,0.0489020943641662,0.0489020943641662,human,UP
ENPP2,0.0487587861716747,0.0487587861716747,0.0487587861716747,0.0487587861716747,human,UP
PFN2,0.0485155992209911,0.0485155992209911,0.0485155992209911,0.0485155992209911,human,UP
PAM,0.0484902150928974,0.0484902150928974,0.0484902150928974,0.0484902150928974,human,UP
RPS4X,0.0482646226882934,0.0482646226882934,0.0482646226882934,0.0482646226882934,human,UP
RPL30,0.0471519008278846,0.0471519008278846,0.0471519008278846,0.0471519008278846,human,UP
PTTG1IP,0.0463078655302524,0.0463078655302524,0.0463078655302524,0.0463078655302524,human,UP
RPL9,0.0444485433399677,0.0444485433399677,0.0444485433399677,0.0444485433399677,human,UP
RAB3B,0.0439598262310028,0.0439598262310028,0.0439598262310028,0.0439598262310028,human,UP
HAS2,0.0437359027564525,0.0437359027564525,0.0437359027564525,0.0437359027564525,human,UP
HNRNPA1P10,0.0434283092617988,0.0434283092617988,0.0434283092617988,0.0434283092617988,human,UP
