gene_symbol,logfc_dz:791,logfc_dz:792,logfc_dz:793,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBG2,0.1313805729150772,0.1781783998012542,0.194005936384201,0.1678549697001775,0.1781783998012542,0.1781783998012542,human,UP
HBD,0.1203466057777404,0.2439170628786087,0.0958772450685501,0.1533803045749664,0.1203466057777404,0.2439170628786087,human,UP
COX2,0.0642499327659607,0.1634517759084701,0.1584223508834839,0.1287080198526382,0.1584223508834839,0.1634517759084701,human,UP
ND2,0.1130010485649108,0.1097968965768814,0.1546789854764938,0.1258256435394287,0.1130010485649108,0.1097968965768814,human,UP
SH3KBP1,0.1702200323343277,0.1001050472259521,0.0802692398428917,0.1168647731343905,0.1001050472259521,0.1001050472259521,human,UP
HLA-DPB1,0.1279818564653396,,0.066838301718235,0.0974100790917873,0.0974100790917873,,human,UP
IFITM2,0.0698345825076103,0.0639952793717384,0.1206366643309593,0.084822175403436,0.0698345825076103,0.0639952793717384,human,UP
HBB,0.0555948764085769,0.1691802740097046,0.0193119458854198,0.0813623654345671,0.0555948764085769,0.1691802740097046,human,UP
TBC1D8,,0.0773379579186439,,0.0773379579186439,0.0773379579186439,0.0773379579186439,human,UP
GPX1,0.0231709368526935,,0.1300287842750549,0.0765998605638742,0.0765998605638742,,human,UP
HLA-B,0.0929087921977043,0.0343640446662902,0.0948565751314163,0.0740431373318036,0.0929087921977043,0.0343640446662902,human,UP
HLA-A,0.1319089829921722,-0.0122268581762909,0.0991507172584533,0.0729442806914448,0.0991507172584533,-0.0122268581762909,human,UP
B2M,0.0904186815023422,,0.0456411875784397,0.0680299345403909,0.0680299345403909,,human,UP
BMI1,0.0260908957570791,,0.1030475199222564,0.0645692078396678,0.0645692078396678,,human,UP
PTTG1IP,,,0.0631850436329841,0.0631850436329841,0.0631850436329841,,human,UP
HLA-DRB4,0.1207843720912933,-0.0272965468466281,0.0945746898651123,0.0626875050365924,0.0945746898651123,-0.0272965468466281,human,UP
TALDO1,0.0403460301458835,0.081575334072113,0.0636731088161468,0.0618648243447144,0.0636731088161468,0.081575334072113,human,UP
NFKBIZ,0.0575578510761261,,,0.0575578510761261,0.0575578510761261,,human,UP
ITM2C,,,0.0575499311089515,0.0575499311089515,0.0575499311089515,,human,UP
FAU,0.0458211228251457,0.0411401018500328,0.0831419304013252,0.0567010516921679,0.0458211228251457,0.0411401018500328,human,UP
PPA1,0.0207268260419368,0.0923829525709152,0.0557177104055881,0.0562758296728134,0.0557177104055881,0.0923829525709152,human,UP
DLK1,,0.0205433648079633,0.0894549265503883,0.0549991456791758,0.0549991456791758,0.0205433648079633,human,UP
DCAF6,0.1018991768360138,0.038917351514101,0.0188381727784872,0.053218233709534,0.038917351514101,0.038917351514101,human,UP
IFITM3,0.0438102334737777,0.0423051640391349,0.0728388354182243,0.052984744310379,0.0438102334737777,0.0423051640391349,human,UP
HLA-DRB1,0.1061851978302002,-0.0332552678883075,0.0802989155054092,0.0510762818157672,0.0802989155054092,-0.0332552678883075,human,UP
SAT1,0.0510353930294513,,,0.0510353930294513,0.0510353930294513,,human,UP
PPBP,0.0871737673878669,-0.012454685755074,0.0777109265327453,0.0508100027218461,0.0777109265327453,-0.012454685755074,human,UP
SNHG5,0.0377038829028606,0.0653746128082275,0.042739488184452,0.0486059946318467,0.042739488184452,0.0653746128082275,human,UP
HLA-C,0.0629644766449928,0.0152204828336834,0.0648532807826995,0.0476794134204586,0.0629644766449928,0.0152204828336834,human,UP
CORO1A,,,0.0471676774322986,0.0471676774322986,0.0471676774322986,,human,UP
