gene_symbol,logfc_dz:424,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBB,0.367428570985794,0.367428570985794,0.367428570985794,0.367428570985794,human,UP
HBA2,0.3095307350158691,0.3095307350158691,0.3095307350158691,0.3095307350158691,human,UP
CYAT1,0.2074568122625351,0.2074568122625351,0.2074568122625351,0.2074568122625351,human,UP
TNFAIP3,0.1675474047660827,0.1675474047660827,0.1675474047660827,0.1675474047660827,human,UP
IGHA2,0.1602273434400558,0.1602273434400558,0.1602273434400558,0.1602273434400558,human,UP
GZMH,0.1432084590196609,0.1432084590196609,0.1432084590196609,0.1432084590196609,human,UP
IGHV4-31,0.1412848532199859,0.1412848532199859,0.1412848532199859,0.1412848532199859,human,UP
LTB,0.1391240507364273,0.1391240507364273,0.1391240507364273,0.1391240507364273,human,UP
TPT1,0.1345595419406891,0.1345595419406891,0.1345595419406891,0.1345595419406891,human,UP
HMGB1,0.1224725022912025,0.1224725022912025,0.1224725022912025,0.1224725022912025,human,UP
IGLC7,0.1121575459837913,0.1121575459837913,0.1121575459837913,0.1121575459837913,human,UP
CCL5,0.1020629405975341,0.1020629405975341,0.1020629405975341,0.1020629405975341,human,UP
TRAC,0.0932246744632721,0.0932246744632721,0.0932246744632721,0.0932246744632721,human,UP
NKG7,0.0917184725403785,0.0917184725403785,0.0917184725403785,0.0917184725403785,human,UP
PRF1,0.0915828719735145,0.0915828719735145,0.0915828719735145,0.0915828719735145,human,UP
CD52,0.0866307318210601,0.0866307318210601,0.0866307318210601,0.0866307318210601,human,UP
NFKBIA,0.0850171521306037,0.0850171521306037,0.0850171521306037,0.0850171521306037,human,UP
JUNB,0.0813583433628082,0.0813583433628082,0.0813583433628082,0.0813583433628082,human,UP
IER2,0.0774932354688644,0.0774932354688644,0.0774932354688644,0.0774932354688644,human,UP
CALM2,0.0769403874874115,0.0769403874874115,0.0769403874874115,0.0769403874874115,human,UP
IGLL3P,0.0744204297661781,0.0744204297661781,0.0744204297661781,0.0744204297661781,human,UP
DEFA1B,0.0742641761898994,0.0742641761898994,0.0742641761898994,0.0742641761898994,human,UP
ACTG1,0.0705877095460891,0.0705877095460891,0.0705877095460891,0.0705877095460891,human,UP
RPS26,0.0703883320093154,0.0703883320093154,0.0703883320093154,0.0703883320093154,human,UP
CXCR4,0.0701656639575958,0.0701656639575958,0.0701656639575958,0.0701656639575958,human,UP
S100A9,0.0699628069996833,0.0699628069996833,0.0699628069996833,0.0699628069996833,human,UP
EEF2,0.0669881701469421,0.0669881701469421,0.0669881701469421,0.0669881701469421,human,UP
KLF2,0.0645205080509185,0.0645205080509185,0.0645205080509185,0.0645205080509185,human,UP
XIST,0.0638562813401222,0.0638562813401222,0.0638562813401222,0.0638562813401222,human,UP
CD2,0.0590564981102943,0.0590564981102943,0.0590564981102943,0.0590564981102943,human,UP
HLA-G,0.0587461590766906,0.0587461590766906,0.0587461590766906,0.0587461590766906,human,UP
IL10RA,0.0587019473314285,0.0587019473314285,0.0587019473314285,0.0587019473314285,human,UP
IGK,0.0573044344782829,0.0573044344782829,0.0573044344782829,0.0573044344782829,human,UP
PABPC3,0.0544282719492912,0.0544282719492912,0.0544282719492912,0.0544282719492912,human,UP
HBG2,0.0540334954857826,0.0540334954857826,0.0540334954857826,0.0540334954857826,human,UP
HINT1,0.051876988261938,0.051876988261938,0.051876988261938,0.051876988261938,human,UP
ZFP36L2,0.0508413687348365,0.0508413687348365,0.0508413687348365,0.0508413687348365,human,UP
HNRNPA1P10,0.0491542145609855,0.0491542145609855,0.0491542145609855,0.0491542145609855,human,UP
HLA-J,0.0481791868805885,0.0481791868805885,0.0481791868805885,0.0481791868805885,human,UP
FTL,0.0475422926247119,0.0475422926247119,0.0475422926247119,0.0475422926247119,human,UP
GZMB,0.0468056760728359,0.0468056760728359,0.0468056760728359,0.0468056760728359,human,UP
LOC652493,0.0441370196640491,0.0441370196640491,0.0441370196640491,0.0441370196640491,human,UP
TMSB4XP8,0.0438012145459651,0.0438012145459651,0.0438012145459651,0.0438012145459651,human,UP
CX3CR1,0.043783601373434,0.043783601373434,0.043783601373434,0.043783601373434,human,UP
RGS2,0.0436839908361434,0.0436839908361434,0.0436839908361434,0.0436839908361434,human,UP
S100A8,0.0420936495065689,0.0420936495065689,0.0420936495065689,0.0420936495065689,human,UP
HSPA5,0.0418844409286975,0.0418844409286975,0.0418844409286975,0.0418844409286975,human,UP
EMP3,0.0418629720807075,0.0418629720807075,0.0418629720807075,0.0418629720807075,human,UP
HERPUD1,0.0406120084226131,0.0406120084226131,0.0406120084226131,0.0406120084226131,human,UP
GZMA,0.0381863079965114,0.0381863079965114,0.0381863079965114,0.0381863079965114,human,UP
SRGN,0.0378196984529495,0.0378196984529495,0.0378196984529495,0.0378196984529495,human,UP
TRBC1,0.0377094633877277,0.0377094633877277,0.0377094633877277,0.0377094633877277,human,UP
RARRES3,0.0375055111944675,0.0375055111944675,0.0375055111944675,0.0375055111944675,human,UP
ERAP2,0.0362464599311351,0.0362464599311351,0.0362464599311351,0.0362464599311351,human,UP
B2M,0.0359491072595119,0.0359491072595119,0.0359491072595119,0.0359491072595119,human,UP
GZMK,0.0342163778841495,0.0342163778841495,0.0342163778841495,0.0342163778841495,human,UP
RORA,0.0341735631227493,0.0341735631227493,0.0341735631227493,0.0341735631227493,human,UP
EIF1,0.034004583954811,0.034004583954811,0.034004583954811,0.034004583954811,human,UP
IRF1,0.0329967476427555,0.0329967476427555,0.0329967476427555,0.0329967476427555,human,UP
UBC,0.032800406217575,0.032800406217575,0.032800406217575,0.032800406217575,human,UP
CRIP1,0.0314138196408748,0.0314138196408748,0.0314138196408748,0.0314138196408748,human,UP
RPL36A,0.031263880431652,0.031263880431652,0.031263880431652,0.031263880431652,human,UP
CLEC2B,0.0303248763084411,0.0303248763084411,0.0303248763084411,0.0303248763084411,human,UP
DUSP5,0.0298091098666191,0.0298091098666191,0.0298091098666191,0.0298091098666191,human,UP
FOS,0.0296049788594245,0.0296049788594245,0.0296049788594245,0.0296049788594245,human,UP
ZFP36,0.0291590746492147,0.0291590746492147,0.0291590746492147,0.0291590746492147,human,UP
NR4A2,0.0286501329392194,0.0286501329392194,0.0286501329392194,0.0286501329392194,human,UP
TMA7,0.0286392457783222,0.0286392457783222,0.0286392457783222,0.0286392457783222,human,UP
S100A4,0.0286224260926246,0.0286224260926246,0.0286224260926246,0.0286224260926246,human,UP
IGLV2-23,0.0285719465464353,0.0285719465464353,0.0285719465464353,0.0285719465464353,human,UP
DUSP2,0.0284659191966056,0.0284659191966056,0.0284659191966056,0.0284659191966056,human,UP
DYNLT1,0.0280938874930143,0.0280938874930143,0.0280938874930143,0.0280938874930143,human,UP
HSPA8,0.0273883361369371,0.0273883361369371,0.0273883361369371,0.0273883361369371,human,UP
ARID5B,0.0261972863227128,0.0261972863227128,0.0261972863227128,0.0261972863227128,human,UP
IL1B,0.0260662976652383,0.0260662976652383,0.0260662976652383,0.0260662976652383,human,UP
FLNA,0.0255426689982414,0.0255426689982414,0.0255426689982414,0.0255426689982414,human,UP
ABHD17A,0.0253756940364837,0.0253756940364837,0.0253756940364837,0.0253756940364837,human,UP
MT1H,0.0252751987427473,0.0252751987427473,0.0252751987427473,0.0252751987427473,human,UP
PIK3R1,0.0250598862767219,0.0250598862767219,0.0250598862767219,0.0250598862767219,human,UP
CYBA,0.0248195510357618,0.0248195510357618,0.0248195510357618,0.0248195510357618,human,UP
CD247,0.0246775113046169,0.0246775113046169,0.0246775113046169,0.0246775113046169,human,UP
CD69,0.0246496126055717,0.0246496126055717,0.0246496126055717,0.0246496126055717,human,UP
IL2RG,0.0238195471465587,0.0238195471465587,0.0238195471465587,0.0238195471465587,human,UP
CD8A,0.0237863827496767,0.0237863827496767,0.0237863827496767,0.0237863827496767,human,UP
