gene_symbol,logfc_dz:508,logfc_dz:234,mean_logfc,median_logfc,common_experiment,organism,signature_type
BGN,,0.3437931835651397,0.3437931835651397,0.3437931835651397,0.3437931835651397,human,UP
HSPB1,,0.2637088596820831,0.2637088596820831,0.2637088596820831,0.2637088596820831,human,UP
RNASE1,0.2120914906263351,,0.2120914906263351,0.2120914906263351,,human,UP
TAGLN,,0.1992008835077285,0.1992008835077285,0.1992008835077285,0.1992008835077285,human,UP
IGHG1,0.1746362745761871,,0.1746362745761871,0.1746362745761871,,human,UP
IGLJ3,0.1638396084308624,,0.1638396084308624,0.1638396084308624,,human,UP
SERPING1,,0.154125228524208,0.154125228524208,0.154125228524208,0.154125228524208,human,UP
JUND,,0.1328233182430267,0.1328233182430267,0.1328233182430267,0.1328233182430267,human,UP
IGJ,0.1290797889232635,,0.1290797889232635,0.1290797889232635,,human,UP
IGHV3-48,0.1153684705495834,,0.1153684705495834,0.1153684705495834,,human,UP
MMP9,0.0961240530014038,,0.0961240530014038,0.0961240530014038,,human,UP
RPL41,,0.0950331836938858,0.0950331836938858,0.0950331836938858,0.0950331836938858,human,UP
A2M,0.094290517270565,,0.094290517270565,0.094290517270565,,human,UP
ACTG1,0.1146320030093193,0.0661966428160667,0.090414322912693,0.090414322912693,0.0661966428160667,human,UP
THBS1,0.0873240083456039,,0.0873240083456039,0.0873240083456039,,human,UP
SCFV,0.0859783664345741,,0.0859783664345741,0.0859783664345741,,human,UP
HLA-B,0.0804755985736846,,0.0804755985736846,0.0804755985736846,,human,UP
RPS23,,0.0803998634219169,0.0803998634219169,0.0803998634219169,0.0803998634219169,human,UP
IFI44L,0.0758396387100219,,0.0758396387100219,0.0758396387100219,,human,UP
ARHGDIB,0.073455236852169,,0.073455236852169,0.073455236852169,,human,UP
IFITM2,0.0140064358711242,0.1328421086072921,0.0734242722392082,0.0734242722392082,0.1328421086072921,human,UP
CTSB,0.0728688836097717,,0.0728688836097717,0.0728688836097717,,human,UP
CCL2,0.068858578801155,,0.068858578801155,0.068858578801155,,human,UP
STAT1,0.0648101866245269,,0.0648101866245269,0.0648101866245269,,human,UP
CD163,0.0632809996604919,,0.0632809996604919,0.0632809996604919,,human,UP
IFITM3,0.0158614907413721,0.1105968952178955,0.0632291929796338,0.0632291929796338,0.1105968952178955,human,UP
LOC100505584,,0.0631405040621757,0.0631405040621757,0.0631405040621757,0.0631405040621757,human,UP
ACTA2,-0.0638880282640457,0.1894017606973648,0.0627568662166595,0.0627568662166595,0.1894017606973648,human,UP
GRN,0.0602025315165519,,0.0602025315165519,0.0602025315165519,,human,UP
ADIRF,,0.0591778010129928,0.0591778010129928,0.0591778010129928,0.0591778010129928,human,UP
CYB5R3,,0.0586263500154018,0.0586263500154018,0.0586263500154018,0.0586263500154018,human,UP
IFI6,0.0559967868030071,,0.0559967868030071,0.0559967868030071,,human,UP
MT3,,0.0545986779034137,0.0545986779034137,0.0545986779034137,0.0545986779034137,human,UP
ACTB,0.0638455674052238,0.0445336885750293,0.0541896279901266,0.0541896279901266,0.0445336885750293,human,UP
CYBB,0.0536112114787101,,0.0536112114787101,0.0536112114787101,,human,UP
VCAN,0.1204786375164985,-0.0140029909089207,0.0532378233037889,0.0532378233037889,-0.0140029909089207,human,UP
RPL6,,0.0525611191987991,0.0525611191987991,0.0525611191987991,0.0525611191987991,human,UP
THBS2,0.0752396807074546,0.029573293402791,0.0524064870551228,0.0524064870551228,0.029573293402791,human,UP
NBPF20,0.0523747690021991,,0.0523747690021991,0.0523747690021991,,human,UP
APLP2,0.0522526241838932,,0.0522526241838932,0.0522526241838932,,human,UP
DCN,0.0515657477080822,,0.0515657477080822,0.0515657477080822,,human,UP
CD36,0.0513073839247226,,0.0513073839247226,0.0513073839247226,,human,UP
CALCRL,0.0502164252102375,,0.0502164252102375,0.0502164252102375,,human,UP
IFIT1,0.048674039542675,,0.048674039542675,0.048674039542675,,human,UP
LOC100289511,0.0480113439261913,,0.0480113439261913,0.0480113439261913,,human,UP
TGM2,,0.0475431457161903,0.0475431457161903,0.0475431457161903,0.0475431457161903,human,UP
TLN1,,0.0469942428171634,0.0469942428171634,0.0469942428171634,0.0469942428171634,human,UP
LMO3,0.0468512624502182,,0.0468512624502182,0.0468512624502182,,human,UP
LTBP1,0.025004519149661,0.0682686567306518,0.0466365879401564,0.0466365879401564,0.0682686567306518,human,UP
DAB2,0.046320766210556,,0.046320766210556,0.046320766210556,,human,UP
EIF4G2,,0.0459043011069297,0.0459043011069297,0.0459043011069297,0.0459043011069297,human,UP
YWHAH,,0.0456731244921684,0.0456731244921684,0.0456731244921684,0.0456731244921684,human,UP
CTSL,0.0452877469360828,,0.0452877469360828,0.0452877469360828,,human,UP
F13A1,0.0762240812182426,0.0140163032338023,0.0451201922260224,0.0451201922260224,0.0140163032338023,human,UP
MT1F,,0.0443477518856525,0.0443477518856525,0.0443477518856525,0.0443477518856525,human,UP
MIR21,0.0441733375191688,,0.0441733375191688,0.0441733375191688,,human,UP
CFD,,0.0436984747648239,0.0436984747648239,0.0436984747648239,0.0436984747648239,human,UP
FMO2,0.0418378189206123,,0.0418378189206123,0.0418378189206123,,human,UP
SMG1P3,0.0417818501591682,,0.0417818501591682,0.0417818501591682,,human,UP
LOC100506032,,0.0416885502636432,0.0416885502636432,0.0416885502636432,0.0416885502636432,human,UP
ALDOA,,0.0415620431303978,0.0415620431303978,0.0415620431303978,0.0415620431303978,human,UP
XAF1,0.0414232052862644,,0.0414232052862644,0.0414232052862644,,human,UP
MX1,0.0412895753979682,,0.0412895753979682,0.0412895753979682,,human,UP
LOC653080,0.0406680665910244,,0.0406680665910244,0.0406680665910244,,human,UP
SRGN,0.0402124896645545,,0.0402124896645545,0.0402124896645545,,human,UP
CDH11,0.0397958643734455,,0.0397958643734455,0.0397958643734455,,human,UP
NBPF19,0.0396134927868843,,0.0396134927868843,0.0396134927868843,,human,UP
FN1,0.0275953132659196,0.050148207694292,0.0388717604801058,0.0388717604801058,0.050148207694292,human,UP
ITGBL1,0.0387109592556953,,0.0387109592556953,0.0387109592556953,,human,UP
SLC38A2,0.0386303588747978,,0.0386303588747978,0.0386303588747978,,human,UP
SMG1P5,0.0382657535374164,,0.0382657535374164,0.0382657535374164,,human,UP
CD55,0.0377475135028362,,0.0377475135028362,0.0377475135028362,,human,UP
ACTN4,,0.0377149172127246,0.0377149172127246,0.0377149172127246,0.0377149172127246,human,UP
HMGN2,0.0307599958032369,0.044341180473566,0.0375505881384015,0.0375505881384015,0.044341180473566,human,UP
DYNLL1,,0.0371252745389938,0.0371252745389938,0.0371252745389938,0.0371252745389938,human,UP
NRP1,0.0370906107127666,,0.0370906107127666,0.0370906107127666,,human,UP
HLA-J,0.0368200056254863,,0.0368200056254863,0.0368200056254863,,human,UP
CEBPB,,0.0365441814064979,0.0365441814064979,0.0365441814064979,0.0365441814064979,human,UP
TMSB4X,,0.036358717828989,0.036358717828989,0.036358717828989,0.036358717828989,human,UP
NPIPB5,0.0363172776997089,,0.0363172776997089,0.0363172776997089,,human,UP
HSPA1B,,0.0362713187932968,0.0362713187932968,0.0362713187932968,0.0362713187932968,human,UP
GUSBP1,0.036101222038269,,0.036101222038269,0.036101222038269,,human,UP
WISP2,,0.0360451787710189,0.0360451787710189,0.0360451787710189,0.0360451787710189,human,UP
HLA-A,0.0795318260788917,-0.0074707260355353,0.0360305500216782,0.0360305500216782,-0.0074707260355353,human,UP
DAD1,0.0358693525195121,,0.0358693525195121,0.0358693525195121,,human,UP
COL1A2,0.0510376431047916,0.0202189981937408,0.0356283206492662,0.0356283206492662,0.0202189981937408,human,UP
SMG1P7,0.0355918705463409,,0.0355918705463409,0.0355918705463409,,human,UP
ATP6V0E2,,0.0353041887283325,0.0353041887283325,0.0353041887283325,0.0353041887283325,human,UP
ACTR2,0.0352470390498638,,0.0352470390498638,0.0352470390498638,,human,UP
LGMN,0.0508318580687046,0.0196495596319437,0.0352407088503241,0.0352407088503241,0.0196495596319437,human,UP
IBSP,0.0352138020098209,,0.0352138020098209,0.0352138020098209,,human,UP
RPL23,,0.0350295677781105,0.0350295677781105,0.0350295677781105,0.0350295677781105,human,UP
ACTC1,,0.0349871776998043,0.0349871776998043,0.0349871776998043,0.0349871776998043,human,UP
FOS,0.0363622047007083,0.0321443304419517,0.03425326757133,0.03425326757133,0.0321443304419517,human,UP
