gene_symbol,logfc_dz:460,mean_logfc,median_logfc,common_experiment,organism,signature_type
IFITM2,0.0965953543782234,0.0965953543782234,0.0965953543782234,0.0965953543782234,human,UP
LAPTM4B,0.0911511778831482,0.0911511778831482,0.0911511778831482,0.0911511778831482,human,UP
TXNIP,0.0832474008202552,0.0832474008202552,0.0832474008202552,0.0832474008202552,human,UP
HLA-DRB5,0.0798026472330093,0.0798026472330093,0.0798026472330093,0.0798026472330093,human,UP
FAM117A,0.0763228610157966,0.0763228610157966,0.0763228610157966,0.0763228610157966,human,UP
HLA-DRB4,0.0747387334704399,0.0747387334704399,0.0747387334704399,0.0747387334704399,human,UP
HLA-DRB1,0.0724256709218025,0.0724256709218025,0.0724256709218025,0.0724256709218025,human,UP
IFITM1,0.0672565698623657,0.0672565698623657,0.0672565698623657,0.0672565698623657,human,UP
GOLGA8B,0.0625696778297424,0.0625696778297424,0.0625696778297424,0.0625696778297424,human,UP
IFITM3,0.0600793771445751,0.0600793771445751,0.0600793771445751,0.0600793771445751,human,UP
DLK1,0.0587613098323345,0.0587613098323345,0.0587613098323345,0.0587613098323345,human,UP
GOLGA8H,0.0586488991975784,0.0586488991975784,0.0586488991975784,0.0586488991975784,human,UP
PTTG1IP,0.0554295442998409,0.0554295442998409,0.0554295442998409,0.0554295442998409,human,UP
HIST1H2BK,0.0537790358066558,0.0537790358066558,0.0537790358066558,0.0537790358066558,human,UP
HLA-G,0.0536430180072784,0.0536430180072784,0.0536430180072784,0.0536430180072784,human,UP
HLA-B,0.0518439337611198,0.0518439337611198,0.0518439337611198,0.0518439337611198,human,UP
HLA-C,0.0513573661446571,0.0513573661446571,0.0513573661446571,0.0513573661446571,human,UP
HIST2H2AA4,0.0495203398168087,0.0495203398168087,0.0495203398168087,0.0495203398168087,human,UP
GUCY1A3,0.0479266196489334,0.0479266196489334,0.0479266196489334,0.0479266196489334,human,UP
HLA-A,0.0462309420108795,0.0462309420108795,0.0462309420108795,0.0462309420108795,human,UP
CD37,0.0460987314581871,0.0460987314581871,0.0460987314581871,0.0460987314581871,human,UP
HLA-E,0.0447216406464576,0.0447216406464576,0.0447216406464576,0.0447216406464576,human,UP
CD52,0.0437416918575763,0.0437416918575763,0.0437416918575763,0.0437416918575763,human,UP
HOPX,0.0425785072147846,0.0425785072147846,0.0425785072147846,0.0425785072147846,human,UP
NBPF10,0.0416718982160091,0.0416718982160091,0.0416718982160091,0.0416718982160091,human,UP
LMO2,0.0415393225848674,0.0415393225848674,0.0415393225848674,0.0415393225848674,human,UP
NOTCH2NL,0.0413601398468017,0.0413601398468017,0.0413601398468017,0.0413601398468017,human,UP
RPS26,0.0412030555307865,0.0412030555307865,0.0412030555307865,0.0412030555307865,human,UP
NFE2,0.0410850122570991,0.0410850122570991,0.0410850122570991,0.0410850122570991,human,UP
CD34,0.0398186929523944,0.0398186929523944,0.0398186929523944,0.0398186929523944,human,UP
SOCS2,0.0393918342888355,0.0393918342888355,0.0393918342888355,0.0393918342888355,human,UP
KIAA0125,0.0390933118760585,0.0390933118760585,0.0390933118760585,0.0390933118760585,human,UP
TAGLN2,0.0387315303087234,0.0387315303087234,0.0387315303087234,0.0387315303087234,human,UP
ICAM3,0.038494948297739,0.038494948297739,0.038494948297739,0.038494948297739,human,UP
ATP8B4,0.0374868400394916,0.0374868400394916,0.0374868400394916,0.0374868400394916,human,UP
HLA-DPB1,0.0369688309729099,0.0369688309729099,0.0369688309729099,0.0369688309729099,human,UP
EIF4A2,0.0367437899112701,0.0367437899112701,0.0367437899112701,0.0367437899112701,human,UP
GLYR1,0.0365918725728988,0.0365918725728988,0.0365918725728988,0.0365918725728988,human,UP
SH3BGRL3,0.0364843904972076,0.0364843904972076,0.0364843904972076,0.0364843904972076,human,UP
RPS9,0.0357480682432651,0.0357480682432651,0.0357480682432651,0.0357480682432651,human,UP
RHOB,0.0357282795011997,0.0357282795011997,0.0357282795011997,0.0357282795011997,human,UP
CYTL1,0.0354545637965202,0.0354545637965202,0.0354545637965202,0.0354545637965202,human,UP
PAPSS1,0.0352435782551765,0.0352435782551765,0.0352435782551765,0.0352435782551765,human,UP
HSPA1A,0.0341104231774807,0.0341104231774807,0.0341104231774807,0.0341104231774807,human,UP
PTPN6,0.0340517796576023,0.0340517796576023,0.0340517796576023,0.0340517796576023,human,UP
TNS3,0.0339093506336212,0.0339093506336212,0.0339093506336212,0.0339093506336212,human,UP
FCER1A,0.0337530225515365,0.0337530225515365,0.0337530225515365,0.0337530225515365,human,UP
MEIS1,0.0336096659302711,0.0336096659302711,0.0336096659302711,0.0336096659302711,human,UP
TKT,0.0334191098809242,0.0334191098809242,0.0334191098809242,0.0334191098809242,human,UP
PTPRC,0.0333574898540973,0.0333574898540973,0.0333574898540973,0.0333574898540973,human,UP
HIST1H2AC,0.032774768769741,0.032774768769741,0.032774768769741,0.032774768769741,human,UP
RPS2,0.0323638878762722,0.0323638878762722,0.0323638878762722,0.0323638878762722,human,UP
PRKACB,0.0321397259831428,0.0321397259831428,0.0321397259831428,0.0321397259831428,human,UP
HSPB1,0.0319729037582874,0.0319729037582874,0.0319729037582874,0.0319729037582874,human,UP
IL1B,0.0319125466048717,0.0319125466048717,0.0319125466048717,0.0319125466048717,human,UP
RPS8,0.0312127787619829,0.0312127787619829,0.0312127787619829,0.0312127787619829,human,UP
HSD17B11,0.031025443226099,0.031025443226099,0.031025443226099,0.031025443226099,human,UP
VWF,0.0309143792837858,0.0309143792837858,0.0309143792837858,0.0309143792837858,human,UP
CD164,0.0309001896530389,0.0309001896530389,0.0309001896530389,0.0309001896530389,human,UP
PTGS1,0.0308164898306131,0.0308164898306131,0.0308164898306131,0.0308164898306131,human,UP
ELMO1,0.030757762491703,0.030757762491703,0.030757762491703,0.030757762491703,human,UP
TPSB2,0.0305138267576694,0.0305138267576694,0.0305138267576694,0.0305138267576694,human,UP
BEX1,0.0303559619933366,0.0303559619933366,0.0303559619933366,0.0303559619933366,human,UP
HLA-J,0.030354319140315,0.030354319140315,0.030354319140315,0.030354319140315,human,UP
BTN3A2,0.0293356254696846,0.0293356254696846,0.0293356254696846,0.0293356254696846,human,UP
HSP90AB1,0.0293224360793828,0.0293224360793828,0.0293224360793828,0.0293224360793828,human,UP
CLIC1,0.028966199606657,0.028966199606657,0.028966199606657,0.028966199606657,human,UP
H1F0,0.0286630429327487,0.0286630429327487,0.0286630429327487,0.0286630429327487,human,UP
PNRC2,0.0285627339035272,0.0285627339035272,0.0285627339035272,0.0285627339035272,human,UP
HOXA10,0.0283866003155708,0.0283866003155708,0.0283866003155708,0.0283866003155708,human,UP
TRIM22,0.0283829923719167,0.0283829923719167,0.0283829923719167,0.0283829923719167,human,UP
NRIP1,0.0282994862645864,0.0282994862645864,0.0282994862645864,0.0282994862645864,human,UP
FXYD5,0.0279410332441329,0.0279410332441329,0.0279410332441329,0.0279410332441329,human,UP
NGFRAP1,0.0274481587111949,0.0274481587111949,0.0274481587111949,0.0274481587111949,human,UP
ANXA2,0.0274148341268301,0.0274148341268301,0.0274148341268301,0.0274148341268301,human,UP
KRT18,0.0273553077131509,0.0273553077131509,0.0273553077131509,0.0273553077131509,human,UP
FDFT1,0.0270409453660249,0.0270409453660249,0.0270409453660249,0.0270409453660249,human,UP
SLC35E2B,0.0267990138381719,0.0267990138381719,0.0267990138381719,0.0267990138381719,human,UP
CLEC2B,0.026778494939208,0.026778494939208,0.026778494939208,0.026778494939208,human,UP
H2AFY,0.0267498865723609,0.0267498865723609,0.0267498865723609,0.0267498865723609,human,UP
