gene_symbol,logfc_dz:552,mean_logfc,median_logfc,common_experiment,organism,signature_type
KRT18,0.1531256139278412,0.1531256139278412,0.1531256139278412,0.1531256139278412,human,UP
CEACAM6,0.1286397725343704,0.1286397725343704,0.1286397725343704,0.1286397725343704,human,UP
OLFM4,0.1092776507139206,0.1092776507139206,0.1092776507139206,0.1092776507139206,human,UP
RPS5,0.1082913801074028,0.1082913801074028,0.1082913801074028,0.1082913801074028,human,UP
RLIM,0.0969787836074829,0.0969787836074829,0.0969787836074829,0.0969787836074829,human,UP
RPLP0P6,0.095939464867115,0.095939464867115,0.095939464867115,0.095939464867115,human,UP
RPS4X,0.0878543704748153,0.0878543704748153,0.0878543704748153,0.0878543704748153,human,UP
IFITM3,0.0878282934427261,0.0878282934427261,0.0878282934427261,0.0878282934427261,human,UP
IFITM1,0.0862804800271987,0.0862804800271987,0.0862804800271987,0.0862804800271987,human,UP
RPL36A,0.0854596123099327,0.0854596123099327,0.0854596123099327,0.0854596123099327,human,UP
RPLP0,0.0840385109186172,0.0840385109186172,0.0840385109186172,0.0840385109186172,human,UP
PABPC3,0.0816819667816162,0.0816819667816162,0.0816819667816162,0.0816819667816162,human,UP
FTL,0.0803646445274353,0.0803646445274353,0.0803646445274353,0.0803646445274353,human,UP
TSPAN8,0.0783334448933601,0.0783334448933601,0.0783334448933601,0.0783334448933601,human,UP
TGFBI,0.0739457532763481,0.0739457532763481,0.0739457532763481,0.0739457532763481,human,UP
EIF3E,0.0738686546683311,0.0738686546683311,0.0738686546683311,0.0738686546683311,human,UP
TMSB4XP8,0.0733831077814102,0.0733831077814102,0.0733831077814102,0.0733831077814102,human,UP
GGH,0.0708968788385391,0.0708968788385391,0.0708968788385391,0.0708968788385391,human,UP
CKS2,0.0702657252550125,0.0702657252550125,0.0702657252550125,0.0702657252550125,human,UP
EPCAM,0.0701324120163917,0.0701324120163917,0.0701324120163917,0.0701324120163917,human,UP
RPS20,0.0683860406279563,0.0683860406279563,0.0683860406279563,0.0683860406279563,human,UP
RPS3,0.0683033391833305,0.0683033391833305,0.0683033391833305,0.0683033391833305,human,UP
RPL12,0.0674421191215515,0.0674421191215515,0.0674421191215515,0.0674421191215515,human,UP
RPS18,0.0672042220830917,0.0672042220830917,0.0672042220830917,0.0672042220830917,human,UP
PPBP,0.0669393390417099,0.0669393390417099,0.0669393390417099,0.0669393390417099,human,UP
RPL8,0.0618357546627521,0.0618357546627521,0.0618357546627521,0.0618357546627521,human,UP
GAPDH,0.0584412515163421,0.0584412515163421,0.0584412515163421,0.0584412515163421,human,UP
PPA1,0.0582122467458248,0.0582122467458248,0.0582122467458248,0.0582122467458248,human,UP
HSP90AA1,0.0580823011696338,0.0580823011696338,0.0580823011696338,0.0580823011696338,human,UP
CCL20,0.0572232604026794,0.0572232604026794,0.0572232604026794,0.0572232604026794,human,UP
FOXQ1,0.057190291583538,0.057190291583538,0.057190291583538,0.057190291583538,human,UP
IFITM2,0.0569040700793266,0.0569040700793266,0.0569040700793266,0.0569040700793266,human,UP
RPL30,0.0551801621913909,0.0551801621913909,0.0551801621913909,0.0551801621913909,human,UP
LGALS4,0.0548329539597034,0.0548329539597034,0.0548329539597034,0.0548329539597034,human,UP
CD24,0.0538035742938518,0.0538035742938518,0.0538035742938518,0.0538035742938518,human,UP
RAN,0.053575187921524,0.053575187921524,0.053575187921524,0.053575187921524,human,UP
S100P,0.0535575672984123,0.0535575672984123,0.0535575672984123,0.0535575672984123,human,UP
TMEM123,0.0532096549868583,0.0532096549868583,0.0532096549868583,0.0532096549868583,human,UP
EBPL,0.0514096729457378,0.0514096729457378,0.0514096729457378,0.0514096729457378,human,UP
EIF3H,0.0497312508523464,0.0497312508523464,0.0497312508523464,0.0497312508523464,human,UP
PSMB9,0.0495756044983863,0.0495756044983863,0.0495756044983863,0.0495756044983863,human,UP
LDHB,0.0474213436245918,0.0474213436245918,0.0474213436245918,0.0474213436245918,human,UP
GGCT,0.0470757186412811,0.0470757186412811,0.0470757186412811,0.0470757186412811,human,UP
RPL4,0.0461106486618518,0.0461106486618518,0.0461106486618518,0.0461106486618518,human,UP
MAL2,0.0452302210032939,0.0452302210032939,0.0452302210032939,0.0452302210032939,human,UP
BZW2,0.0451277866959571,0.0451277866959571,0.0451277866959571,0.0451277866959571,human,UP
SH3KBP1,0.0448995232582092,0.0448995232582092,0.0448995232582092,0.0448995232582092,human,UP
RPS2,0.0441888011991977,0.0441888011991977,0.0441888011991977,0.0441888011991977,human,UP
APEX1,0.0438771024346351,0.0438771024346351,0.0438771024346351,0.0438771024346351,human,UP
PTGES3,0.0430379584431648,0.0430379584431648,0.0430379584431648,0.0430379584431648,human,UP
PRDX5,0.0427385233342647,0.0427385233342647,0.0427385233342647,0.0427385233342647,human,UP
SPINK1,0.0424832180142402,0.0424832180142402,0.0424832180142402,0.0424832180142402,human,UP
RPSA,0.0423269122838974,0.0423269122838974,0.0423269122838974,0.0423269122838974,human,UP
HSPA8,0.0418068431317806,0.0418068431317806,0.0418068431317806,0.0418068431317806,human,UP
RPS10,0.0415416210889816,0.0415416210889816,0.0415416210889816,0.0415416210889816,human,UP
PRDX1,0.0414126403629779,0.0414126403629779,0.0414126403629779,0.0414126403629779,human,UP
MMP1,0.0413207300007343,0.0413207300007343,0.0413207300007343,0.0413207300007343,human,UP
OCIAD2,0.0412005260586738,0.0412005260586738,0.0412005260586738,0.0412005260586738,human,UP
DPEP1,0.0407582186162471,0.0407582186162471,0.0407582186162471,0.0407582186162471,human,UP
TMSB10,0.0406078808009624,0.0406078808009624,0.0406078808009624,0.0406078808009624,human,UP
RPL7A,0.0389296263456344,0.0389296263456344,0.0389296263456344,0.0389296263456344,human,UP
MMP12,0.0381775423884391,0.0381775423884391,0.0381775423884391,0.0381775423884391,human,UP
ENC1,0.0378901772201061,0.0378901772201061,0.0378901772201061,0.0378901772201061,human,UP
RNF128,0.0377052053809165,0.0377052053809165,0.0377052053809165,0.0377052053809165,human,UP
MIF,0.0374118201434612,0.0374118201434612,0.0374118201434612,0.0374118201434612,human,UP
YWHAG,0.0373568125069141,0.0373568125069141,0.0373568125069141,0.0373568125069141,human,UP
GLO1,0.0370786301791667,0.0370786301791667,0.0370786301791667,0.0370786301791667,human,UP
RPS7,0.036659799516201,0.036659799516201,0.036659799516201,0.036659799516201,human,UP
OAZ1,0.0365579240024089,0.0365579240024089,0.0365579240024089,0.0365579240024089,human,UP
HLA-DRB5,0.036412090063095,0.036412090063095,0.036412090063095,0.036412090063095,human,UP
RNF43,0.0359571203589439,0.0359571203589439,0.0359571203589439,0.0359571203589439,human,UP
IFI27,0.0357319377362728,0.0357319377362728,0.0357319377362728,0.0357319377362728,human,UP
CDH17,0.0356586314737796,0.0356586314737796,0.0356586314737796,0.0356586314737796,human,UP
SNRPD2,0.0352830737829208,0.0352830737829208,0.0352830737829208,0.0352830737829208,human,UP
TRMT112,0.0350969769060611,0.0350969769060611,0.0350969769060611,0.0350969769060611,human,UP
NPM1,0.0350767560303211,0.0350767560303211,0.0350767560303211,0.0350767560303211,human,UP
SNHG6,0.0345150269567966,0.0345150269567966,0.0345150269567966,0.0345150269567966,human,UP
MEST,0.0342264622449874,0.0342264622449874,0.0342264622449874,0.0342264622449874,human,UP
HMGB1,0.0340889692306518,0.0340889692306518,0.0340889692306518,0.0340889692306518,human,UP
RPL22L1,0.034002736210823,0.034002736210823,0.034002736210823,0.034002736210823,human,UP
UBD,0.0339020602405071,0.0339020602405071,0.0339020602405071,0.0339020602405071,human,UP
NME1,0.033365324139595,0.033365324139595,0.033365324139595,0.033365324139595,human,UP
CALB1,0.0328448303043842,0.0328448303043842,0.0328448303043842,0.0328448303043842,human,UP
HLA-DRB1,0.0321095213294029,0.0321095213294029,0.0321095213294029,0.0321095213294029,human,UP
RPL3,0.0317854583263397,0.0317854583263397,0.0317854583263397,0.0317854583263397,human,UP
MLEC,0.0317627042531967,0.0317627042531967,0.0317627042531967,0.0317627042531967,human,UP
LYPLA1,0.0314774848520755,0.0314774848520755,0.0314774848520755,0.0314774848520755,human,UP
RRM2,0.0313026569783687,0.0313026569783687,0.0313026569783687,0.0313026569783687,human,UP
PRDX4,0.0311247929930686,0.0311247929930686,0.0311247929930686,0.0311247929930686,human,UP
LCN2,0.0310705602169036,0.0310705602169036,0.0310705602169036,0.0310705602169036,human,UP
TXNDC5,0.0310608092695474,0.0310608092695474,0.0310608092695474,0.0310608092695474,human,UP
GPR160,0.0307765658944845,0.0307765658944845,0.0307765658944845,0.0307765658944845,human,UP
DKC1,0.0303555503487586,0.0303555503487586,0.0303555503487586,0.0303555503487586,human,UP
TSPAN6,0.0301698017865419,0.0301698017865419,0.0301698017865419,0.0301698017865419,human,UP
ADD3,0.0300240162760019,0.0300240162760019,0.0300240162760019,0.0300240162760019,human,UP
LTA4H,0.0295117236673831,0.0295117236673831,0.0295117236673831,0.0295117236673831,human,UP
RPL11,0.0293264016509056,0.0293264016509056,0.0293264016509056,0.0293264016509056,human,UP
DPYSL2,0.029318293556571,0.029318293556571,0.029318293556571,0.029318293556571,human,UP
RPL23A,0.0291469283401966,0.0291469283401966,0.0291469283401966,0.0291469283401966,human,UP
ACSL5,0.0290674772113561,0.0290674772113561,0.0290674772113561,0.0290674772113561,human,UP
RPL6,0.0289400704205036,0.0289400704205036,0.0289400704205036,0.0289400704205036,human,UP
RPL34,0.0289278626441955,0.0289278626441955,0.0289278626441955,0.0289278626441955,human,UP
PTMA,0.028138218447566,0.028138218447566,0.028138218447566,0.028138218447566,human,UP
CETN2,0.0280822943896055,0.0280822943896055,0.0280822943896055,0.0280822943896055,human,UP
NQO1,0.0280650872737169,0.0280650872737169,0.0280650872737169,0.0280650872737169,human,UP
KLF5,0.0280495807528495,0.0280495807528495,0.0280495807528495,0.0280495807528495,human,UP
TDGF1P3,0.0276033356785774,0.0276033356785774,0.0276033356785774,0.0276033356785774,human,UP
COX2,0.0275267884135246,0.0275267884135246,0.0275267884135246,0.0275267884135246,human,UP
LRP11,0.0274087004363536,0.0274087004363536,0.0274087004363536,0.0274087004363536,human,UP
PCNA,0.0271862167865037,0.0271862167865037,0.0271862167865037,0.0271862167865037,human,UP
COL1A2,0.027087353169918,0.027087353169918,0.027087353169918,0.027087353169918,human,UP
HLA-DRB4,0.0270529463887214,0.0270529463887214,0.0270529463887214,0.0270529463887214,human,UP
DEK,0.0269615575671196,0.0269615575671196,0.0269615575671196,0.0269615575671196,human,UP
MMP3,0.0269127171486616,0.0269127171486616,0.0269127171486616,0.0269127171486616,human,UP
PSME1,0.0268074665218591,0.0268074665218591,0.0268074665218591,0.0268074665218591,human,UP
GTF3A,0.0266926493495702,0.0266926493495702,0.0266926493495702,0.0266926493495702,human,UP
RPL24,0.0266324989497661,0.0266324989497661,0.0266324989497661,0.0266324989497661,human,UP
MRPL3,0.0265594255179166,0.0265594255179166,0.0265594255179166,0.0265594255179166,human,UP
CCT2,0.026520075276494,0.026520075276494,0.026520075276494,0.026520075276494,human,UP
H19,0.0261805653572082,0.0261805653572082,0.0261805653572082,0.0261805653572082,human,UP
RPL32,0.0261069498956203,0.0261069498956203,0.0261069498956203,0.0261069498956203,human,UP
DSP,0.0260816384106874,0.0260816384106874,0.0260816384106874,0.0260816384106874,human,UP
TOMM6,0.0257977489382028,0.0257977489382028,0.0257977489382028,0.0257977489382028,human,UP
EFR3A,0.025669252499938,0.025669252499938,0.025669252499938,0.025669252499938,human,UP
EEF1B2,0.025603961199522,0.025603961199522,0.025603961199522,0.025603961199522,human,UP
C15orf48,0.0255890022963285,0.0255890022963285,0.0255890022963285,0.0255890022963285,human,UP
HIST1H4C,0.0253317449241876,0.0253317449241876,0.0253317449241876,0.0253317449241876,human,UP
NOP58,0.0253101885318756,0.0253101885318756,0.0253101885318756,0.0253101885318756,human,UP
SNRPD3,0.0252437330782413,0.0252437330782413,0.0252437330782413,0.0252437330782413,human,UP
LDHA,0.0252114348113536,0.0252114348113536,0.0252114348113536,0.0252114348113536,human,UP
PTTG1,0.02482102625072,0.02482102625072,0.02482102625072,0.02482102625072,human,UP
SLC25A6,0.0248038005083799,0.0248038005083799,0.0248038005083799,0.0248038005083799,human,UP
CCT6A,0.024770027026534,0.024770027026534,0.024770027026534,0.024770027026534,human,UP
CD81,0.0244133155792951,0.0244133155792951,0.0244133155792951,0.0244133155792951,human,UP
FBL,0.0243951976299285,0.0243951976299285,0.0243951976299285,0.0243951976299285,human,UP
HSP90AB1,0.0242677684873342,0.0242677684873342,0.0242677684873342,0.0242677684873342,human,UP
EIF3D,0.0242328476160764,0.0242328476160764,0.0242328476160764,0.0242328476160764,human,UP
RPL29,0.0237580072134733,0.0237580072134733,0.0237580072134733,0.0237580072134733,human,UP
CTHRC1,0.023591186851263,0.023591186851263,0.023591186851263,0.023591186851263,human,UP
SAT1,0.0235338043421506,0.0235338043421506,0.0235338043421506,0.0235338043421506,human,UP
RPL35,0.0235323477536439,0.0235323477536439,0.0235323477536439,0.0235323477536439,human,UP
CKS1B,0.0234725661575794,0.0234725661575794,0.0234725661575794,0.0234725661575794,human,UP
MXRA5,0.0234339423477649,0.0234339423477649,0.0234339423477649,0.0234339423477649,human,UP
RPF2,0.0233389902859926,0.0233389902859926,0.0233389902859926,0.0233389902859926,human,UP
RPS13,0.0233248174190521,0.0233248174190521,0.0233248174190521,0.0233248174190521,human,UP
CHMP4C,0.0230794008821249,0.0230794008821249,0.0230794008821249,0.0230794008821249,human,UP
PITPNB,0.0230395644903183,0.0230395644903183,0.0230395644903183,0.0230395644903183,human,UP
KPNA2,0.0230285562574863,0.0230285562574863,0.0230285562574863,0.0230285562574863,human,UP
PAN3,0.0224828403443098,0.0224828403443098,0.0224828403443098,0.0224828403443098,human,UP
DDX21,0.0222806558012962,0.0222806558012962,0.0222806558012962,0.0222806558012962,human,UP
GARS,0.0222185049206018,0.0222185049206018,0.0222185049206018,0.0222185049206018,human,UP
NUP37,0.0222043097019195,0.0222043097019195,0.0222043097019195,0.0222043097019195,human,UP
RPL13AP5,0.0221943501383066,0.0221943501383066,0.0221943501383066,0.0221943501383066,human,UP
UBA52,0.0220686998218297,0.0220686998218297,0.0220686998218297,0.0220686998218297,human,UP
AHCY,0.0219145882874727,0.0219145882874727,0.0219145882874727,0.0219145882874727,human,UP
BST2,0.0218067187815904,0.0218067187815904,0.0218067187815904,0.0218067187815904,human,UP
HSPB1,0.0217454489320516,0.0217454489320516,0.0217454489320516,0.0217454489320516,human,UP
NAA20,0.0217212811112403,0.0217212811112403,0.0217212811112403,0.0217212811112403,human,UP
RPL13A,0.0217103455215692,0.0217103455215692,0.0217103455215692,0.0217103455215692,human,UP
RAD21,0.0216838996857404,0.0216838996857404,0.0216838996857404,0.0216838996857404,human,UP
LOC100093631,0.0214506834745407,0.0214506834745407,0.0214506834745407,0.0214506834745407,human,UP
GBAS,0.0213203225284814,0.0213203225284814,0.0213203225284814,0.0213203225284814,human,UP
PSMD14,0.0212649814784526,0.0212649814784526,0.0212649814784526,0.0212649814784526,human,UP
MARCKSL1,0.0211674589663743,0.0211674589663743,0.0211674589663743,0.0211674589663743,human,UP
DMBT1,0.0209163036197423,0.0209163036197423,0.0209163036197423,0.0209163036197423,human,UP
CLDN2,0.0207974109798669,0.0207974109798669,0.0207974109798669,0.0207974109798669,human,UP
SNHG16,0.0204517301172018,0.0204517301172018,0.0204517301172018,0.0204517301172018,human,UP
XPOT,0.0204260051250457,0.0204260051250457,0.0204260051250457,0.0204260051250457,human,UP
CBX3,0.0203002151101827,0.0203002151101827,0.0203002151101827,0.0203002151101827,human,UP
HSD17B10,0.0202035438269376,0.0202035438269376,0.0202035438269376,0.0202035438269376,human,UP
