gene_symbol,logfc_dz:839,logfc_dz:838,logfc_dz:848,logfc_dz:842,logfc_dz:843,logfc_dz:840,logfc_dz:841,logfc_dz:846,logfc_dz:847,logfc_dz:845,logfc_dz:844,logfc_dz:849,mean_logfc,median_logfc,common_experiment,organism,signature_type
COX1,0.2196053266525268,0.2145734429359436,0.1157183051109314,0.2053564190864563,0.1505083739757537,0.1780867725610733,0.287131667137146,0.2231045067310333,0.3475319147109985,0.1733784675598144,0.1903703361749649,0.2089905440807342,0.2095296730597814,0.2071734815835952,0.2196053266525268,human,UP
COX2,0.1986473351716995,0.1675612181425094,0.1807617098093032,0.2018290311098098,0.1386374682188034,0.2275453358888626,0.2327188104391098,0.266117662191391,0.1146014779806137,0.2678009867668152,0.1466535031795501,0.0766073539853096,0.1849568244069814,0.1897045224905014,0.1986473351716995,human,UP
DCAF6,0.2032354772090912,0.140103593468666,0.1203295886516571,0.1305450350046157,0.0886340290307998,0.1026107296347618,0.1751873344182968,0.171849712729454,0.2502375543117523,0.1787742972373962,0.1842237412929535,0.2010762989521026,0.1622339493284622,0.1735185235738754,0.2032354772090912,human,UP
ND2,0.1584845036268234,0.1535692363977432,0.1881450116634369,0.0309644173830747,0.1166912391781807,0.0609037764370441,0.146096870303154,0.0942310318350792,0.2873307466506958,0.101469486951828,0.1304250508546829,0.2264296412467956,0.1412284177107115,0.1382609605789184,0.1584845036268234,human,UP
LDHA,0.1189614981412887,0.0453595295548439,0.1226746812462806,0.0766356438398361,0.1207295209169387,0.1034405678510665,0.0873209610581398,0.0680576786398887,0.0443645790219306,0.1151943132281303,0.1485297679901123,0.1778512299060821,0.1024266642828782,0.1093174405395984,0.1189614981412887,human,UP
SST,,,0.1128542721271514,,,,,,0.082120306789875,,,,0.0974872894585132,0.0974872894585132,,human,UP
LTF,0.1181690767407417,0.100542165338993,,0.0373063869774341,0.0750128701329231,0.0593060180544853,0.124613769352436,,,0.073941059410572,0.178287997841835,,0.0958974179811775,0.0877775177359581,0.1181690767407417,human,UP
RSPO3,,,0.0927091315388679,,,,,,,,,,0.0927091315388679,0.0927091315388679,,human,UP
TMSB10,0.1166011616587638,0.0832291841506958,0.0534095801413059,0.1112397089600563,0.0761824026703834,0.1060768812894821,0.1614172309637069,0.1340442597866058,-0.0445436872541904,0.1417824178934097,0.0954446718096733,-0.0172358937561512,0.0848039931928118,0.1007607765495777,0.1166011616587638,human,UP
GAPDH,0.1084716543555259,0.0507031753659248,0.0860683470964431,0.0915154442191124,0.0963089168071746,0.1054736822843551,0.0809236615896225,0.0505722537636756,,0.0879049748182296,0.0827627256512641,0.0436720177531242,0.0803978957913138,0.0860683470964431,0.1084716543555259,human,UP
