gene_symbol,logfc_dz:711,mean_logfc,median_logfc,common_experiment,organism,signature_type
EGR1,0.2095543891191482,0.2095543891191482,0.2095543891191482,0.2095543891191482,human,UP
FADS2,0.1684556007385254,0.1684556007385254,0.1684556007385254,0.1684556007385254,human,UP
SPRR4,0.146324947476387,0.146324947476387,0.146324947476387,0.146324947476387,human,UP
SPRR1A,0.119600772857666,0.119600772857666,0.119600772857666,0.119600772857666,human,UP
HLA-DQA1,0.1121087223291397,0.1121087223291397,0.1121087223291397,0.1121087223291397,human,UP
LCE1D,0.1052197813987732,0.1052197813987732,0.1052197813987732,0.1052197813987732,human,UP
DUSP1,0.0982648730278015,0.0982648730278015,0.0982648730278015,0.0982648730278015,human,UP
SPRR1B,0.0950909033417701,0.0950909033417701,0.0950909033417701,0.0950909033417701,human,UP
LRRC37A4P,0.0916620194911956,0.0916620194911956,0.0916620194911956,0.0916620194911956,human,UP
SPRR2F,0.0867355391383171,0.0867355391383171,0.0867355391383171,0.0867355391383171,human,UP
HLA-DRB3,0.0794392600655555,0.0794392600655555,0.0794392600655555,0.0794392600655555,human,UP
SPRR2G,0.078284204006195,0.078284204006195,0.078284204006195,0.078284204006195,human,UP
GAPDH,0.0749237090349197,0.0749237090349197,0.0749237090349197,0.0749237090349197,human,UP
HIST1H1E,0.0742440819740295,0.0742440819740295,0.0742440819740295,0.0742440819740295,human,UP
EGR2,0.069557100534439,0.069557100534439,0.069557100534439,0.069557100534439,human,UP
CNFN,0.0677647665143013,0.0677647665143013,0.0677647665143013,0.0677647665143013,human,UP
KRTDAP,0.0676321536302566,0.0676321536302566,0.0676321536302566,0.0676321536302566,human,UP
KRT5,0.0674498677253723,0.0674498677253723,0.0674498677253723,0.0674498677253723,human,UP
KRT6B,0.0671556890010833,0.0671556890010833,0.0671556890010833,0.0671556890010833,human,UP
KLK6,0.0669999420642852,0.0669999420642852,0.0669999420642852,0.0669999420642852,human,UP
SIK1,0.0665724724531173,0.0665724724531173,0.0665724724531173,0.0665724724531173,human,UP
AWAT2,0.0629548132419586,0.0629548132419586,0.0629548132419586,0.0629548132419586,human,UP
RPL41P5,0.062465850263834,0.062465850263834,0.062465850263834,0.062465850263834,human,UP
CST6,0.0615638606250286,0.0615638606250286,0.0615638606250286,0.0615638606250286,human,UP
S100A8,0.0608961507678031,0.0608961507678031,0.0608961507678031,0.0608961507678031,human,UP
FOS,0.0568081587553024,0.0568081587553024,0.0568081587553024,0.0568081587553024,human,UP
TNS4,0.053901482373476,0.053901482373476,0.053901482373476,0.053901482373476,human,UP
KRT6A,0.0531945042312145,0.0531945042312145,0.0531945042312145,0.0531945042312145,human,UP
NR4A2,0.0525155551731586,0.0525155551731586,0.0525155551731586,0.0525155551731586,human,UP
OVOL1,0.0509180538356304,0.0509180538356304,0.0509180538356304,0.0509180538356304,human,UP
KRT6C,0.0495171472430229,0.0495171472430229,0.0495171472430229,0.0495171472430229,human,UP
ZFP36L2,0.0482004508376121,0.0482004508376121,0.0482004508376121,0.0482004508376121,human,UP
SNORD33,0.0474338121712207,0.0474338121712207,0.0474338121712207,0.0474338121712207,human,UP
