gene_symbol,logfc_dz:417,mean_logfc,median_logfc,common_experiment,organism,signature_type
IGHV3-23,0.3312727510929107,0.3312727510929107,0.3312727510929107,0.3312727510929107,human,UP
IGK,0.2095340937376022,0.2095340937376022,0.2095340937376022,0.2095340937376022,human,UP
COX1,0.2094305604696273,0.2094305604696273,0.2094305604696273,0.2094305604696273,human,UP
ND2,0.205176830291748,0.205176830291748,0.205176830291748,0.205176830291748,human,UP
IGKV4-1,0.1509424448013305,0.1509424448013305,0.1509424448013305,0.1509424448013305,human,UP
RPS14P3,0.1345435231924057,0.1345435231924057,0.1345435231924057,0.1345435231924057,human,UP
IGKV1OR2-108,0.1304642260074615,0.1304642260074615,0.1304642260074615,0.1304642260074615,human,UP
LOC100510044,0.1226787492632865,0.1226787492632865,0.1226787492632865,0.1226787492632865,human,UP
DCAF6,0.1178680136799812,0.1178680136799812,0.1178680136799812,0.1178680136799812,human,UP
TUBB2A,0.1175104975700378,0.1175104975700378,0.1175104975700378,0.1175104975700378,human,UP
LOC652493,0.1035753935575485,0.1035753935575485,0.1035753935575485,0.1035753935575485,human,UP
COX2,0.0861207768321037,0.0861207768321037,0.0861207768321037,0.0861207768321037,human,UP
LOC100510678,0.0754337534308433,0.0754337534308433,0.0754337534308433,0.0754337534308433,human,UP
LOC100290036,0.0712100565433502,0.0712100565433502,0.0712100565433502,0.0712100565433502,human,UP
TUBB2B,0.0707657262682914,0.0707657262682914,0.0707657262682914,0.0707657262682914,human,UP
LAPTM5,0.0683955326676368,0.0683955326676368,0.0683955326676368,0.0683955326676368,human,UP
EEF2,0.0600603930652141,0.0600603930652141,0.0600603930652141,0.0600603930652141,human,UP
SH3KBP1,0.0579973682761192,0.0579973682761192,0.0579973682761192,0.0579973682761192,human,UP
TMA7,0.0531914457678794,0.0531914457678794,0.0531914457678794,0.0531914457678794,human,UP
RPL23A,0.0526717044413089,0.0526717044413089,0.0526717044413089,0.0526717044413089,human,UP
EEF1A1P9,0.0513562187552452,0.0513562187552452,0.0513562187552452,0.0513562187552452,human,UP
RPS18,0.050613135099411,0.050613135099411,0.050613135099411,0.050613135099411,human,UP
LDHA,0.0499614141881465,0.0499614141881465,0.0499614141881465,0.0499614141881465,human,UP
IGHM,0.0499607101082801,0.0499607101082801,0.0499607101082801,0.0499607101082801,human,UP
IGLV1-36,0.0499397441744804,0.0499397441744804,0.0499397441744804,0.0499397441744804,human,UP
HSP90AB1,0.0479510836303234,0.0479510836303234,0.0479510836303234,0.0479510836303234,human,UP
IGHV4-31,0.0478648878633976,0.0478648878633976,0.0478648878633976,0.0478648878633976,human,UP
IGLV2-23,0.0475807823240757,0.0475807823240757,0.0475807823240757,0.0475807823240757,human,UP
GAPDH,0.0468465201556682,0.0468465201556682,0.0468465201556682,0.0468465201556682,human,UP
IER3,0.046621635556221,0.046621635556221,0.046621635556221,0.046621635556221,human,UP
MIF,0.0464625209569931,0.0464625209569931,0.0464625209569931,0.0464625209569931,human,UP
HLA-DQA1,0.0464116185903549,0.0464116185903549,0.0464116185903549,0.0464116185903549,human,UP
BCL2A1,0.0457486771047115,0.0457486771047115,0.0457486771047115,0.0457486771047115,human,UP
RPS4X,0.0452504642307758,0.0452504642307758,0.0452504642307758,0.0452504642307758,human,UP
RPLP0,0.0448958873748779,0.0448958873748779,0.0448958873748779,0.0448958873748779,human,UP
UQCRH,0.0437962226569652,0.0437962226569652,0.0437962226569652,0.0437962226569652,human,UP
FTL,0.0437769815325737,0.0437769815325737,0.0437769815325737,0.0437769815325737,human,UP
LOC100133583,0.0416647233068943,0.0416647233068943,0.0416647233068943,0.0416647233068943,human,UP
PPIB,0.0415665097534656,0.0415665097534656,0.0415665097534656,0.0415665097534656,human,UP
RPL13A,0.039697952568531,0.039697952568531,0.039697952568531,0.039697952568531,human,UP
MYL12B,0.0394414104521274,0.0394414104521274,0.0394414104521274,0.0394414104521274,human,UP
B2M,0.0391765721142292,0.0391765721142292,0.0391765721142292,0.0391765721142292,human,UP
EIF5A,0.0388133004307746,0.0388133004307746,0.0388133004307746,0.0388133004307746,human,UP
PKM,0.0380967818200588,0.0380967818200588,0.0380967818200588,0.0380967818200588,human,UP
RPL34,0.0376806892454624,0.0376806892454624,0.0376806892454624,0.0376806892454624,human,UP
IGHV1-69,0.0376669950783252,0.0376669950783252,0.0376669950783252,0.0376669950783252,human,UP
CKS2,0.0375863648951053,0.0375863648951053,0.0375863648951053,0.0375863648951053,human,UP
RPL26,0.0374912545084953,0.0374912545084953,0.0374912545084953,0.0374912545084953,human,UP
FCER2,0.0373177453875541,0.0373177453875541,0.0373177453875541,0.0373177453875541,human,UP
TPT1,0.0372485667467117,0.0372485667467117,0.0372485667467117,0.0372485667467117,human,UP
LY75,0.0365875177085399,0.0365875177085399,0.0365875177085399,0.0365875177085399,human,UP
RPL35,0.0362350903451442,0.0362350903451442,0.0362350903451442,0.0362350903451442,human,UP
RPL27,0.0361987575888633,0.0361987575888633,0.0361987575888633,0.0361987575888633,human,UP
RPL39,0.0360944494605064,0.0360944494605064,0.0360944494605064,0.0360944494605064,human,UP
DAD1,0.0360434800386428,0.0360434800386428,0.0360434800386428,0.0360434800386428,human,UP
CRELD2,0.0350425578653812,0.0350425578653812,0.0350425578653812,0.0350425578653812,human,UP
IFNGR1,0.0349817797541618,0.0349817797541618,0.0349817797541618,0.0349817797541618,human,UP
SETP4,0.0338837318122386,0.0338837318122386,0.0338837318122386,0.0338837318122386,human,UP
RPS29,0.0336805209517478,0.0336805209517478,0.0336805209517478,0.0336805209517478,human,UP
DFNA5,0.0336327999830246,0.0336327999830246,0.0336327999830246,0.0336327999830246,human,UP
TXNDC5,0.0335445366799831,0.0335445366799831,0.0335445366799831,0.0335445366799831,human,UP
ACTB,0.0328726544976234,0.0328726544976234,0.0328726544976234,0.0328726544976234,human,UP
TMPRSS3,0.0324982404708862,0.0324982404708862,0.0324982404708862,0.0324982404708862,human,UP
PGAM1,0.0322997160255909,0.0322997160255909,0.0322997160255909,0.0322997160255909,human,UP
CFL1,0.0320153832435607,0.0320153832435607,0.0320153832435607,0.0320153832435607,human,UP
RPL8,0.0320040136575698,0.0320040136575698,0.0320040136575698,0.0320040136575698,human,UP
RPS10,0.0310013554990291,0.0310013554990291,0.0310013554990291,0.0310013554990291,human,UP
SOD1,0.0301425550132989,0.0301425550132989,0.0301425550132989,0.0301425550132989,human,UP
RPS23,0.0300516244024038,0.0300516244024038,0.0300516244024038,0.0300516244024038,human,UP
RPL32,0.0297511797398328,0.0297511797398328,0.0297511797398328,0.0297511797398328,human,UP
HILPDA,0.0292884372174739,0.0292884372174739,0.0292884372174739,0.0292884372174739,human,UP
EIF2S3,0.0291330646723508,0.0291330646723508,0.0291330646723508,0.0291330646723508,human,UP
TMEM123,0.029075089842081,0.029075089842081,0.029075089842081,0.029075089842081,human,UP
GPR183,0.0289109796285629,0.0289109796285629,0.0289109796285629,0.0289109796285629,human,UP
