gene_symbol,logfc_dz:909,logfc_dz:908,logfc_dz:907,logfc_dz:910,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS26,0.1530672460794448,0.1379942446947097,0.276559978723526,0.020069595426321,0.1469227662310004,0.1455307453870773,0.020069595426321,human,UP
RPL30,0.0766341164708137,0.1732152700424194,0.0978050008416175,0.1299532949924469,0.1194019205868244,0.1138791479170322,0.1299532949924469,human,UP
RPL19,0.1187885627150535,0.1092258244752883,0.0686841532588005,0.1158410981297493,0.1031349096447229,0.1125334613025188,0.1158410981297493,human,UP
RPL36,0.1191379502415657,0.1439982801675796,0.0739259049296379,0.057362999767065,0.098606283776462,0.0965319275856018,0.057362999767065,human,UP
RPL36A,0.051648162305355,0.1881723552942276,0.0678592324256897,0.0521695017814636,0.089962312951684,0.0600143671035766,0.0521695017814636,human,UP
PABPC3,0.0987136363983154,0.0377646386623382,0.0784871205687522,0.1283774226903915,0.0858357045799493,0.0886003784835338,0.1283774226903915,human,UP
GZMK,,0.081126682460308,0.0862791240215301,,0.0837029032409191,0.0837029032409191,,human,UP
RPS4X,0.0851529985666275,0.0928244814276695,,0.0726452767848968,0.0835409189263979,0.0851529985666275,0.0726452767848968,human,UP
RPL32,0.0580322816967964,0.1279125660657882,0.0609605871140956,0.076928861439228,0.0809585740789771,0.0689447242766618,0.076928861439228,human,UP
TUBA1A,,0.087661437690258,0.0387036576867103,0.113420121371746,0.0799284055829048,0.087661437690258,0.113420121371746,human,UP
PTMA,0.1052608042955398,,0.0324965044856071,0.101780317723751,0.0798458755016326,0.101780317723751,0.101780317723751,human,UP
RPS18,0.0198430698364973,0.1704203486442566,0.0955541729927063,0.0303443297743797,0.0790404803119599,0.062949251383543,0.0303443297743797,human,UP
GPR183,,0.0836870968341827,0.0675037875771522,,0.0755954422056675,0.0755954422056675,,human,UP
ZYX,0.0785847827792167,,,0.0699192658066749,0.0742520242929458,0.0742520242929458,0.0699192658066749,human,UP
NRGN,0.0739085525274276,,,0.0611756220459938,0.0675420872867107,0.0675420872867107,0.0611756220459938,human,UP
H3F3AP4,0.0430804975330829,0.083967313170433,0.0315974354743957,0.1068275570869445,0.066368200816214,0.063523905351758,0.1068275570869445,human,UP
RPS11,0.0299608539789915,0.1072562783956527,0.0930531024932861,0.0321568325161933,0.0656067668460309,0.0626049675047397,0.0321568325161933,human,UP
CD69,,0.0475071221590042,0.0831320732831955,,0.0653195977210998,0.0653195977210998,,human,UP
C12orf57,,0.1072568893432617,0.0665489956736564,0.0168399326503276,0.0635486058890819,0.0665489956736564,0.0168399326503276,human,UP
CD3D,,0.0531716458499431,0.0729906931519508,,0.063081169500947,0.063081169500947,,human,UP
COX1,-0.0310585107654333,0.1028057783842086,0.0708565786480903,0.107038527727127,0.0624105934984982,0.0868311785161495,0.107038527727127,human,UP
DCAF6,0.0731442347168922,0.0559446774423122,-0.0106779970228672,0.1249573528766632,0.0608420670032501,0.0645444560796022,0.1249573528766632,human,UP
TPT1,,0.0905654951930046,0.0170742087066173,0.0744147077202797,0.0606848038733005,0.0744147077202797,0.0744147077202797,human,UP
TALDO1,0.118679329752922,0.0305249746888875,,0.0320964194834232,0.0604335746417442,0.0320964194834232,0.0320964194834232,human,UP
RPS20,0.0406002402305603,0.1156539544463157,0.0498511679470539,0.0329117886722087,0.0597542878240346,0.0452257040888071,0.0329117886722087,human,UP
TRAT1,,0.0578626915812492,0.0596493147313594,,0.0587560031563043,0.0587560031563043,,human,UP
CFL1,0.0303950924426317,0.0873015075922012,0.0369579903781414,0.0686576515436172,0.0558280604891479,0.0528078209608793,0.0686576515436172,human,UP
RLIM,0.0766178667545318,0.0346117354929447,0.042021881788969,0.0694748759269714,0.0556815899908542,0.0557483788579702,0.0694748759269714,human,UP
RPL21,,0.0995018258690834,0.0415836013853549,0.0240184124559164,0.0550346132367849,0.0415836013853549,0.0240184124559164,human,UP
LGALS2,0.0288344249129295,,,0.0809098407626152,0.0548721328377723,0.0548721328377723,0.0809098407626152,human,UP
SH3KBP1,0.056067980825901,0.031036552041769,,0.0728341341018676,0.0533128889898459,0.056067980825901,0.0728341341018676,human,UP
LTF,,0.0529416278004646,,,0.0529416278004646,0.0529416278004646,,human,UP
NAGK,0.0657602772116661,,,0.0384325943887233,0.0520964358001947,0.0520964358001947,0.0384325943887233,human,UP
