gene_symbol,logfc_dz:706,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-A,0.185257688164711,0.185257688164711,0.185257688164711,0.185257688164711,human,UP
ACTC1,0.1359420120716095,0.1359420120716095,0.1359420120716095,0.1359420120716095,human,UP
HLA-B,0.1237527206540107,0.1237527206540107,0.1237527206540107,0.1237527206540107,human,UP
TXNIP,0.1164926141500473,0.1164926141500473,0.1164926141500473,0.1164926141500473,human,UP
ATP2A2,0.1136125177145004,0.1136125177145004,0.1136125177145004,0.1136125177145004,human,UP
PDK4,0.1114333570003509,0.1114333570003509,0.1114333570003509,0.1114333570003509,human,UP
HLA-J,0.1082565113902092,0.1082565113902092,0.1082565113902092,0.1082565113902092,human,UP
CD74,0.1055294275283813,0.1055294275283813,0.1055294275283813,0.1055294275283813,human,UP
MYL3,0.093900941312313,0.093900941312313,0.093900941312313,0.093900941312313,human,UP
MYH8,0.0903087556362152,0.0903087556362152,0.0903087556362152,0.0903087556362152,human,UP
MT2A,0.0901806429028511,0.0901806429028511,0.0901806429028511,0.0901806429028511,human,UP
MYH7,0.0872172489762306,0.0872172489762306,0.0872172489762306,0.0872172489762306,human,UP
B2M,0.0866693779826164,0.0866693779826164,0.0866693779826164,0.0866693779826164,human,UP
MYOT,0.0818960145115852,0.0818960145115852,0.0818960145115852,0.0818960145115852,human,UP
TNNC1,0.0816215202212333,0.0816215202212333,0.0816215202212333,0.0816215202212333,human,UP
HLA-C,0.0773719549179077,0.0773719549179077,0.0773719549179077,0.0773719549179077,human,UP
CA3,0.0758856013417244,0.0758856013417244,0.0758856013417244,0.0758856013417244,human,UP
MUSTN1,0.074552834033966,0.074552834033966,0.074552834033966,0.074552834033966,human,UP
RN7SK,0.0744873955845832,0.0744873955845832,0.0744873955845832,0.0744873955845832,human,UP
MIR675,0.0712567195296287,0.0712567195296287,0.0712567195296287,0.0712567195296287,human,UP
ANKRD1,0.0711123123764991,0.0711123123764991,0.0711123123764991,0.0711123123764991,human,UP
TNNI1,0.0667381882667541,0.0667381882667541,0.0667381882667541,0.0667381882667541,human,UP
TNNT1,0.0622084774076938,0.0622084774076938,0.0622084774076938,0.0622084774076938,human,UP
SAA2,0.0613172650337219,0.0613172650337219,0.0613172650337219,0.0613172650337219,human,UP
TMSB10,0.0590933784842491,0.0590933784842491,0.0590933784842491,0.0590933784842491,human,UP
TPM3,0.0589367002248764,0.0589367002248764,0.0589367002248764,0.0589367002248764,human,UP
LDHB,0.0581014044582843,0.0581014044582843,0.0581014044582843,0.0581014044582843,human,UP
TMSB4XP6,0.0574457980692386,0.0574457980692386,0.0574457980692386,0.0574457980692386,human,UP
INS-IGF2,0.0553092621266841,0.0553092621266841,0.0553092621266841,0.0553092621266841,human,UP
SPARCL1,0.054726455360651,0.054726455360651,0.054726455360651,0.054726455360651,human,UP
TSPAN7,0.0523385629057884,0.0523385629057884,0.0523385629057884,0.0523385629057884,human,UP
CASQ2,0.0521083213388919,0.0521083213388919,0.0521083213388919,0.0521083213388919,human,UP
FAM127A,0.0494310148060321,0.0494310148060321,0.0494310148060321,0.0494310148060321,human,UP
EIF1AY,0.0488954856991767,0.0488954856991767,0.0488954856991767,0.0488954856991767,human,UP
ATP5B,0.0485902465879917,0.0485902465879917,0.0485902465879917,0.0485902465879917,human,UP
SNORD13,0.0477551557123661,0.0477551557123661,0.0477551557123661,0.0477551557123661,human,UP
TMSB4X,0.0476871728897094,0.0476871728897094,0.0476871728897094,0.0476871728897094,human,UP
TUBA1C,0.0474948808550834,0.0474948808550834,0.0474948808550834,0.0474948808550834,human,UP
DCN,0.0474548451602458,0.0474548451602458,0.0474548451602458,0.0474548451602458,human,UP
NBPF20,0.0474101193249225,0.0474101193249225,0.0474101193249225,0.0474101193249225,human,UP
HLA-G,0.0470998734235763,0.0470998734235763,0.0470998734235763,0.0470998734235763,human,UP
S100A10,0.0469645150005817,0.0469645150005817,0.0469645150005817,0.0469645150005817,human,UP
CKMT2,0.0467561446130275,0.0467561446130275,0.0467561446130275,0.0467561446130275,human,UP
CHP1,0.0465027317404747,0.0465027317404747,0.0465027317404747,0.0465027317404747,human,UP
XIRP1,0.0458573438227176,0.0458573438227176,0.0458573438227176,0.0458573438227176,human,UP
CSRP3,0.0427086129784584,0.0427086129784584,0.0427086129784584,0.0427086129784584,human,UP
GOT1,0.0417377464473247,0.0417377464473247,0.0417377464473247,0.0417377464473247,human,UP
A2M,0.0406522862613201,0.0406522862613201,0.0406522862613201,0.0406522862613201,human,UP
MYBPH,0.0382114686071872,0.0382114686071872,0.0382114686071872,0.0382114686071872,human,UP
HLA-DRA,0.0362055785953998,0.0362055785953998,0.0362055785953998,0.0362055785953998,human,UP
HLA-H,0.0357661880552768,0.0357661880552768,0.0357661880552768,0.0357661880552768,human,UP
HSPB6,0.0353873260319232,0.0353873260319232,0.0353873260319232,0.0353873260319232,human,UP
BTG2,0.034652791917324,0.034652791917324,0.034652791917324,0.034652791917324,human,UP
ACTA2,0.0346374623477458,0.0346374623477458,0.0346374623477458,0.0346374623477458,human,UP
SERPING1,0.0346077270805835,0.0346077270805835,0.0346077270805835,0.0346077270805835,human,UP
LYRM2,0.0342820510268211,0.0342820510268211,0.0342820510268211,0.0342820510268211,human,UP
CHRNA1,0.0340736545622348,0.0340736545622348,0.0340736545622348,0.0340736545622348,human,UP
MYH3,0.0339780114591121,0.0339780114591121,0.0339780114591121,0.0339780114591121,human,UP
SPARC,0.0339537486433982,0.0339537486433982,0.0339537486433982,0.0339537486433982,human,UP
