gene_symbol,logfc_dz:744,mean_logfc,median_logfc,common_experiment,organism,signature_type
COL1A2,0.1062664240598678,0.1062664240598678,0.1062664240598678,0.1062664240598678,human,UP
TIMP1,0.0896582007408142,0.0896582007408142,0.0896582007408142,0.0896582007408142,human,UP
COL5A2,0.0833103507757186,0.0833103507757186,0.0833103507757186,0.0833103507757186,human,UP
CTGF,0.069540835916996,0.069540835916996,0.069540835916996,0.069540835916996,human,UP
HMOX1,0.0687665417790412,0.0687665417790412,0.0687665417790412,0.0687665417790412,human,UP
TMSB10,0.0675167664885521,0.0675167664885521,0.0675167664885521,0.0675167664885521,human,UP
FTL,0.0639790669083595,0.0639790669083595,0.0639790669083595,0.0639790669083595,human,UP
COL1A1,0.050092376768589,0.050092376768589,0.050092376768589,0.050092376768589,human,UP
FN1,0.0485726259648799,0.0485726259648799,0.0485726259648799,0.0485726259648799,human,UP
SAT1,0.0448266863822937,0.0448266863822937,0.0448266863822937,0.0448266863822937,human,UP
PABPC3,0.0419226549565792,0.0419226549565792,0.0419226549565792,0.0419226549565792,human,UP
PCOLCE,0.0389599464833736,0.0389599464833736,0.0389599464833736,0.0389599464833736,human,UP
ARF4,0.0380036234855651,0.0380036234855651,0.0380036234855651,0.0380036234855651,human,UP
SERPINA3,0.0378795005381107,0.0378795005381107,0.0378795005381107,0.0378795005381107,human,UP
FTH1P5,0.0369164012372493,0.0369164012372493,0.0369164012372493,0.0369164012372493,human,UP
IGFBP2,0.0365012548863887,0.0365012548863887,0.0365012548863887,0.0365012548863887,human,UP
MAGED1,0.035763893276453,0.035763893276453,0.035763893276453,0.035763893276453,human,UP
CFHR1,0.0325523614883422,0.0325523614883422,0.0325523614883422,0.0325523614883422,human,UP
COL3A1,0.0322321914136409,0.0322321914136409,0.0322321914136409,0.0322321914136409,human,UP
CTHRC1,0.0321128256618976,0.0321128256618976,0.0321128256618976,0.0321128256618976,human,UP
LOC728825,0.0294766668230295,0.0294766668230295,0.0294766668230295,0.0294766668230295,human,UP
TGFBI,0.0293232128024101,0.0293232128024101,0.0293232128024101,0.0293232128024101,human,UP
RND3,0.0292450916022062,0.0292450916022062,0.0292450916022062,0.0292450916022062,human,UP
ANXA2P2,0.0291054937988519,0.0291054937988519,0.0291054937988519,0.0291054937988519,human,UP
DSP,0.0286983773112297,0.0286983773112297,0.0286983773112297,0.0286983773112297,human,UP
NID2,0.0286970101296901,0.0286970101296901,0.0286970101296901,0.0286970101296901,human,UP
PTN,0.0286835711449384,0.0286835711449384,0.0286835711449384,0.0286835711449384,human,UP
VCAN,0.0286761838942766,0.0286761838942766,0.0286761838942766,0.0286761838942766,human,UP
APOA2,0.0282015316188335,0.0282015316188335,0.0282015316188335,0.0282015316188335,human,UP
F3,0.0279600694775581,0.0279600694775581,0.0279600694775581,0.0279600694775581,human,UP
OGN,0.0277558900415897,0.0277558900415897,0.0277558900415897,0.0277558900415897,human,UP
PENK,0.0276056006550788,0.0276056006550788,0.0276056006550788,0.0276056006550788,human,UP
RLIM,0.0271994806826114,0.0271994806826114,0.0271994806826114,0.0271994806826114,human,UP
SPARC,0.0271115340292453,0.0271115340292453,0.0271115340292453,0.0271115340292453,human,UP
APOD,0.0270779225975275,0.0270779225975275,0.0270779225975275,0.0270779225975275,human,UP
PTGDS,0.0268301349133253,0.0268301349133253,0.0268301349133253,0.0268301349133253,human,UP
MYL12B,0.026640111580491,0.026640111580491,0.026640111580491,0.026640111580491,human,UP
SFRP4,0.026077464222908,0.026077464222908,0.026077464222908,0.026077464222908,human,UP
S100A11,0.026001775637269,0.026001775637269,0.026001775637269,0.026001775637269,human,UP
MT2A,0.0259651839733123,0.0259651839733123,0.0259651839733123,0.0259651839733123,human,UP
THBS2,0.0251613762229681,0.0251613762229681,0.0251613762229681,0.0251613762229681,human,UP
LTBP2,0.0241829063743352,0.0241829063743352,0.0241829063743352,0.0241829063743352,human,UP
VSIG4,0.0241624265909194,0.0241624265909194,0.0241624265909194,0.0241624265909194,human,UP
MAFB,0.0241228658705949,0.0241228658705949,0.0241228658705949,0.0241228658705949,human,UP
MEST,0.023886751383543,0.023886751383543,0.023886751383543,0.023886751383543,human,UP
TNNC2,0.0237849634140729,0.0237849634140729,0.0237849634140729,0.0237849634140729,human,UP
CTSB,0.0235206130892038,0.0235206130892038,0.0235206130892038,0.0235206130892038,human,UP
COL5A1,0.0226023104041814,0.0226023104041814,0.0226023104041814,0.0226023104041814,human,UP
EFNB2,0.0224048215895891,0.0224048215895891,0.0224048215895891,0.0224048215895891,human,UP
OLFML3,0.0223413817584514,0.0223413817584514,0.0223413817584514,0.0223413817584514,human,UP
PRDX4,0.0221881885081529,0.0221881885081529,0.0221881885081529,0.0221881885081529,human,UP
