gene_symbol,logfc_dz:733,mean_logfc,median_logfc,common_experiment,organism,signature_type
MMP12,0.2102347165346145,0.2102347165346145,0.2102347165346145,0.2102347165346145,human,UP
SLC38A11,0.1085557416081428,0.1085557416081428,0.1085557416081428,0.1085557416081428,human,UP
THBS2,0.0682771131396293,0.0682771131396293,0.0682771131396293,0.0682771131396293,human,UP
POSTN,0.045486744493246,0.045486744493246,0.045486744493246,0.045486744493246,human,UP
COL11A1,0.0406955368816852,0.0406955368816852,0.0406955368816852,0.0406955368816852,human,UP
F5,0.0327128618955612,0.0327128618955612,0.0327128618955612,0.0327128618955612,human,UP
POU2AF1,0.0320992022752761,0.0320992022752761,0.0320992022752761,0.0320992022752761,human,UP
SULF1,0.0285558309406042,0.0285558309406042,0.0285558309406042,0.0285558309406042,human,UP
KLK12,0.026235457509756,0.026235457509756,0.026235457509756,0.026235457509756,human,UP
MXRA5,0.0227216184139251,0.0227216184139251,0.0227216184139251,0.0227216184139251,human,UP
LOC100422737,0.0214567277580499,0.0214567277580499,0.0214567277580499,0.0214567277580499,human,UP
ADAMDEC1,0.0209820289164781,0.0209820289164781,0.0209820289164781,0.0209820289164781,human,UP
SPARCL1,-0.3847092688083648,-0.3847092688083648,-0.3847092688083648,-0.3847092688083648,human,DOWN
MRC1,-0.230895847082138,-0.230895847082138,-0.230895847082138,-0.230895847082138,human,DOWN
GGTA1P,-0.2296924293041229,-0.2296924293041229,-0.2296924293041229,-0.2296924293041229,human,DOWN
TEK,-0.2223301976919174,-0.2223301976919174,-0.2223301976919174,-0.2223301976919174,human,DOWN
A2M,-0.1934027522802353,-0.1934027522802353,-0.1934027522802353,-0.1934027522802353,human,DOWN
CH25H,-0.1861265897750854,-0.1861265897750854,-0.1861265897750854,-0.1861265897750854,human,DOWN
EMCN,-0.1802920699119568,-0.1802920699119568,-0.1802920699119568,-0.1802920699119568,human,DOWN
MNDA,-0.1733819097280502,-0.1733819097280502,-0.1733819097280502,-0.1733819097280502,human,DOWN
GPR183,-0.1710936427116394,-0.1710936427116394,-0.1710936427116394,-0.1710936427116394,human,DOWN
FIGF,-0.1472042649984359,-0.1472042649984359,-0.1472042649984359,-0.1472042649984359,human,DOWN
SELE,-0.1377678960561752,-0.1377678960561752,-0.1377678960561752,-0.1377678960561752,human,DOWN
CPB2,-0.1292034089565277,-0.1292034089565277,-0.1292034089565277,-0.1292034089565277,human,DOWN
EGR2,-0.1242973878979682,-0.1242973878979682,-0.1242973878979682,-0.1242973878979682,human,DOWN
ATP1A2,-0.1185056045651435,-0.1185056045651435,-0.1185056045651435,-0.1185056045651435,human,DOWN
C11orf96,-0.1094870343804359,-0.1094870343804359,-0.1094870343804359,-0.1094870343804359,human,DOWN
P2RY14,-0.1080200225114822,-0.1080200225114822,-0.1080200225114822,-0.1080200225114822,human,DOWN
PRG4,-0.1047935262322425,-0.1047935262322425,-0.1047935262322425,-0.1047935262322425,human,DOWN
COL6A6,-0.1010737642645835,-0.1010737642645835,-0.1010737642645835,-0.1010737642645835,human,DOWN
IGJ,-0.0936705917119979,-0.0936705917119979,-0.0936705917119979,-0.0936705917119979,human,DOWN
CD2,-0.0932281911373138,-0.0932281911373138,-0.0932281911373138,-0.0932281911373138,human,DOWN
CYP4B1,-0.092990756034851,-0.092990756034851,-0.092990756034851,-0.092990756034851,human,DOWN
DEFA3,-0.0902231186628341,-0.0902231186628341,-0.0902231186628341,-0.0902231186628341,human,DOWN
CD69,-0.088442362844944,-0.088442362844944,-0.088442362844944,-0.088442362844944,human,DOWN
PROK2,-0.0876621454954147,-0.0876621454954147,-0.0876621454954147,-0.0876621454954147,human,DOWN
PLEK,-0.0784094184637069,-0.0784094184637069,-0.0784094184637069,-0.0784094184637069,human,DOWN
SELP,-0.0781369879841804,-0.0781369879841804,-0.0781369879841804,-0.0781369879841804,human,DOWN
NLRC4,-0.0764712989330291,-0.0764712989330291,-0.0764712989330291,-0.0764712989330291,human,DOWN
IL33,-0.0751316472887992,-0.0751316472887992,-0.0751316472887992,-0.0751316472887992,human,DOWN
SPON1,-0.0738692507147789,-0.0738692507147789,-0.0738692507147789,-0.0738692507147789,human,DOWN
CHIA,-0.0719056501984596,-0.0719056501984596,-0.0719056501984596,-0.0719056501984596,human,DOWN
GZMA,-0.0716419443488121,-0.0716419443488121,-0.0716419443488121,-0.0716419443488121,human,DOWN
TMEM204,-0.0713807195425033,-0.0713807195425033,-0.0713807195425033,-0.0713807195425033,human,DOWN
SLC6A4,-0.070822075009346,-0.070822075009346,-0.070822075009346,-0.070822075009346,human,DOWN
CX3CR1,-0.0687162429094314,-0.0687162429094314,-0.0687162429094314,-0.0687162429094314,human,DOWN
OLR1,-0.0679669305682182,-0.0679669305682182,-0.0679669305682182,-0.0679669305682182,human,DOWN
OGN,-0.0657173171639442,-0.0657173171639442,-0.0657173171639442,-0.0657173171639442,human,DOWN
AQP9,-0.0641440004110336,-0.0641440004110336,-0.0641440004110336,-0.0641440004110336,human,DOWN
CD163,-0.0630967244505882,-0.0630967244505882,-0.0630967244505882,-0.0630967244505882,human,DOWN
AOC3,-0.0562714189291,-0.0562714189291,-0.0562714189291,-0.0562714189291,human,DOWN
KLRB1,-0.0552235469222068,-0.0552235469222068,-0.0552235469222068,-0.0552235469222068,human,DOWN
HBB,-0.0548494420945644,-0.0548494420945644,-0.0548494420945644,-0.0548494420945644,human,DOWN
CCL13,-0.0543987527489662,-0.0543987527489662,-0.0543987527489662,-0.0543987527489662,human,DOWN
C11orf88,-0.0535248853266239,-0.0535248853266239,-0.0535248853266239,-0.0535248853266239,human,DOWN
C1orf186,-0.053362313657999,-0.053362313657999,-0.053362313657999,-0.053362313657999,human,DOWN
MSR1,-0.0524190180003643,-0.0524190180003643,-0.0524190180003643,-0.0524190180003643,human,DOWN
HDC,-0.0510641373693943,-0.0510641373693943,-0.0510641373693943,-0.0510641373693943,human,DOWN
ACP5,-0.0491415560245513,-0.0491415560245513,-0.0491415560245513,-0.0491415560245513,human,DOWN
AQP4,-0.0477306097745895,-0.0477306097745895,-0.0477306097745895,-0.0477306097745895,human,DOWN
ZNF521,-0.0466605648398399,-0.0466605648398399,-0.0466605648398399,-0.0466605648398399,human,DOWN
ITGA8,-0.0463265590369701,-0.0463265590369701,-0.0463265590369701,-0.0463265590369701,human,DOWN
C20orf85,-0.04523516446352,-0.04523516446352,-0.04523516446352,-0.04523516446352,human,DOWN
CCL2,-0.0444780699908733,-0.0444780699908733,-0.0444780699908733,-0.0444780699908733,human,DOWN
TRAF3IP3,-0.0427198633551597,-0.0427198633551597,-0.0427198633551597,-0.0427198633551597,human,DOWN
STEAP4,-0.0425417050719261,-0.0425417050719261,-0.0425417050719261,-0.0425417050719261,human,DOWN
GPR171,-0.0424440801143646,-0.0424440801143646,-0.0424440801143646,-0.0424440801143646,human,DOWN
BTK,-0.0422602072358131,-0.0422602072358131,-0.0422602072358131,-0.0422602072358131,human,DOWN
