gene_symbol,logfc_dz:734,logfc_dz:441,mean_logfc,median_logfc,common_experiment,organism,signature_type
GAPDH,,0.2337612956762313,0.2337612956762313,0.2337612956762313,,human,UP
POU2AF1,0.1898635476827621,,0.1898635476827621,0.1898635476827621,0.1898635476827621,human,UP
CXCL13,0.1404210925102234,,0.1404210925102234,0.1404210925102234,0.1404210925102234,human,UP
CLCA2,0.1257331520318985,,0.1257331520318985,0.1257331520318985,0.1257331520318985,human,UP
ADH7,0.1240184232592582,,0.1240184232592582,0.1240184232592582,0.1240184232592582,human,UP
SFN,,0.1190833300352096,0.1190833300352096,0.1190833300352096,,human,UP
RPLP0,,0.1166945323348045,0.1166945323348045,0.1166945323348045,,human,UP
SERPINB3,0.11627197265625,,0.11627197265625,0.11627197265625,0.11627197265625,human,UP
AKR1C2,,0.1099924221634864,0.1099924221634864,0.1099924221634864,,human,UP
MIF,,0.1067667305469513,0.1067667305469513,0.1067667305469513,,human,UP
GIMAP4,0.0939836204051971,,0.0939836204051971,0.0939836204051971,0.0939836204051971,human,UP
KRT17,,0.0902726799249649,0.0902726799249649,0.0902726799249649,,human,UP
TNFRSF17,0.0895815044641494,,0.0895815044641494,0.0895815044641494,0.0895815044641494,human,UP
SERPINB4,0.0810968056321144,,0.0810968056321144,0.0810968056321144,0.0810968056321144,human,UP
PLEKHS1,0.0804589763283729,,0.0804589763283729,0.0804589763283729,0.0804589763283729,human,UP
RPS18,,0.0790601596236229,0.0790601596236229,0.0790601596236229,,human,UP
IGHV4-31,,0.0755657851696014,0.0755657851696014,0.0755657851696014,,human,UP
ALDOA,,0.0752317234873771,0.0752317234873771,0.0752317234873771,,human,UP
HIST1H1A,0.0747503191232681,,0.0747503191232681,0.0747503191232681,0.0747503191232681,human,UP
CXCL9,0.0710292384028434,,0.0710292384028434,0.0710292384028434,0.0710292384028434,human,UP
ADAMDEC1,0.0690395236015319,,0.0690395236015319,0.0690395236015319,0.0690395236015319,human,UP
MXRA5,0.0687256827950477,,0.0687256827950477,0.0687256827950477,0.0687256827950477,human,UP
TUBA1C,,0.0679933354258537,0.0679933354258537,0.0679933354258537,,human,UP
POSTN,0.0672762542963028,,0.0672762542963028,0.0672762542963028,0.0672762542963028,human,UP
DAPL1,0.0667007640004158,,0.0667007640004158,0.0667007640004158,0.0667007640004158,human,UP
HSPB1,,0.0643498972058296,0.0643498972058296,0.0643498972058296,,human,UP
MMP12,0.114246979355812,0.0133111858740448,0.0637790826149284,0.0637790826149284,0.114246979355812,human,UP
KRT5,,0.0633369907736778,0.0633369907736778,0.0633369907736778,,human,UP
RPS10,,0.0620732828974723,0.0620732828974723,0.0620732828974723,,human,UP
KRT6A,,0.0617901720106601,0.0617901720106601,0.0617901720106601,,human,UP
KRT19,,0.061125710606575,0.061125710606575,0.061125710606575,,human,UP
CYAT1,,0.0609377697110176,0.0609377697110176,0.0609377697110176,,human,UP
C12orf54,0.0601657144725322,,0.0601657144725322,0.0601657144725322,0.0601657144725322,human,UP
KRT6B,0.058092076331377,0.0589290969073772,0.0585105866193771,0.0585105866193771,0.058092076331377,human,UP
DSP,,0.0564871355891227,0.0564871355891227,0.0564871355891227,,human,UP
TUBB,,0.0560002326965332,0.0560002326965332,0.0560002326965332,,human,UP
SERPINB13,0.0541755110025405,,0.0541755110025405,0.0541755110025405,0.0541755110025405,human,UP
TIMP1,,0.0541120171546936,0.0541120171546936,0.0541120171546936,,human,UP
PKM,,0.0539208352565765,0.0539208352565765,0.0539208352565765,,human,UP
RPL39,,0.0536807253956794,0.0536807253956794,0.0536807253956794,,human,UP
PRDX1,,0.0533079393208026,0.0533079393208026,0.0533079393208026,,human,UP
RPLP1,,0.0521061569452285,0.0521061569452285,0.0521061569452285,,human,UP
AKR1C1,,0.0513852946460247,0.0513852946460247,0.0513852946460247,,human,UP
SPP1,,0.0510956346988678,0.0510956346988678,0.0510956346988678,,human,UP
RPS5,,0.0510514266788959,0.0510514266788959,0.0510514266788959,,human,UP
CD48,0.0509642213582992,,0.0509642213582992,0.0509642213582992,0.0509642213582992,human,UP
