gene_symbol,logfc_dz:116,logfc_dz:859,logfc_dz:251,mean_logfc,median_logfc,common_experiment,organism,signature_type
SEZ6,0.2933027744293213,,,0.2933027744293213,0.2933027744293213,0.2933027744293213,human,UP
TREM2,0.1489822417497635,,,0.1489822417497635,0.1489822417497635,0.1489822417497635,human,UP
ADCYAP1R1,0.1252604871988296,,,0.1252604871988296,0.1252604871988296,0.1252604871988296,human,UP
OLIG2,0.1108725741505622,,,0.1108725741505622,0.1108725741505622,0.1108725741505622,human,UP
PTPRZ1,,0.1574882566928863,0.0638432726264,0.1106657646596431,0.1106657646596431,,human,UP
GRIA2,0.1102062836289405,,,0.1102062836289405,0.1102062836289405,0.1102062836289405,human,UP
BCAN,0.0950924381613731,,,0.0950924381613731,0.0950924381613731,0.0950924381613731,human,UP
COX3,,,0.0939824879169464,0.0939824879169464,0.0939824879169464,,human,UP
PMP2,,,0.0865576267242431,0.0865576267242431,0.0865576267242431,,human,UP
ALDOC,,,0.0725821405649185,0.0725821405649185,0.0725821405649185,,human,UP
RPLP0,,0.1240559816360473,0.0184918418526649,0.0712739117443561,0.0712739117443561,,human,UP
RPL6,,0.0676015242934227,,0.0676015242934227,0.0676015242934227,,human,UP
SLC4A4,0.0671913549304008,,,0.0671913549304008,0.0671913549304008,0.0671913549304008,human,UP
TSPAN13,,0.0658344700932502,,0.0658344700932502,0.0658344700932502,,human,UP
CDK4,,,0.0651336014270782,0.0651336014270782,0.0651336014270782,,human,UP
EEF1G,,0.0641575381159782,,0.0641575381159782,0.0641575381159782,,human,UP
DDIT4,,,0.0624623149633407,0.0624623149633407,0.0624623149633407,,human,UP
HIST1H4C,,0.0583408325910568,,0.0583408325910568,0.0583408325910568,,human,UP
RPL8,,0.0581793896853923,,0.0581793896853923,0.0581793896853923,,human,UP
DBI,,0.0538680404424667,0.0621337927877903,0.0580009166151285,0.0580009166151285,,human,UP
CPE,,,0.0571413561701774,0.0571413561701774,0.0571413561701774,,human,UP
RPS5,,0.0553254522383213,,0.0553254522383213,0.0553254522383213,,human,UP
SNX3,,0.0551972351968288,,0.0551972351968288,0.0551972351968288,,human,UP
RPSA,,0.073711410164833,0.0361249968409538,0.0549182035028934,0.0549182035028934,,human,UP
CDK2AP1,,0.0342495068907737,0.0753218382596969,0.0547856725752353,0.0547856725752353,,human,UP
NCAN,0.0700432360172271,0.0303451009094715,0.0619687810540199,0.0541190393269062,0.0619687810540199,0.0700432360172271,human,UP
HEY1,0.0146851297467947,0.0680806413292884,0.0783926099538803,0.0537194603433211,0.0680806413292884,0.0146851297467947,human,UP
TYROBP,0.0522004552185535,,,0.0522004552185535,0.0522004552185535,0.0522004552185535,human,UP
SPARC,0.0155154047533869,0.0371063835918903,0.0988678112626075,0.0504965332026282,0.0371063835918903,0.0155154047533869,human,UP
RPLP0P6,,0.0772653594613075,0.0234726481139659,0.0503690037876367,0.0503690037876367,,human,UP
RPS4X,,0.0500869750976562,,0.0500869750976562,0.0500869750976562,,human,UP
CSPG5,0.0497036576271057,,,0.0497036576271057,0.0497036576271057,0.0497036576271057,human,UP
SLC25A18,0.0495755113661289,,,0.0495755113661289,0.0495755113661289,0.0495755113661289,human,UP
FXYD6,,0.0485828481614589,,0.0485828481614589,0.0485828481614589,,human,UP
RPL41,,0.0477860085666179,,0.0477860085666179,0.0477860085666179,,human,UP
LINC00461,,0.0554197095334529,0.039627056568861,0.047523383051157,0.047523383051157,,human,UP
MALAT1,,,0.0472875498235225,0.0472875498235225,0.0472875498235225,,human,UP
CD99,,,0.0472281984984874,0.0472281984984874,0.0472281984984874,,human,UP
LOC728026,,,0.0465390123426914,0.0465390123426914,0.0465390123426914,,human,UP
SCRN1,,,0.0461832135915756,0.0461832135915756,0.0461832135915756,,human,UP
HIF1A,,0.0509886294603347,0.0397233553230762,0.0453559923917055,0.0453559923917055,,human,UP
RPL34,,,0.0450119525194168,0.0450119525194168,0.0450119525194168,,human,UP
C1orf61,0.0629950910806655,,0.0254085902124643,0.0442018406465649,0.0442018406465649,0.0629950910806655,human,UP
RPS14P3,,,0.0441479831933975,0.0441479831933975,0.0441479831933975,,human,UP
RGCC,0.0432016626000404,,,0.0432016626000404,0.0432016626000404,0.0432016626000404,human,UP
TUBB2B,,0.0304897427558898,0.0558703690767288,0.0431800559163093,0.0431800559163093,,human,UP
RPL27,,0.0385379195213317,0.0451572276651859,0.0418475735932588,0.0418475735932588,,human,UP
LHFPL3,,0.0555093474686145,0.0275611672550439,0.0415352573618292,0.0415352573618292,,human,UP
RPL39,,0.0414838306605815,,0.0414838306605815,0.0414838306605815,,human,UP
FAM213A,,,0.0414271652698516,0.0414271652698516,0.0414271652698516,,human,UP
RPL12,,0.0611282065510749,0.021629761904478,0.0413789842277765,0.0413789842277765,,human,UP
NDUFA4,,,0.0412821471691131,0.0412821471691131,0.0412821471691131,,human,UP
SRI,,0.0362466871738433,0.0452239401638507,0.040735313668847,0.040735313668847,,human,UP
SCRG1,0.0667438805103302,0.0197418108582496,0.035082884132862,0.0405228585004806,0.035082884132862,0.0667438805103302,human,UP
EEF2,,0.0508058741688728,0.0289573073387146,0.0398815907537937,0.0398815907537937,,human,UP
MAGED1,,0.0397790372371673,,0.0397790372371673,0.0397790372371673,,human,UP
CD24,,0.0394224599003791,,0.0394224599003791,0.0394224599003791,,human,UP
ATP1A2,,-0.0216832887381315,0.1004846021533012,0.0394006567075848,0.0394006567075848,,human,UP
GAPDH,,0.0325321368873119,0.0462431535124778,0.0393876451998949,0.0393876451998949,,human,UP
BAALC,0.0384967923164367,,0.0402075946331024,0.0393521934747695,0.0393521934747695,0.0384967923164367,human,UP
PPAP2B,,,0.0390764400362968,0.0390764400362968,0.0390764400362968,,human,UP
RGMA,0.0386312045156955,,,0.0386312045156955,0.0386312045156955,0.0386312045156955,human,UP
GALNT13,0.0384013541042804,,,0.0384013541042804,0.0384013541042804,0.0384013541042804,human,UP
PABPC3,,0.0382937565445899,,0.0382937565445899,0.0382937565445899,,human,UP
SERPINA3,,,0.0380750298500061,0.0380750298500061,0.0380750298500061,,human,UP
RAB31,0.0077019059099256,0.0541205741465091,0.0512339100241661,0.0376854633602003,0.0512339100241661,0.0077019059099256,human,UP
HSPA8,,0.0261082220822572,0.048211183398962,0.0371597027406096,0.0371597027406096,,human,UP
DCLK2,0.0369626954197883,,,0.0369626954197883,0.0369626954197883,0.0369626954197883,human,UP
SPON1,0.0369202457368373,,,0.0369202457368373,0.0369202457368373,0.0369202457368373,human,UP
IFNG,,,0.0366325303912162,0.0366325303912162,0.0366325303912162,,human,UP
EIF3E,,0.0539438687264919,0.0190382506698369,0.0364910596981644,0.0364910596981644,,human,UP
PTTG1IP,,,0.0363018810749053,0.0363018810749053,0.0363018810749053,,human,UP
RPS3,,0.0481109246611595,0.024466136470437,0.0362885305657982,0.0362885305657982,,human,UP
SOX9,,,0.036048661917448,0.036048661917448,0.036048661917448,,human,UP
SH3BGR,0.0359060727059841,,,0.0359060727059841,0.0359060727059841,0.0359060727059841,human,UP
HLA-A,,0.0359033793210983,,0.0359033793210983,0.0359033793210983,,human,UP
DYNLT1,,0.0408627726137638,0.0308894291520118,0.0358761008828878,0.0358761008828878,,human,UP
SLC35F1,,0.035759687423706,,0.035759687423706,0.035759687423706,,human,UP
THSD7A,0.0349126793444156,,,0.0349126793444156,0.0349126793444156,0.0349126793444156,human,UP
HES6,,0.031882144510746,0.0378009155392646,0.0348415300250053,0.0348415300250053,,human,UP
RAB13,,0.0465231873095035,0.0229515545070171,0.0347373709082603,0.0347373709082603,,human,UP
IGFBP2,,,0.0346924923360347,0.0346924923360347,0.0346924923360347,,human,UP
LDHB,,0.0398887619376182,0.0292408429086208,0.0345648024231195,0.0345648024231195,,human,UP
SELL,,,0.0345474407076835,0.0345474407076835,0.0345474407076835,,human,UP
RPL35,,0.0292715709656476,0.0397782996296882,0.0345249352976679,0.0345249352976679,,human,UP
DDX24,,,0.0341246761381626,0.0341246761381626,0.0341246761381626,,human,UP
