gene_symbol,logfc_dz:163,mean_logfc,median_logfc,common_experiment,organism,signature_type
CLC,0.2848598062992096,0.2848598062992096,0.2848598062992096,0.2848598062992096,human,UP
HLA-DQA2,0.2802852094173431,0.2802852094173431,0.2802852094173431,0.2802852094173431,human,UP
FCER1A,0.2494807988405227,0.2494807988405227,0.2494807988405227,0.2494807988405227,human,UP
HLA-DPB1,0.1919259577989578,0.1919259577989578,0.1919259577989578,0.1919259577989578,human,UP
IGHA2,0.1559134572744369,0.1559134572744369,0.1559134572744369,0.1559134572744369,human,UP
RPL6,0.1479948461055755,0.1479948461055755,0.1479948461055755,0.1479948461055755,human,UP
C3AR1,0.1341993808746338,0.1341993808746338,0.1341993808746338,0.1341993808746338,human,UP
MS4A3,0.1103808730840683,0.1103808730840683,0.1103808730840683,0.1103808730840683,human,UP
ALOX5AP,0.1019968539476394,0.1019968539476394,0.1019968539476394,0.1019968539476394,human,UP
CPA3,0.0971365645527839,0.0971365645527839,0.0971365645527839,0.0971365645527839,human,UP
LIPA,0.0954290777444839,0.0954290777444839,0.0954290777444839,0.0954290777444839,human,UP
ANXA2,0.0939569622278213,0.0939569622278213,0.0939569622278213,0.0939569622278213,human,UP
MBP,0.0936948731541633,0.0936948731541633,0.0936948731541633,0.0936948731541633,human,UP
HSPA8,0.0924760326743125,0.0924760326743125,0.0924760326743125,0.0924760326743125,human,UP
RPL14,0.0890253558754921,0.0890253558754921,0.0890253558754921,0.0890253558754921,human,UP
CSF2RB,0.0866002589464187,0.0866002589464187,0.0866002589464187,0.0866002589464187,human,UP
VCAN,0.0842334851622581,0.0842334851622581,0.0842334851622581,0.0842334851622581,human,UP
CYAT1,0.0797856077551841,0.0797856077551841,0.0797856077551841,0.0797856077551841,human,UP
EEF1B2,0.0778966695070266,0.0778966695070266,0.0778966695070266,0.0778966695070266,human,UP
VNN2,0.0770487710833549,0.0770487710833549,0.0770487710833549,0.0770487710833549,human,UP
RPL24,0.0764816105365753,0.0764816105365753,0.0764816105365753,0.0764816105365753,human,UP
KARS,0.0752534940838813,0.0752534940838813,0.0752534940838813,0.0752534940838813,human,UP
GLTSCR2,0.0693964660167694,0.0693964660167694,0.0693964660167694,0.0693964660167694,human,UP
LYZ,0.0686632841825485,0.0686632841825485,0.0686632841825485,0.0686632841825485,human,UP
TCN1,0.0682961121201515,0.0682961121201515,0.0682961121201515,0.0682961121201515,human,UP
RPS27A,0.0681402683258056,0.0681402683258056,0.0681402683258056,0.0681402683258056,human,UP
HLA-DMB,0.0679638534784317,0.0679638534784317,0.0679638534784317,0.0679638534784317,human,UP
RAB31,0.0670728236436843,0.0670728236436843,0.0670728236436843,0.0670728236436843,human,UP
CFD,0.0669146850705146,0.0669146850705146,0.0669146850705146,0.0669146850705146,human,UP
IGLC7,0.0663095340132713,0.0663095340132713,0.0663095340132713,0.0663095340132713,human,UP
HLA-J,0.0650708377361297,0.0650708377361297,0.0650708377361297,0.0650708377361297,human,UP
RPL5,0.0604243054986,0.0604243054986,0.0604243054986,0.0604243054986,human,UP
PLEK,0.0581838376820087,0.0581838376820087,0.0581838376820087,0.0581838376820087,human,UP
TMEM176B,0.0572133772075176,0.0572133772075176,0.0572133772075176,0.0572133772075176,human,UP
ADD3,0.0542294792830944,0.0542294792830944,0.0542294792830944,0.0542294792830944,human,UP
