gene_symbol,logfc_dz:708,logfc_dz:12,mean_logfc,median_logfc,common_experiment,organism,signature_type
DUSP1,,0.2515576183795929,0.2515576183795929,0.2515576183795929,0.2515576183795929,human,UP
FOS,,0.2047153115272522,0.2047153115272522,0.2047153115272522,0.2047153115272522,human,UP
DEFA1B,0.0704580917954444,0.3060345947742462,0.1882463432848453,0.1882463432848453,0.3060345947742462,human,UP
GBP5,0.1854825913906097,,0.1854825913906097,0.1854825913906097,,human,UP
HLA-DRB4,0.1786550134420395,,0.1786550134420395,0.1786550134420395,,human,UP
FOSB,,0.1693111807107925,0.1693111807107925,0.1693111807107925,0.1693111807107925,human,UP
SLC2A3,,0.160783052444458,0.160783052444458,0.160783052444458,0.160783052444458,human,UP
HLA-DRA,0.1595345139503479,,0.1595345139503479,0.1595345139503479,,human,UP
TNFAIP3,,0.1564965099096298,0.1564965099096298,0.1564965099096298,0.1564965099096298,human,UP
HBB,,0.1276603043079376,0.1276603043079376,0.1276603043079376,0.1276603043079376,human,UP
VMP1,0.1185186654329299,,0.1185186654329299,0.1185186654329299,,human,UP
GYPC,0.1171814352273941,,0.1171814352273941,0.1171814352273941,,human,UP
JUND,,0.1168828308582305,0.1168828308582305,0.1168828308582305,0.1168828308582305,human,UP
BTG2,,0.1117807999253273,0.1117807999253273,0.1117807999253273,0.1117807999253273,human,UP
JUNB,,0.109827771782875,0.109827771782875,0.109827771782875,0.109827771782875,human,UP
PSME2,0.1080352887511253,,0.1080352887511253,0.1080352887511253,,human,UP
ZFP36,0.0150311654433608,0.194371297955513,0.1047012316994369,0.1047012316994369,0.194371297955513,human,UP
ZFP36L2,,0.1018890067934989,0.1018890067934989,0.1018890067934989,0.1018890067934989,human,UP
UBE2L6,0.0996411144733429,,0.0996411144733429,0.0996411144733429,,human,UP
FCGR1C,0.0894932821393013,,0.0894932821393013,0.0894932821393013,,human,UP
IER2,,0.08865687251091,0.08865687251091,0.08865687251091,0.08865687251091,human,UP
HLA-B,0.0813381597399711,,0.0813381597399711,0.0813381597399711,,human,UP
GBP2,0.080518364906311,,0.080518364906311,0.080518364906311,,human,UP
CXCR4,-0.0264735110104084,0.1815621554851532,0.0775443222373724,0.0775443222373724,0.1815621554851532,human,UP
FCGR1B,0.0772555097937583,,0.0772555097937583,0.0772555097937583,,human,UP
DNAJB1,,0.076200895011425,0.076200895011425,0.076200895011425,0.076200895011425,human,UP
HLA-DRB1,0.0759428367018699,,0.0759428367018699,0.0759428367018699,,human,UP
NFKBIA,,0.0750289112329483,0.0750289112329483,0.0750289112329483,0.0750289112329483,human,UP
MALAT1,0.0701865032315254,,0.0701865032315254,0.0701865032315254,,human,UP
LTA4H,0.070012979209423,,0.070012979209423,0.070012979209423,,human,UP
FCN1,0.0638155117630958,,0.0638155117630958,0.0638155117630958,,human,UP
KLF6,,0.0632242411375045,0.0632242411375045,0.0632242411375045,0.0632242411375045,human,UP
SIK1,,0.0629040822386741,0.0629040822386741,0.0629040822386741,0.0629040822386741,human,UP
AZU1,,0.0627799928188324,0.0627799928188324,0.0627799928188324,0.0627799928188324,human,UP
TSC22D3,,0.0614717155694961,0.0614717155694961,0.0614717155694961,0.0614717155694961,human,UP
FTH1P5,0.015887189656496,0.1068540960550308,0.0613706428557634,0.0613706428557634,0.1068540960550308,human,UP
MIR21,0.0599896237254142,,0.0599896237254142,0.0599896237254142,,human,UP
ELANE,,0.0599749535322189,0.0599749535322189,0.0599749535322189,0.0599749535322189,human,UP
DUSP2,,0.0597386956214904,0.0597386956214904,0.0597386956214904,0.0597386956214904,human,UP
RPS14P3,0.0596957430243492,,0.0596957430243492,0.0596957430243492,,human,UP
RPL39,0.0592911727726459,,0.0592911727726459,0.0592911727726459,,human,UP
IFI30,0.0577552802860736,,0.0577552802860736,0.0577552802860736,,human,UP
HLA-DPB1,0.0569274500012397,,0.0569274500012397,0.0569274500012397,,human,UP
CARD16,0.0553630217909812,,0.0553630217909812,0.0553630217909812,,human,UP
CPVL,0.0540519170463085,,0.0540519170463085,0.0540519170463085,,human,UP
PFDN5,0.0535614006221294,,0.0535614006221294,0.0535614006221294,,human,UP
HLA-DRB5,0.1117887794971466,-0.0069168671034276,0.0524359561968594,0.0524359561968594,-0.0069168671034276,human,UP
LTB,,0.0523743107914924,0.0523743107914924,0.0523743107914924,0.0523743107914924,human,UP
STAT1,0.0501698851585388,,0.0501698851585388,0.0501698851585388,,human,UP
RNF149,0.0494596324861049,,0.0494596324861049,0.0494596324861049,,human,UP
S100A12,0.0492960736155509,,0.0492960736155509,0.0492960736155509,,human,UP
HSPA6,0.0491920933127403,,0.0491920933127403,0.0491920933127403,,human,UP
GMFG,0.0485603921115398,,0.0485603921115398,0.0485603921115398,,human,UP
LMO2,0.0479104332625865,,0.0479104332625865,0.0479104332625865,,human,UP
KCNJ2,0.0472122989594936,,0.0472122989594936,0.0472122989594936,,human,UP
HBA2,0.0184949357062578,0.0756672397255897,0.0470810877159237,0.0470810877159237,0.0756672397255897,human,UP
PPP1R15A,,0.0470645017921924,0.0470645017921924,0.0470645017921924,0.0470645017921924,human,UP
FGL2,0.0464480780065059,,0.0464480780065059,0.0464480780065059,,human,UP
TUBB2A,0.086705632507801,0.005877872928977,0.046291752718389,0.046291752718389,0.005877872928977,human,UP
CSTA,0.0458373427391052,,0.0458373427391052,0.0458373427391052,,human,UP
VAMP2,,0.0450272671878337,0.0450272671878337,0.0450272671878337,0.0450272671878337,human,UP
YBX1,0.0814268216490745,0.0085217291489243,0.0449742753989994,0.0449742753989994,0.0085217291489243,human,UP
GUK1,0.0449017472565174,,0.0449017472565174,0.0449017472565174,,human,UP
PARP14,0.0440997518599033,,0.0440997518599033,0.0440997518599033,,human,UP
