gene_symbol,logfc_dz:58,mean_logfc,median_logfc,common_experiment,organism,signature_type
TMSB10,0.1734347492456436,0.1734347492456436,0.1734347492456436,0.1734347492456436,human,UP
COX2,0.0875841155648231,0.0875841155648231,0.0875841155648231,0.0875841155648231,human,UP
YWHAG,0.0857896283268928,0.0857896283268928,0.0857896283268928,0.0857896283268928,human,UP
HIST1H2AC,0.0825666263699531,0.0825666263699531,0.0825666263699531,0.0825666263699531,human,UP
THBS2,0.0772991850972175,0.0772991850972175,0.0772991850972175,0.0772991850972175,human,UP
RPS18,0.0755777060985565,0.0755777060985565,0.0755777060985565,0.0755777060985565,human,UP
RCC2,0.0754459053277969,0.0754459053277969,0.0754459053277969,0.0754459053277969,human,UP
FTL,0.0741367936134338,0.0741367936134338,0.0741367936134338,0.0741367936134338,human,UP
IGHV4-31,0.0737439766526222,0.0737439766526222,0.0737439766526222,0.0737439766526222,human,UP
DEK,0.0721509605646133,0.0721509605646133,0.0721509605646133,0.0721509605646133,human,UP
EPR1,0.0705840215086937,0.0705840215086937,0.0705840215086937,0.0705840215086937,human,UP
ADAR,0.0693976506590843,0.0693976506590843,0.0693976506590843,0.0693976506590843,human,UP
DCAF6,0.0693393647670745,0.0693393647670745,0.0693393647670745,0.0693393647670745,human,UP
CDK2AP1,0.0688072517514228,0.0688072517514228,0.0688072517514228,0.0688072517514228,human,UP
TMSB4XP8,0.0686708614230156,0.0686708614230156,0.0686708614230156,0.0686708614230156,human,UP
RPL8,0.067349649965763,0.067349649965763,0.067349649965763,0.067349649965763,human,UP
TUBA1C,0.0673115998506546,0.0673115998506546,0.0673115998506546,0.0673115998506546,human,UP
PSMB4,0.0645365342497825,0.0645365342497825,0.0645365342497825,0.0645365342497825,human,UP
HLA-A,0.0627980902791023,0.0627980902791023,0.0627980902791023,0.0627980902791023,human,UP
LOC100505497,0.0625383704900741,0.0625383704900741,0.0625383704900741,0.0625383704900741,human,UP
ND2,0.0623558349907398,0.0623558349907398,0.0623558349907398,0.0623558349907398,human,UP
COX1,0.0618272870779037,0.0618272870779037,0.0618272870779037,0.0618272870779037,human,UP
CEP55,0.0605230070650577,0.0605230070650577,0.0605230070650577,0.0605230070650577,human,UP
RPS10,0.0591048561036586,0.0591048561036586,0.0591048561036586,0.0591048561036586,human,UP
MXRA5,0.0552323162555694,0.0552323162555694,0.0552323162555694,0.0552323162555694,human,UP
SNHG5,0.0529449172317981,0.0529449172317981,0.0529449172317981,0.0529449172317981,human,UP
TUBB,0.052445538341999,0.052445538341999,0.052445538341999,0.052445538341999,human,UP
RPL10,0.052223976701498,0.052223976701498,0.052223976701498,0.052223976701498,human,UP
RPL39,0.0516540519893169,0.0516540519893169,0.0516540519893169,0.0516540519893169,human,UP
MUC16,0.0502520576119422,0.0502520576119422,0.0502520576119422,0.0502520576119422,human,UP
COX7A2L,0.0498643964529037,0.0498643964529037,0.0498643964529037,0.0498643964529037,human,UP
UBA52,0.0494909957051277,0.0494909957051277,0.0494909957051277,0.0494909957051277,human,UP
LUM,0.0492037199437618,0.0492037199437618,0.0492037199437618,0.0492037199437618,human,UP
RPL27,0.0491263084113597,0.0491263084113597,0.0491263084113597,0.0491263084113597,human,UP
UBE2E2,0.0474454760551452,0.0474454760551452,0.0474454760551452,0.0474454760551452,human,UP
NDRG1,0.0466608703136444,0.0466608703136444,0.0466608703136444,0.0466608703136444,human,UP
RPL30,0.0452626198530197,0.0452626198530197,0.0452626198530197,0.0452626198530197,human,UP
ZWINT,0.0450288169085979,0.0450288169085979,0.0450288169085979,0.0450288169085979,human,UP
CCL8,0.0448450930416584,0.0448450930416584,0.0448450930416584,0.0448450930416584,human,UP
ACTB,0.0448424592614173,0.0448424592614173,0.0448424592614173,0.0448424592614173,human,UP
SDCBP,0.0443376004695892,0.0443376004695892,0.0443376004695892,0.0443376004695892,human,UP
S100A4,0.0442787036299705,0.0442787036299705,0.0442787036299705,0.0442787036299705,human,UP
COX8A,0.0442561618983745,0.0442561618983745,0.0442561618983745,0.0442561618983745,human,UP
MAL2,0.0437867827713489,0.0437867827713489,0.0437867827713489,0.0437867827713489,human,UP
FOXQ1,0.0435952059924602,0.0435952059924602,0.0435952059924602,0.0435952059924602,human,UP
IRF2BPL,0.043438296765089,0.043438296765089,0.043438296765089,0.043438296765089,human,UP
C7,0.0420868881046772,0.0420868881046772,0.0420868881046772,0.0420868881046772,human,UP
LOC100508591,0.0419794619083404,0.0419794619083404,0.0419794619083404,0.0419794619083404,human,UP
C6orf48,0.0418658405542373,0.0418658405542373,0.0418658405542373,0.0418658405542373,human,UP
FKBP9,0.0415233373641967,0.0415233373641967,0.0415233373641967,0.0415233373641967,human,UP
SUMF1,0.0411579720675945,0.0411579720675945,0.0411579720675945,0.0411579720675945,human,UP
NPC2,0.0410973727703094,0.0410973727703094,0.0410973727703094,0.0410973727703094,human,UP
NDUFB5,0.041030216962099,0.041030216962099,0.041030216962099,0.041030216962099,human,UP
CTHRC1,0.0409574545919895,0.0409574545919895,0.0409574545919895,0.0409574545919895,human,UP
LOC100507328,0.0408146902918815,0.0408146902918815,0.0408146902918815,0.0408146902918815,human,UP
LOC728026,0.0401845760643482,0.0401845760643482,0.0401845760643482,0.0401845760643482,human,UP
NUP107,0.0401466339826583,0.0401466339826583,0.0401466339826583,0.0401466339826583,human,UP
COX6C,0.0396046712994575,0.0396046712994575,0.0396046712994575,0.0396046712994575,human,UP
SPARC,0.0393442660570144,0.0393442660570144,0.0393442660570144,0.0393442660570144,human,UP
RACGAP1,0.039249163120985,0.039249163120985,0.039249163120985,0.039249163120985,human,UP
RPS21,0.0389321371912956,0.0389321371912956,0.0389321371912956,0.0389321371912956,human,UP
PTDSS1,0.0387078858911991,0.0387078858911991,0.0387078858911991,0.0387078858911991,human,UP
SULF1,0.0381054766476154,0.0381054766476154,0.0381054766476154,0.0381054766476154,human,UP
SEC11A,0.0377753973007202,0.0377753973007202,0.0377753973007202,0.0377753973007202,human,UP
RRM2,0.0373986773192882,0.0373986773192882,0.0373986773192882,0.0373986773192882,human,UP
TMEM45A,0.0371145345270633,0.0371145345270633,0.0371145345270633,0.0371145345270633,human,UP
SLC38A2,0.0368961952626705,0.0368961952626705,0.0368961952626705,0.0368961952626705,human,UP
MT2A,0.0368686653673648,0.0368686653673648,0.0368686653673648,0.0368686653673648,human,UP
UBD,0.0366711430251598,0.0366711430251598,0.0366711430251598,0.0366711430251598,human,UP
COL1A2,0.0365334786474704,0.0365334786474704,0.0365334786474704,0.0365334786474704,human,UP
PTMA,0.0362540781497955,0.0362540781497955,0.0362540781497955,0.0362540781497955,human,UP
RPS29,0.0360820405185222,0.0360820405185222,0.0360820405185222,0.0360820405185222,human,UP
LINC01116,0.0359376296401023,0.0359376296401023,0.0359376296401023,0.0359376296401023,human,UP
TWIST1,0.0354659780859947,0.0354659780859947,0.0354659780859947,0.0354659780859947,human,UP
ARF4,0.0353309586644172,0.0353309586644172,0.0353309586644172,0.0353309586644172,human,UP
LDHA,0.0352530293166637,0.0352530293166637,0.0352530293166637,0.0352530293166637,human,UP
RAP1B,0.0351947098970413,0.0351947098970413,0.0351947098970413,0.0351947098970413,human,UP
PARP12,0.0351044498383998,0.0351044498383998,0.0351044498383998,0.0351044498383998,human,UP
DTX3L,0.0348559319972991,0.0348559319972991,0.0348559319972991,0.0348559319972991,human,UP
IGJ,0.0347823463380336,0.0347823463380336,0.0347823463380336,0.0347823463380336,human,UP
TM2D3,0.0347573906183242,0.0347573906183242,0.0347573906183242,0.0347573906183242,human,UP
TATDN1,0.0347449667751789,0.0347449667751789,0.0347449667751789,0.0347449667751789,human,UP
ZMPSTE24,0.0347004160284996,0.0347004160284996,0.0347004160284996,0.0347004160284996,human,UP
STARD7,0.0345110595226287,0.0345110595226287,0.0345110595226287,0.0345110595226287,human,UP
LOC728825,0.0344680994749069,0.0344680994749069,0.0344680994749069,0.0344680994749069,human,UP
CDCA4,0.0344658456742763,0.0344658456742763,0.0344658456742763,0.0344658456742763,human,UP
HLA-B,0.0344624184072017,0.0344624184072017,0.0344624184072017,0.0344624184072017,human,UP
UQCRH,0.0343824550509452,0.0343824550509452,0.0343824550509452,0.0343824550509452,human,UP
KIF18B,0.0340751856565475,0.0340751856565475,0.0340751856565475,0.0340751856565475,human,UP
RPS3,0.0340633131563663,0.0340633131563663,0.0340633131563663,0.0340633131563663,human,UP
CDC7,0.0339587554335594,0.0339587554335594,0.0339587554335594,0.0339587554335594,human,UP
P2RY8,0.0338823273777961,0.0338823273777961,0.0338823273777961,0.0338823273777961,human,UP
VBP1,0.0338432341814041,0.0338432341814041,0.0338432341814041,0.0338432341814041,human,UP
HSPE1,0.033759020268917,0.033759020268917,0.033759020268917,0.033759020268917,human,UP
PTGES3,0.0335936248302459,0.0335936248302459,0.0335936248302459,0.0335936248302459,human,UP
DSP,0.0334630198776721,0.0334630198776721,0.0334630198776721,0.0334630198776721,human,UP
ARMCX6,0.0332668162882328,0.0332668162882328,0.0332668162882328,0.0332668162882328,human,UP
ALDH1A3,0.0328679680824279,0.0328679680824279,0.0328679680824279,0.0328679680824279,human,UP
RAB6C,0.0328444391489028,0.0328444391489028,0.0328444391489028,0.0328444391489028,human,UP
UBP1,0.0327466167509555,0.0327466167509555,0.0327466167509555,0.0327466167509555,human,UP
CKS2,0.0319814495742321,0.0319814495742321,0.0319814495742321,0.0319814495742321,human,UP
LAMP3,0.0318945497274398,0.0318945497274398,0.0318945497274398,0.0318945497274398,human,UP
VANGL2,0.0315620563924312,0.0315620563924312,0.0315620563924312,0.0315620563924312,human,UP
CNN2,0.0315318703651428,0.0315318703651428,0.0315318703651428,0.0315318703651428,human,UP
LDHB,0.0315207242965698,0.0315207242965698,0.0315207242965698,0.0315207242965698,human,UP
CYAT1,0.0314146839082241,0.0314146839082241,0.0314146839082241,0.0314146839082241,human,UP
SLMO2-ATP5E,0.0311724450439214,0.0311724450439214,0.0311724450439214,0.0311724450439214,human,UP
RFC4,0.0308106876909732,0.0308106876909732,0.0308106876909732,0.0308106876909732,human,UP
VOPP1,0.0307116154581308,0.0307116154581308,0.0307116154581308,0.0307116154581308,human,UP
BASP1,0.0305502247065305,0.0305502247065305,0.0305502247065305,0.0305502247065305,human,UP
ASAP2,0.0303859245032072,0.0303859245032072,0.0303859245032072,0.0303859245032072,human,UP
SDC4,0.0298521891236305,0.0298521891236305,0.0298521891236305,0.0298521891236305,human,UP
NET1,0.0296258740127086,0.0296258740127086,0.0296258740127086,0.0296258740127086,human,UP
COX3,0.0292888730764389,0.0292888730764389,0.0292888730764389,0.0292888730764389,human,UP
COL6A3,0.0292055383324623,0.0292055383324623,0.0292055383324623,0.0292055383324623,human,UP
LPCAT1,0.0292054712772369,0.0292054712772369,0.0292054712772369,0.0292054712772369,human,UP
CDCA7L,0.0290653686970472,0.0290653686970472,0.0290653686970472,0.0290653686970472,human,UP
CAP1,0.029050363227725,0.029050363227725,0.029050363227725,0.029050363227725,human,UP
DENND4B,0.0288467369973659,0.0288467369973659,0.0288467369973659,0.0288467369973659,human,UP
PSMA6,0.0287114828824996,0.0287114828824996,0.0287114828824996,0.0287114828824996,human,UP
BMI1,0.0284588262438774,0.0284588262438774,0.0284588262438774,0.0284588262438774,human,UP
HTRA1,0.0283429231494665,0.0283429231494665,0.0283429231494665,0.0283429231494665,human,UP
