gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism,signature_type
ANXA2,0.1304830610752105,,,,,0.1304830610752105,0.1304830610752105,0.1304830610752105,human,UP
RPL7A,0.1185992062091827,,,,,0.1185992062091827,0.1185992062091827,0.1185992062091827,human,UP
HBD,,0.0904244482517242,0.0978692546486854,0.1237499341368675,0.13021881878376,0.1105656139552593,0.1108095943927764,,human,UP
EEF1G,0.1090983226895332,,,,,0.1090983226895332,0.1090983226895332,0.1090983226895332,human,UP
IFI27,,0.149450734257698,,0.1258081495761871,0.0362287461757659,0.103829210003217,0.1258081495761871,,human,UP
RNF182,,0.0998783931136131,,0.0905664339661598,,0.0952224135398864,0.0952224135398864,,human,UP
HBG2,,0.0748594999313354,0.0456841215491294,0.0708503574132919,0.1891055852174759,0.0951248910278081,0.0728549286723136,,human,UP
CCT6P1,,,0.0941541418433189,,,0.0941541418433189,0.0941541418433189,,human,UP
RPS23,0.0937821939587593,,,,,0.0937821939587593,0.0937821939587593,0.0937821939587593,human,UP
RPLP1,0.0905444994568824,,,,,0.0905444994568824,0.0905444994568824,0.0905444994568824,human,UP
RPS15,0.0844725668430328,,,,,0.0844725668430328,0.0844725668430328,0.0844725668430328,human,UP
RPS24,0.0838460549712181,,,,,0.0838460549712181,0.0838460549712181,0.0838460549712181,human,UP
TRAK2,,0.0773794949054718,,0.0813289433717727,,0.0793542191386222,0.0793542191386222,,human,UP
HLA-A,0.080839417874813,,0.0739634037017822,,,0.0774014107882976,0.0774014107882976,0.080839417874813,human,UP
RAB2B,,0.0785391926765441,,0.073884442448616,,0.0762118175625801,0.0762118175625801,,human,UP
RPS5,0.0761414468288421,,,,,0.0761414468288421,0.0761414468288421,0.0761414468288421,human,UP
CD9,0.0759204402565956,,,,,0.0759204402565956,0.0759204402565956,0.0759204402565956,human,UP
KRT1,,0.0679785311222076,,0.0836725533008575,,0.0758255422115325,0.0758255422115325,,human,UP
ISCU,,,0.0749330893158912,,,0.0749330893158912,0.0749330893158912,,human,UP
RPL36A,0.0748968869447708,,,,,0.0748968869447708,0.0748968869447708,0.0748968869447708,human,UP
YOD1,,0.0736045390367508,,0.0713689476251602,,0.0724867433309555,0.0724867433309555,,human,UP
BPGM,,0.1228135153651237,0.0239578932523727,0.1094864308834075,0.0301080010831356,0.0715914601460099,0.0697972159832716,,human,UP
HBA2,,0.040284626185894,0.0616902336478233,,0.1115889996290206,0.071187953154246,0.0616902336478233,,human,UP
FTL,0.1078330054879188,,0.0345025546848773,,,0.0711677800863981,0.0711677800863981,0.1078330054879188,human,UP
FECH,,0.0733841732144355,,0.0674876347184181,,0.0704359039664268,0.0704359039664268,,human,UP
CD63,0.0702288001775741,,,,,0.0702288001775741,0.0702288001775741,0.0702288001775741,human,UP
XK,,0.0864216908812522,0.0678551569581031,0.0854567512869834,0.0394012741744518,0.0697837183251977,0.0766559541225433,,human,UP
HBB,,0.0219406634569168,0.1198250204324722,,0.0666462779045105,0.0694706539312998,0.0666462779045105,,human,UP
BNIP3L,,0.0855263024568557,0.0328201577067375,0.087349496781826,,0.0685653189818064,0.0855263024568557,,human,UP
RPS2,0.0676834434270858,,,,,0.0676834434270858,0.0676834434270858,0.0676834434270858,human,UP
TMSB10,0.0834991708397865,,,,0.0474275089800357,0.0654633399099111,0.0654633399099111,0.0834991708397865,human,UP
RPIA,,0.0654754042625427,,0.0626743286848068,,0.0640748664736747,0.0640748664736747,,human,UP
RPS16,0.0640453919768333,,,,,0.0640453919768333,0.0640453919768333,0.0640453919768333,human,UP
HBZ,,0.0530061200261116,,0.0747834146022796,,0.0638947673141956,0.0638947673141956,,human,UP
VAT1,0.0611121840775013,,,,,0.0611121840775013,0.0611121840775013,0.0611121840775013,human,UP
DCAF12,,0.0750494673848152,,0.0794697925448417,0.0275195613503456,0.0606796070933342,0.0750494673848152,,human,UP
MIF,0.0602626763284206,,,,,0.0602626763284206,0.0602626763284206,0.0602626763284206,human,UP
SLC22A4,,0.06503626704216,,0.0551437400281429,,0.0600900035351514,0.0600900035351514,,human,UP
C12orf75,,,0.0860753059387207,,0.0339697636663913,0.060022534802556,0.060022534802556,,human,UP
C9orf78,,0.0567594654858112,,0.063061237335205,,0.0599103514105081,0.0599103514105081,,human,UP
ISCA1,,0.0616379156708717,,0.0575122907757759,,0.0595751032233238,0.0595751032233238,,human,UP
RPS15A,0.0593371242284774,,,,,0.0593371242284774,0.0593371242284774,0.0593371242284774,human,UP
PTMA,,,0.0589426010847091,,,0.0589426010847091,0.0589426010847091,,human,UP
TMEM158,,0.0823940560221672,0.0459559261798858,0.079471006989479,0.0268061514943838,0.0586567851714789,0.0627134665846824,,human,UP
CSTB,0.0585782937705516,,,,,0.0585782937705516,0.0585782937705516,0.0585782937705516,human,UP
MT1HL1,0.0582268312573432,,,,,0.0582268312573432,0.0582268312573432,0.0582268312573432,human,UP
SLC14A1,,0.0545299351215362,,0.0609554126858711,,0.0577426739037036,0.0577426739037036,,human,UP
SLC1A5,,0.0568513125181198,,0.0582028180360794,,0.0575270652770996,0.0575270652770996,,human,UP
MT2A,0.0946200862526893,,0.0203259382396936,,,0.0574730122461915,0.0574730122461915,0.0946200862526893,human,UP
CHCHD2,0.0573612079024314,,,,,0.0573612079024314,0.0573612079024314,0.0573612079024314,human,UP
B2M,0.0572821795940399,,,,,0.0572821795940399,0.0572821795940399,0.0572821795940399,human,UP
PCTP,,0.0759920999407768,0.047484777867794,0.0743282362818718,0.0299683306366205,0.0569433611817657,0.0609065070748329,,human,UP
MT1E,0.0566354431211948,,,,,0.0566354431211948,0.0566354431211948,0.0566354431211948,human,UP
HBBP1,,0.0754420533776283,,0.0754903629422187,0.0180686507374048,0.0563336890190839,0.0754420533776283,,human,UP
GYPB,,0.0756412073969841,,0.070393368601799,0.0225648954510688,0.0561998238166173,0.070393368601799,,human,UP
S100A10,0.055195927619934,,,,,0.055195927619934,0.055195927619934,0.055195927619934,human,UP
EFEMP1,0.0551500394940376,,,,,0.0551500394940376,0.0551500394940376,0.0551500394940376,human,UP
DYNLT3,,,0.0547130182385444,,,0.0547130182385444,0.0547130182385444,,human,UP
JHDM1D-AS1,,0.049125425517559,,0.0599539913237094,,0.0545397084206342,0.0545397084206342,,human,UP
CXCL10,,,,,0.0545010082423687,0.0545010082423687,0.0545010082423687,,human,UP
LOC100507525,,,0.0537330098450183,,,0.0537330098450183,0.0537330098450183,,human,UP
BEX1,,,0.0535488501191139,,,0.0535488501191139,0.0535488501191139,,human,UP
MYL9,,,0.0402036495506763,,0.0657101646065712,0.0529569070786237,0.0529569070786237,,human,UP
CD81,0.0529425777494907,,,,,0.0529425777494907,0.0529425777494907,0.0529425777494907,human,UP
MGP,0.0528135932981967,,,,,0.0528135932981967,0.0528135932981967,0.0528135932981967,human,UP
CREG1,,0.0532950088381767,0.0742745622992515,0.0489764995872974,0.0345797799527645,0.0527814626693725,0.051135754212737,,human,UP
