gene_symbol,logfc_dz:562,mean_logfc,median_logfc,common_experiment,organism,signature_type
PELI1,0.1263966560363769,0.1263966560363769,0.1263966560363769,0.1263966560363769,human,UP
MCL1,0.0921871736645698,0.0921871736645698,0.0921871736645698,0.0921871736645698,human,UP
RPS28,0.089228942990303,0.089228942990303,0.089228942990303,0.089228942990303,human,UP
B2M,0.0872173458337783,0.0872173458337783,0.0872173458337783,0.0872173458337783,human,UP
NFKBIA,0.0855126902461052,0.0855126902461052,0.0855126902461052,0.0855126902461052,human,UP
HSPA5,0.0841063782572746,0.0841063782572746,0.0841063782572746,0.0841063782572746,human,UP
DEFA1B,0.0824870616197586,0.0824870616197586,0.0824870616197586,0.0824870616197586,human,UP
EIF1,0.0797604545950889,0.0797604545950889,0.0797604545950889,0.0797604545950889,human,UP
RPS17,0.0762085914611816,0.0762085914611816,0.0762085914611816,0.0762085914611816,human,UP
RPL9,0.0724668204784393,0.0724668204784393,0.0724668204784393,0.0724668204784393,human,UP
GADD45A,0.0701942667365074,0.0701942667365074,0.0701942667365074,0.0701942667365074,human,UP
S100A8,0.0694714710116386,0.0694714710116386,0.0694714710116386,0.0694714710116386,human,UP
GPRC5D,0.0657004937529563,0.0657004937529563,0.0657004937529563,0.0657004937529563,human,UP
CCL3,0.0655828788876533,0.0655828788876533,0.0655828788876533,0.0655828788876533,human,UP
RPS27,0.0615944974124431,0.0615944974124431,0.0615944974124431,0.0615944974124431,human,UP
CCL3L3,0.060004822909832,0.060004822909832,0.060004822909832,0.060004822909832,human,UP
CCND2,0.0581749938428401,0.0581749938428401,0.0581749938428401,0.0581749938428401,human,UP
RPL35A,0.0572739541530609,0.0572739541530609,0.0572739541530609,0.0572739541530609,human,UP
RPL17,0.0498338527977466,0.0498338527977466,0.0498338527977466,0.0498338527977466,human,UP
RPS11,0.0494963116943836,0.0494963116943836,0.0494963116943836,0.0494963116943836,human,UP
RPLP2,0.0489090085029602,0.0489090085029602,0.0489090085029602,0.0489090085029602,human,UP
RPL41P5,0.0487577281892299,0.0487577281892299,0.0487577281892299,0.0487577281892299,human,UP
ANXA1,0.0485818535089492,0.0485818535089492,0.0485818535089492,0.0485818535089492,human,UP
RPS14,0.0482435785233974,0.0482435785233974,0.0482435785233974,0.0482435785233974,human,UP
SNORD3D,0.0482102707028389,0.0482102707028389,0.0482102707028389,0.0482102707028389,human,UP
ITGB7,0.0472018122673034,0.0472018122673034,0.0472018122673034,0.0472018122673034,human,UP
RHOB,0.0470791794359684,0.0470791794359684,0.0470791794359684,0.0470791794359684,human,UP
EZR,0.0470266379415988,0.0470266379415988,0.0470266379415988,0.0470266379415988,human,UP
RPL30,0.0469623990356922,0.0469623990356922,0.0469623990356922,0.0469623990356922,human,UP
TMSB10,0.0452526025474071,0.0452526025474071,0.0452526025474071,0.0452526025474071,human,UP
UBALD2,0.0452271029353141,0.0452271029353141,0.0452271029353141,0.0452271029353141,human,UP
NAMPT,0.044389072805643,0.044389072805643,0.044389072805643,0.044389072805643,human,UP
HSPA1A,0.0439186468720436,0.0439186468720436,0.0439186468720436,0.0439186468720436,human,UP
TXNIP,0.0426705069839954,0.0426705069839954,0.0426705069839954,0.0426705069839954,human,UP
