disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
Huntington's disease,MONDO_0007739,synonym,0.05,379,0,0,240,11,2,2,0,0,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liver cirrhosis,EFO_0001422,synonym,0.05,89,5,0,727,20,10,3,0,0,3,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
atopic dermatitis,EFO_0000274,synonym,0.05,237,0,0,1175,24,10,7,0,0,7,2.0,4.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0
chronic lymphocytic leukemia,EFO_0000095,name,0.05,0,2,0,1621,28,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple myeloma,EFO_0001378,name,0.05,52,0,0,2564,40,62,9,0,0,9,1.0,7.0,12.0,3.0,0.0,3.0,10.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0
glaucoma,MONDO_0005041,name,0.05,364,19,2,824,23,10,10,1,0,11,0.0,3.0,3.0,10.0,12.0,3.0,12.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,0.0
anemia,MONDO_0002280,name,0.05,0,0,0,243,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waldenstrom Macroglobulinemia,EFO_0009441,name,0.05,11,0,0,560,8,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hepatitis C,EFO_0003047,synonym,0.05,23,29,0,648,15,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulcerative colitis,EFO_0000729,name,0.05,122,0,0,1192,24,10,2,0,0,2,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
astrocytoma,EFO_0000272,name,0.05,0,0,0,267,6,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
endometriosis,EFO_0001065,name,0.05,1,16,0,589,12,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute myeloid leukemia,EFO_0000222,name,0.05,31,304,3,2215,41,52,7,14,1,20,2.0,38.0,35.0,26.0,5.0,14.0,30.0,1.0,4.0,20.0,2.0,18.0,1.0,10.0,6.0
lung adenocarcinoma,EFO_0000571,name,0.05,108,89,2,466,6,13,5,1,0,6,1.0,4.0,12.0,4.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,1.0
endometrial cancer,MONDO_0011962,name,0.05,176,794,18,1032,20,26,14,14,3,25,4.0,14.0,36.0,15.0,0.0,7.0,25.0,0.0,5.0,16.0,0.0,9.0,0.0,6.0,1.0
Ischemic stroke,HP_0002140,name,0.05,40,6,0,651,13,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
influenza,EFO_0007328,name,0.05,98,0,0,813,19,6,3,0,0,3,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
nasopharynx carcinoma,MONDO_0015459,synonym,0.05,25,0,0,540,7,16,2,0,0,2,0.0,2.0,10.0,7.0,0.0,4.0,4.0,0.0,4.0,3.0,0.0,1.0,0.0,3.0,0.0
primary open angle glaucoma,EFO_0004190,synonym,0.05,364,19,2,215,8,3,3,0,0,3,0.0,0.0,2.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Cardiomyopathy,EFO_0000318,name,0.05,0,0,0,194,6,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankylosing spondylitis,EFO_0003898,name,0.05,209,0,0,634,12,9,3,0,0,3,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
idiopathic pulmonary fibrosis,EFO_0000768,name,0.05,326,0,0,644,13,11,11,0,0,11,1.0,1.0,10.0,4.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0
