gene_symbol,logfc_dz:674,mean_logfc,median_logfc,common_experiment,organism,signature_type
ACTC1,0.2224107831716537,0.2224107831716537,0.2224107831716537,0.2224107831716537,human,UP
B2M,0.1876630932092666,0.1876630932092666,0.1876630932092666,0.1876630932092666,human,UP
EEF1A1,0.1758488714694976,0.1758488714694976,0.1758488714694976,0.1758488714694976,human,UP
SLN,0.1714421808719635,0.1714421808719635,0.1714421808719635,0.1714421808719635,human,UP
MYL6B,0.1646471172571182,0.1646471172571182,0.1646471172571182,0.1646471172571182,human,UP
MYH8,0.1636722534894943,0.1636722534894943,0.1636722534894943,0.1636722534894943,human,UP
C3,0.1495594233274459,0.1495594233274459,0.1495594233274459,0.1495594233274459,human,UP
COL1A2,0.1357316523790359,0.1357316523790359,0.1357316523790359,0.1357316523790359,human,UP
MYL1,0.1233323514461517,0.1233323514461517,0.1233323514461517,0.1233323514461517,human,UP
TPM2,0.1161476522684097,0.1161476522684097,0.1161476522684097,0.1161476522684097,human,UP
RPLP0,0.1132952570915222,0.1132952570915222,0.1132952570915222,0.1132952570915222,human,UP
IFITM3,0.1121335700154304,0.1121335700154304,0.1121335700154304,0.1121335700154304,human,UP
ISG15,0.1026589125394821,0.1026589125394821,0.1026589125394821,0.1026589125394821,human,UP
RPL41,0.0992453545331955,0.0992453545331955,0.0992453545331955,0.0992453545331955,human,UP
HLA-B,0.0956354588270187,0.0956354588270187,0.0956354588270187,0.0956354588270187,human,UP
HLA-A,0.0937686115503311,0.0937686115503311,0.0937686115503311,0.0937686115503311,human,UP
TUBA1C,0.0861054956912994,0.0861054956912994,0.0861054956912994,0.0861054956912994,human,UP
VIM,0.0831140279769897,0.0831140279769897,0.0831140279769897,0.0831140279769897,human,UP
CD74,0.0795651748776435,0.0795651748776435,0.0795651748776435,0.0795651748776435,human,UP
HLA-C,0.0756211951375007,0.0756211951375007,0.0756211951375007,0.0756211951375007,human,UP
MYH3,0.0722876787185669,0.0722876787185669,0.0722876787185669,0.0722876787185669,human,UP
MGP,0.0706652253866195,0.0706652253866195,0.0706652253866195,0.0706652253866195,human,UP
TMSB10,0.0704023763537406,0.0704023763537406,0.0704023763537406,0.0704023763537406,human,UP
HLA-DRB1,0.0693438202142715,0.0693438202142715,0.0693438202142715,0.0693438202142715,human,UP
S100A6,0.0675898566842079,0.0675898566842079,0.0675898566842079,0.0675898566842079,human,UP
IFITM1,0.0658395737409591,0.0658395737409591,0.0658395737409591,0.0658395737409591,human,UP
CSRP3,0.0653662458062172,0.0653662458062172,0.0653662458062172,0.0653662458062172,human,UP
DCN,0.0652095898985862,0.0652095898985862,0.0652095898985862,0.0652095898985862,human,UP
FABP4,0.0648926943540573,0.0648926943540573,0.0648926943540573,0.0648926943540573,human,UP
CA3,0.0628314092755317,0.0628314092755317,0.0628314092755317,0.0628314092755317,human,UP
FTL,0.062195748090744,0.062195748090744,0.062195748090744,0.062195748090744,human,UP
ACTB,0.0600956976413726,0.0600956976413726,0.0600956976413726,0.0600956976413726,human,UP
CD63,0.059829693287611,0.059829693287611,0.059829693287611,0.059829693287611,human,UP
CFD,0.0596950873732566,0.0596950873732566,0.0596950873732566,0.0596950873732566,human,UP
RPS4Y1,0.0584027543663978,0.0584027543663978,0.0584027543663978,0.0584027543663978,human,UP
SPARC,0.058363027870655,0.058363027870655,0.058363027870655,0.058363027870655,human,UP
ANXA2,0.0576666444540023,0.0576666444540023,0.0576666444540023,0.0576666444540023,human,UP
NES,0.05532181635499,0.05532181635499,0.05532181635499,0.05532181635499,human,UP
RPS18,0.0552445836365222,0.0552445836365222,0.0552445836365222,0.0552445836365222,human,UP
TUBA1B,0.055219929665327,0.055219929665327,0.055219929665327,0.055219929665327,human,UP
CFL1,0.0541388355195522,0.0541388355195522,0.0541388355195522,0.0541388355195522,human,UP
DLK1,0.0541121400892734,0.0541121400892734,0.0541121400892734,0.0541121400892734,human,UP
ACTG1,0.0534736067056655,0.0534736067056655,0.0534736067056655,0.0534736067056655,human,UP
C1R,0.053459957242012,0.053459957242012,0.053459957242012,0.053459957242012,human,UP
S100A1,0.0527782067656517,0.0527782067656517,0.0527782067656517,0.0527782067656517,human,UP
S100A4,0.0519556701183319,0.0519556701183319,0.0519556701183319,0.0519556701183319,human,UP
C1S,0.0510408170521259,0.0510408170521259,0.0510408170521259,0.0510408170521259,human,UP
IFITM2,0.0507895238697528,0.0507895238697528,0.0507895238697528,0.0507895238697528,human,UP
THBS4,0.0497267954051494,0.0497267954051494,0.0497267954051494,0.0497267954051494,human,UP
RPL3,0.0474713593721389,0.0474713593721389,0.0474713593721389,0.0474713593721389,human,UP
SERPINF1,0.0464309602975845,0.0464309602975845,0.0464309602975845,0.0464309602975845,human,UP
SUPT20H,0.0460386611521244,0.0460386611521244,0.0460386611521244,0.0460386611521244,human,UP
CASQ1,0.0455525666475296,0.0455525666475296,0.0455525666475296,0.0455525666475296,human,UP
CST3,0.0428460054099559,0.0428460054099559,0.0428460054099559,0.0428460054099559,human,UP
MYL5,0.0424699448049068,0.0424699448049068,0.0424699448049068,0.0424699448049068,human,UP
S100A13,0.0422564186155796,0.0422564186155796,0.0422564186155796,0.0422564186155796,human,UP
TUBA1A,0.0405177436769008,0.0405177436769008,0.0405177436769008,0.0405177436769008,human,UP
LGALS3,0.0400289259850978,0.0400289259850978,0.0400289259850978,0.0400289259850978,human,UP
COL3A1,0.0398849137127399,0.0398849137127399,0.0398849137127399,0.0398849137127399,human,UP
PLA2G2A,0.0397317111492157,0.0397317111492157,0.0397317111492157,0.0397317111492157,human,UP
UQCRQ,0.0393098257482051,0.0393098257482051,0.0393098257482051,0.0393098257482051,human,UP
SERPING1,0.0390139892697334,0.0390139892697334,0.0390139892697334,0.0390139892697334,human,UP
COL15A1,0.0358239710330963,0.0358239710330963,0.0358239710330963,0.0358239710330963,human,UP
CASQ2,0.0354951135814189,0.0354951135814189,0.0354951135814189,0.0354951135814189,human,UP
CD81,0.0352473817765712,0.0352473817765712,0.0352473817765712,0.0352473817765712,human,UP
NNMT,0.0350002087652683,0.0350002087652683,0.0350002087652683,0.0350002087652683,human,UP
IFI6,0.0349698327481746,0.0349698327481746,0.0349698327481746,0.0349698327481746,human,UP
MEST,0.033229149878025,0.033229149878025,0.033229149878025,0.033229149878025,human,UP
UCP2,0.0330136679112911,0.0330136679112911,0.0330136679112911,0.0330136679112911,human,UP
A2M,0.0328551717102527,0.0328551717102527,0.0328551717102527,0.0328551717102527,human,UP
MXRA8,0.0328233428299427,0.0328233428299427,0.0328233428299427,0.0328233428299427,human,UP
RPS10,0.0326845832169055,0.0326845832169055,0.0326845832169055,0.0326845832169055,human,UP
CD99,0.0324655920267105,0.0324655920267105,0.0324655920267105,0.0324655920267105,human,UP
AK1,0.0321844220161438,0.0321844220161438,0.0321844220161438,0.0321844220161438,human,UP
RPL36A,0.032085008919239,0.032085008919239,0.032085008919239,0.032085008919239,human,UP
RPL13A,0.0319398678839206,0.0319398678839206,0.0319398678839206,0.0319398678839206,human,UP
HLA-DRA,0.0310486126691102,0.0310486126691102,0.0310486126691102,0.0310486126691102,human,UP
IGFBP3,0.0298337321728467,0.0298337321728467,0.0298337321728467,0.0298337321728467,human,UP
PTGDS,0.0298208817839622,0.0298208817839622,0.0298208817839622,0.0298208817839622,human,UP
ASPN,0.0292923171073198,0.0292923171073198,0.0292923171073198,0.0292923171073198,human,UP
CLEC3B,0.028836565092206,0.028836565092206,0.028836565092206,0.028836565092206,human,UP
MMP2,0.0285430923104286,0.0285430923104286,0.0285430923104286,0.0285430923104286,human,UP
S100A10,0.0284704025834798,0.0284704025834798,0.0284704025834798,0.0284704025834798,human,UP
RPL11,0.0281690005213022,0.0281690005213022,0.0281690005213022,0.0281690005213022,human,UP
