gene_symbol,logfc_dz:515,logfc_dz:809,mean_logfc,median_logfc,common_experiment,organism,signature_type
LIPC,0.0604550130665302,0.1447990089654922,0.1026270110160112,0.1026270110160112,0.1447990089654922,human,UP
PRRX2,,0.0599084831774234,0.0599084831774234,0.0599084831774234,0.0599084831774234,human,UP
SPATA31A7,0.0274194534868001,0.0569192618131637,0.0421693576499819,0.0421693576499819,0.0569192618131637,human,UP
CREB5,0.0507229678332805,0.0329927541315555,0.041857860982418,0.041857860982418,0.0329927541315555,human,UP
ENOX1,0.043955773115158,0.0396811924874782,0.0418184828013181,0.0418184828013181,0.0396811924874782,human,UP
FBP2,0.0288797486573457,0.0497769340872764,0.0393283413723111,0.0393283413723111,0.0497769340872764,human,UP
TMEM204,,0.0379416495561599,0.0379416495561599,0.0379416495561599,0.0379416495561599,human,UP
CCL17,0.0464629977941513,0.0284637659788131,0.0374633818864822,0.0374633818864822,0.0284637659788131,human,UP
RYR2,0.0309569705277681,0.042061474174261,0.0365092223510146,0.0365092223510146,0.042061474174261,human,UP
CDH1,0.0230984762310981,0.0496663935482502,0.0363824348896741,0.0363824348896741,0.0496663935482502,human,UP
TMEM163,,0.0361259505152702,0.0361259505152702,0.0361259505152702,0.0361259505152702,human,UP
ACKR3,0.0432752184569835,0.0287426076829433,0.0360089130699634,0.0360089130699634,0.0287426076829433,human,UP
SV2B,0.0381939969956874,0.0333328023552894,0.0357633996754884,0.0357633996754884,0.0333328023552894,human,UP
DAPK2,0.0356224216520786,,0.0356224216520786,0.0356224216520786,,human,UP
KIF5C,,0.0345939546823501,0.0345939546823501,0.0345939546823501,0.0345939546823501,human,UP
ETNPPL,,0.0342505872249603,0.0342505872249603,0.0342505872249603,0.0342505872249603,human,UP
DDX43,0.0304317120462656,0.0379538051784038,0.0341927586123347,0.0341927586123347,0.0379538051784038,human,UP
IGFBP2,,0.0341273732483387,0.0341273732483387,0.0341273732483387,0.0341273732483387,human,UP
NOTCH2,0.0308102183043956,0.0350507013499736,0.0329304598271846,0.0329304598271846,0.0350507013499736,human,UP
CCL22,0.0411251559853553,0.0245334934443235,0.0328293247148394,0.0328293247148394,0.0245334934443235,human,UP
TACSTD2,0.0373380780220031,0.0279878787696361,0.0326629783958196,0.0326629783958196,0.0279878787696361,human,UP
CLIC2,0.0294026266783475,0.0358771681785583,0.0326398974284529,0.0326398974284529,0.0358771681785583,human,UP
PITPNC1,0.0318453274667263,,0.0318453274667263,0.0318453274667263,,human,UP
TCF7,0.0314520820975303,,0.0314520820975303,0.0314520820975303,,human,UP
STAR,0.0308654010295867,0.031267087906599,0.0310662444680929,0.0310662444680929,0.031267087906599,human,UP
CD28,,0.0310636311769485,0.0310636311769485,0.0310636311769485,0.0310636311769485,human,UP
GPR157,,0.0309757813811302,0.0309757813811302,0.0309757813811302,0.0309757813811302,human,UP
HEYL,0.0318277925252914,0.0296095684170722,0.0307186804711818,0.0307186804711818,0.0296095684170722,human,UP
SERPINB2,0.0330270268023014,0.0278774313628673,0.0304522290825843,0.0304522290825843,0.0278774313628673,human,UP
C1orf21,0.030322266742587,,0.030322266742587,0.030322266742587,,human,UP
CWH43,0.0299040712416172,,0.0299040712416172,0.0299040712416172,,human,UP
STXBP5L,,0.0297545082867145,0.0297545082867145,0.0297545082867145,0.0297545082867145,human,UP
EDAR,,0.0295854099094867,0.0295854099094867,0.0295854099094867,0.0295854099094867,human,UP
AKAP4,0.0202003512531518,0.0381570905447006,0.0291787208989262,0.0291787208989262,0.0381570905447006,human,UP
ACVR2A,0.0267650540918111,0.0315081961452961,0.0291366251185536,0.0291366251185536,0.0315081961452961,human,UP
GIMAP5,0.0325139239430427,0.0251444969326257,0.0288292104378342,0.0288292104378342,0.0251444969326257,human,UP
CNIH3,0.0370470955967903,0.0201613325625658,0.028604214079678,0.028604214079678,0.0201613325625658,human,UP
BEX1,,0.0286020264029502,0.0286020264029502,0.0286020264029502,0.0286020264029502,human,UP
KIAA1549L,0.0318198911845684,0.0247937720268964,0.0283068316057324,0.0283068316057324,0.0247937720268964,human,UP
NID2,,0.0281879696995019,0.0281879696995019,0.0281879696995019,0.0281879696995019,human,UP
JAM2,0.0249473080039024,0.031186681240797,0.0280669946223497,0.0280669946223497,0.031186681240797,human,UP
ELP5,0.027967071160674,,0.027967071160674,0.027967071160674,,human,UP
UBD,0.0279179271310567,,0.0279179271310567,0.0279179271310567,,human,UP
LAMB3,0.027581512928009,,0.027581512928009,0.027581512928009,,human,UP
UTS2,0.0175254605710506,0.0372712835669517,0.0273983720690011,0.0273983720690011,0.0372712835669517,human,UP
CSF2,0.0287420861423015,0.0256572160869836,0.0271996511146426,0.0271996511146426,0.0256572160869836,human,UP
MIA,0.0339208915829658,0.0203962214291095,0.0271585565060377,0.0271585565060377,0.0203962214291095,human,UP
SLC13A3,0.0290404818952083,0.0250680856406688,0.0270542837679386,0.0270542837679386,0.0250680856406688,human,UP
CMKLR1,0.0282820034772157,0.0255769025534391,0.0269294530153274,0.0269294530153274,0.0255769025534391,human,UP
TNFRSF8,0.0268966536968946,,0.0268966536968946,0.0268966536968946,,human,UP
CXCL14,0.0267426446080207,,0.0267426446080207,0.0267426446080207,,human,UP
TNFAIP2,0.0266736038029193,,0.0266736038029193,0.0266736038029193,,human,UP
TIAM2,0.0358276218175888,0.0174111146479845,0.0266193682327866,0.0266193682327866,0.0174111146479845,human,UP
VIP,0.0195492841303348,0.0336503013968467,0.0265997927635908,0.0265997927635908,0.0336503013968467,human,UP
SYBU,,0.026597773656249,0.026597773656249,0.026597773656249,0.026597773656249,human,UP
P4HA2,0.030182359740138,0.0227627046406269,0.0264725321903824,0.0264725321903824,0.0227627046406269,human,UP
EXPH5,0.0279954634606838,0.0249173175543546,0.0264563905075192,0.0264563905075192,0.0249173175543546,human,UP
CRYBB2,,0.0263530649244785,0.0263530649244785,0.0263530649244785,0.0263530649244785,human,UP
SPINT2,0.0241262055933475,0.0284288227558136,0.0262775141745805,0.0262775141745805,0.0284288227558136,human,UP
DZIP1,0.0261633079499006,,0.0261633079499006,0.0261633079499006,,human,UP
CYP4F3,0.0261348318308591,,0.0261348318308591,0.0261348318308591,,human,UP
TESC,0.0261302348226308,,0.0261302348226308,0.0261302348226308,,human,UP
KCNMB2,,0.0261227581650018,0.0261227581650018,0.0261227581650018,0.0261227581650018,human,UP
KLRC3,0.0260753091424703,,0.0260753091424703,0.0260753091424703,,human,UP
EDIL3,0.0260093677788972,,0.0260093677788972,0.0260093677788972,,human,UP
SYNPO2L,0.0261515658348798,0.0258213430643081,0.025986454449594,0.025986454449594,0.0258213430643081,human,UP
GNG12,,0.0256480667740106,0.0256480667740106,0.0256480667740106,0.0256480667740106,human,UP
RASSF4,0.0315377041697502,0.0196051355451345,0.0255714198574423,0.0255714198574423,0.0196051355451345,human,UP
SETBP1,0.0245375782251358,0.0264167822897434,0.0254771802574396,0.0254771802574396,0.0264167822897434,human,UP
BSN,0.0254547912627458,,0.0254547912627458,0.0254547912627458,,human,UP
HMGA2,0.0214610118418931,0.0292179938405752,0.0253395028412342,0.0253395028412342,0.0292179938405752,human,UP
MYOM2,,0.024951284751296,0.024951284751296,0.024951284751296,0.024951284751296,human,UP
PID1,,0.0249157734215259,0.0249157734215259,0.0249157734215259,0.0249157734215259,human,UP
MMP20,0.0219073314219713,0.0278183985501527,0.024862864986062,0.024862864986062,0.0278183985501527,human,UP
ATP4B,,0.0248545967042446,0.0248545967042446,0.0248545967042446,0.0248545967042446,human,UP
HTR2B,0.0214196983724832,0.0281778443604707,0.024798771366477,0.024798771366477,0.0281778443604707,human,UP
TUBB2B,0.0298284813761711,0.0197240319103002,0.0247762566432356,0.0247762566432356,0.0197240319103002,human,UP
TSPAN7,0.0199056155979633,0.0296337325125932,0.0247696740552783,0.0247696740552783,0.0296337325125932,human,UP
GFPT2,0.0243529789149761,,0.0243529789149761,0.0243529789149761,,human,UP
CETP,0.0242636874318122,,0.0242636874318122,0.0242636874318122,,human,UP
SLC16A3,0.0211860984563827,0.0272781904786825,0.0242321444675326,0.0242321444675326,0.0272781904786825,human,UP
FHL2,0.0242181550711393,,0.0242181550711393,0.0242181550711393,,human,UP
CD1D,0.027232700958848,0.0211493000388145,0.0241910004988312,0.0241910004988312,0.0211493000388145,human,UP
SERPING1,0.0240792725235223,,0.0240792725235223,0.0240792725235223,,human,UP
MAL,0.0274426620453596,0.0206810999661684,0.024061881005764,0.024061881005764,0.0206810999661684,human,UP
IL7R,,0.0240376722067594,0.0240376722067594,0.0240376722067594,0.0240376722067594,human,UP
DAGLA,0.0261110253632068,0.0217490084469318,0.0239300169050693,0.0239300169050693,0.0217490084469318,human,UP
SNTG2,,0.0238731894642114,0.0238731894642114,0.0238731894642114,0.0238731894642114,human,UP
KIAA0087,0.0230643972754478,0.024603521451354,0.0238339593634009,0.0238339593634009,0.024603521451354,human,UP
G0S2,0.0183123555034399,0.0290068164467811,0.0236595859751105,0.0236595859751105,0.0290068164467811,human,UP
GHSR,0.0299493726342916,0.0173573102802038,0.0236533414572477,0.0236533414572477,0.0173573102802038,human,UP
MS4A5,,0.0235808584839105,0.0235808584839105,0.0235808584839105,0.0235808584839105,human,UP
CYB5R2,0.0235729906708002,,0.0235729906708002,0.0235729906708002,,human,UP
KCNJ8,,0.0235522575676441,0.0235522575676441,0.0235522575676441,0.0235522575676441,human,UP
STAG3,0.0277807880192995,0.0191251914948225,0.023452989757061,0.023452989757061,0.0191251914948225,human,UP
AUTS2,0.0234060231596231,,0.0234060231596231,0.0234060231596231,,human,UP
PAGE4,,0.0233591627329587,0.0233591627329587,0.0233591627329587,0.0233591627329587,human,UP
SLC6A10P,,0.0231933649629354,0.0231933649629354,0.0231933649629354,0.0231933649629354,human,UP
NINL,,0.0230909790843725,0.0230909790843725,0.0230909790843725,0.0230909790843725,human,UP
FUCA1,0.0229484345763921,,0.0229484345763921,0.0229484345763921,,human,UP
COL11A1,,0.0229242835193872,0.0229242835193872,0.0229242835193872,0.0229242835193872,human,UP
NEUROG2,0.0247907899320125,0.0208282824605703,0.0228095361962914,0.0228095361962914,0.0208282824605703,human,UP
PDLIM3,,0.0227998550981283,0.0227998550981283,0.0227998550981283,0.0227998550981283,human,UP
CYTH3,0.0227798763662576,,0.0227798763662576,0.0227798763662576,,human,UP
ITGB6,0.0227518118917942,,0.0227518118917942,0.0227518118917942,,human,UP
SERPINB10,0.0225257948040962,,0.0225257948040962,0.0225257948040962,,human,UP
EPCAM,,0.0225204192101955,0.0225204192101955,0.0225204192101955,0.0225204192101955,human,UP
ZNF239,0.0215562973171472,0.0234573632478714,0.0225068302825093,0.0225068302825093,0.0234573632478714,human,UP
RBMY2FP,,0.0224899183958768,0.0224899183958768,0.0224899183958768,0.0224899183958768,human,UP
LAIR2,0.0224855262786149,,0.0224855262786149,0.0224855262786149,,human,UP
APOLD1,0.0179514158517122,0.0269566811621189,0.0224540485069155,0.0224540485069155,0.0269566811621189,human,UP
CGREF1,0.0198787599802017,0.0250159688293933,0.0224473644047975,0.0224473644047975,0.0250159688293933,human,UP
CTNNA2,0.0223965495824813,,0.0223965495824813,0.0223965495824813,,human,UP
CMA1,0.0223408974707126,,0.0223408974707126,0.0223408974707126,,human,UP
KLF7,0.021619327366352,0.0230482369661331,0.0223337821662426,0.0223337821662426,0.0230482369661331,human,UP
RAB17,0.0222886428236961,,0.0222886428236961,0.0222886428236961,,human,UP
PLEKHA1,0.0190443843603134,0.0255276449024677,0.0222860146313905,0.0222860146313905,0.0255276449024677,human,UP
NRG2,0.0222688037902116,,0.0222688037902116,0.0222688037902116,,human,UP
FA2H,,0.0222677607089281,0.0222677607089281,0.0222677607089281,0.0222677607089281,human,UP
GPER1,0.0222461428493261,,0.0222461428493261,0.0222461428493261,,human,UP
ROBO1,0.022207636386156,,0.022207636386156,0.022207636386156,,human,UP
KIF26B,0.0221761260181665,,0.0221761260181665,0.0221761260181665,,human,UP
VCAM1,0.0221411790698766,,0.0221411790698766,0.0221411790698766,,human,UP
ABCG4,0.0217673126608133,0.0223686080425977,0.0220679603517055,0.0220679603517055,0.0223686080425977,human,UP
AMPD3,0.0191113092005252,0.0249205604195594,0.0220159348100423,0.0220159348100423,0.0249205604195594,human,UP
C1orf105,0.0219839755445718,,0.0219839755445718,0.0219839755445718,,human,UP
IL13RA1,0.0235701762139797,0.0203798748552799,0.0219750255346298,0.0219750255346298,0.0203798748552799,human,UP
SEL1L3,,0.0219593849033117,0.0219593849033117,0.0219593849033117,0.0219593849033117,human,UP
PTK2,0.0259885489940643,0.0177918225526809,0.0218901857733726,0.0218901857733726,0.0177918225526809,human,UP
SLC2A14,0.0190301369875669,0.0245419219136238,0.0217860294505953,0.0217860294505953,0.0245419219136238,human,UP
CDKL5,0.0261961761862039,0.0173325575888156,0.0217643668875098,0.0217643668875098,0.0173325575888156,human,UP
FERMT2,0.0217472575604915,,0.0217472575604915,0.0217472575604915,,human,UP
IL1B,0.0196437034755945,0.0237924121320247,0.0217180578038096,0.0217180578038096,0.0237924121320247,human,UP
DBNDD1,,0.0216989945620298,0.0216989945620298,0.0216989945620298,0.0216989945620298,human,UP
ERAP2,0.0216665975749492,,0.0216665975749492,0.0216665975749492,,human,UP
KCNA1,,0.0216339454054832,0.0216339454054832,0.0216339454054832,0.0216339454054832,human,UP
ATRNL1,,0.0216334015130996,0.0216334015130996,0.0216334015130996,0.0216334015130996,human,UP
TEX13A,,0.021562511101365,0.021562511101365,0.021562511101365,0.021562511101365,human,UP
CSF1R,0.0179884918034076,0.0251221898943185,0.0215553408488631,0.0215553408488631,0.0251221898943185,human,UP
SNN,0.0215129237622022,,0.0215129237622022,0.0215129237622022,,human,UP
CCL20,0.0214204173535108,,0.0214204173535108,0.0214204173535108,,human,UP
PLN,,0.0213657338172197,0.0213657338172197,0.0213657338172197,0.0213657338172197,human,UP
GALR1,0.0213636942207813,,0.0213636942207813,0.0213636942207813,,human,UP
BAG3,0.0213636588305234,,0.0213636588305234,0.0213636588305234,,human,UP
ARHGAP28,0.0212820097804069,,0.0212820097804069,0.0212820097804069,,human,UP
PRKCH,0.0212804097682237,,0.0212804097682237,0.0212804097682237,,human,UP
SLC18A2,0.0181998033076524,0.0241013914346694,0.0211505973711609,0.0211505973711609,0.0241013914346694,human,UP
CYP1B1,0.0187813956290483,0.0233993045985698,0.0210903501138091,0.0210903501138091,0.0233993045985698,human,UP
TSPYL5,0.01883533783257,0.0233344547450542,0.0210848962888121,0.0210848962888121,0.0233344547450542,human,UP
CCR7,0.0210336986929178,,0.0210336986929178,0.0210336986929178,,human,UP
GIMAP4,0.0230903644114732,0.0187775418162345,0.0209339531138539,0.0209339531138539,0.0187775418162345,human,UP
SLC7A8,,0.0209097471088171,0.0209097471088171,0.0209097471088171,0.0209097471088171,human,UP
ADM,,0.0207904353737831,0.0207904353737831,0.0207904353737831,0.0207904353737831,human,UP
CRTAM,0.0206196922808885,0.020907150581479,0.0207634214311838,0.0207634214311838,0.020907150581479,human,UP
PDHA2,,0.0206921640783548,0.0206921640783548,0.0206921640783548,0.0206921640783548,human,UP
IL12RB2,,0.0206290353089571,0.0206290353089571,0.0206290353089571,0.0206290353089571,human,UP
TNFSF11,0.0195807218551635,0.0216500293463468,0.0206153756007552,0.0206153756007552,0.0216500293463468,human,UP
KCNMB1,0.0205628797411918,,0.0205628797411918,0.0205628797411918,,human,UP
ACSS3,,0.0205512922257184,0.0205512922257184,0.0205512922257184,0.0205512922257184,human,UP
