gene_symbol,logfc_dz:462,mean_logfc,median_logfc,common_experiment,organism,signature_type
GFAP,0.1814588755369186,0.1814588755369186,0.1814588755369186,0.1814588755369186,human,UP
HBA2,0.1718626022338867,0.1718626022338867,0.1718626022338867,0.1718626022338867,human,UP
HBB,0.1686477661132812,0.1686477661132812,0.1686477661132812,0.1686477661132812,human,UP
HMGN2,0.1370123326778412,0.1370123326778412,0.1370123326778412,0.1370123326778412,human,UP
IFITM3,0.1310751885175705,0.1310751885175705,0.1310751885175705,0.1310751885175705,human,UP
RPL37A,0.1134852692484855,0.1134852692484855,0.1134852692484855,0.1134852692484855,human,UP
ENC1,0.1093366146087646,0.1093366146087646,0.1093366146087646,0.1093366146087646,human,UP
EEF1A1,0.1025115475058555,0.1025115475058555,0.1025115475058555,0.1025115475058555,human,UP
PTGDS,0.1016845628619194,0.1016845628619194,0.1016845628619194,0.1016845628619194,human,UP
FAM107A,0.1000374630093574,0.1000374630093574,0.1000374630093574,0.1000374630093574,human,UP
RTN4,0.0947029963135719,0.0947029963135719,0.0947029963135719,0.0947029963135719,human,UP
HSP90AA1,0.0921815335750579,0.0921815335750579,0.0921815335750579,0.0921815335750579,human,UP
CLU,0.0852594003081321,0.0852594003081321,0.0852594003081321,0.0852594003081321,human,UP
MBP,0.0815818905830383,0.0815818905830383,0.0815818905830383,0.0815818905830383,human,UP
MT1E,0.0788358673453331,0.0788358673453331,0.0788358673453331,0.0788358673453331,human,UP
VIM,0.0762366950511932,0.0762366950511932,0.0762366950511932,0.0762366950511932,human,UP
GABARAP,0.073700375854969,0.073700375854969,0.073700375854969,0.073700375854969,human,UP
TUBA1B,0.0672095641493797,0.0672095641493797,0.0672095641493797,0.0672095641493797,human,UP
TUBB2B,0.065645046532154,0.065645046532154,0.065645046532154,0.065645046532154,human,UP
UBB,0.0656264200806617,0.0656264200806617,0.0656264200806617,0.0656264200806617,human,UP
RPS28,0.0651362985372543,0.0651362985372543,0.0651362985372543,0.0651362985372543,human,UP
